"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"WAS","18-19","81","3888.27","3675","3801","-126","49.16","56.71","58.65","193","160","33","54.67","2.98","2.47","151.77","170.17","-18.4","47.14","2.34","2.63","257","224","-33","10.01","92.02","102.03"
"WPG","18-19","82","3958.78","3694","3854","-160","48.94","55.99","58.41","167","163","4","50.61","2.53","2.47","147.32","161.13","-13.8","47.76","2.23","2.44","232","249","17","8.37","92.33","100.7"
"VGK","18-19","82","3995.8","4160","3496","664","54.34","62.47","52.5","172","160","12","51.81","2.58","2.4","190.4","149.18","41.22","56.07","2.86","2.24","210","211","1","7.74","91.62","99.37"
"VAN","18-19","81","3892.87","3507","3795","-288","48.03","54.05","58.49","147","171","-24","46.23","2.27","2.64","138.19","162.83","-24.63","45.91","2.13","2.51","231","242","11","7.92","91.66","99.59"
"TOR","18-19","82","4063.75","4375","4074","301","51.78","64.6","60.15","202","169","33","54.45","2.98","2.5","182.53","169.94","12.59","51.79","2.7","2.51","195","194","-1","9.33","92.41","101.74"
"TBL","18-19","82","3913.18","3823","3591","232","51.56","58.62","55.06","205","157","48","56.63","3.14","2.41","156.76","140.86","15.9","52.67","2.4","2.16","263","263","0","9.76","92.17","101.93"
"STL","18-19","82","3972.17","3701","3487","214","51.49","55.9","52.67","166","144","22","53.55","2.51","2.18","160.32","137.99","22.33","53.74","2.42","2.08","218","220","2","8.13","92.21","100.34"
"SJS","18-19","82","3980.35","4123","3381","742","54.94","62.15","50.97","193","183","10","51.33","2.91","2.76","181.9","152.72","29.18","54.36","2.74","2.3","245","244","-1","9.09","89.74","98.82"
"PIT","18-19","82","4001.87","3882","3935","-53","49.66","58.2","59","181","150","31","54.68","2.71","2.25","170.53","160.55","9.98","51.51","2.56","2.41","234","233","-1","8.33","93.05","101.37"
"PHI","18-19","81","3890.62","3607","3866","-259","48.27","55.63","59.62","163","185","-22","46.84","2.51","2.85","153.28","161.48","-8.2","48.7","2.36","2.49","230","242","12","8.44","91.1","99.54"
"OTT","18-19","81","4006.03","3553","4360","-807","44.9","53.21","65.3","169","219","-50","43.56","2.53","3.28","154.32","179.06","-24.74","46.29","2.31","2.68","224","236","12","8.75","90.62","99.36"
"NYR","18-19","82","3952.08","3378","3958","-580","46.05","51.28","60.09","144","171","-27","45.71","2.19","2.6","153.06","171.65","-18.59","47.14","2.32","2.61","264","243","-21","7.71","91.98","99.69"
"NYI","18-19","81","3971.27","3484","3802","-318","47.82","52.64","57.44","158","127","31","55.44","2.39","1.92","156.92","149.57","7.35","51.2","2.37","2.26","201","206","5","8.5","93.55","102.05"
"NSH","18-19","81","3860.9","3852","3529","323","52.19","59.86","54.84","162","141","21","53.47","2.52","2.19","156.46","149.35","7.11","51.16","2.43","2.32","240","241","1","7.7","92.7","100.39"
"NJD","18-19","82","3865.58","3337","3782","-445","46.87","51.8","58.7","144","179","-35","44.58","2.24","2.78","151.49","161.43","-9.93","48.41","2.35","2.51","253","246","-7","7.55","91.25","98.8"
"MON","18-19","81","3934.67","4312","3612","700","54.42","65.75","55.08","187","161","26","53.74","2.85","2.46","174.9","145.04","29.86","54.67","2.67","2.21","229","217","-12","8.2","91.86","100.06"
"MIN","18-19","82","3935.47","3772","3635","137","50.92","57.51","55.42","139","153","-14","47.6","2.12","2.33","152.77","129.42","23.35","54.14","2.33","1.97","231","232","1","6.78","91.69","98.47"
"LAK","18-19","82","4020.2","3593","3854","-261","48.25","53.62","57.52","139","168","-29","45.28","2.07","2.51","142.01","153.93","-11.92","47.99","2.12","2.3","228","215","-13","7.46","91.72","99.17"
"FLA","18-19","82","3973.83","3644","3730","-86","49.42","55.02","56.32","163","190","-27","46.18","2.46","2.87","152.48","165.12","-12.64","48.01","2.3","2.49","226","254","28","7.91","90.57","98.48"
"EDM","18-19","82","4034.98","3550","3848","-298","47.99","52.79","57.22","145","179","-34","44.75","2.16","2.66","150.9","172.91","-22.01","46.6","2.24","2.57","238","202","-36","7.61","91.48","99.09"
"DET","18-19","82","4030.05","3509","3935","-426","47.14","52.24","58.58","149","178","-29","45.57","2.22","2.65","142.5","176.22","-33.72","44.71","2.12","2.62","245","219","-26","7.88","91.92","99.8"
"DAL","18-19","82","4008.08","3597","3875","-278","48.14","53.85","58.01","136","133","3","50.56","2.04","1.99","152.9","151.33","1.57","50.26","2.29","2.27","220","199","-21","6.93","93.52","100.45"
"COL","18-19","80","3739.37","3586","3585","1","50.01","57.54","57.52","152","149","3","50.5","2.44","2.39","142.81","143.49","-0.68","49.88","2.29","2.3","260","254","-6","7.61","92.22","99.83"
"CHI","18-19","80","3931.25","3731","3846","-115","49.24","56.94","58.7","182","181","1","50.14","2.78","2.76","150.05","183.43","-33.38","45","2.29","2.8","204","198","-6","8.77","91.85","100.62"
