"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",82,3869.85,3495,3542,-47,49.67,54.19,54.92,145,128,17,53.11,2.25,1.98,152.87,140.98,11.89,52.02,2.37,2.19,304,275,-29,7.77,92.98,100.75
"ARI","2016-2017",82,3984.29,3415,4163,-748,45.06,51.43,62.69,132,168,-36,44,1.99,2.53,128.76,178.02,-49.26,41.97,1.94,2.68,253,240,-13,7.28,92.44,99.72
"BOS","2016-2017",82,3869.08,3882,3217,665,54.68,60.2,49.89,143,147,-4,49.31,2.22,2.28,156.98,127.28,29.7,55.22,2.43,1.97,299,261,-38,6.86,91.31,98.17
"BUF","2016-2017",82,4031.08,3488,3896,-408,47.24,51.92,57.99,126,155,-29,44.84,1.88,2.31,138.45,152.6,-14.15,47.57,2.06,2.27,243,228,-15,6.41,92.92,99.33
"CAR","2016-2017",82,4042.65,3803,3597,206,51.39,56.44,53.39,146,170,-24,46.2,2.17,2.52,167.25,160.79,6.46,50.98,2.48,2.39,171,209,38,7.43,91.17,98.6
"CBJ","2016-2017",82,3994.15,3717,3672,45,50.3,55.84,55.16,168,132,36,56,2.52,1.98,164.41,164.44,-0.03,50,2.47,2.47,240,243,3,8.18,93.26,101.44
"CGY","2016-2017",82,3859.65,3461,3386,75,50.55,53.8,52.64,139,143,-4,49.29,2.16,2.22,136.33,142.54,-6.21,48.89,2.12,2.22,300,286,-14,7.59,92,99.59
"CHI","2016-2017",82,4053.47,3759,3692,67,50.45,55.64,54.65,164,136,28,54.67,2.43,2.01,152.05,157.76,-5.71,49.08,2.25,2.34,206,222,16,8.17,93.31,101.48
"COL","2016-2017",81,3871.32,3362,3586,-224,48.39,52.11,55.58,112,192,-80,36.84,1.74,2.98,119.32,146.19,-26.87,44.94,1.85,2.27,262,229,-33,6.33,90.6,96.94
"DAL","2016-2017",82,3977.24,3850,3838,12,50.08,58.08,57.9,148,154,-6,49.01,2.23,2.32,162.47,164.9,-2.43,49.63,2.45,2.49,257,266,9,7.52,91.92,99.44
