"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"DET","2016-2017",82,3975.56,3317,3562,-245,48.22,50.06,53.76,144,162,-18,47.06,2.17,2.44,141.48,153.35,-11.87,47.99,2.14,2.31,239,264,25,7.88,91.72,99.6
"EDM","2016-2017",82,3994.56,3642,3656,-14,49.9,54.7,54.91,165,139,26,54.28,2.48,2.09,166.88,160.38,6.5,50.99,2.51,2.41,243,253,10,8.29,92.74,101.03
"FLA","2016-2017",82,3899.49,3515,3445,70,50.5,54.08,53.01,130,161,-31,44.67,2,2.48,135.3,147.41,-12.11,47.86,2.08,2.27,277,277,0,6.56,92.1,98.66
"L.A","2016-2017",82,3974.87,3969,3252,717,54.96,59.91,49.09,126,133,-7,48.65,1.9,2.01,157.06,132.65,24.41,54.21,2.37,2,254,237,-17,6.21,92.06,98.27
"MIN","2016-2017",82,4056.03,3649,3745,-96,49.35,53.98,55.4,186,148,38,55.69,2.75,2.19,155.61,129.39,26.22,54.6,2.3,1.91,220,250,30,9.15,92.57,101.72
"MTL","2016-2017",82,4024.6,3942,3561,381,52.54,58.77,53.09,154,129,25,54.42,2.3,1.92,159.74,141.65,18.09,53,2.38,2.11,251,243,-8,7.55,93.25,100.79
"N.J","2016-2017",82,3932.12,3204,3495,-291,47.83,48.89,53.33,114,149,-35,43.35,1.74,2.27,136.38,148.89,-12.51,47.81,2.08,2.27,270,270,0,6.36,92.47,98.83
"NSH","2016-2017",82,3935.37,3791,3582,209,51.42,57.8,54.61,159,141,18,53,2.42,2.15,148.94,139.12,9.82,51.7,2.27,2.12,267,271,4,7.84,92.65,100.49
"NYI","2016-2017",82,4035.57,3694,4042,-348,47.75,54.92,60.1,177,171,6,50.86,2.63,2.54,166.51,172.97,-6.46,49.05,2.48,2.57,231,228,-3,8.87,91.77,100.64
"NYR","2016-2017",82,3994.7,3504,3811,-307,47.9,52.63,57.24,167,153,14,52.19,2.51,2.3,156.96,164.16,-7.2,48.88,2.36,2.47,217,223,6,8.85,92.32,101.17
"OTT","2016-2017",82,3920.95,3584,3800,-216,48.54,54.84,58.15,135,142,-7,48.74,2.07,2.17,142.19,147.35,-5.16,49.11,2.18,2.25,278,283,5,7.03,92.58,99.6
"PHI","2016-2017",82,3910.54,3754,3594,160,51.09,57.6,55.14,127,153,-26,45.36,1.95,2.35,142.36,146.17,-3.81,49.34,2.18,2.24,266,292,26,6.65,91.68,98.32
"PIT","2016-2017",82,3953.63,3810,3788,22,50.14,57.82,57.49,186,151,35,55.19,2.82,2.29,179.09,162.42,16.67,52.44,2.72,2.46,247,270,23,8.6,92.61,101.21
"S.J","2016-2017",81,3960.88,3836,3641,195,51.3,58.11,55.15,150,133,17,53,2.27,2.01,162.81,147.22,15.59,52.51,2.47,2.23,215,234,19,7.85,92.45,100.3
"STL","2016-2017",82,3942.63,3413,3389,24,50.18,51.94,51.57,154,137,17,52.92,2.34,2.08,132.78,129.73,3.05,50.58,2.02,1.97,253,242,-11,8.4,92.38,100.78
"T.B","2016-2017",82,3906.7,3597,3419,178,51.27,55.24,52.51,140,145,-5,49.12,2.15,2.23,138.22,135.6,2.62,50.48,2.12,2.08,283,293,10,7.38,92.4,99.78
"TOR","2016-2017",82,3967.96,3936,3876,60,50.38,59.52,58.61,168,162,6,50.91,2.54,2.45,177.14,171.04,6.1,50.88,2.68,2.59,267,248,-19,8.3,92.25,100.55
"VAN","2016-2017",82,4046.86,3401,3691,-290,47.96,50.42,54.72,128,158,-30,44.76,1.9,2.34,135.26,160.66,-25.4,45.71,2.01,2.38,221,227,6,7.01,92.42,99.43
"WPG","2016-2017",82,3878.01,3382,3486,-104,49.24,52.33,53.93,157,164,-7,48.91,2.43,2.54,147.78,144,3.78,50.65,2.29,2.23,252,262,10,8.51,91.56,100.07
"WSH","2016-2017",82,3907.75,3653,3401,252,51.79,56.09,52.22,178,112,66,61.38,2.73,1.72,148.85,140.57,8.28,51.43,2.29,2.16,278,238,-40,9.18,93.73,102.91
