"Team","iCF.60_mean","ixGF.60_mean","ZSR_mean","CF..QoT_mean","CF..QoC_mean","iCF.60_sd","ixGF.60_sd","ZSR_sd","CF..QoT_sd","CF..QoC_sd","iCF.60_min","ixGF.60_min","ZSR_min","CF..QoT_min","CF..QoC_min","iCF.60_max","ixGF.60_max","ZSR_max","CF..QoT_max","CF..QoC_max"
"ANA",9.70611111111111,0.406388888888889,50.9372222222222,48.7752777777778,49.6911111111111,4.28150793047615,0.28684642758081,12.5324214080602,1.55350936566419,1.27476110429204,0,0,27.27,44.6,44.83,17.39,0.93,100,51.31,54.36
"ARI",9.89625,0.3715625,44.730625,45.495,50.0534375,2.62075801642295,0.203392348874399,9.56023853714419,0.766731647550067,0.420626333099551,0,0,21.74,43.66,48.62,14.45,0.75,77.5,47.55,50.95
"BOS",11.5043333333333,0.467666666666667,54.8486666666667,53.6673333333333,49.748,4.70110602051176,0.289192494457541,9.53731428013992,1.11466999394543,0.69737636402695,0,0,33.33,51.39,48.86,18.78,0.93,73.68,55.82,53.09
"BUF",10.1771428571429,0.383142857142857,49.6714285714286,47.2277142857143,49.9737142857143,3.34730670612568,0.254486465935888,6.71169529861961,0.864693368685536,0.686294764807135,3.89,0.07,34.45,44.93,47.63,20.01,0.9,62.5,49.28,52.1
"CAR",11.0961290322581,0.568387096774194,53.4874193548387,50.981935483871,49.5961290322581,3.83688300353239,0.602838268936722,9.51082399786052,0.812610687249594,0.682488961665828,2.5,0.11,33.33,48.25,47.85,23.3,3.38,81.25,52.69,50.9
"CBJ",11.0466666666667,0.495925925925926,49.7292592592593,50.3548148148148,49.8359259259259,3.45688276653092,0.2932871952837,7.03071499040839,0.998242187240885,0.549407087821178,5.44,0.06,37.5,48.41,47.76,18.71,0.96,64,52.23,50.64
"CGY",9.58533333333333,0.374666666666667,47.0876666666667,49.5473333333333,49.6443333333333,3.50397186783437,0.249741015279116,10.6889374599625,1.07453577252541,0.880167238549637,0,0,31.25,47.55,47.05,16.18,0.79,68.42,51.72,51.52
"CHI",11.3781481481481,0.487407407407407,52.9688888888889,50.0725925925926,49.8259259259259,3.04001902453186,0.257093107836181,14.1283888605485,1.4325705583176,0.631416352089973,4.89,0.11,29.84,44.32,46.95,16.39,0.85,100,52.56,50.4
"COL",10.1405882352941,0.429117647058824,44.8202941176471,48.6555882352941,49.8417647058824,3.80696247418561,0.370996754433723,10.0389023561809,1.00457496266579,0.544968559494756,0,0,0,46.67,48.78,24.64,2.09,56.83,50.38,51.57
"DAL",11.3325806451613,0.507741935483871,46.3787096774194,50.0670967741936,49.7638709677419,3.42464106901919,0.284531306741682,5.41451059157119,0.682574506548001,0.342448803174575,4.34,0.12,31.82,48.67,48.92,19.08,0.96,59.28,52.14,50.36
"DET",10.2912121212121,0.486060606060606,51.369696969697,48.0133333333333,50.0887878787879,3.21150350067511,0.313677176747243,10.3708104447195,0.668331255192114,0.624853770772398,4.44,0.11,31.58,46.26,47.97,17.74,1.16,75,49.29,51.36
"EDM",11.2753333333333,0.475666666666667,52.2596666666667,49.3133333333333,49.7103333333333,2.61114551864507,0.263264431550371,9.78948467642118,0.877108625102891,0.579568706071568,6.72,0.07,34.17,47.39,48.18,15.9,1,77.78,51.72,51.28
