"Team","iCF.60_mean","ixGF.60_mean","ZSR_mean","CF..QoT_mean","CF..QoC_mean","iCF.60_sd","ixGF.60_sd","ZSR_sd","CF..QoT_sd","CF..QoC_sd","iCF.60_min","ixGF.60_min","ZSR_min","CF..QoT_min","CF..QoC_min","iCF.60_max","ixGF.60_max","ZSR_max","CF..QoT_max","CF..QoC_max"
"ANA",9.64058823529412,0.388823529411765,53.5561764705882,45.1285294117647,50,2.99135718785169,0.217628606434634,10.5749847810495,2.23187125233234,0.488051164729621,4.7,0.07,40.94,41.15,48.63,15.39,0.84,100,50.88,51.31
"ARI",10.2136666666667,0.396,49.8373333333333,50.1126666666667,49.887,4.02360833369608,0.240439253207039,8.77776380812701,0.878077576234047,0.674496747263444,0,0,33.33,48.19,48.15,18.1,0.8,75,52.03,51.93
"ATL",10.0371428571429,0.420571428571429,53.482,48.4417142857143,49.8468571428571,3.26725426316472,0.240207543315247,11.2124837989259,1.14432740510923,0.582649987902996,3.39,0,43,45.24,47.8,17.64,0.92,100,50.23,51.42
"BOS",11.6434482758621,0.44448275862069,48.9144827586207,49.9003448275862,49.9362068965517,2.69835171362877,0.242598819436778,3.70151473454439,1.01162698785747,0.752193999449531,7.57,0.09,41.74,48.08,47.42,17.97,0.8,57.69,51.54,52.36
"BUF",11.1813793103448,0.480689655172414,55.5565517241379,49.9634482758621,49.9631034482759,4.05571442018889,0.280725221963231,8.48245806518289,0.702263055424945,0.290284385784943,4.79,0.05,43.66,48.21,49.28,18.49,1.02,90,51.02,51.14
"CAR",11.93,0.48875,49.0584375,49.32875,49.688125,3.63793454338248,0.267542580271,4.80265122303934,1.28175723633738,0.622634555997803,6.48,0.11,39.22,45.83,46.91,22.9,1,62.5,52.38,50.23
"CBJ",10.7282352941176,0.433823529411765,52.6194117647059,50.8176470588235,49.6626470588235,4.52989830014159,0.272563750740022,9.75029974400988,0.932773832808847,0.729775012334247,2.53,0,22.22,48.89,47.09,22.81,1,69.57,52.82,50.92
"CGY",11.2546875,0.43,54.1534375,51.4678125,49.0471875,4.12037109538809,0.240630891214016,5.44922700015273,1.17248491117604,1.11247539842316,3.23,0.11,47.06,47.96,44.6,19.27,0.85,76.47,53.67,50.38
"CHI",10.415625,0.4190625,55.4246875,51.619375,49.76,4.43640361285231,0.271452002232677,17.962505569959,0.820872617912615,0.730585271347347,0,0,0,50.07,48.02,19.91,1.01,100,53.18,52.85
"COL",10.0563888888889,0.450277777777778,48.1002777777778,48.0258333333333,49.6883333333333,3.94230762935168,0.36501652495752,8.95238690792608,1.10457328541711,0.464558161820762,3.36,0.09,28.07,46.12,48.11,24.83,2.06,78.57,50.82,50.94
