"Team","iCF.60_mean","ixGF.60_mean","ZSR_mean","CF..QoT_mean","CF..QoC_mean","iCF.60_sd","ixGF.60_sd","ZSR_sd","CF..QoT_sd","CF..QoC_sd","iCF.60_min","ixGF.60_min","ZSR_min","CF..QoT_min","CF..QoC_min","iCF.60_max","ixGF.60_max","ZSR_max","CF..QoT_max","CF..QoC_max"
"ANA",9.9,0.4253125,51.13625,47.815625,49.879375,4.04310165191798,0.282682819804995,6.51162025820738,1.04776855822882,0.342184043103764,4.67,0,40,45.56,49.12,19.35,1.04,65.71,50.54,50.6
"ARI",10.3096875,0.4325,51.3640625,48.705,50.1609375,3.22183626701476,0.24544889751295,10.1110836212529,1.17348392239904,0.975133934142449,0,0,20,47.19,48.76,16.87,0.83,83.33,52.31,54.75
"BOS",10.8670967741935,0.460967741935484,52.3538709677419,52.0522580645161,49.7754838709677,3.42269892876795,0.365917612208993,9.99687807181801,2.06493052292713,1.33417599715999,2.99,0,33.33,46.95,47.06,18.73,1.88,90,54.71,55.17
"BUF",10.3051515151515,0.426666666666667,51.2593939393939,48.980303030303,49.8287878787879,3.52700485647181,0.248453550320108,7.18377074531281,0.793955622376358,0.731128227364041,0,0,26.32,47.27,46.21,16.42,0.93,62.88,50.77,50.91
"CAR",11.0048275862069,0.484137931034483,50.1655172413793,48.1889655172414,49.7010344827586,3.42152704075832,0.28877224393455,6.90109855965333,0.593556741947499,0.422021875089653,5.5,0.1,33.91,46.9,48.64,18.2,1.03,63.01,50.07,50.44
"CBJ",9.17789473684211,0.372631578947368,42.8910526315789,47.7894736842105,50.2747368421053,3.45520692687705,0.267427021725163,12.5732069893546,1.40057506986087,0.761019006908661,0,0,0,46.01,48.08,18.38,1.07,62.5,53.41,52.28
"CGY",10.6478378378378,0.502972972972973,49.3740540540541,47.5994594594595,49.6308108108108,4.30536882865461,0.327268704285645,6.6179266052558,0.912234576149096,1.02390423374448,4.32,0.07,28.57,45.45,46.38,20.58,1.32,66.67,49.62,51.19
"CHI",10.5077419354839,0.444838709677419,56.0341935483871,52.9141935483871,49.7451612903226,3.92484539795512,0.301151910367973,9.54575325269255,1.04352215818528,0.511852003139852,5.27,0.09,32.54,49.04,48.27,19.44,1,75.38,54.35,50.8
"COL",10.6251612903226,0.432903225806452,53.2506451612903,50.7922580645161,49.4525806451613,3.63675209582006,0.253392890565713,12.5439695831593,1.02226777208785,0.889569063243304,0,0,32.63,47.54,45.45,18.19,0.91,100,52.53,50.35
"DAL",10.761,0.368333333333333,43.4603333333333,50.1656666666667,50.13,4.13894068573107,0.245723187870968,11.179140206077,1.18420549047797,1.22647518495498,0,0,0,46.65,45.27,19.32,0.8,53.36,52.51,52.81
"DET",12.2058620689655,0.49,57.5468965517241,54.3189655172414,49.6624137931034,5.09982038706223,0.319419115627997,9.25806100628307,1.41108201854257,0.750026928909002,5.4,0.09,25,50.73,48.13,29.75,1.49,78.57,58.16,52.11
