"Team","iCF.60_mean","ixGF.60_mean","ZSR_mean","CF..QoT_mean","CF..QoC_mean","iCF.60_sd","ixGF.60_sd","ZSR_sd","CF..QoT_sd","CF..QoC_sd","iCF.60_min","ixGF.60_min","ZSR_min","CF..QoT_min","CF..QoC_min","iCF.60_max","ixGF.60_max","ZSR_max","CF..QoT_max","CF..QoC_max"
"ANA",10.3716666666667,0.4225,49.3702777777778,50.4322222222222,49.5908333333333,4.10177557371717,0.316871988574025,9.73573520185481,0.795092487382483,1.61843729743054,0,0,0,47.78,40.9,20.65,1.12,71.43,51.64,51.83
"ARI",10.0542105263158,0.388157894736842,47.6760526315789,48.7439473684211,49.9597368421053,3.24069948370255,0.211146871685268,9.59976197325231,0.732144349501108,0.885317127001806,2.28,0.03,25.4,46.81,47.96,16.78,0.77,64.31,50.32,53.31
"BOS",10.8178787878788,0.406363636363636,51.2487878787879,50.0975757575758,49.3936363636364,3.98915542249841,0.231757122083365,10.0984787708272,2.18501434535198,0.818553671811668,0,0,30,43.3,46.22,22.14,0.93,85.71,53.03,50.52
"BUF",7.62441176470588,0.315,39.9514705882353,38.8823529411765,50.4091176470588,2.81158015657158,0.197917185007296,6.32805927085646,2.08633223018005,0.628578808959612,0,0,25,36.63,49.17,13.07,0.67,56.25,47.47,53.21
"CAR",10.8478125,0.435,53.5696875,51.8959375,49.393125,4.07152799594626,0.340606669379515,6.42428029576453,1.22407795285979,0.921487008292364,4.04,0,40.7,48.35,46.21,20.32,1.49,75.56,53.78,50.28
"CBJ",9.80641025641026,0.420512820512821,47.9276923076923,47.3,49.7630769230769,3.58074858916951,0.322579641067612,6.17961140897969,1.39720585832093,0.818442531970114,2.88,0,30,44.17,47.2,16.54,1.53,64.29,51.07,52.07
"CGY",10.4961111111111,0.402777777777778,49.6,44.2983333333333,50.0669444444444,3.58384173580553,0.24841912867584,17.0446988826438,2.00718922163023,0.475333383423493,3.44,0,11.11,34.31,48.88,20.4,0.96,100,46.86,51.37
"CHI",11.6802941176471,0.461764705882353,55.2426470588235,51.8811764705882,49.4517647058824,3.30889662585134,0.296550579141746,13.9458872635852,1.59489101880155,1.51532068930766,5.02,0.04,15.04,47.56,41.77,18.7,1.16,84.62,54.04,51.37
"COL",9.28657142857143,0.334857142857143,50.7822857142857,43.0462857142857,49.9108571428571,3.51554358850649,0.218071378338424,9.17244052638577,1.47715761577725,2.40280274021888,0,0,42.72,40.62,38.55,17.56,0.81,85.71,48.94,53.03
"DAL",12.1093333333333,0.470333333333333,53.1016666666667,51.485,49.9333333333333,3.85798851764736,0.307341025161182,8.87983732506065,1.38693348173538,0.860306013451963,6.86,0.08,39.25,46.81,46.27,19.21,1.09,88.89,54.53,52.14
"DET",10.6875,0.439642857142857,55.7932142857143,52.6075,49.5960714285714,3.38926368601402,0.249821894228626,8.61242816604841,1.55513397064905,0.650881677167177,5.14,0.08,36,47.82,48.07,19.39,0.86,68.29,55,51.8
"EDM",9.67868421052632,0.411578947368421,50.9592105263158,48.2360526315789,50.2681578947368,3.17742983936204,0.256731285702233,17.281972231917,1.27990400711355,0.82725483920618,0,0,10.53,45.75,49.23,18.44,1.06,100,52.74,52.92
"FLA",11.2975,0.440714285714286,50.4864285714286,50.6253571428571,49.7271428571429,4.58688761176497,0.260084438873062,5.28031860310195,1.07681451390409,0.876452686783098,2.14,0.03,41.24,47.15,47.92,25.96,0.83,61.04,51.89,53.16
"L.A",11.3692307692308,0.498076923076923,52.4111538461538,54.7361538461538,49.5438461538462,3.04812063157208,0.383562451037838,11.9003248113396,1.06490216235324,0.585956154831243,6.7,0.1,0,51.86,48.58,18.92,1.83,69.4,56.87,51.47
