"Team","iCF.60_mean","ixGF.60_mean","ZSR_mean","CF..QoT_mean","CF..QoC_mean","iCF.60_sd","ixGF.60_sd","ZSR_sd","CF..QoT_sd","CF..QoC_sd","iCF.60_min","ixGF.60_min","ZSR_min","CF..QoT_min","CF..QoC_min","iCF.60_max","ixGF.60_max","ZSR_max","CF..QoT_max","CF..QoC_max"
"ANA",10.3375757575758,0.452424242424242,50.079696969697,51.3072727272727,49.42,4.33317149318994,0.27628144960156,16.1808927606082,1.27723400539817,1.11999720981795,0,0,0,46.86,44.74,17.66,0.96,100,53.45,50.65
"ARI",9.82857142857143,0.400285714285714,48.7788571428571,46.8802857142857,50.1068571428571,3.67813023380178,0.255187194431227,8.43068372477742,1.13155667299596,0.75264151074564,3.92,0.07,24.58,44.92,48.46,23.17,1.39,66.67,50.21,52.7
"BOS",10.13,0.388387096774194,50.511935483871,48.5754838709677,49.8116129032258,3.53648978508351,0.247320261660781,6.05767910416459,1.37228966502382,0.904787624341365,5.38,0,37.98,46.43,46.12,18.27,0.92,63.8,50.77,51.84
"BUF",10.6506451612903,0.461935483870968,49.4238709677419,47.6903225806452,49.7254838709677,5.45210169597246,0.37662022741606,5.78159302004754,0.69230284255263,0.751473391454758,3.17,0.08,38.23,46.36,46.79,31.32,1.69,61.54,49.06,50.41
"CAR",10.0486666666667,0.448333333333333,48.6966666666667,50.9173333333333,49.626,3.22110468664073,0.273635591218703,11.6883565209536,1.02816855364898,0.627004922160738,0,0,0,48.79,48.66,18.05,0.96,70,53.04,52.04
"CBJ",9.86909090909091,0.470606060606061,49.7315151515152,47.8860606060606,49.6948484848485,4.01547814995017,0.365461518100225,11.0286587243225,1.12291456541098,0.64339490794982,0,0,35.71,44.99,47.57,16.95,1.29,100,50.53,52.03
"CGY",10.4077777777778,0.432222222222222,45.8752777777778,48.2938888888889,49.3597222222222,3.33665367962841,0.287452963716164,12.3777702783455,1.00249767446193,1.26831380999929,0,0,0,45.64,45.63,17.88,1.12,73.68,50.83,50.79
"CHI",11.162972972973,0.434054054054054,53.68,50.7724324324324,49.7656756756757,3.59632981498334,0.239251836861165,12.5767759956375,1.34120262245288,0.424987192882461,3.31,0,18.75,47.96,48.92,21.65,0.84,80,55.32,51
"COL",9.4090625,0.3553125,47.265,44.5503125,49.948125,3.13697857445869,0.219294828425555,8.37947184416159,1.41832587450498,0.505571777871991,3.04,0.04,28.77,42.53,48.87,17.06,0.73,66.15,49.77,51.07
"DAL",11.6058620689655,0.540689655172414,52.0179310344828,51.8455172413793,49.5586206896552,3.98441563849651,0.353875795750054,10.0109470007695,0.914231082881348,1.02268457690647,3.37,0.09,41.82,49.94,44.73,19.18,1.54,100,53.9,51.03
"DET",10.4055172413793,0.45,52.818275862069,51.4658620689655,49.6631034482759,3.98505833100067,0.267234514451793,9.90422928023519,1.24524959414735,0.450912594066395,0,0,32.05,47.71,48.69,16.86,0.85,69.61,53.81,51.27
"EDM",10.5648571428571,0.421714285714286,48.7248571428571,48.6728571428571,49.9008571428571,2.14047049724583,0.251027133690244,6.90771536737282,0.841576152328514,0.600663218884767,7.38,0.09,31.65,47.04,47.9,17.03,1.04,68,51.48,51.2
"FLA",9.67060606060606,0.405757575757576,48.8178787878788,48.6672727272727,49.9087878787879,2.71611618330515,0.230448344307221,7.12465295539709,1.09539169001114,0.50284041688043,4.87,0.06,23.53,45.65,48.62,15.49,0.9,61.25,50.64,51.89
"L.A",11.3156666666667,0.428333333333333,55.4746666666667,55.162,49.2933333333333,3.80514051880034,0.279927125163495,7.12155626799093,1.34958333288975,0.615502784852286,4.59,0.05,30,51.1,47.56,18.97,0.89,72.22,57.75,50.76
"MIN",9.56064516129032,0.378064516129032,46.9358064516129,46.4638709677419,49.7912903225806,3.7093143440838,0.26716311315797,10.5487518295432,1.17562090663999,0.829002380115135,0,0,21.19,43.93,46.49,16.92,0.91,66.12,48.28,51.45
"MTL",10.52325,0.404,48.361,50.322,49.6485,4.08398773667764,0.28717724358098,9.66604254395451,1.31171486895434,0.915102768503668,0,0,25.49,45.88,46.58,21.28,1.08,75,52.32,53.17
"N.J",8.83378378378378,0.361351351351351,48.3740540540541,46.5983783783784,49.7505405405405,2.70791160957763,0.206830071988284,12.8178658865618,1.37071658776129,0.73121643682119,4.22,0.08,0,43.79,47.12,16.9,0.72,71.43,51.63,50.72
