CF_max,CF_mean,CF_sd,CF% QoC_max,CF% QoC_mean,CF% QoC_sd,CF% QoT_max,CF% QoT_mean,CF% QoT_sd,GS_max,GS_mean,GS_sd,GS/60_max,GS/60_mean,GS/60_sd,iCF/60_max,iCF/60_mean,iCF/60_sd,ixGF/60_max,ixGF/60_mean,ixGF/60_sd,P1_max,P1_mean,P1_sd,P1/60_max,P1/60_mean,P1/60_sd,Rel CF%_max,Rel CF%_mean,Rel CF%_sd,TOI% QoC_max,TOI% QoC_mean,TOI% QoC_sd,TOI% QoT_max,TOI% QoT_mean,TOI% QoT_sd,ZSR_max,ZSR_mean,ZSR_sd
42,19.67992424242425,59.13800684950934,1.4799999999999969,0.017026515151513877,0.37929708966520737,0.5600000000000023,0.48280303030303173,0.441024279795741,39.74000000000001,3.0554261363636375,7.526230446071828,2.0599999999999996,0.12318181818181806,0.9612788120962908,10.920000000000002,0.4531912878787878,1.8664247364245448,0.2499999999999999,0.013579545454545427,0.0723094421743852,29,1.7121212121212128,4.071599761974452,1.18,0.218939393939394,0.2416379072696403,13.62,-1.667604166666667,5.49643368489908,-0.17999999999999972,0.1381060606060629,0.15155852783195278,0.6699999999999982,0.6318276515151524,-0.11516119111095091,-15.679999999999993,-4.275492424242422,-1.592480046636008
288,173.14774774774781,78.88327087210928,1.3500000000000014,0.3755135135135106,0.3710776734894715,2.210000000000001,6.346153153153153,-0.5671991210167616,7.209999999999994,9.356225225225224,4.594666377135754,0.75,0.886,-0.11351810399383111,-4.030000000000001,1.0197297297297307,0.12598494369793478,0.26,0.08836036036036032,0.09130723576195232,-1,1.9954954954954953,0.7278382317755092,4.06,0.3832972972972972,0.532567719169724,-7.88,-0.14457657657657652,-1.4401470675710364,0.3000000000000007,0.15438738738738778,0.07237610240152437,0.9100000000000001,-0.20545945945945832,0.3306209242361562,-40.91,-4.285873873873875,-5.028543304231486
280,103.47274749721907,15.84896412421972,2.0700000000000003,0.04300333704115644,-0.11245173086668692,5,3.7436707452725244,0.862358111778669,16.930000000000007,10.547363737486098,5.532713448237759,12.459999999999999,1.5750389321468299,1.571962085330448,-2.280000000000001,1.107563959955506,-0.3505591952814404,0.49,0.09928809788654058,0.05205640138125006,13,2.5750834260289217,1.738947165030659,13.799999999999999,0.7179199110122358,2.223805998777634,26.96,3.7517463848720802,3.485310874176708,0.08999999999999986,-0.0910901001112343,0.17619201933459494,0.9600000000000009,0.06093437152391701,0.5453991090446211,-2.8200000000000074,5.526362625139043,3.9486090631823156
48,-7.425403225806463,19.856753838359225,0.730000000000004,-0.3049999999999997,0.4600988077484194,1.3900000000000006,0.9718850806451655,0.47637271634953926,26.139999999999993,2.483467741935483,7.2190222651215326,1.5700000000000003,0.07748991935483862,0.46423541816372604,4.859999999999999,-0.10970766129032228,0.26747525352895885,0.47,0.011874999999999969,0.04172305016674033,18,0.9848790322580641,4.256765572328538,1.08,0.09260080645161295,0.23254009639841555,-5.48,-1.8320665322580647,1.908376544502473,-0.05000000000000071,-0.09548387096774391,0.21280054906142398,0.11999999999999744,-0.2060987903225815,0.18208888457063588,14.290000000000006,-1.264657258064517,0.2868436953810143
-224,-34.401785714285666,-36.95457081396876,0.010000000000005116,-0.21187499999999915,0.2786033885180801,-2.020000000000003,-2.2271428571428586,0.8052714104092342,-10.469999999999999,-1.3822767857142857,-0.9743474998896122,1.8000000000000003,0.22401785714285705,-0.033988227971897156,5.68,0.09455357142857146,0.4476519676058026,0.31000000000000005,0.0027232142857142594,0.023252173393987302,6,1.0089285714285712,1.0695217366366379,2.02,0.1573660714285714,0.2414816858702109,4.61,1.9098660714285716,-1.1142822174514073,-0.19000000000000128,0.2579910714285738,-0.40723356924324694,-1.0599999999999952,0.2966071428571446,-1.0797408736369862,16.659999999999997,-0.42758928571428356,2.212231561732988
70,97.40458640458644,69.13260755967161,2.1999999999999957,-0.36241605241605157,0.5718678515818171,3.3700000000000045,5.7178705978705935,-0.1073934009770181,44.43000000000001,9.838255528255528,7.223762818778955,0.75,0.7316953316953316,0.4542277704702078,4.740000000000002,0.7870679770679772,1.1527026336838704,-0.06000000000000005,0.045995085995086005,0.04008322339159942,26,3.23914823914824,3.455374641271998,1.0499999999999998,0.3077231777231777,0.17340286046927833,6.23,-0.8450450450450453,5.290845483149307,0.03999999999999915,0.15222768222768224,0.15101509917429,0.21999999999999886,0.613947583947585,-0.1736801460868962,-16.659999999999997,3.3225143325143307,-3.55039861378794
105,-29.449320794148434,14.95248914246389,4.140000000000001,0.4166144200627002,0.6851271673891121,0.990000000000002,1.76293625914316,0.5343228223298682,6.349999999999994,-0.16683385579937138,0.7123440248756143,-0.3799999999999999,-0.19024033437826549,0.13931519692016237,-4.710000000000001,-0.6440229885057462,-0.5078638916762448,-0.5000000000000001,-0.14301985370950887,-0.09858738794003907,2,-1.0031347962382444,-0.023692670634790858,-0.7999999999999998,-0.23922675026123308,-0.14127760518791443,-1.5899999999999999,-0.4094670846394984,2.063775020856087,0.1999999999999993,-0.15619644723092918,0.12541324299219858,-0.4599999999999973,-0.30909090909090864,-0.27024602377894213,19.049999999999997,2.036363636363639,2.709207872326237
-124,-69.39761904761895,10.02758490569255,3.030000000000001,0.4194999999999993,0.7189183961338749,-3.5700000000000003,-2.134976190476195,-0.4018110651507921,-3.260000000000005,-2.4763809523809535,0.1624307002154346,0.26000000000000023,0.06314285714285717,0.1302987464062464,-2.280000000000001,-0.3210714285714289,0.382999742754349,0.54,0.06061904761904757,0.1094324352952589,5,1.154761904761905,2.469051196713801,4.539999999999999,0.4324285714285714,0.7022670846714578,-0.5,-0.3049047619047618,-0.021566465185951067,0.1999999999999993,0.03676190476190655,-0.12875777877878447,-0.12999999999999545,0.10935714285714582,-0.5294792017753434,-7.579999999999998,-6.636047619047616,-0.08094285179895788
387,167.6400862068965,28.428937282099355,0.529999999999994,0.20155172413792855,-0.46680340229878836,4.239999999999995,3.545334051724133,0.7174681075403688,-2.009999999999991,9.581637931034486,-0.5472455693126754,11.48,1.545290948275862,1.1949905669153766,-5.199999999999999,2.0463038793103436,-1.3108814016333135,0.24,0.13709051724137933,0.003604485315208239,-5,1.9450431034482758,-2.264225592052254,12.54,0.6233836206896552,1.9557672528122805,24.480000000000004,4.648006465517241,1.0496086305538954,-0.05999999999999872,-0.0968965517241358,-0.09465435226478713,-0.3299999999999983,-0.0845797413793079,0.22224108059371384,-30.090000000000003,3.654245689655177,0.09358189891310786
141,114.36905871388637,40.922114777009085,-0.7600000000000051,-0.2496365330848107,0.07679357611320037,2.1300000000000026,3.6858434296365274,-0.49483153328846075,6.590000000000003,6.993271202236718,1.6104111392093383,-0.5299999999999998,0.9079962721342032,-0.47972421374032914,-0.23999999999999844,1.069878844361602,-0.2844934936425414,0.13000000000000012,0.11295433364398882,0.05629759395705952,-5,1.302889095992545,-1.1340291139522494,0.5699999999999998,0.24240447343895621,0.0523327159685818,11.36,1.8547250698974835,0.5806763945780755,-0.16000000000000014,0.14024231127679343,-0.12152241213566373,0.18999999999999773,0.292432432432431,0.19736760781696328,-2.3799999999999955,1.8367567567567562,-2.7764237728212535
