blocks_at_ES,faceoff_win_percentage,give_aways,hits_at_ES,ot_losses_lead_1P,ot_losses_lead_2P,take_aways,win_percent_lead_1P,win_percent_lead_2P,win_percent_trail_1P,win_percent_trail_2P
0.3699999999999992,1.0999999999999943,0.0204878048780488,9.579999999999998,0.024390243902439022,0,0.004390243902439014,0.03200000000000003,0.11699999999999999,0.04199999999999998,0.036000000000000004
1.4399999999999995,0.10000000000000142,-0.04682926829268293,-6.139999999999999,-0.01219512195121951,0,-0.06902439024390246,0.14400000000000002,0.16499999999999992,0.09799999999999998,0.038000000000000006
-2.790000000000001,1,0.01926829268292682,-0.3899999999999988,-0.012195121951219516,0.012195121951219516,-0.002682926829268295,0.015000000000000013,0.03300000000000003,0.02300000000000002,0.01999999999999999
1.620000000000001,0,0.018170731707317075,-2.629999999999999,0.012195121951219513,-0.024390243902439025,-0.008902439024390238,0.10799999999999998,0.123,-0.024999999999999967,0.11400000000000002
-2.5600000000000005,-1.3999999999999986,-0.05329268292682926,-0.5,0,0,0.0060975609756097615,0.09800000000000009,0.10999999999999999,0.29700000000000004,-0.07300000000000001
-2.6500000000000004,-1.2999999999999972,0.046951219512195136,9.190000000000001,-0.048780487804878044,0,-0.03317073170731709,0.22099999999999997,-0.09300000000000008,0.206,0.313
3.6399999999999997,3,0.03817073170731708,4.85,0,-0.024390243902439025,0.012560975609756095,-0.05899999999999994,0.030000000000000027,0.124,0.043999999999999984
2.360000000000001,-4.800000000000004,-0.029024390243902437,-3.039999999999999,0.04878048780487805,0.03658536585365854,0.004268292682926833,-0.127,-0.049000000000000044,0.23200000000000004,0.09999999999999998
-1.290000000000001,0.6999999999999957,-0.004634146341463405,8.379999999999999,0.01219512195121951,-0.01219512195121951,0.02768292682926829,-0.010000000000000009,0.06399999999999995,-0.028000000000000025,-0.10200000000000004
3.2699999999999996,-1.8999999999999986,-0.06634146341463414,-0.2599999999999998,-0.01219512195121951,-0.024390243902439025,-0.019634146341463418,0.031000000000000028,0.052999999999999936,0.09599999999999997,0.014000000000000012
-3.1500000000000004,1.2000000000000028,-0.06597560975609756,2.59,-0.036585365853658534,-0.012195121951219513,-0.020243902439024394,0.137,0.06600000000000006,0.032999999999999974,-0.07300000000000001
-7.14,-2.5,-0.010853658536585362,3.5600000000000005,-0.02439024390243902,0.024390243902439025,-0.05292682926829269,0.051999999999999935,-0.07100000000000006,0.093,0.05600000000000001
0.5499999999999989,-1.7000000000000028,-0.05280487804878049,0.8100000000000005,0,-0.01219512195121951,0.0098780487804878,0,0.04699999999999993,0.03699999999999998,-0.05500000000000002
-5.97,0.8999999999999986,-0.09878048780487804,0.6300000000000008,0.012195121951219516,0.024390243902439025,-0.014512195121951219,-0.008000000000000007,-0.0020000000000000018,0.061,-0.14300000000000002
1.1899999999999995,-1.1000000000000014,-0.11085365853658537,-0.6399999999999988,-0.01219512195121951,0,-0.019634146341463418,0.17900000000000005,0.09899999999999998,0.09799999999999998,-0.047000000000000014
-0.7100000000000009,0,0.03121951219512195,-6.42,-0.04878048780487805,-0.036585365853658534,-0.0375609756097561,0.07200000000000006,0.019000000000000017,0.265,0.10700000000000001
1.3800000000000008,2.799999999999997,0.005365853658536576,0.7900000000000009,0.01219512195121951,-0.024390243902439022,-0.014146341463414633,0.014000000000000012,0.09700000000000009,0.0040000000000000036,-0.11099999999999999
-1.1099999999999977,3.6999999999999957,0.014512195121951232,-3.3599999999999994,0.01219512195121951,0,0.02914634146341462,0.02200000000000002,-0.04400000000000004,0.11699999999999999,-0.03900000000000001
0.22000000000000064,-3,0.031829268292682913,5.789999999999999,-0.02439024390243902,-0.01219512195121951,0.03695121951219511,0.11299999999999999,-0.04799999999999993,0.009000000000000008,-0.04600000000000001
-2.3599999999999994,-2.5,0.009999999999999981,-2.6700000000000017,0.03658536585365854,0.024390243902439022,-0.0028048780487804903,-0.06500000000000006,-0.041000000000000036,0.22699999999999998,0.17300000000000001
-3.289999999999999,-0.29999999999999716,0.008658536585365861,6.379999999999999,0.04878048780487805,0.06097560975609756,0.0030487804878048808,-0.09099999999999997,-0.124,0.027000000000000024,0.015000000000000013
-2.0199999999999996,-0.5,-0.03658536585365853,-5.570000000000002,0,0.04878048780487805,-0.029268292682926814,-0.11499999999999999,-0.049000000000000044,-0.10499999999999998,-0.096
-0.629999999999999,-4.399999999999999,-0.026951219512195118,-2.8099999999999987,0.01219512195121951,0.024390243902439025,0.01695121951219511,-0.10899999999999999,-0.03700000000000003,0.10399999999999998,0.064
-1.629999999999999,2.5999999999999943,0.029268292682926828,-6.08,-0.04878048780487805,-0.036585365853658534,-0.016829268292682942,0.248,0.07699999999999996,0.22099999999999997,0.0050000000000000044
-1.5199999999999996,4,2.4390243902439046e-4,-6.129999999999999,-0.012195121951219516,-0.03658536585365854,-0.0073170731707317,-0.006000000000000005,0.11199999999999999,-0.063,0.038000000000000006
-2.7299999999999986,-5,0.023414634146341456,-2.4499999999999993,0.024390243902439025,0,0.024999999999999994,-0.11199999999999999,0.0010000000000000009,0.192,0.185
-1.709999999999999,-1.3999999999999986,0.024268292682926823,3.92,0.036585365853658534,0,0.01268292682926829,-0.05400000000000005,0.009000000000000008,0.21000000000000002,-0.026999999999999996
-0.030000000000001137,1.3999999999999986,0.025243902439024385,-6.99,-0.04878048780487805,-0.024390243902439025,-0.02609756097560975,0.10399999999999998,0.04799999999999993,0.032999999999999974,0.10900000000000001
