Year,Team1,Team2,Conference,Highest.Seed,Round
2010,Vancouver Canucks,Los Angeles Kings,western,Vancouver Canucks,quarter-finals
2010,Detroit Red Wings,Phoenix Coyotes,western,Phoenix Coyotes,quarter-finals
2010,Montreal Canadiens,Pittsburgh Penguins,eastern,Pittsburgh Penguins,semi-finals
2010,Philadelphia Flyers,Boston Bruins,eastern,Boston Bruins,semi-finals
2010,San Jose Sharks,Detroit Red Wings,western,San Jose Sharks,semi-finals
2010,Chicago Blackhawks,Vancouver Canucks,western,Chicago Blackhawks,semi-finals
2010,Philadelphia Flyers,Montreal Canadiens,eastern,Philadelphia Flyers,finals
2010,Chicago Blackhawks,San Jose Sharks,western,San Jose Sharks,finals
2010,Chicago Blackhawks,Philadelphia Flyers,N/A,Chicago Blackhawks,stanley-cup-final
2011,Washington Capitals,New York Rangers,eastern,Washington Capitals,quarter-finals
2011,Philadelphia Flyers,Buffalo Sabres,eastern,Philadelphia Flyers,quarter-finals
2011,Boston Bruins,Montreal Canadiens,eastern,Boston Bruins,quarter-finals
2011,Tampa Bay Lightning,Pittsburgh Penguins,eastern,Pittsburgh Penguins,quarter-finals
2011,Vancouver Canucks,Chicago Blackhawks,western,Vancouver Canucks,quarter-finals
2011,San Jose Sharks,Los Angeles Kings,western,San Jose Sharks,quarter-finals
2011,Detroit Red Wings,Phoenix Coyotes,western,Detroit Red Wings,quarter-finals
2011,Nashville Predators,Anaheim Ducks,western,Anaheim Ducks,quarter-finals
2011,Tampa Bay Lightning,Washington Capitals,eastern,Washington Capitals,semi-finals
2011,Boston Bruins,Philadelphia Flyers,eastern,Boston Bruins,semi-finals
2011,Vancouver Canucks,Nashville Predators,western,Vancouver Canucks,semi-finals
2011,San Jose Sharks,Detroit Red Wings,western,San Jose Sharks,semi-finals
2011,Boston Bruins,Tampa Bay Lightning,eastern,Boston Bruins,finals
2011,Vancouver Canucks,San Jose Sharks,western,Vancouver Canucks,finals
2011,Boston Bruins,Vancouver Canucks,N/A,Vancouver Canucks,stanley-cup-final
2012,New York Rangers,Ottawa Senators,eastern,New York Rangers,quarter-finals
2012,Washington Capitals,Boston Bruins,eastern,Boston Bruins,quarter-finals
2012,New Jersey Devils,Florida Panthers,eastern,Florida Panthers,quarter-finals
