"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Ekblad","15-16","FLA","D","78","1319.22","9","13","22","15","1","0.68","28.15","1.28","1059","1034","25","50.6","2.92","56","43","13","56.57","-3.07","42.45","44.38","-1.93","48.89","-0.22","15","6","-9","208","9.46","5.41","0.25","7.5","101.59","55.8","35.98","28.15","48.73","28.77","49.94"
"Aaron Ness","15-16","WSH","D","8","97.35","--","2","2","--","1.23","--","3.15","1.94","96","86","10","52.75","1.8","6","2","4","75","17.86","3.32","3.91","-0.59","45.92","-5.61","--","--","--","18","11.09","0.39","0.24","--","108.83","67.57","25.58","24.26","50.58","27.5","47.57"
"Adam Clendening","15-16","PIT/ EDM","D","29","391.57","1","6","7","2","1.07","0.31","7.53","1.15","354","385","-31","47.9","-2.99","18","11","7","62.07","17.24","13.59","15.63","-2.04","46.51","-5.61","9","4","-5","74","11.34","1.35","0.21","2.44","103.97","54.13","29.03","27.82","49.47","28.36","49.19"
"Adam Cracknell","15-16","VAN/ EDM","R","52","586.5","5","5","10","9","1.02","0.92","8.88","0.91","472","534","-62","46.92","-0.27","11","14","-3","44","-5.64","17.52","21.14","-3.62","45.32","-0.68","8","7","-1","116","11.87","5.8","0.59","7.58","99.49","43.96","23.47","28.69","47.04","27.92","49.73"
"Adam Henrique","15-16","N.J","C","80","1060.92","18","11","29","19","1.64","1.07","22.61","1.28","738","881","-143","45.58","-0.48","46","37","9","55.42","14.63","36.09","34.76","1.33","50.94","5.29","8","10","2","161","9.11","10.99","0.62","17.65","103.19","50.7","28.07","30.49","47.42","29.38","50.03"
"Adam Larsson","15-16","N.J","D","82","1468.88","1","11","12","6","0.49","0.25","4.85","0.2","950","1171","-221","44.79","-2.1","42","33","9","56","15.39","42.21","45.5","-3.29","48.12","1.25","24","6","-18","143","5.84","2.44","0.1","1.72","102.51","31.75","37.92","28.56","46.15","29.41","50.19"
"Adam Lowry","15-16","WPG","L","74","854.95","7","9","16","12","1.12","0.84","10.62","0.75","685","777","-92","46.85","-5.62","24","33","-9","42.11","-11.03","30.86","31.71","-0.85","49.32","-0.12","16","11","-5","114","8","7.87","0.55","10.45","98.12","46.63","24.59","29.03","50.49","28.68","50.31"
"Adam Mcquaid","15-16","BOS","D","64","968.32","1","4","5","4","0.31","0.25","7.2","0.45","861","904","-43","48.78","-1.6","30","31","-1","49.18","-2.87","33.41","33.38","0.03","50.02","0.3","28","18","-10","104","6.44","1.55","0.1","2.38","99.82","50.13","31.39","28.35","50.5","29.05","50.06"
"Adam Pardy","15-16","WPG/ EDM","D","23","305.78","--","3","3","3","0.59","0.59","2.62","0.51","273","287","-14","48.75","-3.28","7","16","-9","30.43","-27.75","14.54","12.3","2.24","54.17","4.23","6","5","-1","42","8.24","1.34","0.26","--","94.18","56.5","28.18","28.24","50","28.34","48.78"
"Adam Pelech","15-16","NYI","D","9","129.58","--","--","--","--","--","--","-1.38","-0.64","90","124","-34","42.06","-6.85","3","7","-4","30","-30","3.78","5.06","-1.28","42.76","-10.23","--","--","--","15","6.95","0.14","0.06","--","96.37","43.48","31.01","26.34","49","28.1","50.54"
