"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Samuel Pahlsson","9-10","CBJ","C","78","982.92","2","9","11","6","0.67","0.37","8.71","0.53","709","807","-98","46.77","-1.24","23","32","-9","25.16","30.62","-5.46","45.11","-3.53","10","9","-1","141","8.61","5.6","0.34","2.41","98.43","34.02","27.43","28.67","48.03","29.02","50.66"
"Scott Gomez","9-10","MTL","C","78","1099.9","5","29","34","23","1.85","1.25","33.85","1.85","1088","1088","--","50","3.82","46","44","2","44.78","47.22","-2.44","48.67","3.96","16","21","5","203","11.07","9.12","0.5","4.13","100.56","54.66","30.08","30.75","45.66","29.8","50.18"
"Scott Hannan","9-10","COL","D","81","1426.67","2","9","11","5","0.46","0.21","-0.01","--","1077","1382","-305","43.8","-1.47","53","58","-5","48.51","56","-7.49","46.42","-1.98","13","13","--","107","4.5","2.27","0.1","4.44","100.94","43.4","38.04","29.11","45.39","29.76","50.32"
"Scott Hartnell","9-10","PHI","L","81","975.77","5","24","29","20","1.78","1.23","32.88","2.02","1019","950","69","51.75","1.11","41","42","-1","46.61","43.81","2.8","51.55","-0.8","48","44","-4","222","13.65","11.2","0.69","3.85","99.45","49.29","27.04","31.29","50.89","29.45","49.74"
"Scottie Upshall","9-10","ARI","R","49","606.83","16","11","27","21","2.67","2.08","29.16","2.88","563","522","41","51.89","-0.41","28","21","7","23.44","22.17","1.27","51.39","-0.97","22","18","-4","162","16.02","8.49","0.84","16.49","102.15","55.92","27.42","30","51.73","29.3","50.14"
"Scott Jackson","9-10","T.B","D","1","13.6","--","--","--","--","--","--","-0.05","-0.22","9","11","-2","45","-5","--","--","--","0.26","0.29","-0.03","47.27","-6.84","--","--","--","--","--","--","--","--","100","--","29.05","26.88","46.86","25.46","43.96"
"Scott Nichol","9-10","S.J","C","78","808.75","3","11","14","12","1.04","0.89","13.47","1","664","755","-91","46.79","-5.18","28","34","-6","26.91","31","-4.09","46.47","-6.85","24","30","6","141","10.46","5.75","0.43","3.85","99.57","42.95","22.7","27.3","51.61","28.13","49.77"
"Scott Niedermayer","9-10","ANA","D","80","1370.15","5","13","18","12","0.79","0.53","20.85","0.91","1231","1242","-11","49.78","3.48","53","57","-4","52.72","59.22","-6.5","47.1","1.83","9","4","-5","184","8.06","4.61","0.2","4.81","99.43","45.87","37.56","29.45","47.65","29.98","50.33"
"Scott Parse","9-10","L.A","R","59","604.88","9","13","22","18","2.18","1.79","21.79","2.16","490","521","-31","48.47","-3.24","32","20","12","19.43","20","-0.57","49.28","-2.79","9","4","-5","117","11.61","4.92","0.49","12","104.15","56.07","22.41","29.51","49.86","28.42","50.1"
"Scott Walker","9-10","CAR/ WSH","R","41","370.15","4","3","7","5","1.13","0.81","11.11","1.8","342","298","44","53.44","2.08","11","14","-3","13.99","13.08","0.91","51.68","0.46","12","12","--","88","14.26","4.82","0.78","7.14","97.33","56.93","19.84","27.73","49.92","28.33","48.92"
"Sean Avery","9-10","NYR","L","69","833.78","8","14","22","19","1.58","1.37","29.21","2.1","789","718","71","52.36","3.05","32","30","2","36.83","33.64","3.19","52.26","3.7","44","40","-4","215","15.47","11.27","0.81","6.2","99.14","49.14","26.23","29.4","49.13","28.63","49.79"
"Sean Bergenheim","9-10","NYI","L","63","736.35","8","10","18","15","1.47","1.22","22.03","1.8","719","733","-14","49.52","1.62","26","31","-5","32.1","28.88","3.22","52.64","2.87","14","21","7","227","18.5","11.12","0.91","6.9","98.43","45.6","25.66","29.53","47.31","29.16","50.16"
"Sean O'donnell","9-10","L.A","D","78","1157.57","2","8","10","7","0.52","0.36","12.21","0.63","977","971","6","50.15","-0.68","44","36","8","37.06","38.35","-1.29","49.14","-2.39","24","9","-15","107","5.55","1.48","0.08","4.88","101.99","47.7","32.44","28.67","50.58","29.17","49.91"
"Sergei Gonchar","9-10","PIT","D","61","922.6","5","11","16","9","1.04","0.59","22.77","1.48","921","811","110","53.18","0.63","44","44","--","39.68","33.45","6.23","54.26","0.97","14","7","-7","150","9.76","3.15","0.2","7.69","98.42","54.69","33.79","28.6","52.33","29.51","49.88"
"Sergei Kostitsyn","9-10","MTL","L","47","547.52","7","9","16","13","1.75","1.42","11.02","1.21","431","531","-100","44.8","-1.92","20","21","-1","17.07","22.98","-5.91","42.62","-3.87","2","7","5","91","9.97","3.88","0.43","13.73","101.86","45.26","24.46","29.55","46.33","29.14","50.23"
"Sergei Samsonov","9-10","CAR","L","71","753.98","11","10","21","17","1.67","1.35","18.32","1.46","693","701","-8","49.71","0.38","28","38","-10","29.13","31.87","-2.74","47.75","-0.4","11","5","-6","141","11.22","8.5","0.68","14.67","98.13","50.77","23.49","29.03","48.93","28.76","49.22"
"Sergei Shirokov","9-10","VAN","R","6","65.65","--","--","--","--","--","--","0.24","0.22","57","56","1","50.44","-5.17","1","4","-3","2.41","2.07","0.34","53.79","-1.18","--","2","2","9","8.23","0.32","0.29","--","90","56.25","23.98","31.51","53.27","28.9","48.76"
"Shane Doan","9-10","ARI","R","82","1117.37","10","25","35","28","1.88","1.5","45.7","2.45","1095","943","152","53.73","2.52","55","45","10","45.84","38.11","7.73","54.6","4.16","14","15","1","275","14.77","12.93","0.69","6.54","100.6","54.93","30.22","29.73","50.89","29.62","49.7"
"Shane Hnidy","9-10","MIN","D","70","844.57","2","7","9","6","0.64","0.43","6.78","0.48","729","779","-50","48.34","-0.83","25","33","-8","29.83","32.21","-2.38","48.08","-3.82","19","14","-5","111","7.89","2.2","0.16","5.71","99.34","48.63","26.31","27.32","47.89","28.07","49.19"
