"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Brian Gionta","9-10","MTL","R","61","883.08","14","11","25","19","1.7","1.29","33.86","2.3","923","888","35","50.97","2.46","43","35","8","38.99","38.12","0.87","50.56","3.24","6","11","5","285","19.36","13","0.88","8.86","101.36","54.68","30.9","31.21","45.84","29.91","50.02"
"Brian Lee","9-10","OTT","D","23","333.02","2","--","2","2","0.36","0.36","4.55","0.82","293","260","33","52.98","1.93","8","11","-3","11.95","9.81","2.14","54.92","4.84","6","--","-6","55","9.91","0.79","0.14","10","96.71","65.54","31.36","27.18","51.56","28.09","49.63"
"Brian Mcgrattan","9-10","CGY","R","34","116.8","1","3","4","2","2.05","1.03","4.42","2.27","111","101","10","52.36","0.3","6","3","3","4.68","3.99","0.69","53.98","5.53","18","15","-3","31","15.92","1.17","0.6","5.26","103.64","70.18","7.58","27.03","51.47","25.84","48.4"
"Brian Pothier","9-10","WSH/ CAR","D","61","955.18","2","6","8","4","0.5","0.25","11.12","0.7","877","931","-54","48.51","-2.39","35","29","6","34.5","41.48","-6.98","45.41","-4.35","7","4","-3","128","8.04","2.64","0.17","3.64","101.85","48.86","33.91","27.47","51.71","28.86","49.26"
"Brian Rafalski","9-10","DET","D","78","1401.42","1","17","18","10","0.77","0.43","39.15","1.68","1465","1134","331","56.37","3.58","61","47","14","61.21","50.1","11.11","54.99","3.98","10","5","-5","161","6.89","3.5","0.15","1.32","100.15","52.26","38.33","29.16","53.21","29.94","50.08"
"Brian Rolston","9-10","N.J","R","80","1037.42","12","11","23","20","1.33","1.16","30.5","1.76","827","809","18","50.55","-0.8","36","34","2","31.48","32.2","-0.72","49.43","-2.9","6","6","--","263","15.21","10.52","0.61","7.36","100.12","54.64","26.99","30.25","50.54","28.96","49.9"
"Brian Sutherby","9-10","DAL","C","45","367.87","5","4","9","8","1.47","1.3","9.71","1.58","287","318","-31","47.44","-1.63","15","6","9","10.59","12","-1.41","46.88","-2.48","18","15","-3","68","11.09","2.6","0.42","10.87","105.23","55.74","17.74","27.73","47.14","28.01","49.24"
"Brian Willsie","9-10","COL","R","4","36.55","--","--","--","--","--","--","-0.52","-0.85","24","36","-12","40","-4.22","1","2","-1","0.92","2.57","-1.65","26.36","-22.89","--","--","--","5","8.21","0.11","0.18","--","96.62","42.11","19.52","26.03","42.67","27.35","49.09"
"Brock Trotter","9-10","MTL","L","2","15.77","--","--","--","--","--","--","0.38","1.45","18","20","-2","47.37","-2.92","--","1","-1","0.56","0.54","0.02","50.91","5.39","--","1","1","6","22.83","0.32","1.22","--","90","57.14","15.89","25.88","43.51","26.92","49.11"
"Brooks Laich","9-10","WSH","C/L","78","970.67","9","21","30","21","1.85","1.3","34.95","2.16","989","956","33","50.85","-2.09","54","39","15","41.56","41.48","0.08","50.05","-1.71","11","10","-1","223","13.78","12.17","0.75","6.57","102.83","50.52","26.91","29.92","53.33","29.05","49.34"
"Brooks Orpik","9-10","PIT","D","72","1153.88","2","19","21","12","1.09","0.62","25.6","1.33","1147","1048","99","52.26","0.1","56","50","6","46.86","41.41","5.45","53.09","-0.04","21","12","-9","108","5.62","2.41","0.13","3.85","100.5","54.38","35.47","28.34","53.49","29.69","49.84"
"Bruno Gervais","9-10","NYI","D","70","1078.65","2","9","11","6","0.61","0.33","10.55","0.59","1077","1106","-29","49.34","2.46","40","56","-16","45.49","50.35","-4.86","47.46","-3.35","12","4","-8","150","8.34","3.36","0.19","3.03","97.82","48.29","34.19","27.72","47.02","29.04","50.16"
"Bryan Allen","9-10","FLA","D","74","1202.83","2","8","10","7","0.5","0.35","1.45","0.07","1012","1284","-272","44.08","-0.97","39","50","-11","40.9","48.56","-7.66","45.72","-0.66","26","22","-4","148","7.38","3.14","0.16","2.86","99.61","40.23","34.87","28.14","45.04","28.92","50.06"
"Bryan Bickell","9-10","CHI","L","16","150.35","3","1","4","4","1.6","1.6","7.53","3","136","91","45","59.91","5.5","7","2","5","5.01","3","2.01","62.55","8.98","1","2","1","30","11.97","1.42","0.57","16.67","103.99","60.27","20.39","29.16","55.07","28.21","50.71"
"Bryan Little","9-10","ATL","C/R","79","965.13","10","17","27","25","1.68","1.55","32.09","1.99","890","878","12","50.34","2.15","40","41","-1","37.58","39.98","-2.4","48.45","3.08","7","21","14","214","13.3","11.67","0.73","7.81","99.52","43.12","27.11","30.75","48.8","29.47","49.68"
"Bryan Mccabe","9-10","FLA","D","82","1380.1","3","13","16","9","0.7","0.39","7.72","0.34","1157","1386","-229","45.5","1.49","50","51","-1","46.42","53.68","-7.26","46.37","0.83","19","7","-12","187","8.13","4.06","0.18","3.45","101.28","45.91","36.22","27.65","44.34","28.79","49.89"
"Bryan Rodney","9-10","CAR","D","22","285.57","1","3","4","2","0.84","0.42","3.9","0.82","277","268","9","50.83","2.3","13","14","-1","10.49","12.2","-1.71","46.23","-1.11","4","--","-4","32","6.72","0.72","0.15","8.33","99.69","62.59","27.36","27.47","48.24","28.81","48.96"
"Bryce Salvador","9-10","N.J","D","79","1271.63","4","8","12","4","0.57","0.19","13.35","0.63","1029","1034","-5","49.88","-1.96","39","36","3","38.82","40.09","-1.27","49.2","-3.73","23","10","-13","100","4.72","1.24","0.06","9.09","100.21","51.68","33.61","28.35","51.74","29.11","49.79"
"Byron Bitz","9-10","BOS/ FLA","R","52","540.72","5","6","11","10","1.22","1.11","11.05","1.23","445","473","-28","48.47","-3.61","18","25","-7","17.62","16.33","1.29","51.9","0.03","9","13","4","91","10.1","4.98","0.55","8.77","97.89","45.17","22.13","28.46","50.7","28.42","49.27"
"Cal Clutterbuck","9-10","MIN","R","74","856.72","9","7","16","13","1.12","0.91","16.84","1.18","692","786","-94","46.82","-1.72","23","29","-6","24.48","27.33","-2.85","47.25","-3.33","17","27","10","202","14.15","7.63","0.53","7.83","99.61","41.7","25.1","29.18","47.79","28.77","49.93"
"Cal O'reilly","9-10","NSH","C","31","332.63","1","7","8","3","1.44","0.54","4.83","0.87","263","299","-36","46.8","-3.84","15","12","3","10.44","13.28","-2.84","44.01","-7.72","1","1","--","27","4.87","1.38","0.25","7.14","103.97","55.19","22.84","28.96","51.33","28.41","50.35"
"Cam Barker","9-10","CHI/ MIN","D","70","860.05","1","9","10","7","0.7","0.49","13.6","0.95","756","715","41","51.39","-1.48","41","33","8","31.63","31.46","0.17","50.13","-3.65","22","4","-18","127","8.86","2.63","0.18","1.67","101.37","55.16","26.17","26.68","52.37","28.38","49.29"
"Cam Janssen","9-10","STL","R","43","199.68","--","--","--","--","--","--","-2.04","-0.61","152","169","-17","47.35","-1.97","6","8","-2","6.49","6.88","-0.39","48.54","-0.88","37","25","-12","29","8.71","1.12","0.34","--","100.67","54.12","10.52","27.9","50.76","26.75","49.91"
"Carl Gunnarsson","9-10","TOR","D","43","677.22","2","9","11","5","0.97","0.44","11.22","0.99","607","628","-21","49.15","-3.19","33","27","6","22.92","23.38","-0.46","49.5","-2.78","4","--","-4","76","6.73","1.39","0.12","7.41","101.58","51.57","34.71","27.68","52.77","29.03","49.73"
"Carlo Colaiacovo","9-10","STL","D","67","893.12","2","17","19","10","1.28","0.67","29.06","1.95","891","681","210","56.68","7.92","42","33","9","36.9","28.77","8.13","56.19","9.16","17","10","-7","120","8.06","3.37","0.23","3.7","99.89","59.38","29.78","26.97","48.33","28.4","49.85"
"Casey Borer","9-10","CAR","D","2","20.47","--","--","--","--","--","--","-0.35","-1.03","17","26","-9","39.53","-11.43","--","1","-1","0.86","1.09","-0.23","44.1","-11.44","--","--","--","1","2.93","--","--","--","91.67","83.33","21.32","25.78","48.49","29.15","49.19"
"Casey Wellman","9-10","MIN","C","12","131.45","1","1","2","2","0.91","0.91","0.6","0.27","84","132","-48","38.89","-3.51","4","5","-1","3.17","4.11","-0.94","43.54","2.32","--","1","1","28","12.78","1.15","0.52","6.25","100.5","47.69","24.44","27.42","48.17","28.33","50.49"
"Chad Kolarik","9-10","CBJ","C","2","12.93","--","--","--","--","--","--","-0.3","-1.39","7","15","-8","31.82","-11.04","--","1","-1","0.47","0.37","0.1","55.95","12.93","--","--","--","3","13.92","0.16","0.74","--","80","50","14.82","25.25","45.43","27.11","52.53"
"Chad Larose","9-10","CAR","R","55","714.07","8","15","23","15","1.93","1.26","22.52","1.89","650","677","-27","48.98","0.76","31","34","-3","27.43","30.38","-2.95","47.45","-0.13","9","8","-1","189","15.88","9.4","0.79","6.72","99.49","48.89","28.63","29.59","48.88","29.48","49.88"
"Charles Linglet","9-10","EDM","L","5","47.75","--","--","--","--","--","--","-1.14","-1.43","34","53","-19","39.08","-1.65","--","5","-5","1.13","2.72","-1.59","29.35","-12.36","--","--","--","10","12.57","0.38","0.48","--","87.18","37.5","21.33","27.38","44.12","28.58","47.91"
"Chris Bourque","9-10","PIT/ WSH","L","20","167.25","--","1","1","--","0.36","--","-0.3","-0.11","140","159","-19","46.82","-3.91","3","9","-6","5.4","7.39","-1.99","42.22","-5.94","4","2","-2","27","9.69","0.96","0.34","--","93.77","62.65","18.3","28.6","51.46","28.39","48.98"
"Chris Butler","9-10","BUF","D","59","844.97","1","7","8","4","0.57","0.28","9.2","0.65","772","771","1","50.03","-1.47","31","40","-9","34.78","32.37","2.41","51.79","-1.11","8","7","-1","99","7.03","1.83","0.13","2.27","98.17","51.57","31.69","26.78","49.31","28.84","49.77"
"Chris Campoli","9-10","OTT","D","67","960.27","2","11","13","6","0.81","0.37","17.84","1.11","829","747","82","52.6","1.11","32","39","-7","37.45","30.68","6.77","54.97","2.1","7","6","-1","99","6.19","3.02","0.19","4.35","97.18","57.42","30.89","27.04","51.74","28.08","49"
"Chris Chelios","9-10","ATL","D","7","68.38","--","--","--","--","--","--","1.43","1.25","72","51","21","58.54","12.95","--","2","-2","2.58","1.47","1.11","63.7","19.54","--","--","--","12","10.53","0.14","0.12","--","93.1","53.33","21.22","26.92","48.27","27.92","50.58"
"Chris Clark","9-10","WSH/ CBJ","R","73","793.73","7","9","16","11","1.21","0.83","14.57","1.1","663","706","-43","48.43","-1.41","25","35","-10","27.42","27.94","-0.52","49.53","1.17","16","11","-5","155","11.72","8.86","0.67","7.22","98.02","45.37","23.44","28.7","50.4","28.7","49.68"
"Chris Conner","9-10","PIT","R","8","74.67","2","1","3","3","2.41","2.41","3.27","2.63","74","76","-2","49.33","-1.34","3","3","--","2.23","2.86","-0.63","43.81","-0.25","--","1","1","20","16.07","0.72","0.58","18.18","98.71","57.58","20","28.88","51.69","28.54","49.73"
"Chris Drury","9-10","NYR","C","77","919.42","9","11","20","15","1.31","0.98","14.77","0.96","753","960","-207","43.96","-7.92","26","31","-5","32.96","43.34","-10.38","43.2","-8.26","10","15","5","178","11.62","9.65","0.63","8.74","99.87","37.1","26.18","30.21","51.67","29.29","50.02"
"Chris Durno","9-10","COL","L","41","299.63","4","4","8","6","1.6","1.2","5.25","1.05","220","269","-49","44.99","-0.76","10","7","3","9.28","11.06","-1.78","45.62","-3.14","18","12","-6","44","8.81","2.41","0.48","14.81","102.71","50.39","15.91","28.02","43.57","27.64","48.8"
"Chris Higgins","9-10","NYR/ CGY","L","67","882.22","7","9","16","12","1.09","0.82","21.84","1.49","826","821","5","50.15","-1.41","23","34","-11","32.78","34.26","-1.48","48.9","-1.56","9","11","2","232","15.78","11.06","0.75","5.04","97.21","49.9","28.87","30.2","50.11","29.36","49.75"
"Chris Kelly","9-10","OTT","C","81","939.93","12","15","27","21","1.72","1.34","26.88","1.72","806","756","50","51.6","-0.36","36","47","-11","35.11","32.12","2.99","52.22","-1.02","15","9","-6","170","10.85","10.18","0.65","12.5","96.48","55.8","25.06","28.49","51.47","28.25","49.56"
"Chris Kunitz","9-10","PIT","L","49","642","10","13","23","19","2.15","1.78","32.76","3.06","706","545","161","56.43","5.33","32","24","8","29.98","21.7","8.28","58.01","6.69","10","11","1","151","14.11","7.7","0.72","11.11","99.73","55.88","29.16","31.37","51.93","29.95","50.03"
"Chris Minard","9-10","EDM","L","5","43.15","--","--","--","--","--","--","-1.75","-2.43","21","54","-33","28","-20.08","--","3","-3","0.95","3.2","-2.25","22.89","-28.99","--","--","--","6","8.34","0.45","0.63","--","90.32","40","18.96","27.78","43.95","27.1","49.14"
