"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Downey","8-9","DET","R","4","20.83","1","1","2","1","5.76","2.88","1.4","4.03","15","17","-2","46.88","-8.59","2","2","--","50","4.55","0.88","0.44","0.44","66.67","17.38","2","2","--","2","5.76","0.19","0.55","50","100","84.62","11.38","26.65","54.97","27.04","48.21"
"Aaron Johnson","8-9","CHI","D","38","440.83","2","4","6","3","0.82","0.41","9.28","1.26","359","331","28","52.03","-2.4","23","10","13","69.7","16.45","13.95","12.84","1.11","52.07","-0.79","11","5","-6","53","7.21","1.13","0.15","8.7","106.63","51.11","26.71","26.9","54.29","28.6","50.11"
"Aaron Mackenzie","8-9","COL","D","5","64.25","--","--","--","--","--","--","1.32","1.23","55","45","10","55","14.79","1","--","1","100","50","2.35","1.54","0.81","60.41","18.53","--","1","1","8","7.47","0.31","0.29","--","103.23","51.85","26.55","25.12","45.84","27.65","49.07"
"Aaron Rome","8-9","CBJ","D","8","109.9","--","1","1","1","0.55","0.55","2.7","1.47","96","72","24","57.14","9.63","4","3","1","57.14","4.97","3.86","2.9","0.96","57.1","7.76","--","--","--","13","7.1","0.26","0.14","--","98.81","74.14","27.88","25.96","51.46","28.59","50.35"
"Aaron Voros","8-9","NYR","L","54","504.27","5","8","13","11","1.55","1.31","15.38","1.83","493","409","84","54.66","2.72","19","22","-3","46.34","2.16","23.18","23.32","-0.14","49.85","-1.56","31","22","-9","81","9.64","4.72","0.56","10.42","97.82","60.44","21.13","29.75","51.53","28.58","49.84"
"Aaron Ward","8-9","BOS","D","64","991.48","2","4","6","3","0.36","0.18","9.35","0.57","862","880","-18","49.48","-2.24","37","32","5","53.62","-6.25","33.48","35.89","-2.41","48.26","-4.26","17","3","-14","107","6.48","1.69","0.1","4.76","101.28","44.9","33.81","28.08","51.05","29.45","49.57"
"Adam Burish","8-9","CHI","R","66","468","6","3","9","8","1.15","1.03","15.58","2","384","327","57","54.01","-1.96","16","11","5","59.26","5.54","17.33","13.01","4.32","57.12","3.68","22","18","-4","94","12.05","6.28","0.81","8.11","100.96","56.15","16.11","26.48","52.17","27.69","49.53"
"Adam Foote","8-9","COL","D","42","628","1","4","5","2","0.48","0.19","-3.42","-0.33","470","609","-139","43.56","-3.21","19","30","-11","38.78","-6.32","20.12","25.63","-5.51","43.98","-5.69","13","2","-11","39","3.73","0.89","0.09","5.88","97.95","38.65","33.48","28.31","46.94","29.76","51.08"
"Adam Hall","8-9","T.B","R","74","622.25","4","4","8","7","0.77","0.67","11.27","1.09","478","522","-44","47.8","0.17","12","19","-7","38.71","-9.88","20.44","21.53","-1.09","48.7","0.9","6","17","11","130","12.54","6.36","0.61","5","97.83","34.44","19.19","27.88","46.4","28.31","49.67"
"Adam Mair","8-9","BUF","C","75","739.62","7","11","18","13","1.46","1.05","13.79","1.12","617","679","-62","47.61","-2.06","25","21","4","54.35","5.05","25.07","24.2","0.87","50.88","-0.4","28","13","-15","129","10.46","7.39","0.6","9.46","101.25","52.88","22.38","28.67","49.62","28.19","49.43"
"Adam Pardy","8-9","CGY","D","59","797.72","1","8","9","4","0.68","0.3","17.32","1.3","810","635","175","56.06","0.46","34","32","2","51.52","-1.32","33.52","26.89","6.63","55.49","2.28","23","11","-12","85","6.39","1.79","0.13","2.86","98.98","57.88","30.17","28.46","54.9","28.69","49.16"
