"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Ekblad","14-15","FLA","D","81","1400.57","6","16","22","14","0.94","0.6","38.1","1.63","1299","1112","187","53.88","3.83","59","43","16","57.84","11.78","50.88","42.32","8.56","54.59","4.3","10","10","--","229","9.81","3.98","0.17","5.26","100.86","60.73","36.09","28.14","49.53","28.56","49.31"
"Aaron Volpatti","14-15","WSH","L","2","19.23","--","--","--","--","--","--","0.28","0.87","14","14","--","50","9.15","--","--","--","--","--","0.68","0.44","0.24","60.71","26.01","--","1","1","3","9.36","0.07","0.22","--","100","44.44","19.14","27.84","51.41","27.01","53.9"
"Adam Burish","14-15","S.J","R","20","187.47","1","2","3","3","0.96","0.96","-1.4","-0.45","126","216","-90","36.84","-17.42","3","9","-6","25","-25","3.96","8.79","-4.83","31.06","-22.55","7","5","-2","33","10.56","0.94","0.3","5","96.66","30.97","19.44","27.21","50.84","27.85","49.08"
"Adam Clendening","14-15","CHI/ VAN","D","21","292.48","--","1","1","--","0.21","--","2.45","0.5","269","270","-1","49.91","0.59","15","12","3","55.56","4.79","10.32","14.83","-4.51","41.03","-2.63","4","--","-4","37","7.59","0.47","0.1","--","101.74","55.29","29.21","26.28","48.88","28.37","49.11"
"Adam Cracknell","14-15","CBJ","R","17","157.47","--","1","1","1","0.38","0.38","-2.04","-0.78","110","163","-53","40.29","-5.44","1","9","-8","10","-31.67","3.31","6.42","-3.11","34.02","-12.58","1","--","-1","26","9.91","0.93","0.35","--","92.12","47.78","19.65","27.04","45.68","27.41","50.11"
"Adam Henrique","14-15","N.J","C","75","987.95","10","12","22","17","1.34","1.03","16.74","1.02","796","941","-145","45.83","-1.26","34","36","-2","48.57","1.31","35.91","37.5","-1.59","48.92","3.18","10","7","-3","178","10.81","9.99","0.61","9.8","101.22","45.96","27.28","29.65","47.92","28.84","50.06"
"Adam Larsson","14-15","N.J","D","64","1056.05","3","14","17","11","0.97","0.62","15.55","0.88","792","892","-100","47.03","0.32","31","31","--","50","2.54","33.44","35.09","-1.65","48.8","3.4","12","6","-6","161","9.15","2.72","0.15","3.66","100.56","38.72","34.09","27.76","47.36","29.19","49.86"
"Adam Lowry","14-15","WPG","L","80","981.22","10","8","18","17","1.1","1.04","27.99","1.71","900","750","150","54.55","2.77","32","32","--","50","-4.82","36.87","33.88","2.99","52.11","-1.68","16","13","-3","164","10.03","11.15","0.68","10.64","99.17","54.32","26.63","29.33","50.55","28.37","50"
"Adam Mcquaid","14-15","BOS","D","63","1009.77","1","5","6","3","0.36","0.18","8.77","0.52","869","881","-12","49.66","-2.9","26","32","-6","44.83","-8.6","32.81","31.38","1.43","51.11","-1.11","27","17","-10","129","7.67","1.55","0.09","1.75","98.86","49.78","32.76","27.51","51.23","28.51","49.59"
"Adam Pardy","14-15","WPG","D","55","668.25","--","8","8","4","0.72","0.36","11.4","1.02","572","541","31","51.39","-1.67","26","21","5","55.32","2.38","25.52","24.39","1.13","51.13","-2.39","10","11","1","76","6.82","1.23","0.11","--","101.17","56.54","26.56","26.13","50.98","27.8","49.02"
"Alec Martinez","14-15","L.A","D","56","864.37","4","9","13","9","0.9","0.62","25.62","1.78","838","741","97","53.07","-3.47","38","28","10","57.58","6.38","34.21","30.26","3.95","53.06","-1.76","4","6","2","167","11.59","3.37","0.23","5.19","102.25","49.91","31.93","27","55.31","28.77","49.13"
"Aleksander Barkov","14-15","FLA","C","71","976.12","13","15","28","20","1.72","1.23","31.51","1.94","872","798","74","52.22","2.04","36","35","1","50.7","2.8","33.46","30.21","3.25","52.55","2.43","4","6","2","152","9.34","7.36","0.45","13.54","99.42","47.56","28.52","30.26","51.27","29.11","49.88"
"Ales Hemsky","14-15","DAL","R","76","848.88","8","13","21","12","1.48","0.85","27.95","1.98","896","832","64","51.85","-0.53","37","41","-4","47.44","-5.17","34.17","35.43","-1.26","49.09","-4.32","5","12","7","214","15.13","8.01","0.57","6.67","98.82","58.21","23.72","29.37","52.48","28.97","49.86"
"Alex Biega","14-15","VAN","D","7","101.55","1","--","1","1","0.59","0.59","0.05","0.03","71","93","-22","43.29","-6.96","4","7","-3","36.36","-19.64","2.7","4.03","-1.33","40.12","-8.39","--","--","--","17","10.04","0.32","0.19","16.67","97.27","50.75","29.26","26.79","48.91","28.59","48.6"
"Alex Bolduc","14-15","ARI","C","3","31.18","--","--","--","--","--","--","-0.7","-1.35","24","38","-14","38.71","-12.04","--","1","-1","--","-40","0.59","1.17","-0.58","33.52","-19.75","1","--","-1","3","5.77","0.17","0.33","--","95","39.13","21.71","30.17","50.32","29.23","53.31"
"Alex Burrows","14-15","VAN","L","70","813.78","11","10","21","16","1.55","1.18","26.14","1.93","764","689","75","52.58","4.63","32","38","-6","45.71","-2.11","31.83","30.85","0.98","50.78","5.2","19","16","-3","178","13.12","8.76","0.65","10.28","96.72","52.11","24.46","29.86","49.97","29.29","50.31"
"Alex Chiasson","14-15","OTT","R","76","780.63","7","10","17","12","1.31","0.92","16.49","1.27","715","688","27","50.96","0.99","22","30","-8","42.31","-11.54","25.76","27.07","-1.31","48.76","-2.68","18","7","-11","128","9.84","6.86","0.53","9.21","98.57","53.02","21.81","29.78","50.25","28.5","49.59"
"Alex Edler","14-15","VAN","D","74","1275.73","1","9","10","4","0.47","0.19","23.27","1.09","1171","1082","89","51.98","3.82","44","38","6","53.66","7.46","45.9","43.22","2.68","51.5","5.49","19","6","-13","239","11.24","4.15","0.2","0.81","99.85","48.64","36.48","27.74","49.67","29.24","50.32"
"Alexei Emelin","14-15","MTL","D","68","1127.42","3","10","13","5","0.69","0.27","7.03","0.37","915","1075","-160","45.98","-4.36","40","37","3","51.95","-5.48","33.56","40.58","-7.02","45.27","-6.06","15","9","-6","110","5.85","1.36","0.07","7.69","102.35","44.49","34.7","27.32","49.34","28.84","49.52"
"Alexey Marchenko","14-15","DET","D","13","186.03","--","1","1","--","0.32","--","3.5","1.13","173","125","48","58.05","8.05","4","5","-1","44.44","-5.56","5.52","4.8","0.72","53.49","6.21","1","--","-1","18","5.81","0.24","0.08","--","96.35","64.95","30.23","26.77","52.7","28.17","50.7"
"Alex Galchenyuk","14-15","MTL","C","80","1070.3","15","17","32","27","1.79","1.51","37.53","2.1","1070","1035","35","50.83","3.39","48","36","12","57.14","3.47","41.69","42.62","-0.93","49.45","1.09","14","18","4","221","12.39","11.68","0.65","12.4","102.07","57.31","27.95","30.91","49.33","29.32","49.88"
"Alex Goligoski","14-15","DAL","D","81","1422.75","4","18","22","12","0.93","0.51","39.12","1.65","1522","1318","204","53.59","2.36","71","62","9","53.38","4.81","63.19","53.5","9.69","54.15","3.38","7","11","4","218","9.19","4.91","0.21","4.04","100.24","49.08","37.34","27.98","50.7","29.41","50.2"
"Alex Khokhlachev","14-15","BOS","C","3","21.53","--","--","--","--","--","--","-0.36","-1","15","18","-3","45.45","-9.66","--","2","-2","--","-62.5","0.25","0.57","-0.32","30.49","-25.41","--","--","--","1","2.79","0.02","0.06","--","86.67","85.71","14.1","27.38","52.22","27.91","47.67"
"Alex Killorn","14-15","T.B","C","71","925.92","11","21","32","23","2.07","1.49","40.25","2.61","898","731","167","55.13","2.48","43","34","9","55.84","-0.93","33.94","27.6","6.34","55.15","0.56","12","14","2","178","11.53","8.96","0.58","10.58","100.03","60.86","28","30.01","50.94","28.93","49.32"
"Alex Ovechkin","14-15","WSH","L","81","1215.98","20","16","36","33","1.78","1.63","53.02","2.62","1278","1106","172","53.61","3.25","53","49","4","51.96","-1.18","48.22","44.01","4.21","52.28","-0.49","23","24","1","469","23.14","18.61","0.92","9.13","99.83","58.11","31.68","30.67","50.24","29.6","49.94"
"Alex Petrovic","14-15","FLA","D","33","488.55","--","2","2","--","0.25","--","2.35","0.29","421","451","-30","48.28","-2.09","15","18","-3","45.45","-9.42","16.28","17.28","-1","48.51","-1.5","8","5","-3","56","6.88","0.93","0.11","--","99.41","53.47","30.06","26.97","50.86","28.35","50.41"
"Alex Pietrangelo","14-15","STL","D","81","1497.97","5","22","27","12","1.08","0.48","33.92","1.36","1352","1339","13","50.24","-2.4","59","58","1","50.43","-6.47","53.17","56.25","-3.08","48.59","-7.41","11","15","4","260","10.41","5.84","0.23","3.76","99.84","48.84","38.52","28.19","52.42","29.42","50.14"
"Alex Semin","14-15","CAR","R","57","775.22","6","9","15","12","1.16","0.93","24.71","1.91","760","602","158","55.8","3.2","29","33","-4","46.77","6.38","30.66","27.79","2.87","52.46","1.36","13","16","3","173","13.39","6.49","0.5","7.69","98","60.04","27.76","29.71","52.37","28.87","49.24"
"Alex Steen","14-15","STL","L","74","1024.95","14","21","35","30","2.05","1.76","43.72","2.56","1019","918","101","52.61","0.95","51","40","11","56.04","1.71","43.23","36.66","6.57","54.11","1.37","11","16","5","249","14.58","12.81","0.75","9.52","100.74","49.73","28.77","30.95","51.36","29.46","49.89"
"Alex Tanguay","14-15","COL","L","80","1058.5","17","19","36","27","2.04","1.53","14.62","0.83","851","1152","-301","42.49","-0.83","47","50","-3","48.45","-1.04","36.57","48.18","-11.61","43.15","-0.22","11","6","-5","105","5.95","8.45","0.48","26.15","102.09","45.86","27.86","30.8","43.85","29.45","50.62"
"Alex Wennberg","14-15","CBJ","C","68","805.65","1","11","12","6","0.89","0.45","9.87","0.74","672","707","-35","48.73","0.21","21","41","-20","33.87","-15.16","26.1","30","-3.9","46.52","-1.13","6","16","10","110","8.19","5.78","0.43","1.54","95.63","46.69","25","29.46","47.37","28.62","49.52"
"Anders Lee","14-15","NYI","C","76","901.08","17","13","30","24","2","1.6","42.56","2.83","1013","860","153","54.08","1.68","48","37","11","56.47","6.47","51.3","38.38","12.92","57.2","2.4","13","8","-5","246","16.38","18.55","1.24","10.9","99.92","58.11","24.27","29.84","52.04","28.85","49.74"
"Andre Benoit","14-15","BUF","D","59","874.25","--","5","5","2","0.34","0.14","-14.55","-1","611","1033","-422","37.17","0.24","25","39","-14","39.06","-0.1","24.41","39.11","-14.7","38.43","-2.38","11","3","-8","81","5.56","1.2","0.08","--","100.26","41.07","30.75","27.75","39.07","28.54","50.35"
"Andre Burakovsky","14-15","WSH","L","53","604.25","7","10","17","11","1.69","1.09","24.21","2.4","640","533","107","54.56","4.62","33","21","12","61.11","12.96","23.27","17.43","5.84","57.17","5.37","4","8","4","128","12.71","5.9","0.59","11.86","102.23","63.91","23.79","30.17","51.19","28.73","49.57"
"Andrei Markov","14-15","MTL","D","81","1429.07","4","14","18","11","0.76","0.46","29.43","1.24","1402","1366","36","50.65","3.47","62","42","20","59.62","7.74","54.77","53.3","1.47","50.68","2.94","10","5","-5","233","9.78","4.76","0.2","4.21","102.64","48.4","36.76","28.99","48.89","29.43","50.02"
"Andrej Meszaros","14-15","BUF","D","60","896.95","6","6","12","9","0.8","0.6","-6.5","-0.43","648","1034","-386","38.53","0.57","32","41","-9","43.84","8.99","29","37.85","-8.85","43.38","2.95","14","3","-11","98","6.56","1.77","0.12","13.64","101.02","47.47","31.22","27.39","38.11","28.44","49.97"
