year,team,weighted_goalie_save_percentage,weighted_GPS,player_points
2006,Detroit Red Wings,0.9078434975767368,7.236147011308563,10
2006,Ottawa Senators,0.9128576325872152,8.221274450494052,10.24390243902439
2006,Carolina Hurricanes,0.8988438818565401,8.7848101265822791,9.353658536585366
2006,Dallas Stars,0.8980000000000001,7.794207255963118,8.634146341463415
2006,Buffalo Sabres,0.9081115810674723,8.564229607250756,9.304878048780488
2006,Nashville Predators,0.9161805695819026,12.558776004847505,8.463414634146341
2006,Calgary Flames,0.917878726833199,14.378767123287671,7.073170731707317
2006,New Jersey Devils,0.9072319711538462,13.179266826923078,7.926829268292683
2006,Philadelphia Flyers,0.8959188102893891,6.52435691318328,8.548780487804878
2006,New York Rangers,0.9121106194690265,9.384835076427995,8.341463414634147
2006,San Jose Sharks,0.8940503423278293,4.898590414820781,8.792682926829269
2006,Mighty Ducks of Anaheim,0.9106822033898305,9.807203389830509,8.329268292682928
2006,Colorado Avalanche,0.8983243024666397,5.647250303275374,9.439024390243903
2006,Edmonton Oilers,0.8865377528539956,2.6042860004005606,8.378048780487806
2006,Montreal Canadiens,0.9040373964018598,5.997311501920355,7.975609756097561
2006,Vancouver Canucks,0.8986095238095239,9.652056737588653,8.463414634146341
2006,Tampa Bay Lightning,0.8904601288763592,5.794683850181233,8.329268292682928
2006,Toronto Maple Leafs,0.8972002815202091,5.819284134325357,8.536585365853659
2006,Atlanta Thrashers,0.8934332996972755,4.251745711402624,9.109756097560975
2006,Los Angeles Kings,0.8942543610547669,7.550446247464502,8.21951219512195
2006,Florida Panthers,0.9129114990969296,16.29578567128236,7.804878048780488
2006,Minnesota Wild,0.9159691345571919,10.28174298971152,7.463414634146342
2006,Phoenix Coyotes,0.8954435892242252,7.52843832286814,8.207317073170731
2006,New York Islanders,0.8967308155885898,8.228364805142627,7.475609756097561
2006,Boston Bruins,0.9037348088531187,6.075855130784708,7.439024390243903
2006,Columbus Blue Jackets,0.9024201088051582,7.803667136812413,7
2006,Washington Capitals,0.8982109280835678,9.30964242667738,7.280487804878049
2006,Chicago Blackhawks,0.886568805488297,4.710734463276836,6.902439024390244
2006,Pittsburgh Penguins,0.8891250757728835,5.796605374823197,8.24390243902439
2006,St Louis Blues,0.8905217303822938,3.9450905432595573,6.524390243902439
2007,Detroit Red Wings,0.9077376257545272,6.888571428571428,8.329268292682928
2007,Buffalo Sabres,0.9075687061183552,10.05336008024072,10.146341463414634
2007,Nashville Predators,0.9218758815232723,10.200463429377391,9.012195121951219
2007,Anaheim Ducks,0.9125302969502409,8.571869983948636,8.621951219512194
2007,Dallas Stars,0.9104874422342778,8.79395218002813,7.365853658536586
2007,San Jose Sharks,0.9113878048780488,7.424512195121951,8.71951219512195
2007,New Jersey Devils,0.9199878048780488,16.28170731707317,7.2073170731707314
2007,Pittsburgh Penguins,0.9066598082301239,10.252536955653216,8.963414634146341
2007,Vancouver Canucks,0.9195513078470825,15.583702213279677,7.426829268292683
2007,Ottawa Senators,0.9141236363636365,10.215757575757577,9.682926829268293
2007,Minnesota Wild,0.9225319361277445,7.922694610778444,7.451219512195122
2007,Atlanta Thrashers,0.9090350631136045,11.764516129032257,7.7560975609756095
2007,Calgary Flames,0.9146320678513732,14.707027463651048,8.548780487804878
2007,Colorado Avalanche,0.9000531635334548,7.262603598140286,9.012195121951219
2007,New York Rangers,0.9100455366098296,11.957331995987966,7.841463414634147
2007,Tampa Bay Lightning,0.8873230738282035,4.6125326895996785,8.109756097560975
2007,New York Islanders,0.9142487462387162,11.230892678034103,8.073170731707316
2007,Toronto Maple Leafs,0.8911005833836251,7.947193723596863,8.524390243902438
2007,Montreal Canadiens,0.9084808390480033,6.67793465106898,7.780487804878049
2007,Carolina Hurricanes,0.897,7.0270407129835935,8.170731707317072
2007,Florida Panthers,0.8991265822784811,6.811754068716095,8.073170731707316
2007,St Louis Blues,0.8989883252818036,5.123429951690821,7.036585365853658
2007,Boston Bruins,0.8999368336350835,9.09762623214645,6.963414634146342
2007,Columbus Blue Jackets,0.8979981799797776,5.918907987866532,6.5
2007,Edmonton Oilers,0.904366368805849,10.583915515840781,6.439024390243903
2007,Chicago Blackhawks,0.8989182973572726,7.095118014928384,6.329268292682927
2007,Washington Capitals,0.9026855244614456,8.863398429635595,7.487804878048781
2007,Los Angeles Kings,0.889051494345719,3.1835621970920838,7.670731707317073
2007,Phoenix Coyotes,0.8878268608414239,5.225788834951457,7.121951219512195
2007,Philadelphia Flyers,0.8922524822695036,5.3634447821681865,7.121951219512195
2008,Detroit Red Wings,0.9087869249394673,5.373688458434222,8.475609756097562
2008,San Jose Sharks,0.9087823813354787,10.316371681415928,7.219512195121951
2008,Montreal Canadiens,0.9189706591639872,8.349377009646302,8.512195121951219
2008,Pittsburgh Penguins,0.9174990936555891,6.400302114803626,8.134146341463415
2008,Anaheim Ducks,0.9220610441767069,9.071987951807229,6.573170731707317
2008,New Jersey Devils,0.9182085174768982,14.480233025311371,6.634146341463414
2008,Minnesota Wild,0.9162144578313254,9.891767068273092,7.439024390243903
2008,Dallas Stars,0.9079528530959126,7.765843787940105,7.890243902439025
2008,New York Rangers,0.9125497896213185,10.553015427769987,7.012195121951219
2008,Colorado Avalanche,0.9075899919289749,7.0682808716707015,7.682926829268292
2008,Philadelphia Flyers,0.9148438444489221,10.817690912754383,7.926829268292683
2008,Ottawa Senators,0.9038495754144763,7.755337646583098,8.524390243902438
2008,Washington Capitals,0.9021747024409926,4.924369578374017,7.7926829268292686
