year,team,WAR_mean,GAR_mean,WAR_median,GAR_median,WAR_max,GAR_max,WAR_sd,GAR_sd
2008,ANA,0.37142857142857144,1.9321428571428572,0.15000000000000002,0.7,3.5,18.4,1.0087972827441385,5.302553792237918
2008,ARI,0.5,2.55,0.35,1.75,2.7,14,0.9108047087006655,4.781304169911949
2008,ATL,0.35714285714285715,1.8357142857142856,0.30000000000000004,1.6,2.5,13.1,0.8941905387425655,4.6831624552230275
2008,BOS,0.5407407407407407,2.759259259259259,0.3,1.4,5.1,26.7,1.2521548378262721,6.5402457763309485
2008,BUF,0.8,4.176,0.4,2.2,5.3,27.4,1.397318861248212,7.266147534973398
2008,CAR,0.5566666666666666,2.8666666666666667,0.5,2.5,3.2,16.7,0.9775702932070508,5.097757000562268
2008,CBJ,0.5566666666666666,2.91,0.35,1.85,3.1,16,0.9708451111712194,5.018266633011841
2008,CGY,0.6782608695652174,3.5217391304347827,0,-0.1,5,26,1.5096527360287895,7.851980440496821
2008,CHI,0.41515151515151516,2.1666666666666665,0.3,1.7,3.3,17.3,0.9431069703780995,4.881704791019902
2008,COL,0.5241379310344828,2.7620689655172415,0.3,1.7,3.8,19.6,1.0868220949216352,5.658395393010754
2008,DAL,0.7,3.65,0,0.1,4,20.9,1.2412896519346321,6.488898211561035
2008,DET,0.9440000000000001,4.908,0.3,1.5,7,36.3,2.010406260767543,10.41809003608627
2008,EDM,0.4666666666666667,2.437037037037037,0.3,1.6,2.7,14.2,1.0615663318526436,5.551725175263309
2008,FLA,0.49230769230769234,2.55,0.25,1.35,2.1,10.7,0.9028501877601075,4.70661236984734
2008,LAK,0.2888888888888889,1.474074074074074,0.3,1.3,3.4,17.5,1.3351269986649594,6.943097989126302
2008,MIN,0.8,4.1923076923076925,0.35,1.85,4.2,21.9,1.188276062201036,6.192183658576226
2008,MTL,0.9391304347826087,4.839130434782609,0.6,3,3.6,18.8,1.2044384321163506,6.257776190137339
2008,NJD,0.45454545454545453,2.35,0.15000000000000002,0.9,2.7,14.1,1.041394336695838,5.428386588331836
2008,NSH,0.6541666666666667,3.341666666666667,0.7,3.5,2.4,12.4,0.8777338244973054,4.568218820109847
2008,NYI,0.20333333333333334,1.08,0.1,0.5,1.9,10.1,0.6975243579152326,3.6096040474420934
2008,NYR,0.5,2.5666666666666664,0.4,2.05,1.8,9.1,0.8054164464262652,4.147777473661587
2008,OTT,0.528,2.7119999999999997,0.1,0.8,3.1,16.2,1.0541663372858507,5.5044164086667715
2008,PHI,0.5892857142857143,3.0714285714285716,0.4,2.1,3.7,19.1,1.0891176468486994,5.601048654649059
2008,PIT,0.75,3.9357142857142855,0.45,2.4,4.6,24,1.3680210091520821,7.120040276920738
2008,SJS,0.75,3.8923076923076922,0.45,2.45,3.8,20,1.1385077953180647,5.9725989704263975
2008,STL,0.43333333333333335,2.225925925925926,0.2,0.8,2.4,12.6,0.8241545784807418,4.300589636906923
2008,TBL,0.6407407407407407,3.3777777777777778,0.6,3.2,2.7,14.2,0.9771462607075846,5.118919156749141
2008,TOR,0.33793103448275863,1.7586206896551724,0.2,1.3,1.8,9.2,0.7513862394189671,3.9121164569084326
2008,VAN,0.5428571428571428,2.7857142857142856,0.4,2.1,2.8,14.3,0.9901098223517734,5.1085052018007575
2008,WSH,0.774074074074074,3.996296296296296,0.3,1.4,5.4,28.2,1.6152143445739262,8.424437049508981
2009,ANA,0.33225806451612905,1.8451612903225805,0.1,0.8,3.4,18.7,1.0731222660300468,5.876441026657627
2009,ARI,0.3,1.6133333333333333,0.1,0.6,2.2,12.2,0.8237843708490544,4.519897262589916
2009,ATL,0.4461538461538462,2.480769230769231,0.3,1.45,2.7,14.9,1.0462239795496064,5.751175130755053
2009,BOS,0.8538461538461538,4.626923076923077,0.45,2.4000000000000004,4,21.7,1.2915822139471476,7.042133636466022
2009,BUF,0.6857142857142857,3.732142857142857,0.35,2,2.9,15.7,0.9493523272578213,5.153499607165814
2009,CAR,0.496551724137931,2.693103448275862,0.3,1.9,3.3,17.9,0.8554375482843725,4.662152402552982
2009,CBJ,0.575,3.1107142857142858,0.25,1.35,2.6,14.1,0.8626509529738356,4.680957427050842
2009,CGY,0.5384615384615384,2.9307692307692306,0.2,1.3,2.9,15.9,1.0976618506906117,5.983094131351719
2009,CHI,0.6115384615384616,3.3423076923076924,0.3,1.75,3.1,16.9,1.002128503966202,5.4770191218890645
2009,COL,0.41379310344827586,2.2620689655172415,0.3,1.5,2,11,0.7572148864334701,4.111518123611786
2009,DAL,0.4612903225806452,2.512903225806452,0.4,2.1,3.2,17.5,0.9167614809225056,4.98074572298057
2009,DET,1.1208333333333333,6.0625,1.05,5.7,5.2,28.4,1.4640560593527614,7.999065842198454
2009,EDM,0.4346153846153846,2.457692307692308,0.2,1.15,2.6,14.2,0.9260420326064288,5.037791029959307
2009,FLA,0.372,2.016,0,0,2.4,13.1,0.977462701760703,5.320219293725902
2009,LAK,0.5296296296296297,2.911111111111111,0.3,1.8,3.4,18.4,1.1155594715087738,6.020946343540596
2009,MIN,0.7576923076923077,4.1461538461538465,0.44999999999999996,2.5,2.9,15.6,0.9851591046823156,5.34836279765917
2009,MTL,0.5642857142857143,3.117857142857143,0.35,1.7999999999999998,3.3,18.1,1.0147848835040656,5.5181890193169405
2009,NJD,0.6583333333333333,3.604166666666667,0.2,1.1,2.9,15.9,1.420935597067824,7.72480359489548
2009,NSH,0.45384615384615384,2.457692307692308,0.3,1.5,2.9,15.9,0.8873469532176327,4.814326376715486
