year,team,blocks_at_ES,hits_at_ES,faceoff_win_percentage,give_aways,take_aways,win_percent_lead_1P,win_percent_lead_2P,win_percent_trail_1P,win_percent_trail_2P,ot_losses_lead_1P,ot_losses_lead_2P
2006,Montreal Canadiens,13.68,19.86,48.3,0.12012195121951219,0.14487804878048782,0.731,0.774,0.259,0.188,0.036585365853658534,0.024390243902439025
2006,Atlanta Thrashers,13.51,16.91,49.4,0.1324390243902439,0.11621951219512194,0.741,0.88,0.286,0.222,0.036585365853658534,0
2006,Dallas Stars,12.45,20.62,51.6,0.1431707317073171,0.10073170731707316,0.857,0.816,0.433,0.387,0.024390243902439025,0.024390243902439025
2006,Phoenix Coyotes,12.57,17.15,49.2,0.09524390243902439,0.07243902439024391,0.708,0.8,0.194,0.175,0.012195121951219513,0.036585365853658534
2006,Chicago Blackhawks,10.72,16.22,49.9,0.06780487804878048,0.06524390243902439,0.619,0.81,0.125,0.026,0.036585365853658534,0.04878048780487805
2006,New Jersey Devils,11.85,13.98,50.3,0.1396341463414634,0.09548780487804878,0.844,0.886,0.261,0.212,0.036585365853658534,0.04878048780487805
2006,Ottawa Senators,13.28,21.29,50.8,0.12146341463414635,0.09365853658536585,0.865,0.956,0.292,0.179,0.036585365853658534,0.024390243902439025
2006,Vancouver Canucks,11.63,16.37,48.1,0.08975609756097562,0.07719512195121951,0.909,0.818,0.364,0.115,0.012195121951219513,0.024390243902439025
2006,Calgary Flames,11.6,19.84,53.4,0.12353658536585367,0.09353658536585366,0.629,0.868,0.444,0.174,0.04878048780487805,0.024390243902439025
2006,Detroit Red Wings,11.37,13.86,48.1,0.13085365853658537,0.10158536585365854,0.794,0.95,0.556,0.2,0.036585365853658534,0.024390243902439025
2006,Washington Capitals,13.19,18.47,50.4,0.12963414634146342,0.09829268292682927,0.381,0.818,0.125,0.114,0.06097560975609756,0.036585365853658534
2006,Boston Bruins,12.78,14.05,50.7,0.07402439024390245,0.07353658536585367,0.556,0.697,0.273,0.08,0.0975609756097561,0.06097560975609756
2006,Toronto Maple Leafs,13.94,21.67,53.8,0.12585365853658537,0.07146341463414635,0.655,0.867,0.174,0.03,0.024390243902439025,0.036585365853658534
2006,Colorado Avalanche,15.1,11.43,52.9,0.09621951219512195,0.13390243902439025,0.636,0.909,0.227,0.074,0.07317073170731707,0.024390243902439025
2006,Florida Panthers,10.27,13.55,48.9,0.10085365853658536,0.07134146341463414,0.765,0.824,0.323,0.08,0.036585365853658534,0.04878048780487805
2006,Mighty Ducks of Anaheim,7.96,14.99,50.4,0.08536585365853659,0.08097560975609756,0.688,0.838,0.32,0.13,0.04878048780487805,0.04878048780487805
2006,Buffalo Sabres,14.57,12.91,50.1,0.12609756097560976,0.06597560975609756,0.875,0.892,0.32,0.281,0.024390243902439025,0.036585365853658534
2006,San Jose Sharks,10.78,16.95,50.7,0.11817073170731707,0.07524390243902439,0.833,0.906,0.292,0.2,0,0.012195121951219513
2006,Columbus Blue Jackets,12.29,13.77,51.7,0.07304878048780489,0.08097560975609756,0.6,0.882,0.31,0.196,0.012195121951219513,0
2006,Philadelphia Flyers,12.95,15.54,50.1,0.10792682926829268,0.0748780487804878,0.767,0.769,0.345,0.167,0.012195121951219513,0.06097560975609756
2006,Carolina Hurricanes,15.12,13.72,48.4,0.07329268292682926,0.07585365853658536,0.875,0.939,0.357,0.226,0.024390243902439025,0.024390243902439025
2006,St Louis Blues,14.71,14.09,50.3,0.13756097560975608,0.061585365853658536,0.524,0.5,0.091,0,0.012195121951219513,0.06097560975609756
2006,New York Rangers,14.64,14.37,49.3,0.12036585365853658,0.09817073170731708,0.829,0.853,0.238,0.192,0.04878048780487805,0.036585365853658534
