year,team,average_age,regular_season_winpercentage,otl,points,points_percentage_ofmax,goals_for,goals_against,goal_diff,srs,sos,penalty_mins_pg,powerplay_goals,powerplay_oppurtunities,powerplay_percentage,penaltykill_percentage,sog,shot_percentage
2012,Tampa Bay Lightning,29.5,0.4634146341463415,0.0975609756097561,1.024390243902439,0.512,2.8292682926829267,3.3902439024390243,-0.5609756097560976,-0.57,-0.01,10.5,0.5,3.2804878048780486,15.24,79.23,27.158536585365855,10.4
2012,Carolina Hurricanes,26.5,0.4024390243902439,0.1951219512195122,1,0.5,2.5853658536585367,2.8902439024390243,-0.30487804878048763,-0.39,-0.02,9.3,0.5975609756097561,3.5853658536585367,16.67,80.56,30.451219512195124,8.5
2012,Minnesota Wild,27.4,0.4268292682926829,0.13414634146341464,0.9878048780487805,0.494,2.024390243902439,2.6463414634146343,-0.6219512195121952,-0.58,0.02,12.1,0.47560975609756095,3.1463414634146343,15.12,82.11,26.51219512195122,7.6
2012,Anaheim Ducks,28.5,0.4146341463414634,0.14634146341463414,0.975609756097561,0.488,2.451219512195122,2.731707317073171,-0.28048780487804903,-0.29,0.04,12,0.5487804878048781,3.3048780487804876,16.61,81.98,27.9390243902439,8.8
2012,Toronto Maple Leafs,25.9,0.4268292682926829,0.12195121951219512,0.975609756097561,0.488,2.768292682926829,3.158536585365854,-0.39024390243902474,-0.38,0.02,10,0.5975609756097561,3.2560975609756095,18.35,77.27,28.317073170731707,9.8
2012,New York Islanders,27.8,0.4146341463414634,0.13414634146341464,0.9634146341463414,0.482,2.3902439024390243,3.0609756097560976,-0.6707317073170733,-0.58,0.05,9.3,0.5487804878048781,2.9634146341463414,18.52,80.51,29.390243902439025,8.1
2012,Montreal Canadiens,26.8,0.3780487804878049,0.1951219512195122,0.9512195121951219,0.476,2.524390243902439,2.6097560975609757,-0.08536585365853666,-0.17,0,11.6,0.524390243902439,3.6707317073170733,14.29,88.57,28.536585365853657,8.8
2012,Edmonton Oilers,27.4,0.3902439024390244,0.12195121951219512,0.9024390243902439,0.451,2.524390243902439,2.8292682926829267,-0.30487804878048763,-0.32,0.01,11.5,0.6585365853658537,3.1951219512195124,20.61,82.43,26.658536585365855,9.5
2012,Columbus Blue Jackets,26.7,0.35365853658536583,0.08536585365853659,0.7926829268292683,0.396,2.4146341463414633,3.1341463414634148,-0.7195121951219514,-0.65,0.08,12.6,0.5975609756097561,3.8658536585365852,15.46,76.64,29.926829268292682,8.1
2013,Chicago Blackhawks,26.8,0.75,0.10416666666666667,1.6041666666666667,0.802,3.1041666666666665,2.0208333333333335,1.083333333333333,1.04,-0.07,9.2,0.5208333333333334,3.125,16.67,87.23,31.125,10
2013,Pittsburgh Penguins,29,0.75,0,1.5,0.75,3.375,2.4791666666666665,0.8958333333333335,0.91,-0.05,11.7,0.875,3.5416666666666665,24.71,79.64,29.958333333333332,11.3
2013,Anaheim Ducks,28.8,0.625,0.125,1.375,0.688,2.7916666666666665,2.3958333333333335,0.39583333333333304,0.43,-0.02,11.1,0.6041666666666666,2.8125,21.48,81.48,28.0625,9.9
2013,Montreal Canadiens,27.8,0.6041666666666666,0.10416666666666667,1.3125,0.656,3.0416666666666665,2.5833333333333335,0.45833333333333304,0.46,-0.02,13.3,0.875,4.229166666666667,20.69,79.77,30.583333333333332,9.9
2013,Boston Bruins,27.8,0.5833333333333334,0.125,1.2916666666666667,0.646,2.6458333333333335,2.2083333333333335,0.4375,0.44,-0.02,12.2,0.375,2.5416666666666665,14.75,87.12,32.4375,8.2
2013,St Louis Blues,26.3,0.6041666666666666,0.041666666666666664,1.25,0.625,2.5833333333333335,2.375,0.20833333333333348,0.31,0.02,11.1,0.6041666666666666,3.1041666666666665,19.46,84.67,27.833333333333332,9.3
2013,Vancouver Canucks,28.2,0.5416666666666666,0.14583333333333334,1.2291666666666667,0.615,2.5416666666666665,2.3958333333333335,0.14583333333333304,0.07,-0.06,12.7,0.5416666666666666,3.4375,15.76,84.02,28.125,9
2013,Los Angeles Kings,26.5,0.5625,0.10416666666666667,1.2291666666666667,0.615,2.7291666666666665,2.375,0.3541666666666665,0.29,-0.02,10,0.6875,3.4583333333333335,19.88,83.23,29.8125,9.2
2013,Washington Capitals,26.6,0.5625,0.0625,1.1875,0.594,3.0416666666666665,2.7083333333333335,0.33333333333333304,0.31,-0.09,10.8,0.9166666666666666,3.4166666666666665,26.83,77.91,28.125,10.8
2013,Toronto Maple Leafs,26,0.5416666666666666,0.10416666666666667,1.1875,0.594,3.0208333333333335,2.6666666666666665,0.35416666666666696,0.27,0.02,16.1,0.6458333333333334,3.4583333333333335,18.67,87.9,26.333333333333332,11.5
2013,San Jose Sharks,28.9,0.5208333333333334,0.14583333333333334,1.1875,0.594,2.4166666666666665,2.3333333333333335,0.08333333333333304,0.17,0.01,10.9,0.7083333333333334,3.5208333333333335,20.12,85.03,31.791666666666668,7.6
2013,Ottawa Senators,27.4,0.5208333333333334,0.125,1.1666666666666667,0.583,2.3333333333333335,2.0833333333333335,0.25,0.27,0.02,13.6,0.5208333333333334,3.2708333333333335,15.92,88.02,33.145833333333336,7
2013,New York Rangers,27.2,0.5416666666666666,0.08333333333333333,1.1666666666666667,0.583,2.625,2.25,0.375,0.38,0,9.3,0.5,3.1875,15.69,81.08,30.895833333333332,8.5
2013,Detroit Red Wings,28.2,0.5,0.16666666666666666,1.1666666666666667,0.583,2.5416666666666665,2.2916666666666665,0.25,0.2,0.01,9.8,0.7083333333333334,3.8541666666666665,18.38,81.71,30.145833333333332,8.4
2013,Minnesota Wild,27.8,0.5416666666666666,0.0625,1.1458333333333333,0.573,2.4583333333333335,2.6041666666666665,-0.14583333333333304,-0.16,-0.05,11.4,0.5625,3.1458333333333335,17.88,80.74,28.791666666666668,8.5
2013,Columbus Blue Jackets,26.3,0.5,0.14583333333333334,1.1458333333333333,0.573,2.3958333333333335,2.3958333333333335,0,0.03,0.01,12.6,0.4583333333333333,3.2291666666666665,14.19,82.64,26.729166666666668,9
2013,New York Islanders,28.7,0.5,0.14583333333333334,1.1458333333333333,0.573,2.8125,2.8333333333333335,-0.02083333333333348,0.03,0.03,9.6,0.6458333333333334,3.25,19.87,80.28,30.9375,9.1
2013,Phoenix Coyotes,28.4,0.4375,0.1875,1.0625,0.531,2.5208333333333335,2.6041666666666665,-0.08333333333333304,-0.1,0.03,10.5,0.5208333333333334,3.5208333333333335,14.79,79.88,30.875,8.2
2013,Winnipeg Jets,26.4,0.5,0.0625,1.0625,0.531,2.625,2.9375,-0.3125,-0.36,-0.03,11.1,0.4166666666666667,3.0208333333333335,13.79,79.71,28.9375,9.1
2013,Philadelphia Flyers,27.9,0.4791666666666667,0.0625,1.0208333333333333,0.51,2.75,2.8958333333333335,-0.14583333333333348,-0.14,0.03,15.7,0.7708333333333334,3.5625,21.64,85.87,29.041666666666668,9.5
2013,Dallas Stars,28.2,0.4583333333333333,0.08333333333333333,1,0.5,2.6666666666666665,2.9375,-0.2708333333333335,-0.21,0.05,13,0.6041666666666666,3.5625,16.96,81.01,26.270833333333332,10.2
2013,Buffalo Sabres,27.3,0.4375,0.125,1,0.5,2.4583333333333335,2.8958333333333335,-0.4375,-0.31,0.07,13.1,0.4791666666666667,3.3958333333333335,14.11,79.21,27.895833333333332,8.8
2013,New Jersey Devils,30.8,0.3958333333333333,0.20833333333333334,1,0.5,2.2916666666666665,2.5416666666666665,-0.25,-0.31,0.04,10.6,0.5833333333333334,3.6666666666666665,15.91,81.07,28.375,8.1
2013,Edmonton Oilers,26.4,0.3958333333333333,0.14583333333333334,0.9375,0.469,2.5625,2.7291666666666665,-0.16666666666666652,-0.22,-0.03,10.8,0.7083333333333334,3.5208333333333335,20.12,83.43,26.770833333333332,9.6
2013,Carolina Hurricanes,26.9,0.3958333333333333,0.08333333333333333,0.875,0.438,2.6458333333333335,3.3125,-0.6666666666666665,-0.65,0.02,11.2,0.5,3.4375,14.55,77.64,32.1875,8.2
2013,Calgary Flames,29,0.3958333333333333,0.08333333333333333,0.875,0.438,2.6666666666666665,3.2708333333333335,-0.604166666666667,-0.65,0.02,10.8,0.6458333333333334,3.2291666666666665,20,81.46,26.9375,9.9
2013,Nashville Predators,27.3,0.3333333333333333,0.1875,0.8541666666666666,0.427,2.2708333333333335,2.7708333333333335,-0.5,-0.5,0.09,9.8,0.5,2.9166666666666665,17.14,75.54,25.916666666666668,8.8
2013,Tampa Bay Lightning,27.7,0.375,0.08333333333333333,0.8333333333333334,0.417,3.0625,3.0625,0,-0.11,-0.07,12,0.6458333333333334,3.3958333333333335,19.02,80.65,27.5625,11.1
2013,Colorado Avalanche,26.7,0.3333333333333333,0.14583333333333334,0.8125,0.406,2.375,3.125,-0.75,-0.73,0.02,12.5,0.4375,2.9166666666666665,15,80.33,29.479166666666668,8.1
2013,Florida Panthers,27.8,0.3125,0.125,0.75,0.375,2.2708333333333335,3.5416666666666665,-1.270833333333333,-1.18,0.05,11.3,0.6041666666666666,2.9583333333333335,20.42,74.17,29.166666666666668,7.8
2014,Boston Bruins,27.6,0.6585365853658537,0.10975609756097561,1.4268292682926829,0.713,3.1463414634146343,2.0853658536585367,1.0609756097560976,0.92,-0.11,10.8,0.6097560975609756,2.8048780487804876,21.74,83.65,31.853658536585368,9.9
2014,Anaheim Ducks,27.7,0.6585365853658537,0.0975609756097561,1.4146341463414633,0.707,3.207317073170732,2.475609756097561,0.7317073170731709,0.68,-0.01,10.9,0.5365853658536586,3.3536585365853657,16,82.22,31.329268292682926,10.2
2014,Colorado Avalanche,26.9,0.6341463414634146,0.0975609756097561,1.3658536585365855,0.683,2.9878048780487805,2.6341463414634148,0.3536585365853657,0.4,0.04,10.9,0.6097560975609756,3.073170731707317,19.84,80.72,29.51219512195122,10.1
2014,St Louis Blues,27.4,0.6341463414634146,0.08536585365853659,1.353658536585366,0.677,2.9146341463414633,2.292682926829268,0.6219512195121952,0.71,0.01,14.2,0.6829268292682927,3.451219512195122,19.79,85.67,29.29268292682927,10
