Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDSV.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2008,finals,New York Rangers,53.05,47.88,41.55,37.83,29,27.41,86.46,12.3,12.44,92.5,1.016,2.5,2.58
2008,finals,New Jersey Devils,48.97,50.94,39.76,42.57,25.55,27.58,91.52,12.49,11.17,90.77,0.966,2.63,2.59
2008,finals,Nashville Predators,40.76,66.71,31.18,54.97,17.41,31.3,89.51,6.36,12.43,93.83,1.013,1.51,2.76
2008,finals,Detroit Red Wings,61.15,39.35,48.79,30.43,26.94,17.61,87.14,9.92,7.41,92.86,1.004,2.28,1.63
2008,finals,Calgary Flames,50.11,49.66,35.65,39.88,21.03,21.55,88.4,8.67,7.83,92.96,1.006,1.96,1.95
2008,finals,San Jose Sharks,51.19,47.99,38.96,33.99,22.06,20.27,84.72,8.97,7.15,92.98,0.986,1.98,1.78
2008,finals,Colorado Avalanche,42.93,55.04,34.94,40.73,22.86,22.27,80.71,9.87,8.31,91.83,0.981,1.83,1.88
2008,finals,Minnesota Wild,50.52,47.57,36.41,38.36,18.76,25.15,87.9,6.06,10.27,93.46,0.984,1.6,1.84
2008,finals,Dallas Stars,45.23,48.81,33.8,37.13,20.24,21.45,84.54,7.21,7.94,94.3,1.017,1.7,1.83
2008,finals,Anaheim Ducks,37.55,48.86,29.6,39.18,19.69,24.73,77,7.06,9.15,91.63,0.993,1.66,1.87
2009,quarter-finals,Montreal Canadiens,55.18,58.89,41.28,42.67,21.06,27.09,67.32,10.92,8.67,88.55,0.955,1.96,2.09
2009,quarter-finals,Boston Bruins,58.89,55.18,42.67,41.28,27.09,21.06,96.16,8.67,10.92,93.1,1.045,2.09,1.96
2009,quarter-finals,New York Rangers,47.86,61.45,36.18,45.23,27.97,33.82,89.88,11.36,15.64,92.01,0.985,2.17,2.85
2009,quarter-finals,Washington Capitals,61.45,47.86,45.23,36.18,33.82,27.97,84.9,15.64,11.36,93.55,1.015,2.85,2.17
2009,quarter-finals,Carolina Hurricanes,58.56,55.78,44.78,42.82,28.13,25.7,82.96,10.66,9.86,93.24,1.014,2.37,2.44
2009,quarter-finals,New Jersey Devils,55.78,58.56,42.82,44.78,25.7,28.13,81.58,9.86,10.66,91.83,0.986,2.44,2.37
2009,quarter-finals,Philadelphia Flyers,55.65,55.78,39.4,41.98,23.85,21.85,83.56,9.26,10.09,92.37,1,2.15,2.14
2009,quarter-finals,Pittsburgh Penguins,55.78,55.65,41.98,39.4,21.85,23.85,81.78,10.09,9.26,92.37,1,2.14,2.15
2009,quarter-finals,Anaheim Ducks,53.02,60.16,39.79,45.72,26.67,29.91,93.61,11.81,15.02,96.89,1.073,2.39,3.15
2009,quarter-finals,San Jose Sharks,60.16,53.02,45.72,39.79,29.91,26.67,90.03,15.02,11.81,89.61,0.927,3.15,2.39
2009,quarter-finals,Columbus Blue Jackets,47.47,60.22,36.24,45.48,18.09,19.2,67.01,10.86,7.44,90.51,0.956,1.85,1.81
2009,quarter-finals,Detroit Red Wings,60.22,47.47,45.48,36.24,19.2,18.09,93.14,7.44,10.86,94.87,1.044,1.81,1.85
2009,quarter-finals,St Louis Blues,48.24,51.69,37.53,40.46,21.53,27.64,84.82,9.5,11.13,94.34,0.985,1.97,2.38
2009,quarter-finals,Vancouver Canucks,51.69,48.24,40.46,37.53,27.64,21.53,88.85,11.13,9.5,95.8,1.015,2.38,1.97
2009,quarter-finals,Calgary Flames,48.71,47.58,36.44,40.06,22.19,19.31,73.9,9.04,9,90.74,0.989,1.99,2.11
2009,quarter-finals,Chicago Blackhawks,47.58,48.71,40.06,36.44,19.31,22.19,75.99,9,9.04,91.84,1.011,2.11,1.99
2009,semi-finals,Montreal Canadiens,55.18,58.89,41.28,42.67,21.06,27.09,67.32,10.92,8.67,88.55,0.955,1.96,2.09
2009,semi-finals,Boston Bruins,53.35,51.89,39.67,39.65,24.16,19.38,89.22,8,9.24,93.71,1.04,2.04,1.92
2009,semi-finals,New York Rangers,47.86,61.45,36.18,45.23,27.97,33.82,89.88,11.36,15.64,92.01,0.985,2.17,2.85
2009,semi-finals,Washington Capitals,57.57,54.76,40.2,41.95,26.59,30.99,81.81,11.49,11.04,92.07,1.011,2.32,2.36
2009,semi-finals,Carolina Hurricanes,54.16,52.98,41.64,40.34,23.09,24.08,82.88,9.46,8.7,91.92,0.99,2.12,2.22
2009,semi-finals,New Jersey Devils,55.78,58.56,42.82,44.78,25.7,28.13,81.58,9.86,10.66,91.83,0.986,2.44,2.37
2009,semi-finals,Philadelphia Flyers,55.65,55.78,39.4,41.98,23.85,21.85,83.56,9.26,10.09,92.37,1,2.15,2.14
2009,semi-finals,Pittsburgh Penguins,58.5,54.86,44.71,37.45,28.37,21.93,80.89,10.46,8.53,91.02,0.993,2.35,1.99
2009,semi-finals,Anaheim Ducks,48.33,62.62,37.25,49.1,21.11,26.78,90.25,9.14,11.39,95.24,1.032,1.99,2.7
2009,semi-finals,San Jose Sharks,60.16,53.02,45.72,39.79,29.91,26.67,90.03,15.02,11.81,89.61,0.927,3.15,2.39
2009,semi-finals,Columbus Blue Jackets,47.47,60.22,36.24,45.48,18.09,19.2,67.01,10.86,7.44,90.51,0.956,1.85,1.81
2009,semi-finals,Detroit Red Wings,63.07,45.63,49.62,35.61,22.62,17.24,90.35,8.2,8.36,94.23,1.014,2.17,1.73
2009,semi-finals,St Louis Blues,48.24,51.69,37.53,40.46,21.53,27.64,84.82,9.5,11.13,94.34,0.985,1.97,2.38
2009,semi-finals,Vancouver Canucks,44.88,48.97,33.27,37.43,22.11,22.94,80.57,9.75,9.76,92.86,1.009,2.01,2.16
2009,semi-finals,Calgary Flames,48.71,47.58,36.44,40.06,22.19,19.31,73.9,9.04,9,90.74,0.989,1.99,2.11
2009,semi-finals,Chicago Blackhawks,48.49,44.61,38.75,32.54,21.54,20.33,79.7,9.45,8.93,91.01,1.002,2.19,1.88
2009,finals,Montreal Canadiens,55.18,58.89,41.28,42.67,21.06,27.09,67.32,10.92,8.67,88.55,0.955,1.96,2.09
2009,finals,Boston Bruins,53.35,51.89,39.67,39.65,24.16,19.38,89.22,8,9.24,93.71,1.04,2.04,1.92
2009,finals,New York Rangers,47.86,61.45,36.18,45.23,27.97,33.82,89.88,11.36,15.64,92.01,0.985,2.17,2.85
2009,finals,Washington Capitals,57.57,54.76,40.2,41.95,26.59,30.99,81.81,11.49,11.04,92.07,1.011,2.32,2.36
2009,finals,Carolina Hurricanes,54.84,54.51,41.28,41.53,23.67,26.19,80.12,9.97,9.79,90.64,0.982,2.2,2.37
2009,finals,New Jersey Devils,55.78,58.56,42.82,44.78,25.7,28.13,81.58,9.86,10.66,91.83,0.986,2.44,2.37
2009,finals,Philadelphia Flyers,55.65,55.78,39.4,41.98,23.85,21.85,83.56,9.26,10.09,92.37,1,2.15,2.14
2009,finals,Pittsburgh Penguins,58.86,55.43,44.97,38.02,29.62,22.81,81.22,11.21,9.29,90.89,1.004,2.48,2.1
2009,finals,Anaheim Ducks,48.33,62.62,37.25,49.1,21.11,26.78,90.25,9.14,11.39,95.24,1.032,1.99,2.7
2009,finals,San Jose Sharks,60.16,53.02,45.72,39.79,29.91,26.67,90.03,15.02,11.81,89.61,0.927,3.15,2.39
2009,finals,Columbus Blue Jackets,47.47,60.22,36.24,45.48,18.09,19.2,67.01,10.86,7.44,90.51,0.956,1.85,1.81
2009,finals,Detroit Red Wings,61.54,46.1,47.76,36.42,21.55,15.64,90.33,7.22,7.49,94.54,1.021,1.93,1.63
2009,finals,St Louis Blues,48.24,51.69,37.53,40.46,21.53,27.64,84.82,9.5,11.13,94.34,0.985,1.97,2.38
2009,finals,Vancouver Canucks,44.88,48.97,33.27,37.43,22.11,22.94,80.57,9.75,9.76,92.86,1.009,2.01,2.16
2009,finals,Calgary Flames,48.71,47.58,36.44,40.06,22.19,19.31,73.9,9.04,9,90.74,0.989,1.99,2.11
2009,finals,Chicago Blackhawks,48.09,48.69,38.6,35.88,18.65,19.96,78.96,8.26,7.74,91.16,0.99,1.96,1.73
2010,quarter-finals,Montreal Canadiens,55.51,76.04,38.68,51.34,25.93,35.03,85.55,9.64,13.88,91.89,1.01,1.87,2.96
2010,quarter-finals,Washington Capitals,76.04,55.51,51.34,38.68,35.03,25.93,85.91,13.88,9.64,90.92,0.99,2.96,1.87
2010,quarter-finals,Philadelphia Flyers,44.31,54.22,32.33,39.24,20.62,25.02,95.14,9.31,8.87,96.49,1.041,1.82,1.99
2010,quarter-finals,New Jersey Devils,54.22,44.31,39.24,32.33,25.02,20.62,85.38,8.87,9.31,92.37,0.959,1.99,1.82
2010,quarter-finals,Boston Bruins,60.42,54.28,44.16,40.5,26.24,24.45,87.1,9.59,10.92,92.06,0.973,2.06,2.2
2010,quarter-finals,Buffalo Sabres,54.28,60.42,40.5,44.16,24.45,26.24,85.88,10.92,9.59,94.74,1.027,2.2,2.06
2010,quarter-finals,Ottawa Senators,48.85,60.83,36.66,42.75,19.05,25.97,76.42,8.48,8.67,90.24,0.991,1.83,2.12
2010,quarter-finals,Pittsburgh Penguins,60.83,48.85,42.75,36.66,25.97,19.05,77.02,8.67,8.48,91.13,1.009,2.12,1.83
2010,quarter-finals,Colorado Avalanche,40.57,69.59,31.18,49.82,17.92,29.96,81.33,6.82,9.6,93.75,1.024,1.43,2.31
2010,quarter-finals,San Jose Sharks,69.59,40.57,49.82,31.18,29.96,17.92,81.43,9.6,6.82,91.33,0.976,2.31,1.43
2010,quarter-finals,Nashville Predators,49.46,57.26,35.8,42.52,23.01,28.84,84.64,7.57,8.58,91.81,1.008,1.86,2.24
2010,quarter-finals,Chicago Blackhawks,57.26,49.46,42.52,35.8,28.84,23.01,85.12,8.58,7.57,91.03,0.992,2.24,1.86
2010,quarter-finals,Los Angeles Kings,49.16,61.2,36.56,45.76,22.7,27.43,82.49,9.97,9.97,88.71,0.945,1.74,2.06
2010,quarter-finals,Vancouver Canucks,61.2,49.16,45.76,36.56,27.43,22.7,88.85,9.97,9.97,94.19,1.055,2.06,1.74
2010,quarter-finals,Detroit Red Wings,59.04,51.79,46.24,41.76,23.98,22.22,74.14,10.5,9.11,93.31,1.022,2.19,2.07
2010,quarter-finals,Phoenix Coyotes,51.79,59.04,41.76,46.24,22.22,23.98,70.44,9.11,10.5,91.06,0.978,2.07,2.19
2010,semi-finals,Montreal Canadiens,50.7,69.61,35.51,48.41,21.38,30.19,85.83,6.96,11.87,93.77,1.033,1.65,2.61
2010,semi-finals,Washington Capitals,76.04,55.51,51.34,38.68,35.03,25.93,85.91,13.88,9.64,90.92,0.99,2.96,1.87
2010,semi-finals,Philadelphia Flyers,49.88,54.68,35.02,38.89,24.27,24.34,85.15,11.33,9.08,93.96,1.03,2.13,2.01
2010,semi-finals,New Jersey Devils,54.22,44.31,39.24,32.33,25.02,20.62,85.38,8.87,9.31,92.37,0.959,1.99,1.82
2010,semi-finals,Boston Bruins,57.51,53.62,41.26,38.4,25.02,25.45,82.93,9.38,11.74,91.16,0.975,2.04,2.25
2010,semi-finals,Buffalo Sabres,54.28,60.42,40.5,44.16,24.45,26.24,85.88,10.92,9.59,94.74,1.027,2.2,2.06
2010,semi-finals,Ottawa Senators,48.85,60.83,36.66,42.75,19.05,25.97,76.42,8.48,8.67,90.24,0.991,1.83,2.12
2010,semi-finals,Pittsburgh Penguins,62.14,47.43,44.19,34.53,25.74,18.01,72.92,9.31,6.4,90.59,0.974,2.2,1.63
2010,semi-finals,Colorado Avalanche,40.57,69.59,31.18,49.82,17.92,29.96,81.33,6.82,9.6,93.75,1.024,1.43,2.31
2010,semi-finals,San Jose Sharks,63.62,50.68,46.29,38.17,29.24,23.09,82.36,10.1,8.05,89.85,0.969,2.28,1.87
2010,semi-finals,Nashville Predators,49.46,57.26,35.8,42.52,23.01,28.84,84.64,7.57,8.58,91.81,1.008,1.86,2.24
2010,semi-finals,Chicago Blackhawks,55.03,52.64,42.69,38.04,28.43,24.76,80.38,10.15,8.74,90.78,0.991,2.35,2.06
2010,semi-finals,Los Angeles Kings,49.16,61.2,36.56,45.76,22.7,27.43,82.49,9.97,9.97,88.71,0.945,1.74,2.06
2010,semi-finals,Vancouver Canucks,58.65,50.89,43.15,39.58,27.01,25.25,83.09,9.95,10.82,92.69,1.031,2.16,2.09
2010,semi-finals,Detroit Red Wings,61.38,53.22,46.92,41.61,26.56,24.68,77.18,10.2,9.8,92.62,1.026,2.31,2.14
2010,semi-finals,Phoenix Coyotes,51.79,59.04,41.76,46.24,22.22,23.98,70.44,9.11,10.5,91.06,0.978,2.07,2.19
2010,finals,Montreal Canadiens,52.16,65.76,36.28,44.94,22.07,29.39,84.48,7.55,11.99,92.79,1.014,1.77,2.49
2010,finals,Washington Capitals,76.04,55.51,51.34,38.68,35.03,25.93,85.91,13.88,9.64,90.92,0.99,2.96,1.87
2010,finals,Philadelphia Flyers,51.09,55.21,34.86,38.81,25.04,24.28,84.1,11.62,9.15,93.97,1.037,2.12,2.05
2010,finals,New Jersey Devils,54.22,44.31,39.24,32.33,25.02,20.62,85.38,8.87,9.31,92.37,0.959,1.99,1.82
2010,finals,Boston Bruins,57.51,53.62,41.26,38.4,25.02,25.45,82.93,9.38,11.74,91.16,0.975,2.04,2.25
2010,finals,Buffalo Sabres,54.28,60.42,40.5,44.16,24.45,26.24,85.88,10.92,9.59,94.74,1.027,2.2,2.06
2010,finals,Ottawa Senators,48.85,60.83,36.66,42.75,19.05,25.97,76.42,8.48,8.67,90.24,0.991,1.83,2.12
2010,finals,Pittsburgh Penguins,62.14,47.43,44.19,34.53,25.74,18.01,72.92,9.31,6.4,90.59,0.974,2.2,1.63
2010,finals,Colorado Avalanche,40.57,69.59,31.18,49.82,17.92,29.96,81.33,6.82,9.6,93.75,1.024,1.43,2.31
2010,finals,San Jose Sharks,61.34,53.83,43.86,39.48,27.77,23.47,83.63,9.6,7.49,90.97,0.967,2.18,1.88
2010,finals,Nashville Predators,49.46,57.26,35.8,42.52,23.01,28.84,84.64,7.57,8.58,91.81,1.008,1.86,2.24
2010,finals,Chicago Blackhawks,56.8,53.56,42.67,38.05,27.29,24.63,84.6,9.03,8.65,92.86,1.008,2.22,2.03
2010,finals,Los Angeles Kings,49.16,61.2,36.56,45.76,22.7,27.43,82.49,9.97,9.97,88.71,0.945,1.74,2.06
2010,finals,Vancouver Canucks,58.65,50.89,43.15,39.58,27.01,25.25,83.09,9.95,10.82,92.69,1.031,2.16,2.09
2010,finals,Detroit Red Wings,61.38,53.22,46.92,41.61,26.56,24.68,77.18,10.2,9.8,92.62,1.026,2.31,2.14
2010,finals,Phoenix Coyotes,51.79,59.04,41.76,46.24,22.22,23.98,70.44,9.11,10.5,91.06,0.978,2.07,2.19
2011,quarter-finals,New York Rangers,50.4,59.16,32.5,41.91,24.68,28.41,84.82,7.05,12.51,92.41,0.967,1.76,2.65
2011,quarter-finals,Washington Capitals,59.16,50.4,41.91,32.5,28.41,24.68,88.42,12.51,7.05,95.68,1.033,2.65,1.76
2011,quarter-finals,Buffalo Sabres,54.03,63.36,40.01,46.98,21.04,28.49,83.83,10.45,14.43,90.57,0.973,2.09,2.77
2011,quarter-finals,Philadelphia Flyers,63.36,54.03,46.98,40.01,28.49,21.04,85.18,14.43,10.45,93.31,1.027,2.77,2.09
