"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"PAUL.GAUSTAD","F","20152016","NSH",63,571.73,-1.12,0.12,-1.24,-0.76,-0.07,-0.69,-8.02,2.04,-10.06,-10.56,3.26,-13.82,-14.04,6.59,-20.63
"PAUL.MARTIN","D","20152016","S.J",78,1388.88,0.01,-0.09,0.1,0.03,0.01,0.03,0.69,0.74,-0.06,1.07,0.83,0.24,0.75,0.56,0.19
"PAUL.POSTMA","D","20152016","WPG",26,282.93,-0.13,0.41,-0.54,0.03,-0.02,0.05,3.7,-1.33,5.03,2.69,-1.18,3.87,5.71,-1.72,7.43
"PAUL.STASTNY","F","20152016","STL",64,954.02,0.59,0.31,0.28,0.36,0.16,0.2,3.68,2.24,1.44,5.56,1.58,3.98,6.62,1.65,4.97
"PAVEL.DATSYUK","F","20152016","DET",66,1065.27,0.12,-0.44,0.56,0.33,-0.43,0.76,3.46,-5.17,8.63,4.76,-5.87,10.63,5.52,-6.45,11.97
"PETER.HOLLAND","F","20152016","TOR",65,750.57,-0.6,-0.04,-0.56,-0.09,-0.19,0.11,-0.21,-1.06,0.84,-0.59,-2.07,1.48,-1.86,-2.55,0.69
"PETTER.GRANBERG","D","20152016","NSH",27,353.43,-0.35,-0.51,0.17,-0.5,0.35,-0.85,-6.18,1.24,-7.42,-9.28,1.26,-10.53,-12.34,0.79,-13.13
"PETTERI.LINDBOHM","D","20152016","STL",10,137.08,-1.28,0.78,-2.06,-0.39,-0.28,-0.11,-4.58,-3.94,-0.64,-1.69,-6.17,4.49,-0.43,-1.29,0.86
"PHILIP.SAMUELSSON","D","20152016","ARI",4,52.68,-0.88,-1.07,0.2,0.98,-0.21,1.19,11.05,-4.49,15.54,13.86,-10.35,24.21,15.25,-3.61,18.86
"PHIL.KESSEL","F","20152016","PIT",82,1187.02,0.29,-0.02,0.32,0,0.12,-0.12,1.24,1.11,0.13,1.12,1.91,-0.79,2.34,1,1.34
"PHILLIP.DANAULT","F","20152016","CHI",30,365.32,-0.97,-0.24,-0.73,-0.2,-0.03,-0.17,0.82,-3.45,4.27,1.76,-1.24,3,0.31,-1.61,1.92
"PHILLIP.DANAULT","F","20152016","MTL",21,236.92,-0.84,-0.36,-0.47,-0.01,0.06,-0.07,-1.83,0.3,-2.13,-0.58,-1.05,0.47,0.56,-3.72,4.28
"PHILLIP.DI GIUSEPPE","F","20152016","CAR",41,547.73,0.68,-0.06,0.74,0.1,0.14,-0.04,0.42,4.79,-4.37,0.52,5.41,-4.89,-0.69,5.52,-6.21
