"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"AARON.GAGNON","F","20102011","DAL",19,143.03,-0.52,0.13,-0.65,0.62,-0.06,0.68,-2.78,1.5,-4.28,-1.09,-2.52,1.44,5.94,-2.52,8.46
"AARON.ROME","D","20102011","VAN",56,837.5,-0.39,0.2,-0.59,-0.04,0.12,-0.16,-4.75,0.9,-5.65,-5.16,0.63,-5.79,-5.81,0.31,-6.13
"AARON.VOLPATTI","F","20102011","VAN",15,97.28,-1.07,0,-1.07,-0.37,-0.39,0.02,-1.17,-5.7,4.53,-4.24,-3.45,-0.79,-7.97,-5.15,-2.83
"AARON.VOROS","F","20102011","ANA",12,66.32,-0.59,2.46,-3.06,-0.02,-0.27,0.25,0.3,-3.76,4.06,3.22,-2.38,5.6,0.24,-2.3,2.54
"ADAM.BURISH","F","20102011","DAL",63,750.12,-0.33,-0.33,-0.01,-0.18,-0.1,-0.08,0.28,-1.36,1.64,-1.86,-0.63,-1.23,-2.97,2.04,-5.01
"ADAM.CRACKNELL","F","20102011","STL",24,206.52,0.67,0.18,0.49,-0.43,0.06,-0.48,-2.76,-1.28,-1.48,-4.57,-0.23,-4.34,-2.17,1.45,-3.62
"ADAM.FOOTE","D","20102011","COL",47,695.63,-0.2,0.51,-0.71,0,0.04,-0.04,-1.64,3.86,-5.5,-3.09,3.24,-6.33,-3.94,4.66,-8.6
"ADAM.HALL","F","20102011","T.B",82,953.3,-0.75,-0.03,-0.71,-0.04,-0.2,0.16,-1.61,-2.87,1.26,-3.12,-3.11,-0.01,-6.22,-2.66,-3.56
"ADAM.MAIR","F","20102011","N.J",65,551.07,-0.89,0.33,-1.22,-0.36,0.05,-0.4,-3.22,-0.3,-2.91,-4.54,0.72,-5.26,-5.96,2.06,-8.02
"ADAM.MCQUAID","D","20102011","BOS",67,891.78,0.77,-0.16,0.93,-0.11,0,-0.11,-2.05,-0.62,-1.43,-3.28,-0.88,-2.39,-1.74,0.45,-2.19
