"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"AARON.DOWNEY","F","20072008","DET",56,254.82,-0.6,-0.47,-0.13,-0.36,-0.03,-0.33,-4.13,2.43,-6.56,-5.68,2.92,-8.6,-8.09,3.34,-11.43
"AARON.JOHNSON","D","20072008","NYI",30,341.08,0.73,-0.08,0.82,-0.35,-0.01,-0.34,-1.95,2.27,-4.22,-2.65,2.01,-4.66,-1.87,2.43,-4.3
"AARON.MILLER","D","20072008","VAN",57,809.47,0.09,0.32,-0.22,0,-0.08,0.09,-2.06,-0.24,-1.83,-2.94,-0.19,-2.75,-3.26,0.24,-3.5
"AARON.ROME","D","20072008","CBJ",17,259.82,-0.45,-0.07,-0.38,-0.06,0.2,-0.26,-1.59,0.15,-1.74,-1.75,0.59,-2.34,-5.11,1.62,-6.73
"AARON.VOROS","F","20072008","MIN",55,413.02,0.07,0.64,-0.57,-0.15,0.13,-0.29,-3.91,3.31,-7.22,-6.01,5.03,-11.05,-7.14,5.9,-13.04
"AARON.WARD","D","20072008","BOS",65,1041.28,0.27,-0.26,0.53,0.04,0.02,0.01,-0.83,-1.65,0.82,-0.2,-0.49,0.28,0.49,-0.37,0.86
"ADAM.BURISH","F","20072008","CHI",80,675.98,-0.82,0.13,-0.95,-0.32,-0.04,-0.28,-3.78,-0.2,-3.58,-5.47,0.52,-5.99,-7.59,0.65,-8.24
"ADAM.FOOTE","D","20072008","CBJ",62,1125.9,-0.13,0.04,-0.18,-0.12,0.13,-0.26,-0.77,0.96,-1.73,-1.01,1.86,-2.87,-2.1,2.1,-4.2
"ADAM.FOOTE","D","20072008","COL",12,199.3,-1.41,-0.97,-0.44,-0.42,-0.01,-0.42,-3.73,1,-4.73,-7.24,-0.42,-6.82,-8.96,-1.24,-7.71
"ADAM.HALL","F","20072008","PIT",46,372.92,-1.16,-0.69,-0.47,-0.66,0.28,-0.94,-6.58,0.68,-7.25,-8.37,2.73,-11.1,-11.55,3.58,-15.14
"ADAM.MAIR","F","20072008","BUF",72,599.63,-0.33,-0.19,-0.15,-0.34,-0.17,-0.17,-3.78,1.04,-4.81,-6,0.93,-6.93,-8.24,0.66,-8.91
"ADRIAN.AUCOIN","D","20072008","CGY",75,1101.48,0.31,-0.6,0.91,-0.04,-0.12,0.07,-0.18,-1.24,1.06,0.07,0.29,-0.22,0.32,-0.16,0.48
"ALAIN.NASREDDINE","D","20072008","PIT",6,66.2,-0.19,3.35,-3.54,-0.01,0.2,-0.21,-2.41,2.9,-5.31,-4.2,3.66,-7.86,-5.83,1.88,-7.71
"ALES.HEMSKY","F","20072008","EDM",74,1044.58,0.11,-0.28,0.38,0.18,0,0.19,1.8,-0.82,2.62,2.38,-1.68,4.06,3.63,-1.1,4.73
"ALES.KOTALIK","F","20072008","BUF",79,930.3,-1.09,-0.84,-0.25,-0.48,-0.21,-0.27,-2.63,-2.77,0.13,-3.06,-2.57,-0.49,-1.56,-2.64,1.08
"ALEX.BURROWS","F","20072008","VAN",82,940.43,0.15,-0.28,0.43,0.05,-0.15,0.2,0.55,-1.71,2.26,1.38,-2.09,3.47,2.75,-1.67,4.42
"ALEX.EDLER","D","20072008","VAN",75,1175.55,0.24,0.13,0.1,0.09,-0.08,0.17,1.86,-1.01,2.87,2.32,-1.88,4.2,2.1,-3,5.1
"ALEXEI.PONIKAROVSKY","F","20072008","TOR",66,832.53,0.25,-0.25,0.49,0.29,0.02,0.27,3.21,-1.45,4.66,5.05,-0.19,5.24,5.97,-1.82,7.8
"ALEXEI.SEMENOV","D","20072008","S.J",22,273.27,-0.8,0.84,-1.64,0.01,-0.02,0.03,-0.74,3.53,-4.27,0.02,3.39,-3.37,-0.29,1.42,-1.71
"ALEXEI.ZHITNIK","D","20072008","ATL",65,1080.57,0.15,-0.01,0.16,0.12,0.28,-0.17,2.03,1.84,0.19,3.71,2.29,1.41,4.79,0.87,3.92
"ALEX.FROLOV","F","20072008","L.A",71,1035.65,0.76,-0.08,0.84,0.32,-0.02,0.34,3.92,-0.06,3.98,4.38,0.61,3.77,5.78,1.28,4.5
"ALEX.KOVALEV","F","20072008","MTL",82,1107.67,0.32,-0.34,0.67,0.02,-0.18,0.19,0.65,-1.39,2.05,0.76,-0.76,1.52,1.26,-1.03,2.29
"ALEX.OVECHKIN","F","20072008","WSH",82,1371.55,1.05,-0.02,1.07,0.36,0.09,0.27,3.17,1.18,1.99,4.65,1.14,3.52,6.77,1.47,5.3
"ALEX.PICARD","D","20072008","T.B",20,344.53,-0.39,0.44,-0.84,-0.16,0.18,-0.34,-3.24,1.23,-4.47,-3.86,-0.03,-3.83,-4.14,1.21,-5.36
"ALEX.RADULOV","F","20072008","NSH",81,1034.4,1,0.38,0.62,0.4,0.02,0.38,1.82,0.93,0.88,2.13,0.41,1.72,2.85,1.48,1.38
