"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"AARON.JOHNSON","D","20082009","CHI",38,452.92,0.7,-0.66,1.36,-0.41,-0.26,-0.16,-4.65,1.12,-5.78,-3.47,0.32,-3.78,-5.62,1.28,-6.89
"AARON.MACKENZIE","D","20082009","COL",5,66.07,-0.63,-2.63,2,-0.06,-1.12,1.06,2.74,-11.24,13.97,5.75,-12.21,17.96,4.05,-15.98,20.03
"AARON.ROME","D","20082009","CBJ",8,113.35,-0.2,-0.58,0.38,0.22,-0.42,0.64,1.66,-6.36,8.02,3.77,-5.7,9.47,2.01,-6.85,8.86
"AARON.VOROS","F","20082009","NYR",54,504.55,0.15,0.26,-0.11,0.18,0.36,-0.19,1.03,0.07,0.97,-0.35,1.09,-1.44,0.2,-2.56,2.76
"AARON.WARD","D","20082009","BOS",64,1027.47,-0.4,0.03,-0.44,-0.23,0.04,-0.27,-0.95,-0.29,-0.66,-0.64,-0.01,-0.64,-1.27,1.44,-2.72
"ADAM.BURISH","F","20082009","CHI",66,470.15,-0.12,-0.55,0.43,0.03,-0.29,0.32,-0.55,-2.23,1.69,-2.31,-2.19,-0.11,-3.99,-2.64,-1.35
"ADAM.FOOTE","D","20082009","COL",42,655.47,-0.22,0.1,-0.32,-0.01,0.12,-0.13,-1.94,2.32,-4.27,-2.35,1.38,-3.73,-4.3,0.35,-4.65
"ADAM.HALL","F","20082009","T.B",74,623.92,-0.73,-0.47,-0.26,-0.02,-0.16,0.14,1.4,-1.82,3.22,0.14,-3.13,3.27,-1.7,-4.55,2.85
"ADAM.MAIR","F","20082009","BUF",75,751.35,-0.37,-0.77,0.39,-0.17,-0.11,-0.06,-1.03,0.12,-1.15,-1.73,0.56,-2.28,-2.58,1.22,-3.8
"ADAM.PARDY","D","20082009","CGY",59,813.12,-0.11,-0.12,0.02,0.06,-0.02,0.08,0.12,-0.88,1,1.08,-1.02,2.1,0.3,-0.11,0.4
"ADRIAN.AUCOIN","D","20082009","CGY",80,1189.47,-0.36,-0.01,-0.35,-0.04,-0.05,0.01,-0.2,-0.72,0.52,0,-1.52,1.51,-0.65,-2.19,1.54
"ALES.HEMSKY","F","20082009","EDM",72,997.77,0.03,-0.07,0.1,-0.1,-0.07,-0.03,1.74,-1.01,2.75,1.88,-1.41,3.29,3.03,-3.28,6.31
"ALES.KOTALIK","F","20082009","BUF",56,658.38,-0.23,0.3,-0.53,-0.27,-0.08,-0.19,-1.1,-0.76,-0.34,-1.78,-0.69,-1.09,0.42,-1.68,2.1
"ALES.KOTALIK","F","20082009","EDM",19,251.75,0.18,0.23,-0.05,-0.08,0.11,-0.19,2.05,0.68,1.36,2.17,0.05,2.12,0.27,1.38,-1.11
"ALEX.BURROWS","F","20082009","VAN",81,1056.93,0.56,0.1,0.47,0.21,-0.07,0.29,2.18,-2,4.18,2.58,-1.66,4.24,4.49,-1.98,6.46
"ALEX.EDLER","D","20082009","VAN",79,1243.82,-0.08,-0.34,0.26,0.03,-0.02,0.05,0.17,-0.23,0.4,0.32,0.55,-0.23,0.13,0.95,-0.82
"ALEXEI.PONIKAROVSKY","F","20082009","TOR",81,1011.45,0.72,-0.02,0.74,0.36,-0.23,0.59,2.79,-1.17,3.96,3.9,-1.62,5.52,6.61,-2.33,8.94
"ALEXEI.SEMENOV","D","20082009","S.J",47,564.98,-0.3,-0.36,0.05,-0.45,-0.07,-0.38,-1.36,-0.31,-1.05,-3.07,0.14,-3.21,-3.36,-0.6,-2.76
"ALEX.FROLOV","F","20082009","L.A",77,1060.2,0.25,0.17,0.08,0.17,0.12,0.05,0.78,0.82,-0.04,1.76,0.53,1.23,2.13,0.94,1.19
"ALEX.GIROUX","F","20082009","WSH",12,114.33,0.22,-1.74,1.95,0.08,-0.28,0.37,3.11,-2.85,5.96,1.77,-1.64,3.4,-0.15,-3.01,2.86
"ALEX.GOLIGOSKI","D","20082009","PIT",45,632.13,0.26,0.13,0.13,0.05,-0.22,0.26,0.16,-3.36,3.53,1.03,-4.82,5.86,2.84,-3.96,6.8
"ALEX.KOVALEV","F","20082009","MTL",78,1040.98,-0.24,-0.27,0.04,0.04,0.08,-0.04,-0.19,0.33,-0.52,0.39,0.81,-0.42,-0.04,0.76,-0.8
"ALEX.OVECHKIN","F","20082009","WSH",79,1275.93,0.55,0.4,0.15,0.24,0.25,-0.02,1.98,1,0.98,4.25,1.49,2.76,7.5,1.94,5.55
"ALEX.PICARD","D","20082009","CBJ",15,100.32,-0.93,-0.24,-0.69,0.28,-0.37,0.65,2.41,-1.78,4.19,-0.57,-2.4,1.83,0.89,-4.95,5.84
"ALEX.PICARD","D","20082009","OTT",47,692.83,0.12,0.08,0.04,0.15,-0.28,0.43,1.53,-1.44,2.96,1.96,-0.74,2.71,2.24,-2.07,4.31
"ALEX.PIETRANGELO","D","20082009","STL",8,110.9,1.54,1.12,0.42,0.53,0.49,0.04,2.75,8.17,-5.42,6.52,7.19,-0.67,7.91,1.69,6.22
"ALEX.SEMIN","F","20082009","WSH",62,835.52,0.91,-0.31,1.22,0.3,-0.15,0.45,2.68,-2.17,4.86,3.21,-1.83,5.04,2.7,-1.65,4.35
"ALEX.STEEN","F","20082009","STL",61,762.5,-0.37,-0.28,-0.09,-0.05,0.04,-0.09,1.99,1.6,0.4,1.74,0.51,1.23,2.87,1.41,1.46
