"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"AARON.NESS","D","20132014","NYI",20,273.02,-1.4,0.34,-1.74,-0.4,0.24,-0.64,-3.26,4.01,-7.28,-1.4,5.12,-6.52,0.65,6.17,-5.53
"AARON.ROME","D","20132014","DAL",25,300,-0.26,1.14,-1.4,0.04,0.16,-0.12,-3.49,-0.69,-2.8,-4.49,-1.51,-2.97,-2.31,1.11,-3.43
"AARON.VOLPATTI","F","20132014","WSH",41,299.48,-1.15,-0.66,-0.5,-0.51,-0.07,-0.44,-5.51,-0.19,-5.32,-8.29,0.05,-8.34,-10.03,2.78,-12.81
"ADAM.BURISH","F","20132014","S.J",15,125.27,-1.16,0.61,-1.77,0.22,-0.46,0.68,-3.17,-4.04,0.87,2.33,-4.77,7.1,-3.3,-5.08,1.78
"ADAM.CRACKNELL","F","20132014","STL",19,150.85,0.34,0.28,0.06,-0.13,0.25,-0.38,0.6,0.94,-0.34,-0.24,1.35,-1.59,-1.58,0.04,-1.62
"ADAM.HALL","F","20132014","PHI",80,539.47,-0.69,0.61,-1.3,-0.6,-0.17,-0.43,-5.15,-1.31,-3.84,-7.71,-1.57,-6.13,-9.71,-1.23,-8.48
"ADAM.HENRIQUE","F","20132014","N.J",77,1026.05,0.18,-0.05,0.23,0.26,0.1,0.15,-0.77,0.74,-1.5,0.26,1.16,-0.9,0.83,2.83,-2
"ADAM.LARSSON","D","20132014","N.J",26,424.52,-0.41,-0.23,-0.18,-0.12,-0.14,0.02,1.63,-1,2.63,1.73,-0.32,2.04,1.86,0.46,1.41
"ADAM.MCQUAID","D","20132014","BOS",30,424.05,0.36,-0.26,0.62,-0.12,-0.37,0.25,-3.39,-1.32,-2.07,-4.26,-1.24,-3.02,-5.9,1.79,-7.69
"ADAM.PARDY","D","20132014","WPG",60,799.83,-0.03,-0.56,0.53,0.07,-0.41,0.48,0.75,-3.98,4.73,0.72,-5.76,6.48,0.08,-8.19,8.27
"ALEC.MARTINEZ","D","20132014","L.A",61,803.57,0.42,-0.24,0.67,0,-0.26,0.25,-1.31,-2.56,1.25,-1.2,-2.49,1.29,-0.55,-1.99,1.44
