"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"AARON.GAGNON","F","20112012","WPG",7,65.65,-2.29,-1.34,-0.95,0.38,-0.33,0.71,-0.54,-1.96,1.42,6.81,-3.87,10.68,9.94,-1.77,11.71
"AARON.JOHNSON","D","20112012","CBJ",56,793.1,0.17,0.4,-0.22,0.38,0.09,0.29,0.03,-0.31,0.35,0.23,-0.22,0.45,0.03,1.32,-1.29
"AARON.NESS","D","20112012","NYI",9,149.23,-0.65,-0.91,0.26,-0.32,-0.17,-0.15,-8.66,3.7,-12.36,-5.6,5.25,-10.86,-6.86,4.77,-11.63
"AARON.PALUSHAJ","F","20112012","MTL",38,282.68,-0.16,-0.71,0.55,0.16,-0.21,0.37,0.57,-4.07,4.65,3.47,-4.04,7.51,10.66,-5.93,16.59
"AARON.ROME","D","20112012","VAN",43,598.7,-0.83,0.16,-0.98,-0.02,-0.15,0.12,-0.27,-1.67,1.39,-1.27,-0.96,-0.32,-2.38,1.56,-3.94
"AARON.VOLPATTI","F","20112012","VAN",23,202.92,-0.68,-0.21,-0.47,-0.29,-0.51,0.22,-5.66,-2.8,-2.85,-5.87,-0.9,-4.96,-6.66,2.34,-9
"ADAM.BURISH","F","20112012","DAL",65,689.82,-0.21,-0.47,0.26,-0.27,-0.18,-0.08,-2.78,-1.03,-1.75,-3.12,-1.12,-2,-2.36,-1.28,-1.08
"ADAM.HALL","F","20112012","T.B",57,499.62,-0.63,0.04,-0.66,-0.37,-0.32,-0.05,0.08,-0.79,0.87,-2.11,-2.8,0.7,-5.12,-3.87,-1.25
"ADAM.HENRIQUE","F","20112012","N.J",74,1079.23,0.55,0.16,0.39,0.14,-0.08,0.22,1.18,-0.12,1.3,1.96,-0.11,2.07,2.47,0.3,2.17
"ADAM.LARSSON","D","20112012","N.J",65,1194.55,0.13,0.19,-0.06,0.02,0.01,0.01,0.14,0.87,-0.73,-0.45,0.83,-1.29,0.4,-0.75,1.15
"ADAM.MCQUAID","D","20112012","BOS",72,994.9,-0.16,-0.42,0.26,-0.23,0.05,-0.28,-5.04,-0.19,-4.85,-5.15,0.11,-5.26,-3.84,0.75,-4.59
"ADAM.PARDY","D","20112012","DAL",36,556.47,-0.04,0.58,-0.62,-0.02,0.18,-0.2,0.73,1.4,-0.67,-0.67,1.69,-2.36,-1.14,1.31,-2.45
"ADRIAN.AUCOIN","D","20112012","ARI",62,1075.48,0.02,-0.38,0.4,-0.14,-0.02,-0.12,-1.81,-1.2,-0.61,-1.37,-1.13,-0.24,-1.02,-3.12,2.1
"ALEC.MARTINEZ","D","20112012","L.A",51,650,-0.05,0.12,-0.17,0.13,-0.35,0.48,2.51,-4.91,7.42,3.83,-7,10.83,6.89,-7.93,14.82
"ALES.HEMSKY","F","20112012","EDM",69,1037.62,-0.38,-0.24,-0.14,0.13,-0.02,0.15,0.64,-0.11,0.76,2.38,-1.74,4.12,2.86,-1.94,4.79
"ALEX.BURMISTROV","F","20112012","WPG",76,1017.35,-0.1,-0.41,0.31,0.03,-0.21,0.24,-0.48,-2.13,1.65,0.52,-3.17,3.69,0.38,-4.81,5.19
"ALEX.BURROWS","F","20112012","VAN",80,1129.73,0.19,-0.26,0.44,0.03,-0.03,0.06,1.56,-0.9,2.46,1.24,-1.63,2.87,2.65,-3.31,5.96
"ALEX.EDLER","D","20112012","VAN",82,1463.23,-0.02,0.61,-0.64,-0.04,0.26,-0.3,-0.17,1.34,-1.52,-0.04,0.99,-1.03,0.1,1.56,-1.46
"ALEXEI.EMELIN","D","20112012","MTL",67,1050.63,-0.24,0.82,-1.06,0.11,0.15,-0.04,0.34,1.33,-0.99,0.49,0.91,-0.42,1.48,0.82,0.65
"ALEXEI.PONIKAROVSKY","F","20112012","CAR",49,596.77,-0.82,0,-0.81,0.08,0.1,-0.02,1.65,-2.61,4.26,4.04,-4.77,8.81,5.88,-5.62,11.5
"ALEXEI.PONIKAROVSKY","F","20112012","N.J",33,466.47,0.4,-0.34,0.73,0.35,-0.3,0.66,0.17,-3.22,3.39,1.35,-5.73,7.08,0.86,-7.66,8.52
"ALEX.GIROUX","F","20112012","CBJ",9,89.32,0.64,0.04,0.6,0.29,-0.43,0.71,8.98,-2.44,11.42,9.86,-2.42,12.28,7.41,-1.66,9.06
"ALEX.GOLIGOSKI","D","20112012","DAL",71,1275.33,0.22,-0.02,0.24,0.32,-0.24,0.56,1.86,-3.02,4.88,3.21,-4.28,7.49,4.26,-4.72,8.97
"ALEX.OVECHKIN","F","20112012","WSH",78,1233.28,0.26,0.16,0.1,0.08,0.12,-0.03,-0.04,3.17,-3.2,1.06,3.76,-2.7,1.42,5.39,-3.97
"ALEX.PICARD","D","20112012","PIT",17,210.12,0.89,0.26,0.63,0.12,-0.14,0.26,-0.54,-3.88,3.35,-0.45,-6.79,6.34,-2.32,-7.89,5.57
"ALEX.PIETRANGELO","D","20112012","STL",80,1464.48,-0.07,-0.11,0.04,0.2,0.06,0.15,0.76,0.88,-0.12,3.09,0.6,2.49,3.86,-0.04,3.9
"ALEX.RADULOV","F","20112012","NSH",9,158.53,0.98,0.02,0.96,0.58,-0.12,0.7,4.78,-0.06,4.84,5.49,-3.02,8.51,4.2,-2.28,6.48
"ALEX.SEMIN","F","20112012","WSH",77,1077.92,0.48,-0.02,0.5,0.34,0.1,0.24,3.98,0.55,3.43,4.56,-0.38,4.94,6.02,-0.54,6.56
"ALEX.STEEN","F","20112012","STL",43,623.32,1.17,-0.59,1.76,0.47,-0.39,0.86,5.93,-2.34,8.27,7.01,-4.79,11.81,10.86,-5.65,16.5
"ALEX.SULZER","D","20112012","BUF",15,274.88,1,0.3,0.7,0.44,-0.37,0.81,4.22,-1.9,6.12,6.28,-4.93,11.21,9.83,-4.47,14.31
"ALEX.SULZER","D","20112012","VAN",12,180.48,0.64,-1.06,1.7,-0.21,0.41,-0.62,-1.51,3.03,-4.53,-2.07,5.05,-7.11,-3.37,1.81,-5.18
"ALEX.TANGUAY","F","20112012","CGY",64,898.43,0.72,-0.28,1,0.28,0.18,0.11,-1.36,0.5,-1.85,0.08,2.2,-2.12,-0.41,4.03,-4.44
"ALEX.URBOM","D","20112012","N.J",5,64.9,2.44,1.45,1,0.25,0.64,-0.39,0.88,5.92,-5.05,-2.35,3.38,-5.72,-7.56,0.52,-8.08
"ANDREAS.ENGQVIST","F","20112012","MTL",12,65.9,-0.97,-0.3,-0.67,0.04,-0.36,0.4,-1.24,-1.37,0.14,1.39,-3.39,4.79,1.86,1.94,-0.08
"ANDREAS.LILJA","D","20112012","PHI",46,583.82,-0.4,-1,0.6,-0.18,0.05,-0.24,-0.28,2.41,-2.69,-1.98,3.64,-5.62,-4.95,5.28,-10.23
"ANDREAS.NODL","F","20112012","CAR",48,566.83,-0.94,-0.78,-0.16,-0.14,-0.31,0.17,-1.2,-2.13,0.93,-0.4,-1.11,0.71,0.63,-0.36,0.99
"ANDREAS.NODL","F","20112012","PHI",12,98.28,-2.12,-0.99,-1.14,-0.68,-0.82,0.14,-8.29,-2.53,-5.76,-12.64,-6.16,-6.48,-14.1,-7.89,-6.21
"ANDREI.KOSTITSYN","F","20112012","MTL",53,702.12,0.35,0.41,-0.06,0,0.33,-0.33,-0.47,1.6,-2.07,-1.45,1.04,-2.49,-1.12,2.85,-3.96
"ANDREI.KOSTITSYN","F","20112012","NSH",19,253.47,1.13,-0.58,1.71,0.46,-0.31,0.78,6.45,-3.33,9.78,9.35,-3.24,12.58,12.12,-4.94,17.07
"ANDREI.LOKTIONOV","F","20112012","L.A",39,455.82,-0.36,0.02,-0.38,0.12,0.36,-0.25,-0.13,0.86,-0.99,-0.88,3.44,-4.32,-0.87,1.8,-2.67
"ANDREI.MARKOV","D","20112012","MTL",13,176.62,-0.68,1.11,-1.79,0.57,0.28,0.29,1.84,5.07,-3.23,2.42,5.22,-2.8,4.81,-0.93,5.74
"ANDREJ.MESZAROS","D","20112012","PHI",62,1030.85,0.43,0.22,0.21,0.35,0.1,0.26,2.7,1.18,1.52,2.85,2.49,0.35,4.18,2.15,2.03
"ANDREJ.SEKERA","D","20112012","BUF",69,1166.77,0.13,0.07,0.06,-0.02,-0.26,0.23,0.9,-3.42,4.32,0.29,-3.62,3.91,-0.18,-4.78,4.6
"ANDREW.ALBERTS","D","20112012","VAN",44,573.38,-0.02,-0.19,0.17,-0.25,-0.06,-0.19,-4.81,-0.09,-4.72,-7.55,-0.16,-7.39,-7.9,0.68,-8.57
"ANDREW.BRUNETTE","F","20112012","CHI",78,864.57,-0.5,0.68,-1.18,-0.31,0.23,-0.54,-2.84,1.95,-4.79,-2.35,2.81,-5.16,-3.93,3.78,-7.71
"ANDREW.COGLIANO","F","20112012","ANA",82,1017.75,0.27,0.23,0.04,-0.19,0.04,-0.22,1.53,1.09,0.44,0.08,0.62,-0.54,-0.03,0.67,-0.7
"ANDREW.DESJARDINS","F","20112012","S.J",76,657.03,0.07,-0.18,0.25,0.03,-0.13,0.16,1.19,-2.58,3.77,2.14,-1.1,3.24,1.55,0.16,1.38
"ANDREW.EBBETT","F","20112012","VAN",18,151.63,0.37,-0.11,0.49,0.7,-0.07,0.78,3.59,-3.49,7.08,5.44,-3.97,9.41,2.6,-6.78,9.38
"ANDREW.FERENCE","D","20112012","BOS",72,1165.1,-0.23,0.24,-0.47,-0.5,0.19,-0.69,-3.5,2.84,-6.34,-4.4,4.27,-8.68,-5.3,4.43,-9.74
"ANDREW.GORDON","F","20112012","ANA",37,316.82,-1.13,0.18,-1.31,-0.04,0.23,-0.27,-2.4,1.89,-4.29,-2.25,4.42,-6.67,-0.64,5,-5.64
"ANDREW.LADD","F","20112012","WPG",82,1224.37,-0.06,0.16,-0.21,0.24,0,0.24,2.7,-0.23,2.93,3.81,-0.42,4.23,5.32,-1.24,6.56
"ANDREW.MACDONALD","D","20112012","NYI",75,1464.35,-0.22,-0.37,0.15,-0.04,-0.07,0.04,-1.34,-0.21,-1.13,-1.6,-0.21,-1.39,-0.91,0.69,-1.6
"ANDREW.MURRAY","F","20112012","S.J",39,279.23,0.07,-0.69,0.76,-0.16,-0.3,0.14,-1.98,-3.92,1.94,-2.07,-6.05,3.97,-4.65,-7.26,2.61
"ANDREW.SHAW","F","20112012","CHI",37,478.97,0.37,0.45,-0.08,-0.01,-0.12,0.11,-2.22,-1.59,-0.64,-2.24,-2.68,0.44,-1.43,-3.14,1.71
"ANDY.GREENE","D","20112012","N.J",56,948.07,0.51,0.35,0.17,-0.1,0.07,-0.18,-0.36,-0.69,0.33,-0.15,-0.94,0.79,0.12,-0.46,0.58
"ANDY.MCDONALD","F","20112012","STL",25,350.57,1.18,0.43,0.74,0.46,0.27,0.19,0.97,0.58,0.4,3.1,0.21,2.89,3.3,-1.07,4.37
"ANDY.MIELE","F","20112012","ARI",7,50.92,-2.19,1.62,-3.81,-1.31,0.9,-2.21,-2.9,13.23,-16.13,-6.4,22.26,-28.66,-3.54,23.97,-27.51
"ANDY.SUTTON","D","20112012","EDM",52,767.97,0.26,-0.4,0.66,0.3,0.07,0.22,2.93,-0.41,3.34,3.1,0.34,2.76,3.68,0.02,3.66
"ANTHONY.STEWART","F","20112012","CAR",77,591.85,0.23,0.05,0.18,-0.25,-0.07,-0.18,-3.46,0.44,-3.9,-4.34,0.56,-4.9,-5.49,-0.99,-4.5
"ANTOINE.VERMETTE","F","20112012","ARI",21,306.2,0.73,-0.16,0.89,0.9,0.72,0.18,4.39,5.01,-0.61,4.63,4.29,0.34,4.7,6.34,-1.64
"ANTOINE.VERMETTE","F","20112012","CBJ",60,792.42,0.19,0.73,-0.53,0.29,-0.01,0.3,3.27,-1.38,4.64,4.08,-3.54,7.62,3.97,-5.28,9.25
