"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"AARON.EKBLAD","D","20162017","FLA",68,1193.72,-0.51,0.02,-0.53,0.01,0.05,-0.05,1.4,-0.39,1.78,1.5,1.04,0.46,2.66,0.64,2.03
"ADAM.CLENDENING","D","20162017","NYR",31,432.23,-0.02,-0.11,0.09,0.1,-0.17,0.27,-0.13,-4.85,4.72,2.31,-5.65,7.96,5.99,-8.38,14.36
"ADAM.CRACKNELL","F","20162017","DAL",69,677.6,0.12,-0.57,0.7,-0.26,-0.21,-0.05,0.38,-1.88,2.25,1.52,-1.69,3.22,2.12,-1.17,3.28
"ADAM.ERNE","F","20162017","T.B",26,278.82,-1.13,0.4,-1.53,-0.36,-0.16,-0.2,-2.36,-0.97,-1.39,-1.73,-1.96,0.23,-2.22,-0.22,-2
"ADAM.HENRIQUE","F","20162017","N.J",82,1069.38,0.32,0.42,-0.1,0.09,0.11,-0.02,-0.47,1.65,-2.12,0.09,3.47,-3.38,1.33,3.82,-2.48
"ADAM.LARSSON","D","20162017","EDM",79,1423.8,0.44,0.11,0.33,0.05,0.04,0.01,0.74,0.26,0.48,1.31,1.11,0.21,0.88,0.52,0.37
"ADAM.LOWRY","F","20162017","WPG",82,965.78,-0.23,-0.21,-0.03,0.03,-0.15,0.18,-0.16,-0.27,0.12,-0.01,-0.41,0.41,-0.11,-0.4,0.29
"ADAM.MCQUAID","D","20162017","BOS",77,1191.53,-0.28,0.06,-0.34,-0.12,0.01,-0.12,-1.03,0.64,-1.67,-1.36,1,-2.36,0.02,1.28,-1.26
"ADAM.PELECH","D","20162017","NYI",44,691.02,-0.32,0.22,-0.54,-0.46,0.02,-0.48,-3.31,-0.37,-2.93,-5.58,-0.77,-4.81,-5.85,-3.46,-2.39
"ADRIAN.KEMPE","F","20162017","L.A",25,267.8,-1.1,-0.93,-0.17,-0.32,-0.02,-0.3,-2.79,-2.69,-0.1,-4.12,-1.79,-2.32,-3.18,-3.1,-0.07
"A.J..GREER","F","20162017","COL",5,63.8,-0.82,-0.1,-0.72,0.81,-0.62,1.42,3.69,-3.19,6.88,6.04,-8.68,14.73,4.96,-4.18,9.14
"ALAN.QUINE","F","20162017","NYI",61,670.75,0.34,0.45,-0.11,0.02,0.19,-0.17,2.29,3.6,-1.3,2.27,3.3,-1.02,2.5,4.28,-1.78
"ALEC.MARTINEZ","D","20162017","L.A",82,1387.9,0.13,0.64,-0.51,0.18,0.06,0.12,0.53,0.55,-0.03,2.15,0.79,1.36,0.77,2.14,-1.37
"ALEKSANDER.BARKOV","F","20162017","FLA",61,898.77,0.76,-0.36,1.12,0.2,-0.14,0.33,1.75,-2.18,3.92,1.11,-2.36,3.47,1.23,-4.28,5.51
"ALES.HEMSKY","F","20162017","DAL",15,187.25,-0.49,-0.75,0.25,0.4,-0.33,0.73,-1.55,-1.62,0.07,-2.51,-1.47,-1.04,-1.97,-5.34,3.37
"ALEX.BIEGA","D","20162017","VAN",36,440.3,-0.28,-0.46,0.18,-0.04,0.26,-0.3,0.41,1.33,-0.92,0.7,0.36,0.34,2.41,-0.51,2.92
"ALEX.BURMISTROV","F","20162017","ARI",26,328.83,0.32,-0.1,0.42,-0.28,0.26,-0.53,-3.48,1.31,-4.8,-4.8,1.57,-6.38,-4.9,1.05,-5.96
"ALEX.BURMISTROV","F","20162017","WPG",23,218.27,-1.55,0.2,-1.75,-1.02,0.18,-1.2,-6.54,-1.42,-5.12,-8.19,-0.93,-7.26,-6.95,-0.78,-6.17
"ALEX.BURROWS","F","20162017","OTT",20,233.97,0.67,-0.57,1.24,-0.01,0.2,-0.21,-1.8,0.14,-1.94,-4.24,0.91,-5.15,-2.95,3.44,-6.39
"ALEX.BURROWS","F","20162017","VAN",55,707.07,0.16,0.08,0.08,0,-0.03,0.03,2.41,0.19,2.22,1.82,-0.51,2.33,1.2,-1.17,2.37
"ALEX.CHIASSON","F","20162017","CGY",81,934.5,-0.15,0,-0.14,-0.13,-0.27,0.14,0.15,-3.1,3.25,0.54,-3.5,4.04,0.7,-4.1,4.8
"ALEX.EDLER","D","20162017","VAN",68,1294.72,0.03,0.25,-0.22,0.17,0.14,0.03,1.89,1.72,0.17,2.27,1.86,0.41,2.43,1.62,0.81
"ALEXEI.EMELIN","D","20162017","MTL",76,1397.52,-0.52,0,-0.52,-0.25,-0.12,-0.13,-2.68,-0.16,-2.51,-3.24,-0.22,-3.01,-3.74,0.41,-4.15
"ALEXEY.MARCHENKO","D","20162017","DET",30,463.5,0.14,-1.04,1.18,-0.04,-0.3,0.26,2.57,0.9,1.67,2.21,1.66,0.55,0.93,1.65,-0.72
"ALEXEY.MARCHENKO","D","20162017","TOR",11,152.28,-0.33,-0.52,0.19,-0.54,0,-0.54,-3.63,0.39,-4.02,-1.63,2.14,-3.78,-0.14,3.79,-3.92
"ALEX.GALCHENYUK","F","20162017","MTL",61,814.65,0.36,0.98,-0.62,0.14,0.69,-0.55,-0.06,5.91,-5.97,-0.33,6.42,-6.75,-1.4,6.91,-8.3
"ALEX.GOLIGOSKI","D","20162017","ARI",82,1499.7,0.4,0.18,0.23,0.06,0.17,-0.11,0.56,-0.08,0.64,0.55,-0.55,1.1,0.64,-0.11,0.75
"ALEX.KILLORN","F","20162017","T.B",81,1115.43,-0.24,0,-0.24,-0.17,0.08,-0.25,-0.85,-0.5,-0.35,0.04,-0.92,0.96,0.08,-0.51,0.59
"ALEX.OVECHKIN","F","20162017","WSH",82,1172.35,0.21,0.61,-0.4,0.2,0.39,-0.18,1.98,3.46,-1.48,3.8,5.65,-1.86,4.17,7.04,-2.87
"ALEX.PETROVIC","D","20162017","FLA",49,810.22,0.34,0.04,0.31,0.14,0.09,0.04,0.93,-0.64,1.57,1.35,-0.79,2.13,-0.12,-1.26,1.14
"ALEX.PIETRANGELO","D","20162017","STL",80,1549.07,0.33,0.32,0.01,0.16,0.12,0.05,1.83,1.57,0.26,2.17,1.1,1.07,3.26,1.87,1.39
"ALEX.RADULOV","F","20162017","MTL",76,1143.53,0.41,0.06,0.35,0.1,0.16,-0.07,0.57,0.62,-0.04,0.58,0.47,0.11,1.53,0.25,1.28
"ALEX.STEEN","F","20162017","STL",76,1070.1,-0.03,0.1,-0.13,-0.21,-0.01,-0.2,-3.09,-0.14,-2.95,-3.21,-0.18,-3.03,-4.68,1.11,-5.79
"ALEX.TUCH","F","20162017","MIN",6,64.22,-1.69,1.36,-3.05,0.42,-0.01,0.43,2.15,3.21,-1.06,4.94,-0.21,5.15,8.89,2.56,6.33
"ALEX.WENNBERG","F","20162017","CBJ",80,1173.67,0.01,-0.1,0.1,-0.15,-0.11,-0.04,-0.56,-0.58,0.01,-0.91,-0.68,-0.22,-1.66,-1.18,-0.48
"ANDERS.LEE","F","20162017","NYI",81,1041.83,0.38,-0.27,0.65,0.33,-0.14,0.47,4,-0.64,4.64,5.56,-2.41,7.97,6.63,-3.27,9.91
"ANDREAS.ATHANASIOU","F","20162017","DET",64,737.2,0.35,-0.01,0.36,-0.08,0.15,-0.22,-1.19,0.47,-1.66,0.17,0.66,-0.49,-1.08,0.95,-2.03
"ANDREAS.MARTINSEN","F","20162017","COL",54,450.18,-0.38,-0.26,-0.12,-0.3,-0.02,-0.28,-3.51,0.7,-4.22,-2.28,2.52,-4.8,-4.58,4.89,-9.47
"ANDREAS.MARTINSEN","F","20162017","MTL",9,106.83,-1.89,0.16,-2.05,-0.68,-0.21,-0.47,-7.6,0.21,-7.82,-8.4,2.12,-10.52,-12.71,3.09,-15.8
"ANDRE.BURAKOVSKY","F","20162017","WSH",64,750.13,0.04,-0.03,0.07,-0.01,0.19,-0.2,1.98,0.87,1.11,2.48,1.64,0.84,7.48,-0.15,7.63
"ANDREI.MARKOV","D","20162017","MTL",62,1065.75,0.21,-0.33,0.54,0.1,-0.1,0.2,1.7,0.36,1.34,2.85,0.57,2.28,2.84,0.36,2.47
"ANDREJ.NESTRASIL","F","20162017","CAR",19,193.08,-0.12,-0.18,0.07,-0.12,-0.24,0.12,-0.04,-4.29,4.25,-1.14,-4.41,3.27,-3.1,-3.84,0.73
"ANDREJ.SEKERA","D","20162017","EDM",80,1352.63,-0.12,-0.38,0.25,0.15,-0.13,0.28,-0.91,-0.98,0.06,-1.62,-1.71,0.1,-0.5,0.57,-1.07
"ANDREJ.SUSTR","D","20162017","T.B",80,1228.15,-0.28,0.03,-0.31,-0.13,-0.05,-0.08,0.16,0.87,-0.7,-0.52,0.99,-1.5,-1.57,2.09,-3.66
"ANDREW.COGLIANO","F","20162017","ANA",82,1075.57,-0.08,-0.01,-0.07,0.29,0.16,0.13,3.9,0.02,3.88,4.81,-0.99,5.8,6.37,-1.66,8.04
"ANDREW.COPP","F","20162017","WPG",64,670.98,-0.13,-0.82,0.69,0,-0.49,0.49,-0.28,-3.53,3.25,-0.77,-3.41,2.64,-0.65,-2.3,1.65
"ANDREW.DESJARDINS","F","20162017","CHI",46,399.62,-0.74,0.37,-1.11,0.12,0.24,-0.12,1.47,-1.52,2.98,0.64,0.26,0.38,1.91,2.36,-0.46
"ANDREW.LADD","F","20162017","NYI",78,1013.22,-0.68,0.08,-0.75,-0.25,-0.09,-0.16,-1.39,-0.97,-0.42,-1.02,0.22,-1.25,0.16,1.71,-1.55
"ANDREW.MACDONALD","D","20162017","PHI",73,1235.02,-0.22,-0.22,-0.01,-0.2,-0.11,-0.09,-2.36,0.24,-2.6,-3.69,0.41,-4.1,-4.35,1.95,-6.3
"ANDREW.SHAW","F","20162017","MTL",68,868.47,-0.03,0.22,-0.25,0.07,-0.15,0.22,0.92,-0.6,1.51,1.7,-1.45,3.14,3.21,-2.27,5.48
"ANDY.ANDREOFF","F","20162017","L.A",36,367.2,-0.79,-0.75,-0.05,-0.01,0.1,-0.11,-1.7,-1.49,-0.21,-1.97,0.64,-2.61,-1.58,0.57,-2.16
"ANDY.GREENE","D","20162017","N.J",66,1134.62,-0.14,0.17,-0.31,0.21,0.01,0.2,0.88,0.82,0.06,0.97,1.58,-0.61,1.03,2.19,-1.17
"ANTHONY.BEAUVILLIER","F","20162017","NYI",66,819.93,0.06,-0.09,0.15,-0.27,-0.01,-0.26,-1.26,1.87,-3.12,-1.76,3.15,-4.9,-3.92,3.98,-7.91
"ANTHONY.BITETTO","D","20162017","NSH",29,327.67,0.45,0.74,-0.29,0.1,0.6,-0.5,-1.15,5.06,-6.21,-1.4,6.04,-7.44,-2.67,6.62,-9.29
"ANTHONY.DUCLAIR","F","20162017","ARI",58,688.28,0.26,-0.1,0.36,0.37,-0.2,0.57,0.81,-0.22,1.03,2.5,0.11,2.38,2.97,0.35,2.61
"ANTHONY.MANTHA","F","20162017","DET",60,823.85,0.67,-0.48,1.16,0.31,-0.27,0.58,2.76,-4.13,6.89,3.63,-4.62,8.25,4.67,-4.82,9.48
"ANTOINE.ROUSSEL","F","20162017","DAL",60,729.75,0.68,0.27,0.4,0.37,-0.14,0.51,1.86,-2.19,4.05,3.3,-3.79,7.09,4.76,-5.31,10.07
"ANTOINE.VERMETTE","F","20162017","ANA",72,919.9,-0.11,0.33,-0.44,-0.13,0.16,-0.29,-0.16,0.55,-0.71,0.12,1.4,-1.28,-0.45,1.46,-1.9
"ANTON.BLIDH","F","20162017","BOS",19,157.43,-0.93,-0.74,-0.19,0.02,-0.21,0.24,1.81,-4.42,6.23,3.49,-3.87,7.35,3.59,-4.07,7.66
"ANTON.LANDER","F","20162017","EDM",22,169.9,0.17,0.32,-0.15,-0.5,-0.29,-0.21,0.3,-3.29,3.59,-3.71,-3.7,0,-7.9,-7.32,-0.58
"ANTON.LINDHOLM","D","20162017","COL",12,161.72,-0.71,1.45,-2.16,0.34,-0.13,0.47,-1.94,-1.82,-0.12,-2.79,-4.02,1.23,-2.99,-4.87,1.89
"ANTON.SLEPYSHEV","F","20162017","EDM",41,448.73,-0.79,-1.18,0.39,-0.46,-0.06,-0.41,-3.08,2.19,-5.27,-4.06,4.3,-8.36,-2.75,3.49,-6.24
"ANTON.STRALMAN","D","20162017","T.B",73,1315.8,0.02,0.01,0.01,0,0.02,-0.01,-0.19,0.15,-0.33,-0.18,0.37,-0.55,-1.12,0.28,-1.4
"ANZE.KOPITAR","F","20162017","L.A",76,1175.05,0.24,0.32,-0.08,0.1,0.02,0.09,-0.38,1.5,-1.88,0.39,1.31,-0.92,0.87,1.07,-0.2
"ARTEM.ANISIMOV","F","20162017","CHI",64,915,0.38,0.11,0.27,-0.05,0.03,-0.08,-2.57,2.15,-4.71,-2.32,1.87,-4.19,-3.1,1.05,-4.15
"ARTEMI.PANARIN","F","20162017","CHI",82,1294.28,0.4,0.06,0.34,0.11,0.06,0.05,0.53,-1.11,1.64,2.71,-2.15,4.86,4.44,-4.41,8.85
"ARTTURI.LEHKONEN","F","20162017","MTL",73,902.42,-0.07,0.28,-0.35,0.03,-0.12,0.16,0.3,0.67,-0.37,-0.13,0.52,-0.64,0.88,0.06,0.81
"AUSTIN.CZARNIK","F","20162017","BOS",49,492.18,-0.53,0.21,-0.74,-0.38,-0.16,-0.22,-2.11,-1.52,-0.59,-1.84,-2.72,0.87,-1.83,-2.69,0.86
"AUSTIN.WATSON","F","20162017","NSH",77,789.1,-0.45,-0.8,0.35,-0.36,-0.22,-0.14,-3.53,-3.02,-0.51,-5.5,-2.84,-2.66,-7.54,-0.35,-7.19
"AUSTON.MATTHEWS","F","20162017","TOR",82,1207.22,0.12,0.05,0.07,0.29,0.16,0.13,1.93,0,1.93,2.04,-0.1,2.14,1.99,-0.07,2.06
