Year,Team1,Team2,Conference,Highest.Seed,Round
2011,Washington Capitals,New York Rangers,eastern,Washington Capitals,quarter-finals
2011,Philadelphia Flyers,Buffalo Sabres,eastern,Philadelphia Flyers,quarter-finals
2011,Boston Bruins,Montreal Canadiens,eastern,Boston Bruins,quarter-finals
2011,Pittsburgh Penguins,Tampa Bay Lightning,eastern,Pittsburgh Penguins,quarter-finals
2011,Vancouver Canucks,Chicago Blackhawks,western,Vancouver Canucks,quarter-finals
2011,San Jose Sharks,Los Angeles Kings,western,San Jose Sharks,quarter-finals
2011,Detroit Red Wings,Phoenix Coyotes,western,Detroit Red Wings,quarter-finals
2011,Anaheim Ducks,Nashville Predators,western,Anaheim Ducks,quarter-finals
2011,Washington Capitals,Tampa Bay Lightning,eastern,Washington Capitals,semi-finals
2011,Philadelphia Flyers,Boston Bruins,eastern,Philadelphia Flyers,semi-finals
2011,Vancouver Canucks,Nashville Predators,western,Vancouver Canucks,semi-finals
2011,San Jose Sharks,Detroit Red Wings,western,San Jose Sharks,semi-finals
2011,Tampa Bay Lightning,Boston Bruins,eastern,Boston Bruins,finals
2011,Vancouver Canucks,San Jose Sharks,western,Vancouver Canucks,finals
2011,Boston Bruins,Vancouver Canucks,N/A,Vancouver Canucks,stanley-cup-final
2012,New York Rangers,Ottawa Senators,eastern,New York Rangers,quarter-finals
2012,Boston Bruins,Washington Capitals,eastern,Boston Bruins,quarter-finals
2012,Florida Panthers,New Jersey Devils,eastern,Florida Panthers,quarter-finals
2012,Pittsburgh Penguins,Philadelphia Flyers,eastern,Pittsburgh Penguins,quarter-finals
2012,Vancouver Canucks,Los Angeles Kings,western,Vancouver Canucks,quarter-finals
2012,St Louis Blues,San Jose Sharks,western,St Louis Blues,quarter-finals
2012,Phoenix Coyotes,Chicago Blackhawks,western,Phoenix Coyotes,quarter-finals
2012,Nashville Predators,Detroit Red Wings,western,Nashville Predators,quarter-finals
2012,New York Rangers,Washington Capitals,eastern,New York Rangers,semi-finals
2012,Philadelphia Flyers,New Jersey Devils,eastern,Philadelphia Flyers,semi-finals
2012,St Louis Blues,Los Angeles Kings,western,St Louis Blues,semi-finals
2012,Phoenix Coyotes,Nashville Predators,western,Phoenix Coyotes,semi-finals
2012,New York Rangers,New Jersey Devils,eastern,New York Rangers,finals
2012,Los Angeles Kings,Phoenix Coyotes,western,Phoenix Coyotes,finals
2012,New Jersey Devils,Los Angeles Kings,N/A,New Jersey Devils,stanley-cup-final
2013,Pittsburgh Penguins,New York Islanders,eastern,Pittsburgh Penguins,quarter-finals
2013,Montreal Canadiens,Ottawa Senators,eastern,Montreal Canadiens,quarter-finals
2013,Washington Capitals,New York Rangers,eastern,Washington Capitals,quarter-finals
2013,Boston Bruins,Toronto Maple Leafs,eastern,Boston Bruins,quarter-finals
2013,Chicago Blackhawks,Minnesota Wild,western,Chicago Blackhawks,quarter-finals
2013,Anaheim Ducks,Detroit Red Wings,western,Anaheim Ducks,quarter-finals
2013,Vancouver Canucks,San Jose Sharks,western,Vancouver Canucks,quarter-finals
2013,St Louis Blues,Los Angeles Kings,western,St Louis Blues,quarter-finals
2013,Pittsburgh Penguins,Ottawa Senators,eastern,Pittsburgh Penguins,semi-finals
2013,Boston Bruins,New York Rangers,eastern,Boston Bruins,semi-finals
2013,Chicago Blackhawks,Detroit Red Wings,western,Chicago Blackhawks,semi-finals
2013,Los Angeles Kings,San Jose Sharks,western,Los Angeles Kings,semi-finals
2013,Pittsburgh Penguins,Boston Bruins,eastern,Pittsburgh Penguins,finals
2013,Chicago Blackhawks,Los Angeles Kings,western,Chicago Blackhawks,finals
2013,Boston Bruins,Chicago Blackhawks,N/A,Chicago Blackhawks,stanley-cup-final
2014,Boston Bruins,Detroit Red Wings,eastern,Boston Bruins,quarter-finals
2014,Tampa Bay Lightning,Montreal Canadiens,eastern,Tampa Bay Lightning,quarter-finals
2014,Pittsburgh Penguins,Columbus Blue Jackets,eastern,Pittsburgh Penguins,quarter-finals
2014,New York Rangers,Philadelphia Flyers,eastern,New York Rangers,quarter-finals
2014,Colorado Avalanche,Minnesota Wild,western,Colorado Avalanche,quarter-finals
2014,St Louis Blues,Chicago Blackhawks,western,St Louis Blues,quarter-finals
2014,Anaheim Ducks,Dallas Stars,western,Anaheim Ducks,quarter-finals
2014,San Jose Sharks,Los Angeles Kings,western,San Jose Sharks,quarter-finals
2014,Boston Bruins,Montreal Canadiens,eastern,Boston Bruins,semi-finals
2014,Pittsburgh Penguins,New York Rangers,eastern,Pittsburgh Penguins,semi-finals
2014,Minnesota Wild,Chicago Blackhawks,western,Chicago Blackhawks,semi-finals
2014,Anaheim Ducks,Los Angeles Kings,western,Anaheim Ducks,semi-finals
2014,Montreal Canadiens,New York Rangers,eastern,Montreal Canadiens,finals
2014,Chicago Blackhawks,Los Angeles Kings,western,Chicago Blackhawks,finals
2014,Los Angeles Kings,New York Rangers,N/A,Los Angeles Kings,stanley-cup-final
2015,Montreal Canadiens,Ottawa Senators,eastern,Montreal Canadiens,quarter-finals
2015,Tampa Bay Lightning,Detroit Red Wings,eastern,Tampa Bay Lightning,quarter-finals
2015,New York Rangers,Pittsburgh Penguins,eastern,New York Rangers,quarter-finals
2015,Washington Capitals,New York Islanders,eastern,Washington Capitals,quarter-finals
2015,St Louis Blues,Minnesota Wild,western,St Louis Blues,quarter-finals
2015,Nashville Predators,Chicago Blackhawks,western,Nashville Predators,quarter-finals
2015,Anaheim Ducks,Winnipeg Jets,western,Anaheim Ducks,quarter-finals
2015,Vancouver Canucks,Calgary Flames,western,Vancouver Canucks,quarter-finals
2015,Montreal Canadiens,Tampa Bay Lightning,eastern,Montreal Canadiens,semi-finals
