Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2008,finals,Calgary Flames,50.21,50.4,35.57,40.39,20.94,22.05,43.75,9.33,1.11,0.74,NA,NA
2008,finals,San Jose Sharks,51.78,48.15,39.3,34.08,22.3,20.27,48.39,9.2,0.71,0.8,NA,NA
2008,finals,Colorado Avalanche,43.52,54.8,35.4,40.38,23.2,22.02,48,9.38,0.92,1.18,NA,NA
2008,finals,Minnesota Wild,52.75,45.99,37.55,37.34,19.2,24.68,25,6.25,0.21,1.05,NA,NA
2008,finals,Dallas Stars,46.11,48.82,34.32,37.17,20.52,21.56,56.82,13.44,0.97,0.97,NA,NA
2008,finals,Anaheim Ducks,38.66,48.92,30.55,38.9,20.29,24.58,33.33,8.77,0.95,1.67,NA,NA
2009,quarter-finals,Montreal Canadiens,58.24,55.97,43.03,40.77,22,25.88,8.33,2.78,0.32,2.26,NA,NA
2009,quarter-finals,Boston Bruins,55.97,58.24,40.77,43.03,25.88,22,91.67,20.75,2.26,0.32,NA,NA
2009,quarter-finals,New York Rangers,49.5,61.63,37.18,45.06,28.89,33.54,42.86,7.59,1.01,1.21,NA,NA
2009,quarter-finals,Washington Capitals,61.63,49.5,45.06,37.18,33.54,28.89,57.14,8,1.21,1.01,NA,NA
2009,quarter-finals,Carolina Hurricanes,58.23,55.98,44.52,43.02,27.99,25.92,57.14,12.12,1.69,1.5,NA,NA
2009,quarter-finals,New Jersey Devils,55.98,58.23,43.02,44.52,25.92,27.99,42.86,9.68,1.5,1.69,NA,NA
2009,quarter-finals,Philadelphia Flyers,55.65,56.73,39.13,42.6,24.13,22.17,52.94,13.64,1.3,1.3,NA,NA
2009,quarter-finals,Pittsburgh Penguins,56.73,55.65,42.6,39.13,22.17,24.13,47.06,11.27,1.3,1.3,NA,NA
2009,quarter-finals,Anaheim Ducks,52.75,61.36,39.61,46.5,26.48,30.57,71.43,14.08,0.86,0.86,NA,NA
2009,quarter-finals,San Jose Sharks,61.36,52.75,46.5,39.61,30.57,26.48,28.57,3.96,0.86,0.86,NA,NA
2009,quarter-finals,Columbus Blue Jackets,52.05,56.63,39.28,43.21,19.97,18,30,7.14,0.65,1.96,NA,NA
2009,quarter-finals,Detroit Red Wings,56.63,52.05,43.21,39.28,18,19.97,70,18.42,1.96,0.65,NA,NA
2009,quarter-finals,St Louis Blues,50.15,50.15,38.93,39.26,22.43,27.05,50,8.16,0.99,1.32,NA,NA
2009,quarter-finals,Vancouver Canucks,50.15,50.15,39.26,38.93,27.05,22.43,50,8,1.32,0.99,NA,NA
2009,quarter-finals,Calgary Flames,50.66,47.5,37.57,39.9,22.8,19,45.45,13.33,1.9,2.11,NA,NA
2009,quarter-finals,Chicago Blackhawks,47.5,50.66,39.9,37.57,19,22.8,54.55,17.14,2.11,1.9,NA,NA
2009,semi-finals,Montreal Canadiens,58.24,55.97,43.03,40.77,22,25.88,8.33,2.78,0.32,2.26,NA,NA
2009,semi-finals,Boston Bruins,51.99,53.79,38.77,40.79,23.64,19.95,75,17.02,1.57,0.78,NA,NA
2009,semi-finals,New York Rangers,49.5,61.63,37.18,45.06,28.89,33.54,42.86,7.59,1.01,1.21,NA,NA
2009,semi-finals,Washington Capitals,58.7,54.98,40.72,42.02,26.93,30.94,50,12.27,1.21,1.3,NA,NA
2009,semi-finals,Carolina Hurricanes,54.68,52.79,41.95,40.24,23.21,24.11,46.34,11.31,1.34,1.34,NA,NA
2009,semi-finals,New Jersey Devils,55.98,58.23,43.02,44.52,25.92,27.99,42.86,9.68,1.5,1.69,NA,NA
2009,semi-finals,Philadelphia Flyers,55.65,56.73,39.13,42.6,24.13,22.17,52.94,13.64,1.3,1.3,NA,NA
2009,semi-finals,Pittsburgh Penguins,58.36,55.96,44.59,37.95,28.03,22.54,51.16,11.76,1.44,1.25,NA,NA
2009,semi-finals,Anaheim Ducks,48.27,63.58,37.19,49.77,21.04,27.14,51.52,12.14,0.75,0.94,NA,NA
2009,semi-finals,San Jose Sharks,61.36,52.75,46.5,39.61,30.57,26.48,28.57,3.96,0.86,0.86,NA,NA
2009,semi-finals,Columbus Blue Jackets,52.05,56.63,39.28,43.21,19.97,18,30,7.14,0.65,1.96,NA,NA
2009,semi-finals,Detroit Red Wings,62.37,47.25,49.23,36.65,22.3,17.88,65.52,14.39,1.32,0.66,NA,NA
2009,semi-finals,St Louis Blues,50.15,50.15,38.93,39.26,22.43,27.05,50,8.16,0.99,1.32,NA,NA
2009,semi-finals,Vancouver Canucks,43.78,50.59,32.57,38.44,21.76,23.49,40.74,11.58,1.2,1.74,NA,NA
2009,semi-finals,Calgary Flames,50.66,47.5,37.57,39.9,22.8,19,45.45,13.33,1.9,2.11,NA,NA
2009,semi-finals,Chicago Blackhawks,49.14,45.23,39.03,32.94,21.53,20.55,58.54,17.02,2.17,1.52,NA,NA
2009,finals,Montreal Canadiens,58.24,55.97,43.03,40.77,22,25.88,8.33,2.78,0.32,2.26,NA,NA
2009,finals,Boston Bruins,51.99,53.79,38.77,40.79,23.64,19.95,75,17.02,1.57,0.78,NA,NA
2009,finals,New York Rangers,49.5,61.63,37.18,45.06,28.89,33.54,42.86,7.59,1.01,1.21,NA,NA
2009,finals,Washington Capitals,58.7,54.98,40.72,42.02,26.93,30.94,50,12.27,1.21,1.3,NA,NA
2009,finals,Carolina Hurricanes,56.29,53.76,42.1,41.11,24.1,26,41.94,12.09,1.41,1.69,NA,NA
2009,finals,New Jersey Devils,55.98,58.23,43.02,44.52,25.92,27.99,42.86,9.68,1.5,1.69,NA,NA
2009,finals,Philadelphia Flyers,55.65,56.73,39.13,42.6,24.13,22.17,52.94,13.64,1.3,1.3,NA,NA
2009,finals,Pittsburgh Penguins,58.11,57.37,44.52,39.02,29.13,23.63,56.25,14.46,1.78,1.34,NA,NA
2009,finals,Anaheim Ducks,48.27,63.58,37.19,49.77,21.04,27.14,51.52,12.14,0.75,0.94,NA,NA
2009,finals,San Jose Sharks,61.36,52.75,46.5,39.61,30.57,26.48,28.57,3.96,0.86,0.86,NA,NA
2009,finals,Columbus Blue Jackets,52.05,56.63,39.28,43.21,19.97,18,30,7.14,0.65,1.96,NA,NA
