"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"A J..greer","18-19","COL","L","15","92.62","1","1","2","2","1.3","1.3","1.12","0.73","75","82","-7","47.77","-2.1","2","4","-2","33.33","-25.29","3.48","3.58","-0.1","49.29","-1.3","7","3","-4","14","9.07","1.31","0.85","11.11","96.03","52.78","13.88","26.22","47.29","27.51","49.91"
"Aaron Ekblad","18-19","FLA","D","82","1498.77","7","12","19","13","0.76","0.52","23.6","0.94","1402","1432","-30","49.47","0.09","80","82","-2","49.38","5.93","63.91","69.28","-5.37","47.98","-0.04","12","9","-3","227","9.09","5.35","0.21","5.56","99.22","45.76","37.72","29.33","49.28","29.9","50.29"
"Adam Clendening","18-19","CBJ","D","4","35.47","--","--","--","--","--","--","-0.08","-0.14","31","42","-11","42.47","-6.58","2","1","1","66.67","27.78","1.14","2.3","-1.16","33.14","-21.89","--","--","--","7","11.84","0.06","0.1","--","107.76","54.55","19.28","24.61","50.59","27.23","51.41"
"Adam Cracknell","18-19","ANA","R","2","20.5","--","--","--","--","--","--","-0.02","-0.06","15","17","-2","46.88","6.22","--","1","-1","--","-20","0.54","1.2","-0.66","31.03","2.78","--","--","--","4","11.71","0.15","0.44","--","90.91","58.33","18.73","28.05","46.91","27.32","52.25"
"Adam Erne","18-19","T.B","L","65","631.27","5","12","17","10","1.62","0.95","15.19","1.44","533","574","-41","48.15","-3.48","28","20","8","58.33","2.97","20.88","19.72","1.16","51.43","0.97","13","8","-5","123","11.69","5.18","0.49","8.33","103.3","43.03","20.28","27.77","50.51","27.87","49.82"
"Adam Gaudette","18-19","VAN","C","55","516.7","5","5","10","8","1.16","0.93","7.43","0.86","447","505","-58","46.95","-2.32","17","24","-7","41.46","-7.07","14.31","23.65","-9.34","37.7","-10.21","8","14","6","90","10.45","4.2","0.49","11.11","98.69","58.37","19.29","28.29","48.27","27.97","49.87"
"Adam Henrique","18-19","ANA","C","81","993.55","10","14","24","18","1.45","1.09","19.6","1.18","843","981","-138","46.22","-1.77","36","33","3","52.17","6.51","35.24","39","-3.76","47.47","2.99","9","11","2","147","8.88","9.14","0.55","12.5","101.86","51.47","25.34","29.47","48.36","28.61","49.96"
"Adam Johnson","18-19","PIT","C","6","31.83","--","2","2","1","3.77","1.89","1.82","3.43","29","31","-2","48.33","-1.48","3","1","2","75","28.85","1.2","1.66","-0.46","41.96","-12.51","--","--","--","5","9.43","0.24","0.45","--","111.67","66.67","10.38","24.84","46.73","27.4","48.57"
"Adam Larsson","18-19","EDM","D","82","1549.27","3","14","17","10","0.66","0.39","17.38","0.67","1415","1424","-9","49.84","3.01","44","77","-33","36.36","-13.39","59.51","66.96","-7.45","47.05","0.74","16","5","-11","234","9.06","3.6","0.14","2.75","96.16","46.49","38.4","29.29","47.23","29.2","50.18"
"Adam Lowry","18-19","WPG","L","78","942.17","10","7","17","13","1.08","0.83","24.43","1.56","897","871","26","50.74","1.97","30","28","2","51.72","1.92","35.58","32.63","2.95","52.16","5.1","9","15","6","165","10.51","11.55","0.74","10.75","100.22","41.67","25.01","28.69","46.65","28.9","50.06"
"Adam Mcquaid","18-19","NYR/ CBJ","D","49","672.95","3","2","5","4","0.45","0.36","-0.5","-0.04","505","661","-156","43.31","-5.3","23","27","-4","46","0.89","23.59","26.82","-3.23","46.8","-2.01","15","9","-6","70","6.24","1.08","0.1","11.54","100.54","44.33","27.94","28.13","47.6","28.76","50.71"
"Adam Pelech","18-19","NYI","D","77","1244.28","5","14","19","12","0.92","0.58","26.6","1.28","1116","1138","-22","49.51","3.01","50","32","18","60.98","6.38","49.67","41.78","7.89","54.31","5.03","5","4","-1","211","10.17","4.91","0.24","4.81","102.84","45.64","32.81","27.66","46.95","28.98","50.1"
"Adrian Kempe","18-19","L.A","L","81","971.4","10","11","21","15","1.3","0.93","22.91","1.42","895","831","64","51.85","4.55","29","36","-7","44.62","-0.61","35.39","33.04","2.35","51.72","4.77","17","12","-5","173","10.69","7.09","0.44","10.42","98.15","52.5","24.45","28.98","48","28.65","50.06"
"Alan Quine","18-19","CGY","C","13","119.6","2","2","4","2","2.01","1","2.5","1.25","88","98","-10","47.31","-4.05","4","4","--","50","--","3.33","4.35","-1.02","43.36","-6.63","2","--","-2","18","9.03","0.99","0.5","22.22","102.73","43.33","19.43","26.79","52.62","28.21","49.64"
"Alec Martinez","18-19","L.A","D","60","1040.17","4","7","11","6","0.63","0.35","13.28","0.77","995","1071","-76","48.16","-1.02","45","45","--","50","7.46","40.16","44.11","-3.95","47.66","-1.96","3","4","1","131","7.56","3.03","0.17","6.78","100.82","46.08","35.52","27.75","48.98","29","49.91"
"Aleksander Barkov","18-19","FLA","C","82","1253.33","18","31","49","39","2.35","1.87","50.09","2.4","1131","1191","-60","48.71","-1.03","70","65","5","51.85","9.19","53.68","56.93","-3.25","48.53","0.8","3","29","26","226","10.82","14.37","0.69","12.24","100.28","42.43","31.54","31.65","50.05","30.08","50.23"
