"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Sami Vatanen","12-13","ANA","D","8","101.87","1","--","1","1","0.59","0.59","2.05","1.21","91","96","-5","48.66","-1.89","4","--","4","100","43.75","3.29","2.94","0.35","52.81","0.85","--","--","--","7","4.12","0.14","0.08","25","108.16","59.42","26.86","26.86","46.54","28.17","47.47"
"Scott Gomez","12-13","S.J","C","39","419.22","2","5","7","4","1","0.57","8.32","1.19","423","391","32","51.97","0.49","11","19","-8","36.67","-16.94","15.59","14.59","1","51.66","-3.45","6","3","-3","74","10.59","3.31","0.47","5","96.44","49.54","22.29","28.2","49.21","27.86","49.22"
"Scott Hannan","12-13","NSH/ S.J","D","33","521.45","--","1","1","1","0.12","0.12","-1.48","-0.17","399","468","-69","46.02","-2.27","12","26","-14","31.58","-27.15","17.15","17.61","-0.46","49.34","-1.49","7","4","-3","50","5.75","0.75","0.09","--","94.94","45.3","32.99","27.76","47.37","28.71","50.22"
"Scott Hartnell","12-13","PHI","L","32","395.05","4","2","6","6","0.91","0.91","9.73","1.48","389","365","24","51.59","7.36","11","12","-1","47.83","5.78","14.57","14.05","0.52","50.91","5.63","22","18","-4","92","13.97","5.2","0.79","7.55","98.82","48.4","26.67","30.72","47.46","29.85","50.62"
"Scottie Upshall","12-13","FLA","R","27","304.5","3","--","3","3","0.59","0.59","3.7","0.73","254","284","-30","47.21","-1.45","4","12","-8","25","-5.67","10.34","13.34","-3","43.67","2.53","7","10","3","71","13.99","4.1","0.81","6.67","95.11","56.34","23.57","29.19","48.64","29.13","50.43"
"Scott Laughton","12-13","PHI","L","5","54.97","--","--","--","--","--","--","0.05","0.05","36","50","-14","41.86","-8.49","--","--","--","--","--","1.16","1.9","-0.74","37.91","-11.62","1","1","--","15","16.37","0.43","0.47","--","100","29.63","26.12","29.54","47.47","28.55","49.34"
"Scott Nichol","12-13","STL","C","30","232.95","1","--","1","1","0.26","0.26","1.87","0.48","168","170","-2","49.7","-1.96","5","7","-2","41.67","-9.82","6.26","5.62","0.64","52.69","3.62","7","5","-2","21","5.41","0.92","0.24","8.33","95.8","41.22","16.72","26.68","52.04","27.49","48.42"
"Scott Timmins","12-13","FLA","C","5","43.98","--","--","--","--","--","--","-1.7","-2.32","27","62","-35","30.34","-13.86","--","2","-2","--","-40","1","1.91","-0.91","34.36","-7.33","2","--","-2","10","13.64","0.43","0.59","--","94.44","44","18.3","27.36","49.76","28.02","50.95"
"Sean Collins","12-13","CBJ","C","5","62.18","--","--","--","--","--","--","-1.58","-1.52","45","72","-27","38.46","-14.68","1","3","-2","25","-27.63","2.05","3.61","-1.56","36.22","-15.2","3","2","-1","4","3.86","0.11","0.11","--","97.86","48.72","24.37","30.64","46.7","29.4","47.89"
"Sean Couturier","12-13","PHI","C","46","515.13","4","6","10","8","1.16","0.93","8.71","1.01","440","470","-30","48.35","1.19","17","25","-8","40.48","-7.52","16.73","18.92","-2.19","46.93","-0.8","4","4","--","90","10.48","3.87","0.45","7.41","96.13","32.09","24.38","29.09","45.52","29.3","50.57"
"Sergei Gonchar","12-13","OTT","D","45","748.2","1","11","12","6","0.96","0.48","17.35","1.39","778","683","95","53.25","-0.46","25","23","2","52.08","3.81","30.89","27.26","3.63","53.12","-0.38","11","1","-10","114","9.14","1.78","0.14","1.92","100.26","55.99","35.53","26.56","53.51","28.98","49.54"
"Sergei Kostitsyn","12-13","NSH","L","46","590.83","2","8","10","6","1.02","0.61","6.95","0.71","461","509","-48","47.53","1.37","18","23","-5","43.9","-5.17","18.15","19.09","-0.94","48.74","-2.81","3","5","2","73","7.41","2.67","0.27","6.9","98.95","50.69","26.5","30.43","45.98","29.27","50.37"
"Shane Doan","12-13","ARI","R","48","690.18","9","11","20","15","1.74","1.3","24.07","2.09","688","646","42","51.57","1.34","29","25","4","53.7","3.26","25.37","27","-1.63","48.44","-1","12","11","-1","165","14.34","6.84","0.59","9.09","100.76","58.96","30.47","30.19","49.42","29.31","50.04"
"Shane O'brien","12-13","COL","D","28","407.37","--","4","4","2","0.59","0.29","7.33","1.08","382","330","52","53.65","4.75","17","16","1","51.52","12.77","17.71","12.64","5.07","58.35","12.28","16","7","-9","57","8.4","1","0.15","--","97.85","48.68","30.15","28.23","47.76","28.94","49.38"
"Shawn Horcoff","12-13","EDM","C","31","347","4","4","8","5","1.38","0.86","4.29","0.74","281","376","-95","42.77","-2.93","18","9","9","66.67","20.69","12.8","16.33","-3.53","43.94","-1.22","9","4","-5","47","8.13","3.15","0.54","12.12","106.88","40.85","23.96","29.31","44.77","28.95","49.86"
"Shawn Lalonde","12-13","CHI","D","1","13.92","--","--","--","--","--","--","0.5","2.16","14","7","7","66.67","27.54","1","--","1","100","100","0.39","0.11","0.28","78","40.96","--","--","--","1","4.31","--","--","--","114.29","50","27.54","24.91","52.13","27.94","52.11"
"Shawn Matthias","12-13","FLA","C","48","614.03","10","5","15","13","1.47","1.27","14.05","1.37","533","574","-41","48.15","-1.33","24","33","-9","42.11","8.51","19.22","26.54","-7.32","42","-4.81","5","4","-1","143","13.97","6.01","0.59","11.63","98.36","49.03","26.26","29.3","49.11","29.17","49.9"
"Shawn Thornton","12-13","BOS","L","45","363.95","3","4","7","4","1.15","0.66","8.29","1.37","316","331","-15","48.84","-6.6","10","9","1","52.63","-1.91","12.36","12.16","0.2","50.41","-2.77","14","11","-3","98","16.16","3.74","0.62","5.45","101.26","61.4","16.55","27.66","51.25","27.39","49.15"
