"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Gagnon","11-12","WPG","C","7","65.33","--","--","--","--","--","--","1.17","1.07","72","58","14","55.38","8.63","--","1","-1","--","-45.45","2.88","2.14","0.74","57.37","13.53","--","--","--","12","11.02","0.54","0.5","--","96.55","58.06","18.74","29.44","50.29","28.08","48.46"
"Aaron Johnson","11-12","CBJ","D","56","773.43","2","12","14","7","1.09","0.54","10.97","0.85","638","708","-70","47.4","-0.68","29","37","-8","43.94","-0.89","31.01","28.26","2.75","52.32","3.22","5","7","2","93","7.21","2.05","0.16","4.08","98.55","44.12","29.4","26.77","47.16","28.84","50.18"
"Aaron Ness","11-12","NYI","D","9","143.98","--","--","--","--","--","--","-0.98","-0.41","107","148","-41","41.96","-4.96","3","3","--","50","23.68","4.46","5.48","-1.02","44.87","-4.36","1","--","-1","16","6.67","0.31","0.13","--","102.63","51.47","31.8","28.15","47.29","29.15","50.3"
"Aaron Palushaj","11-12","MTL","R","38","282.68","1","4","5","2","1.06","0.42","9.94","2.11","294","235","59","55.58","8.36","8","7","1","53.33","5.15","9.27","8.47","0.8","52.25","5.89","5","8","3","69","14.65","2.24","0.48","2.7","100.21","48.46","16.21","26.56","46.86","27.63","48.95"
"Aaron Rome","11-12","VAN","D","43","581.82","3","3","6","3","0.62","0.31","7.5","0.77","520","520","--","50","-3.85","16","20","-4","44.44","-14.81","21.04","21.22","-0.18","49.79","0.88","13","7","-6","91","9.38","1.49","0.15","9.38","98.4","42.76","28.39","27.13","52.12","28.17","49.52"
"Aaron Volpatti","11-12","VAN","L","23","202.92","1","--","1","1","0.3","0.3","0.22","0.07","151","190","-39","44.28","-13.59","5","6","-1","45.45","-9.34","4.47","6.32","-1.85","41.43","-14.51","9","8","-1","35","10.35","1.08","0.32","5.88","100.47","21.52","19.32","26.82","48.81","27.55","48.74"
"Adam Burish","11-12","DAL","R","65","686.12","5","10","15","11","1.31","0.96","16.23","1.42","611","623","-12","49.51","0.47","21","21","--","50","2.38","20.1","22.21","-2.11","47.51","0.31","15","15","--","125","10.93","5.99","0.52","6.76","100.47","42.89","22.4","28.87","50.55","28.5","49.93"
"Adam Cracknell","11-12","STL","R","2","14.07","1","--","1","1","4.26","4.26","1.26","5.37","15","12","3","55.56","1.91","1","--","1","100","83.33","0.49","0.26","0.23","65.33","1.3","--","--","--","2","8.53","0.13","0.55","100","114.29","44.44","14.39","25.61","52.41","26.36","51.16"
"Adam Hall","11-12","T.B","R","57","495.77","2","5","7","6","0.85","0.73","4.82","0.58","349","434","-85","44.57","-4.37","14","24","-10","36.84","-13.42","13.54","15.93","-2.39","45.95","-2.64","5","6","1","80","9.68","4.49","0.54","3.57","96.26","31.16","18.45","28.68","46.59","29.26","50.1"
"Adam Henrique","11-12","N.J","C","74","1049.85","10","21","31","20","1.77","1.14","33.96","1.94","852","804","48","51.45","1.28","45","42","3","51.72","4.7","38.25","30.32","7.93","55.78","5.61","1","13","12","133","7.6","9.27","0.53","10.64","100.06","46.88","29.42","31.71","50.68","29.75","49.9"
"Adam Larsson","11-12","N.J","D","65","1151.4","2","6","8","7","0.42","0.36","13.55","0.71","896","856","40","51.14","0.57","43","46","-3","48.31","2.27","38.25","36.01","2.24","51.51","-1.02","9","4","-5","118","6.15","1.73","0.09","3.57","99.52","52.15","37.09","28.13","50.07","28.94","49.77"
"Adam Mcquaid","11-12","BOS","D","72","980.33","2","6","8","4","0.49","0.24","15.97","0.98","883","869","14","50.4","-4.4","43","29","14","59.72","1.73","33.57","32.72","0.85","50.64","-5.69","24","16","-8","155","9.49","1.76","0.11","3.17","104.12","49.2","28.2","27.25","53.28","28.4","49.3"
"Adam Pardy","11-12","DAL","D","36","548.33","--","2","2","--","0.22","--","3.55","0.39","501","513","-12","49.41","-2.15","18","26","-8","40.91","-9.61","16.4","21.29","-4.89","43.51","-5.67","6","6","--","54","5.91","0.77","0.08","--","97.33","51.32","31.95","27.76","49.85","28.44","49.72"
