"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Gagnon","10-11","DAL","C","19","142.23","--","2","2","--","0.84","--","1.64","0.69","127","121","6","51.21","3.14","3","6","-3","33.33","-11.98","5.83","4.84","0.99","54.64","7.76","1","--","-1","25","10.55","0.84","0.35","--","97.67","48.05","16.25","26.44","44.92","28.06","50.72"
"Aaron Palushaj","10-11","MTL","R","3","23.78","--","--","--","--","--","--","0.56","1.41","29","29","--","50","6.48","1","--","1","100","35.71","0.64","1.29","-0.65","33.16","-4.2","--","1","1","6","15.14","0.26","0.66","--","111.11","61.54","17.6","26.73","49.6","28.02","48.73"
"Aaron Rome","10-11","VAN","D","56","819.1","--","1","1","1","0.07","0.07","4.08","0.3","717","723","-6","49.79","-4.52","28","28","--","50","-4.35","30.74","33.26","-2.52","48.03","-4.99","16","2","-14","96","7.03","2.25","0.16","--","100.8","44.76","31.38","27.22","52.06","28.8","49.43"
"Aaron Volpatti","10-11","VAN","L","15","97.28","1","1","2","2","1.23","1.23","1","0.62","72","84","-12","46.15","-8.99","2","3","-1","40","-23.46","2.66","3.22","-0.56","45.24","-5.48","5","3","-2","11","6.78","0.27","0.17","16.67","97.05","37.93","14.03","26.14","48.01","27.41","48.02"
"Aaron Voros","10-11","ANA","L","12","66.32","--","--","--","--","--","--","-0.49","-0.44","53","61","-8","46.49","4.39","1","5","-4","16.67","-27.78","2.02","2.61","-0.59","43.63","5.88","8","7","-1","10","9.05","0.58","0.52","--","86.67","63.41","12.25","24.87","44.17","27.77","50.33"
"Adam Burish","10-11","DAL","R","63","743.65","7","6","13","10","1.05","0.81","9.98","0.81","583","716","-133","44.88","-2.57","23","23","--","50","-4.24","21.58","25.12","-3.54","46.21","-2","24","16","-8","130","10.49","6.67","0.54","8.54","100.77","31.83","25.78","29.27","48.3","29.08","50.13"
"Adam Cracknell","10-11","STL","R","24","206.47","3","4","7","6","2.03","1.74","6.21","1.8","174","185","-11","48.47","-2.63","10","9","1","52.63","0.5","5.63","7.61","-1.98","42.52","-11.09","3","2","-1","44","12.79","1.78","0.52","13.04","101.25","59.63","17.55","26.38","50.53","27.74","49.44"
"Adam Foote","10-11","COL","D","47","679.37","--","7","7","2","0.62","0.18","-2.02","-0.18","535","696","-161","43.46","-4.76","24","36","-12","40","-9.15","26.65","27.54","-0.89","49.18","-1.95","10","8","-2","38","3.36","1.07","0.09","--","98.64","40.93","31.02","27.95","48.79","29.03","49.85"
"Adam Hall","10-11","T.B","R","82","938.05","7","7","14","13","0.9","0.83","23.49","1.5","770","780","-10","49.68","-2.84","23","35","-12","39.66","-14","34.92","25.06","9.86","58.22","3.47","10","19","9","232","14.84","13.06","0.84","4.49","95.59","41.83","24.99","28.23","50.75","29.1","50.02"
"Adam Henrique","10-11","N.J","C","1","12.6","--","--","--","--","--","--","0.24","1.14","8","8","--","50","-7.58","1","--","1","100","50","0.29","0.09","0.2","76.32","20.28","--","--","--","--","--","--","--","--","120","50","23.33","27.86","51.81","27.14","49.22"
"Adam Mair","10-11","N.J","C","65","550.92","1","3","4","3","0.44","0.33","2.48","0.27","388","441","-53","46.8","-7.05","6","22","-16","21.43","-22.15","15.29","17.2","-1.91","47.06","-5.29","14","13","-1","87","9.48","4.61","0.5","1.75","93.32","50.86","17.66","28.27","51.54","27.92","49.34"
"Adam Mcquaid","10-11","BOS","D","67","886.55","3","11","14","8","0.95","0.54","18.98","1.28","831","867","-36","48.94","-1.98","49","26","23","65.33","7.95","31.41","34.98","-3.57","47.31","-2.5","23","21","-2","122","8.26","1.88","0.13","6.67","105.71","46.96","27.39","27.37","50.28","28.28","49.66"
"Adam Pardy","10-11","CGY","D","30","407.63","1","5","6","4","0.88","0.59","12.78","1.88","422","333","89","55.89","4.52","21","17","4","55.26","6.61","15.12","11.49","3.63","56.82","2.31","8","4","-4","74","10.89","1.25","0.18","3.03","99.22","59.13","28.67","26.4","51.66","28.02","48.21"
"Adrian Aucoin","10-11","ARI","D","75","1275.15","3","13","16","12","0.75","0.56","19.39","0.91","1184","1176","8","50.17","-0.15","55","47","8","53.92","1.66","45.56","49.36","-3.8","48","-0.92","17","6","-11","197","9.27","3.25","0.15","3.61","101.17","46.2","36.15","27.61","50.05","29.32","49.81"
"Alec Martinez","10-11","L.A","D","60","780.25","4","6","10","6","0.77","0.46","22.02","1.69","759","605","154","55.65","4.49","32","21","11","60.38","13.08","29.42","21.9","7.52","57.33","6.63","8","1","-7","131","10.07","2.54","0.2","8.16","101.37","52.62","27.32","26.91","49.66","28.37","49.35"
"Ales Hemsky","10-11","EDM","R","47","626.58","10","14","24","21","2.3","2.01","18.76","1.8","544","624","-80","46.58","1.48","29","31","-2","48.33","8.96","22.96","28.93","-5.97","44.25","2.35","6","8","2","128","12.26","5.58","0.53","14.29","100.8","52.29","29.01","31.27","47.3","29.78","50.12"
"Ales Kotalik","10-11","CGY","R","26","277.12","3","1","4","4","0.87","0.87","7.89","1.71","284","249","35","53.28","-1.66","7","13","-6","35","-19.22","9.26","9.88","-0.62","48.38","-7.78","4","3","-1","89","19.27","3.57","0.77","5.56","95.16","53.99","22.24","29.09","52.06","28.98","48.5"
