"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Aaron Ness","13-14","NYI","D","20","264.7","1","1","2","1","0.45","0.23","1.4","0.32","253","271","-18","48.28","0.18","3","13","-10","18.75","-30.27","9.41","11.9","-2.49","44.16","-7","4","2","-2","46","10.43","0.71","0.16","4.55","93.45","52.23","27.05","26.25","48.95","28.23","49.81"
"Aaron Palushaj","13-14","CAR","R","2","17.52","--","--","--","--","--","--","0.19","0.65","18","14","4","56.25","4.2","--","1","-1","--","-50","0.78","0.53","0.25","59.54","21.75","--","--","--","4","13.7","0.2","0.68","--","85.71","38.46","17.05","27.74","48.71","27.39","47"
"Aaron Rome","13-14","DAL","D","25","297.25","--","1","1","1","0.2","0.2","1.45","0.29","271","286","-15","48.65","-4.13","11","17","-6","39.29","-10.71","11.44","11.84","-0.4","49.14","-3.1","3","1","-2","35","7.06","0.54","0.11","--","96.57","52.68","25.05","26.71","50.55","28.24","49.26"
"Aaron Volpatti","13-14","WSH","L","41","299.48","2","--","2","2","0.4","0.4","-3.09","-0.62","191","292","-101","39.54","-9.67","4","7","-3","36.36","-15.13","6.95","10.09","-3.14","40.79","-8.55","12","6","-6","39","7.81","1.94","0.39","11.11","99.44","53.25","15.39","26.31","48.23","26.95","48.61"
"Adam Almquist","13-14","DET","D","2","28.5","1","--","1","1","2.11","2.11","0.9","1.89","21","21","--","50","6.03","2","2","--","50","16.67","0.93","1.31","-0.38","41.52","-0.09","--","--","--","3","6.32","0.15","0.32","50","100","44.44","28.72","27.81","50.25","28.25","50.12"
"Adam Burish","13-14","S.J","R","15","124.8","--","--","--","--","--","--","0.6","0.29","113","101","12","52.8","-3.97","2","6","-4","25","-41.67","5.34","2.95","2.39","64.41","3.15","3","--","-3","18","8.65","1.01","0.49","--","91.07","44.19","17.25","27.44","51.52","27.55","47.67"
"Adam Cracknell","13-14","STL","R","19","150.85","--","2","2","1","0.8","0.4","2.73","1.09","121","128","-7","48.59","-4.49","6","6","--","50","-1.61","4.52","5.7","-1.18","44.23","-8.91","--","2","2","28","11.14","1.06","0.42","--","100","54.84","17.03","27.4","51.01","27.61","49.73"
"Adam Hall","13-14","PHI","R","80","536.45","2","4","6","4","0.67","0.45","1.33","0.15","392","497","-105","44.09","-6.79","12","28","-16","30","-22.03","12.41","17.5","-5.09","41.49","-9","9","5","-4","82","9.17","3.41","0.38","4.17","95.6","27.96","14.72","27.04","48.46","27.37","49.11"
"Adam Henrique","13-14","N.J","C","77","990.32","14","8","22","18","1.33","1.09","28.42","1.72","825","739","86","52.75","-2.18","33","36","-3","47.83","1.16","37.39","30.17","7.22","55.34","0.08","6","14","8","156","9.45","11.51","0.7","15.22","99.23","51.74","26.97","29.55","54.6","29.16","49.6"
"Adam Larsson","13-14","N.J","D","26","408.23","1","2","3","3","0.44","0.44","7.58","1.11","348","279","69","55.5","2.65","10","13","-3","43.48","-5.46","13.79","10.44","3.35","56.91","3.1","5","2","-3","50","7.35","0.56","0.08","5.26","96.79","58.95","32.96","27.01","53.76","28.73","49.79"
