"player","position","season","Team","GP","TOI_all","TOI_EV","TOI_PP","TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","GAR","WAR"
"SIMON.DESPRES","D","20152016","ANA",32,628.1,541.6,7.1,70.5,0.8,0.1,1.2,0.6,2.6,0.5
"SLATER.KOEKKOEK","D","20152016","T.B",9,92.8,92.5,0,0.3,-0.9,0,0,-0.1,-0.9,-0.2
"STANISLAV.GALIEV","F","20152016","WSH",24,218.9,200.8,16.4,0.7,-0.6,0.1,0,-0.2,-0.7,-0.1
"STEFAN.ELLIOTT","D","20152016","ARI",19,270.5,242.8,22.9,2.5,-0.8,-0.6,0,0.3,-1.1,-0.2
"STEFAN.MATTEAU","F","20152016","MTL",12,127.6,125.8,1.1,0.1,-1.3,0,0,0.3,-1.1,-0.2
"STEFAN.MATTEAU","F","20152016","N.J",20,201.5,187.5,13,0.2,-2.5,-0.4,0,0.1,-2.7,-0.5
"STEPHEN.GIONTA","F","20152016","N.J",82,1001.3,832.7,7.2,145.5,-2.3,-0.1,-1.7,-0.7,-4.7,-0.9
"STEPHEN.JOHNS","D","20152016","DAL",14,249.6,238.7,4,5,-1.5,0,0,0.3,-1.2,-0.2
"STEVE.BERNIER","F","20152016","NYI",24,265,261.5,7.2,0.2,-0.4,-0.1,0,0,-0.4,-0.1
"STEVE.DOWNIE","F","20152016","ARI",26,234.1,226.6,5,0,1.9,-0.1,0,-0.2,1.7,0.3
"STEVEN.KAMPFER","D","20152016","FLA",47,709.2,648.2,10,40,2,0.3,-0.7,0.4,2.1,0.4
"STEVEN.STAMKOS","F","20152016","T.B",77,1521.1,1139.5,259.6,59.6,4.8,2.9,0.4,1.3,9.3,1.8
"STEVE.OTT","F","20152016","STL",21,229.3,188.7,0.7,36.8,-0.5,0,0.2,-0.3,-0.6,-0.1
"SVEN.ANDRIGHETTO","F","20152016","MTL",44,621.1,555.2,59.5,0.3,4.4,-1.1,0,1,4.4,0.9
"SVEN.BAERTSCHI","F","20152016","VAN",69,928.7,791.1,117.1,2,3.1,0.5,0,1.6,5.1,1
"TANNER.GLASS","F","20152016","NYR",57,586.3,550.9,3.8,24.3,-1.4,0,0,0.1,-1.3,-0.3
"TANNER.KERO","F","20152016","CHI",17,209,173.1,3.5,27.5,-0.6,0,-0.9,0.4,-1.1,-0.2
"TANNER.PEARSON","F","20152016","L.A",79,1142.4,955.1,75.9,93.1,9.9,-1,-1.1,2.4,10.3,2
"TAYLOR.CHORNEY","D","20152016","WSH",55,724.4,655.7,1.8,65.1,2.7,0,0.1,-0.3,2.5,0.5
"TAYLOR.HALL","F","20152016","EDM",82,1573.1,1285.5,225.6,4.1,10.8,-0.4,0,-0.6,9.7,1.9
"TEDDY.PURCELL","F","20152016","EDM",61,1054.7,836.7,156,40.6,3.6,-1,-0.6,0.4,2.3,0.5
"TEDDY.PURCELL","F","20152016","FLA",15,214.8,176.1,34.3,0.8,0.3,1.4,0,0.4,2.1,0.4
"TEEMU.PULKKINEN","F","20152016","DET",36,413.4,345.1,62.1,0.4,0.8,-1,0,0.1,-0.1,0
"TEUVO.TERAVAINEN","F","20152016","CHI",78,1196.8,974.4,136,59.1,3.5,1.7,-1.3,0.8,4.8,0.9
"THOMAS.HICKEY","D","20152016","NYI",62,1079.1,912.4,22.6,125.4,3.7,-0.6,0.1,0.5,3.6,0.7
"THOMAS.VANEK","F","20152016","MIN",74,1153.7,915.1,185.1,1.4,1.9,1.1,0,-0.6,2.5,0.5
"TIM.SCHALLER","F","20152016","BUF",17,141.5,121,0.2,20.1,0.6,0,-0.3,0.6,0.9,0.2
"TJ.BRENNAN","D","20152016","TOR",7,105.7,99,1.9,2.7,-1.6,0,0,-0.5,-2,-0.4
"TJ.BRODIE","D","20152016","CGY",70,1768.2,1392.3,158.2,176.6,12.5,1,-1.9,4,15.6,3.1
"T.J..OSHIE","F","20152016","WSH",80,1516.9,1117,239.2,113.2,8.9,2.9,-0.1,1.8,13.6,2.7
"TOBIAS.ENSTROM","D","20152016","WPG",72,1501,1267.1,95.5,111,2.3,-2.7,-1,-0.2,-1.5,-0.3
