"player","position","season","Team","GP","TOI_all","TOI_EV","TOI_PP","TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","GAR","WAR"
"AARON.DOWNEY","F","20072008","DET",56,256.9,254.8,1.2,0.4,-0.6,0,0,-2.7,-3.3,-0.6
"AARON.JOHNSON","D","20072008","NYI",30,415.8,341.1,55.2,16.5,2.6,0.3,-0.1,-1.4,1.4,0.3
"AARON.MILLER","D","20072008","VAN",57,984.8,809.5,9.4,136.9,4,-0.1,1,0.7,5.5,1.1
"AARON.ROME","D","20072008","CBJ",17,309,259.8,20,28,-1.4,-0.6,0.3,0.3,-1.3,-0.2
"AARON.VOROS","F","20072008","MIN",55,502.5,413,72.2,0.1,0.6,0.3,0,-1.7,-0.8,-0.2
"AARON.WARD","D","20072008","BOS",65,1329.8,1041.3,107,152.7,4.7,0.1,-1.2,-0.5,3.1,0.6
"ADAM.BURISH","F","20072008","CHI",80,933.2,676,18.2,223.6,-3.6,-0.2,-1.9,0.9,-4.8,-0.9
"ADAM.FOOTE","D","20072008","CBJ",62,1480.5,1125.9,29.2,286.7,0.3,-0.6,2.6,0.7,2.9,0.6
"ADAM.FOOTE","D","20072008","COL",12,240.2,199.3,6.4,31.5,-2.1,0,-0.7,-0.5,-3.4,-0.7
"ADAM.HALL","F","20072008","PIT",46,546.1,372.9,9.7,141.7,-4.4,0.2,-0.6,0,-4.7,-0.9
"ADAM.MAIR","F","20072008","BUF",72,633.9,599.6,12.8,15.2,1.1,0,0.2,-0.8,0.6,0.1
"ADRIAN.AUCOIN","D","20072008","CGY",75,1563.9,1101.5,317.8,125,7.8,1.7,0,2.6,11.9,2.3
"ALAIN.NASREDDINE","D","20072008","PIT",6,77.3,66.2,0.4,10,-0.2,0,0.2,0,0.1,0
"ALES.HEMSKY","F","20072008","EDM",74,1372.3,1044.6,279.8,12.7,4,5,-0.1,3,12,2.3
"ALES.KOTALIK","F","20072008","BUF",79,1197.3,930.3,253.7,1.9,-3.9,4.3,0,-3.3,-2.9,-0.5
"ALEX.BURROWS","F","20072008","VAN",82,1236.7,940.4,18,235.6,5.8,-0.1,-2.1,2.5,6.1,1.2
"ALEX.EDLER","D","20072008","VAN",75,1594.4,1175.5,243.2,121,7.1,-0.4,0.8,0.1,7.6,1.5
"ALEXEI.PONIKAROVSKY","F","20072008","TOR",66,1049,832.5,123.3,44.1,4.4,2.1,0.2,-0.8,5.8,1.1
"ALEXEI.SEMENOV","D","20072008","S.J",22,335.4,273.3,31.2,27.6,-1.2,1.4,0.2,-0.3,0.2,0
"ALEXEI.ZHITNIK","D","20072008","ATL",65,1236.2,1080.6,60.2,82.3,-0.9,-0.9,-4,-1.7,-7.5,-1.4
"ALEX.FROLOV","F","20072008","L.A",71,1333.5,1035.7,251.4,14,9.4,1.4,0,0.1,10.9,2.1
"ALEX.KOVALEV","F","20072008","MTL",82,1598.9,1107.7,326.7,110,9.8,7,-0.8,2.8,18.8,3.6
"ALEX.OVECHKIN","F","20072008","WSH",82,1894.2,1371.5,456.7,12.4,19.1,2.3,-0.5,7.2,28.2,5.4
"ALEX.PICARD","D","20072008","T.B",20,437.9,344.5,34.4,56.1,-1.1,-0.4,0.9,1.4,0.8,0.1
"ALEX.RADULOV","F","20072008","NSH",81,1326.4,1034.4,247.2,2.7,13.1,-0.5,0,-0.4,12.2,2.3
"ALEX.SEMIN","F","20072008","WSH",63,1065.4,772.1,279,2.7,2,2,0,1,5,1
"ALEX.STEEN","F","20072008","TOR",76,1373.8,976.5,121.6,211.6,3.2,1.6,0,1.5,6.4,1.2
"ALEX.TANGUAY","F","20072008","CGY",77,1444.6,1049.9,231,124.2,6.6,1.8,0.4,-1.3,7.5,1.4
"ALLAN.ROURKE","D","20072008","EDM",13,142.1,137.1,0.3,4.2,0.9,0,0,0.5,1.4,0.3
"ANDERS.ERIKSSON","D","20072008","CGY",60,1242.6,959.9,121.3,143.5,3.7,0,1.5,0.7,5.9,1.1
"ANDREAS.KARLSSON","F","20072008","T.B",58,560.1,430.2,16.5,108.6,-0.3,-0.5,0.7,-0.4,-0.4,-0.1
"ANDREAS.LILJA","D","20072008","DET",79,1440.3,1184.8,9,233.4,1.2,-0.1,-0.3,-2.6,-1.7,-0.3
"ANDREI.KOSTITSYN","F","20072008","MTL",78,1217.2,949.5,224.9,4.8,8.4,1.2,0,2.8,12.3,2.4
"ANDREI.MARKOV","D","20072008","MTL",82,2042.3,1319.9,408.9,249.9,-0.1,10.3,1.8,3,14.9,2.9
"ANDREI.ZYUZIN","D","20072008","CHI",32,479,366.2,61,47.5,-2.2,0.2,-0.6,-1.9,-4.5,-0.9
"ANDREJ.MESZAROS","D","20072008","OTT",82,1717.5,1303.6,217.1,171.3,3.9,4.4,-0.2,1.2,9.3,1.8
"ANDREJ.SEKERA","D","20072008","BUF",37,710.1,596.5,41.1,66.8,4.2,0.5,0.1,0.6,5.4,1
"ANDRE.ROY","F","20072008","T.B",63,342.2,333.1,6.8,0.4,1.3,0,0,-0.6,0.7,0.1
"ANDREW.ALBERTS","D","20072008","BOS",35,721.7,606.6,8.4,79.8,0.1,0.3,-0.7,-1.1,-1.4,-0.3
