"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.EKBLAD","D","20152016","FLA",78,1378.33,0.52,0.26,0.35,1.13,5.83,7.62,9.93,0.27,8.96,6.86,3.54,2.31,3.4,5.01,1.61,0.87,0.61,0.26,0.04,0.04,0,0,0
"AARON.NESS","D","20152016","WSH",8,97.35,0,0,1.23,1.23,4.93,8.01,11.09,0.2,0,0,2.54,4.31,2.47,5.55,1.23,0,0,0,0,0,0,0,0
"ADAM.CLENDENING","D","20152016","EDM",20,281.42,0.21,0.21,0.85,1.28,6.4,8.95,11.51,0.25,3.33,2.38,2.76,5.76,3.2,8.1,2.56,0.43,1.07,0.43,0,0,0,0,0
"ADAM.CLENDENING","D","20152016","PIT",9,112.28,0,0,0.53,0.53,5.88,6.95,10.69,0.11,0,0,1.54,1.6,2.14,8.55,1.07,1.6,2.14,1.07,0,0,0,0,0
"ADAM.CRACKNELL","F","20152016","EDM",8,83.95,0,0,0,0,8.58,10.72,12.15,1.09,0,0,10.13,2.14,21.44,7.15,0.71,2.14,1.43,0,0,0,4,9,-5
"ADAM.CRACKNELL","F","20152016","VAN",44,505.17,0.59,0.48,0.12,1.19,6.41,8.91,11.76,0.51,9.26,6.67,5.69,2.49,10.93,5.94,1.31,2.38,0.71,0.83,0,0,141,206,-65
"ADAM.HENRIQUE","F","20152016","N.J",80,1109.7,1.03,0.16,0.54,1.73,5.89,7.35,9.19,0.66,17.43,13.97,8.92,2.05,2.92,3.62,1.08,1.46,0.38,0.59,0.05,0.05,452,567,-115
"ADAM.LARSSON","D","20152016","N.J",82,1520.05,0.08,0.24,0.28,0.59,2.45,3.91,5.92,0.11,3.23,2.02,2.79,4.22,5.84,6.08,0.83,0.75,0.83,0.2,0.08,0.04,0,0,0
"ADAM.LOWRY","F","20152016","WPG",74,855.83,0.49,0.35,0.28,1.12,4.7,6.1,7.99,0.53,10.45,8.05,8.74,2.45,12.27,4.21,1.05,1.68,0.84,0.56,0.21,0.21,310,355,-45
"ADAM.MCQUAID","D","20152016","BOS",64,979.63,0.06,0.18,0.18,0.43,2.57,3.61,6.37,0.06,2.38,1.69,1.73,5.45,7.84,5.39,1.65,0.43,1.41,0.86,0.24,0.24,0,0,0
"ADAM.PARDY","D","20152016","EDM",9,156.87,0,1.15,0,1.15,4.59,6.5,8.41,0.27,0,0,4.18,6.12,4.21,5.35,3.06,0.76,1.15,1.15,0,0,0,0,0
"ADAM.PARDY","D","20152016","WPG",14,149.95,0,0,0,0,3.6,5.6,8,0.2,0,0,3.64,2.8,6,9.2,1.6,0.8,1.2,0.8,0,0,0,0,0
"ADAM.PELECH","D","20152016","NYI",9,134.12,0,0.45,0,0.45,2.68,3.58,7.16,0.05,0,0,1.5,5.37,6.71,10.29,3.13,0,0,0,0,0,0,0,0
"ALEC.MARTINEZ","D","20152016","L.A",78,1297.45,0.28,0.32,0.14,0.74,3.7,6.24,9.99,0.21,7.5,4.44,3.39,6.47,6.47,6.06,2.08,0.18,0.65,0.32,0,0,0,0,0
"ALEKSANDER.BARKOV","F","20152016","FLA",66,948.07,1.14,0.76,0.57,2.47,7.97,10.13,11.96,0.79,14.29,11.25,7.83,1.77,2.4,4.62,1.33,2.34,0.19,1.01,0,0,439,456,-17
"ALES.HEMSKY","F","20152016","DAL",75,841.17,0.78,0.86,0.5,2.14,9.56,11.91,16.33,0.76,8.21,6.59,6.39,1.71,1.57,6.28,1.78,1.57,0.71,0.71,0,0,1,1,0
"ALEX.BIEGA","D","20152016","VAN",51,781.57,0,0.23,0.31,0.54,4.68,5.76,8.75,0.13,0,0,2.29,2.84,8.98,7.14,1.38,0.61,0.77,0.61,0,0,0,0,0
"ALEX.BURMISTROV","F","20152016","WPG",81,1057.32,0.28,0.28,0.4,0.96,5.05,7.72,10.38,0.46,5.62,3.68,5.99,1.36,6.58,4.77,2.27,1.65,0.79,1.13,0,0,164,255,-91
"ALEX.BURROWS","F","20152016","VAN",79,885.42,0.34,0.2,0.34,0.88,6.78,9.28,11.32,0.58,5,3.65,6.28,1.69,4.74,4.54,0.75,1.69,0.68,0.95,0,0,2,3,-1
"ALEX.CHIASSON","F","20152016","OTT",76,821.4,0.29,0.37,0.07,0.73,5.26,7.45,8.77,0.49,5.56,3.92,6.6,1.75,7.01,9.06,0.88,1.53,0.8,0.29,0.22,0.22,3,1,2
"ALEX.EDLER","D","20152016","VAN",52,941.72,0.19,0.13,0.32,0.64,4.78,7.45,10,0.14,4,2.56,1.9,4.97,4.33,6.31,2.1,0.83,1.02,0.38,0,0,0,0,0
"ALEXEI.EMELIN","D","20152016","MTL",71,1265.12,0,0.14,0.43,0.57,3.04,4.98,8.63,0.1,0,0,2.08,4.32,11.15,8.2,2.99,0.57,1.04,0.43,0.05,0.05,0,0,0
"ALEXEY.MARCHENKO","D","20152016","DET",66,960.45,0.12,0.25,0.25,0.62,2.5,4.25,6.68,0.13,5,2.94,3.1,3.81,2.37,5.5,1.5,0.37,0.12,0.44,0,0,0,0,0
"ALEX.GALCHENYUK","F","20152016","MTL",81,1072.58,1.17,0.62,0.45,2.24,8.56,11.58,14.82,0.84,13.73,10.14,7.29,1.79,3.41,5.99,1.73,1.57,0.45,0.78,0,0,311,336,-25
"ALEX.GOLIGOSKI","D","20152016","DAL",82,1545.58,0.16,0.43,0.47,1.05,4.11,6.02,9.67,0.16,3.77,2.58,2.74,4.62,3.22,3.11,2.41,0.47,0.58,0.27,0,0,0,0,0
"ALEX.GRANT","D","20152016","ARI",5,59.5,0,0,0,0,3.03,4.03,9.08,0.28,0,0,7,2.02,7.06,7.06,0,1.01,0,0,1.01,1.01,0,0,0
"ALEX.GRENIER","F","20152016","VAN",6,68.1,0,0,0,0,7.93,9.69,10.57,0.93,0,0,9.64,2.64,4.41,4.41,2.64,2.64,0.88,0,0,0,1,1,0
"ALEX.KHOKHLACHEV","F","20152016","BOS",5,51.23,0,0,0,0,4.68,7.03,11.71,0.26,0,0,3.67,1.17,2.34,5.86,1.17,0,0,1.17,0,0,0,2,-2
"ALEX.KILLORN","F","20152016","T.B",81,1102.03,0.49,0.87,0.33,1.69,6.26,9.15,12.03,0.51,7.83,5.36,5.61,1.14,3.76,5.93,1.85,1.52,0.87,0.93,0,0,23,42,-19
"ALEX.OVECHKIN","F","20152016","WSH",79,1227.83,1.42,0.1,0.59,2.1,12.12,16.52,23.55,1.03,11.69,8.58,6.25,1.47,10.7,3.67,1.86,0.93,1.03,0.88,0,0,0,0,0
"ALEX.PETROVIC","D","20152016","FLA",66,978.93,0.12,0.49,0.37,0.98,3.19,4.72,6.86,0.11,3.85,2.6,2.3,3.92,9.01,7.11,1.29,0.49,0.98,0.55,0.43,0.37,0,0,0
"ALEX.PIETRANGELO","D","20152016","STL",73,1477.23,0.24,0.65,0.28,1.18,5.89,7.68,10.52,0.27,4.14,3.17,3.53,4.1,1.62,5.36,1.26,1.26,0.24,0.53,0,0,0,0,0
"ALEX.SEMIN","F","20152016","MTL",14,142.42,0.42,0.42,0.84,1.69,6.74,9.69,13.48,0.43,6.25,4.35,4.43,1.26,2.53,7.16,2.95,2.11,2.11,0,0,0,0,0,0
"ALEX.STEEN","F","20152016","STL",67,1005.67,0.78,0.42,0.36,1.55,7.1,9.13,11.69,0.6,10.92,8.5,6.59,1.61,2.57,5.25,0.84,1.85,0.84,0.54,0,0,121,129,-8
"ALEX.TANGUAY","F","20152016","ARI",18,217.13,0.83,0.83,0.83,2.49,4.14,5.8,6.91,0.41,20,14.29,7,2.76,2.21,1.11,0.83,3.04,0.83,0.83,0,0,1,0,1
"ALEX.TANGUAY","F","20152016","COL",52,672.53,0.36,0.89,0.18,1.43,3.48,4.82,6.16,0.39,10.26,7.41,8.17,2.05,1.07,2.59,0.71,1.25,0.71,0.62,0,0,0,2,-2
"ALEX.WENNBERG","F","20152016","CBJ",69,874.02,0.41,0.82,0.34,1.58,4.32,6.52,8.03,0.52,9.52,6.32,7.96,2.47,2.13,3.36,1.24,2.68,0.07,1.17,0,0,337,451,-114
"ANDERS.LEE","F","20152016","NYI",80,935.48,0.38,0.51,0.32,1.22,8.92,11.87,14.11,0.86,4.32,3.24,7.28,1.99,9.81,8.21,1.22,1.99,0.71,0.13,0.19,0.19,1,5,-4
"ANDREAS.ATHANASIOU","F","20152016","DET",37,311.55,1.35,0.39,0.58,2.31,9.63,13.1,15.41,0.95,14,10.29,7.24,1.35,3.08,5.2,0.96,1.93,0,2.5,0.19,0,53,75,-22
"ANDREAS.MARTINSEN","F","20152016","COL",55,588.92,0.41,0.41,0.31,1.12,4.89,7.13,8.46,0.39,8.33,5.71,5.47,2.75,15.79,7.03,0.51,1.12,0.92,0.92,0.2,0.2,1,3,-2
"ANDRE.BURAKOVSKY","F","20152016","WSH",79,959.38,1.06,0.38,0.63,2.06,7.25,10.19,14.01,0.72,14.66,10.43,7.03,1.44,2.31,5.63,1.63,2.13,0.25,0.5,0,0,12,13,-1
"ANDREI.MARKOV","D","20152016","MTL",81,1420.6,0.04,0.72,0.3,1.06,3.29,5.19,9.17,0.14,1.28,0.81,2.72,4.86,1.99,3.34,2.96,1.14,0.46,0.25,0,0,0,0,0
"ANDREJ.NESTRASIL","F","20152016","CAR",55,707.3,0.42,0.68,0.34,1.44,7.72,10.77,14.68,0.71,5.49,3.94,6.59,1.1,2.29,5.68,1.27,2.38,0.25,0.34,0,0,7,14,-7
"ANDREJ.SEKERA","D","20152016","EDM",81,1408.73,0.13,0.21,0.21,0.55,4.39,6.01,10.65,0.19,2.91,2.13,3.2,5.54,2.34,7.45,2.77,1.19,0.26,0.17,0,0,0,0,0
"ANDREJ.SUSTR","D","20152016","T.B",77,1138.37,0.21,0.21,0.63,1.05,3.32,5.01,7.22,0.13,6.35,4.21,2.51,3,1.32,6.17,1.58,0.74,0.63,0.16,0,0,0,0,0
"ANDREW.AGOZZINO","F","20152016","COL",9,74.45,0,0,0.81,0.81,2.42,4.03,8.87,0.25,0,0,6.2,3.22,6.45,4.03,0.81,0,0,0,0,0,23,21,2
"ANDREW.BODNARCHUK","D","20152016","CBJ",16,220.77,0,0.27,0.27,0.54,1.36,1.9,4.89,0.04,0,0,2,2.17,5.44,7.88,0.54,0.27,1.09,0.27,0,0,0,0,0
"ANDREW.BODNARCHUK","D","20152016","COL",21,222.45,0,0.54,0,0.54,1.08,1.89,4.05,0.05,0,0,2.86,4.86,6.2,6.47,1.08,0.27,0.81,0.54,0,0,0,0,0
"ANDREW.CAMPBELL","D","20152016","TOR",6,66.97,0,0,0.9,0.9,0.9,2.69,2.69,0.1,0,0,3.67,8.06,4.48,9.86,0.9,0.9,0.9,0.9,0,0,0,0,0
"ANDREW.COGLIANO","F","20152016","ANA",82,1006.97,0.3,0.6,0.66,1.55,6.97,9.35,12.04,0.62,4.27,3.18,6.68,1.19,7.21,3.58,1.97,1.25,0.83,0.48,0,0,6,9,-3
"ANDREW.COPP","F","20152016","WPG",77,550.25,0.76,0.44,0.22,1.42,5.56,6.76,8.94,0.59,13.73,11.29,8.66,1.31,9.16,3.82,1.53,0.87,0.11,0.65,0,0,200,224,-24
"ANDREW.DESJARDINS","F","20152016","CHI",77,868.87,0.41,0.28,0.07,0.76,6.15,8.15,11.39,0.59,6.74,5.08,7.21,2.07,6.77,8.98,0.83,1.31,0.62,0.69,0.07,0.14,33,32,1
"ANDREW.FERENCE","D","20152016","EDM",6,70.53,0,0,0,0,3.4,5.1,9.36,0.09,0,0,1.67,3.4,7.66,5.95,1.7,0,2.55,0,0,0,0,0,0
"ANDREW.LADD","F","20152016","CHI",19,249.97,0.96,0,0.48,1.44,6.24,7.92,11.28,0.59,15.38,12.12,7.39,3.12,6.72,4.56,0.96,0.48,0.72,0.96,0,0,1,1,0
"ANDREW.LADD","F","20152016","WPG",59,816.65,0.59,0.44,0.59,1.62,7.79,10.73,15.14,0.7,7.55,5.48,6.53,1.4,8.3,4.04,1.76,1.47,0.81,0.81,0.22,0.22,6,1,5
"ANDREW.MACDONALD","D","20152016","PHI",28,481.23,0.12,0.37,0.25,0.75,2.24,4.24,6.61,0.11,5.56,2.94,2.71,7.85,1.5,4.61,2.37,0.5,0.12,0.5,0,0,0,0,0
"ANDREW.SHAW","F","20152016","CHI",78,958.93,0.44,0.38,0.5,1.31,8.2,11.33,14.95,0.82,5.34,3.87,7.26,1.31,8.82,11.01,1.31,1.25,1.06,1.06,0.19,0.19,134,157,-23
"ANDREY.PEDAN","D","20152016","VAN",13,135.65,0,0,0,0,4.87,7.52,11.94,0.13,0,0,1.76,3.1,17.69,8.4,2.21,0,0.88,0.44,0.88,0.88,0,0,0
"ANDY.ANDREOFF","F","20152016","L.A",60,518.07,0.93,0.23,0,1.16,5.21,7.41,9.96,0.59,17.78,12.5,7.95,1.27,9.38,5.91,1.39,1.39,0.81,1.04,0.81,0.93,132,130,2
"ANDY.GREENE","D","20152016","N.J",82,1520.58,0.04,0.16,0.12,0.32,2.13,3.67,5.17,0.11,1.85,1.08,2.96,4.42,2.25,4.22,1.03,0.87,0.32,0.28,0,0,0,0,0
"ANTHONY.BITETTO","D","20152016","NSH",28,335.55,0.18,0.18,0.72,1.07,3.4,5.36,7.33,0.18,5.26,3.33,3.3,7.33,11.09,3.76,1.43,0.36,1.07,0.89,0.18,0.18,0,0,0
"ANTHONY.DUCLAIR","F","20152016","ARI",81,921.93,0.78,0.65,0.59,2.02,4.49,6.77,8.2,0.59,17.39,11.54,8.67,1.76,1.5,5.14,1.04,1.43,0.98,1.5,0.07,0.07,0,1,-1
"ANTHONY.MANTHA","F","20152016","DET",10,96.98,0,0,0.62,0.62,9.9,12.99,14.85,0.81,0,0,6.24,1.86,2.47,3.71,1.24,2.47,0.62,0,0,0,0,0,0
"ANTHONY.PELUSO","F","20152016","WPG",35,221.48,0.27,0.27,0.81,1.35,4.33,7.04,8.94,0.41,6.25,3.85,5.77,1.08,21.94,10.02,1.63,0.81,3.25,0.81,1.08,1.08,0,0,0
"ANTOINE.ROUSSEL","F","20152016","DAL",80,944.7,0.57,0.44,0.38,1.4,6.41,9.72,11.94,0.76,8.91,5.88,7.78,2.41,7.18,9.08,1.4,1.59,2.16,1.97,0.57,0.57,12,17,-5
"ANTOINE.VERMETTE","F","20152016","ARI",76,946.75,0.51,0.25,0.25,1.01,5.7,7.29,9,0.54,8.89,6.96,7.43,3.3,3.42,3.55,1.33,1.33,1.77,0.44,0,0,541,459,82
"ANTON.LANDER","F","20152016","EDM",61,554.95,0.11,0.11,0.11,0.32,4.65,6.05,8.43,0.31,2.33,1.79,5.16,1.3,6.05,2.81,1.51,1.84,0.32,1.51,0,0,277,227,50
"ANTON.SLEPYSHEV","F","20152016","EDM",11,92.65,0,0.65,0,0.65,3.24,5.83,10.36,0.42,0,0,7.22,0.65,8.42,4.53,1.3,1.3,0.65,0.65,0,0,1,0,1
"ANTON.STRALMAN","D","20152016","T.B",73,1197.7,0.35,0.15,0.35,0.85,5.11,7.11,9.82,0.24,6.86,4.93,3.4,2.81,4.06,4.76,1.1,1.1,0.45,0.1,0,0,0,0,0
"ANZE.KOPITAR","F","20152016","L.A",81,1264.13,0.85,0.95,0.62,2.42,5.74,8.07,10.39,0.73,14.88,10.59,9.02,2.23,3.51,5.08,1.38,1.66,0.38,0.95,0,0,674,604,70
"ARTEM.ANISIMOV","F","20152016","CHI",77,1088.7,0.61,0.44,0.44,1.49,5.13,6.89,9.53,0.58,11.83,8.8,8.39,1.49,2.42,4.85,0.72,1.16,0.28,0.33,0,0,389,471,-82
"ARTEMI.PANARIN","F","20152016","CHI",80,1210.42,0.94,0.64,0.74,2.33,7.34,9.67,12.89,0.59,12.84,9.74,6.06,0.64,2.08,5.45,1.59,1.34,0.64,0.84,0,0,0,0,0
"AUSTIN.WATSON","F","20152016","NSH",57,514.98,0.23,0.47,0.23,0.93,6.17,7.92,10.25,0.55,3.77,2.94,7,4.66,8.62,6.06,1.05,1.05,0.82,0.23,0.12,0.12,6,6,0
"BARCLAY.GOODROW","F","20152016","S.J",14,127.53,0,0,0.47,0.47,3.29,5.65,5.65,0.28,0,0,5,0.94,3.76,8,1.41,1.41,1.41,0.94,0.94,0.94,4,0,4
"BARRET.JACKMAN","D","20152016","NSH",73,943.6,0.06,0.06,0.13,0.25,4.07,5.85,8.2,0.13,1.56,1.09,2.18,4.77,6.04,5.98,2.03,0.51,1.08,0.19,0.38,0.38,0,0,0
"BEAU.BENNETT","F","20152016","PIT",33,338.03,0.89,0.18,0.53,1.6,7.81,9.94,13.49,0.53,11.36,8.93,5.36,0.89,11,8.34,1.06,0.89,0.71,0.18,0,0,2,3,-1
"BEN.CHIAROT","D","20152016","WPG",70,950.28,0.06,0.13,0.44,0.63,4.74,7.2,10.35,0.16,1.33,0.88,2.24,5.49,7.96,10.1,2.02,0.88,0.63,0.51,0.06,0.06,0,0,0
"BEN.HARPUR","D","20152016","OTT",5,66.77,0,0.9,0,0.9,2.7,3.59,3.59,0.08,0,0,2.25,6.29,8.09,8.09,1.8,0,0.9,0,0,0,0,0,0
"BEN.HUTTON","D","20152016","VAN",75,1219.18,0.05,0.44,0.3,0.79,3.69,5.02,8.17,0.15,1.33,0.98,3,4.33,1.92,4.97,2.26,1.23,0.3,0.54,0,0,0,0,0
