"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"DENNIS.WIDEMAN","D","20112012","WSH",82,1505.8,0.2,0.48,0.24,0.92,4.54,6.93,9.68,0.19,4.39,2.87,2.67,4.02,3.59,6.97,1.99,0.76,0.88,0.28,0,0,0,0,0
"DEREK.DORSETT","F","20112012","CBJ",77,919.58,0.59,0.33,0.13,1.04,7.31,9.53,11.22,0.66,8.04,6.16,6.92,2.02,12.27,8.35,0.65,1.76,2.15,2.02,1.04,1.04,4,11,-7
"DEREK.JOSLIN","D","20112012","CAR",44,416.23,0.29,0.14,0,0.43,4.76,6.92,9.95,0.24,6.06,4.17,3.52,3.32,6.78,4.18,0.43,0.72,0.72,0.58,0.43,0.43,1,0,1
"DEREK.MACKENZIE","F","20112012","CBJ",66,567.17,0.42,0.21,0.42,1.06,5.61,7.3,8.78,0.42,7.55,5.8,5.78,1.48,19.68,5.61,0.95,1.9,0.95,1.38,0.21,0.21,208,168,40
"DEREK.MORRIS","D","20112012","ARI",58,910.6,0.13,0.13,0.33,0.59,4.02,5.8,9.03,0.12,3.28,2.27,2.05,3.76,5.01,3.89,1.12,0.46,0.79,0.2,0,0,0,0,0
"DEREK.ROY","F","20112012","BUF",80,1179.17,0.46,0.46,0.56,1.48,6.36,8.34,11.65,0.5,7.2,5.49,6.01,1.88,1.58,2.8,2.14,1.68,0.97,0.76,0,0,514,512,2
"DEREK.SMITH","D","20112012","CGY",47,680.1,0.18,0.44,0,0.62,3.26,6.35,8.38,0.16,5.41,2.78,2.53,4.5,2.29,4.59,1.59,1.15,0.44,0.26,0,0,0,0,0
"DEREK.STEPAN","F","20112012","NYR",82,1170.93,0.67,0.77,0.31,1.74,6.56,8.45,10.97,0.71,10.16,7.88,8.38,1.69,6.51,4.92,0.61,2,0.26,0.36,0,0,308,384,-76
"DERICK.BRASSARD","F","20112012","CBJ",74,955.45,0.57,0.69,0.38,1.63,5.71,6.97,9.92,0.57,9.89,8.11,8.21,0.94,8.04,2.83,1.32,1.82,0.82,1.38,0.13,0.06,240,298,-58
"DERYK.ENGELLAND","D","20112012","PIT",73,1099.45,0.22,0.27,0.44,0.93,4.64,6.77,10.1,0.15,4.71,3.23,2.18,3.49,9.17,7.8,0.98,0.49,0.49,0.33,0.33,0.38,0,0,0
"DEVANTE.SMITH-PELLY","F","20112012","ANA",49,489.05,0.61,0.25,0.37,1.23,7.36,10.31,13.13,0.59,8.33,5.95,5.68,0.74,11.9,9.2,2.09,0.61,0.37,0.61,0,0,5,12,-7
"DEVIN.SETOGUCHI","F","20112012","MIN",68,972.82,0.49,0.19,0.25,0.93,7.77,9.99,13.75,0.73,6.35,4.94,7.26,1.36,4.38,3.15,1.11,1.67,0.68,0.86,0,0,3,8,-5
"DION.PHANEUF","D","20112012","TOR",82,1539.28,0.19,0.27,0.27,0.74,5.03,7.48,10.88,0.2,3.88,2.6,2.64,3.55,7.29,3.86,2.1,0.97,0.86,0.66,0.12,0.12,0,0,0
"DMITRY.KULIKOV","D","20112012","FLA",58,1034.52,0.12,0.46,0.35,0.93,4,6.55,9.74,0.14,2.9,1.77,2.19,4,5.63,8.41,2.09,1.33,0.75,0.58,0,0,0,0,0
"DMITRY.ORLOV","D","20112012","WSH",60,922.08,0.2,0.39,0.46,1.04,2.93,4.23,6.18,0.12,6.67,4.62,2.92,3.19,5.92,4.1,2.86,1.37,0.2,0.33,0,0,0,1,-1
"DOMINIC.MOORE","F","20112012","S.J",23,284.17,0,0.63,0.63,1.27,5.7,8.66,10.77,0.5,0,0,5.78,1.06,2.96,6.33,0.84,1.9,0.63,0.63,0,0,92,80,12
"DOMINIC.MOORE","F","20112012","T.B",56,734.65,0.25,0.57,0.41,1.23,5.39,7.02,10.29,0.36,4.55,3.49,5.15,0.98,2.53,6.45,1.06,0.82,1.72,0.98,0,0,247,210,37
"DOUG.JANIK","D","20112012","DET",9,124.05,0,0.48,0,0.48,2.9,7.26,12.09,0.18,0,0,2.47,2.42,3.39,7.74,0.97,0.97,1.45,0.48,0,0,0,0,0
"DOUGLAS.MURRAY","D","20112012","S.J",60,978.42,0,0.18,0.06,0.25,4.17,5.64,7.97,0.13,0,0,2.3,6.93,7.48,5.95,1.84,0.74,0.55,0.25,0.06,0.06,0,0,0
