"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.GAGNON","F","20102011","DAL",19,143.03,0,0,0.84,0.84,3.36,7.55,10.49,0.31,0,0,4.11,1.68,5.03,4.61,0,1.68,0,0,0,0,28,23,5
"AARON.ROME","D","20102011","VAN",56,837.5,0,0.07,0,0.07,3.15,4.73,6.95,0.12,0,0,2.64,3.65,5.52,7.45,1.22,0.86,1.15,0.14,0.07,0.07,0,0,0
"AARON.VOLPATTI","F","20102011","VAN",15,97.28,0.62,0.62,0,1.23,3.7,4.32,6.78,0.28,16.67,14.29,6.57,1.85,21.59,11.1,0,0,1.85,0.62,1.23,1.23,0,0,0
"AARON.VOROS","F","20102011","ANA",12,66.32,0,0,0,0,7.24,8.14,9.05,0.55,0,0,6.78,0.9,10.86,14.48,0,0.9,4.52,2.71,3.62,3.62,2,1,1
"ADAM.BURISH","F","20102011","DAL",63,750.12,0.56,0.24,0.24,1.04,6.56,8.88,10.4,0.59,8.54,6.31,6.68,3.76,6.08,8.24,1.04,0.96,1.44,1.44,0.16,0.16,183,147,36
"ADAM.CRACKNELL","F","20102011","STL",24,206.52,0.87,0.87,0.29,2.03,6.68,10.17,12.78,0.54,13.04,8.57,5.31,2.03,8.43,5.81,0.29,2.03,0.87,0.58,0,0,46,69,-23
"ADAM.FOOTE","D","20102011","COL",47,695.63,0,0.17,0.43,0.6,1.9,2.42,3.45,0.08,0,0,3.36,4.49,3.71,2.67,1.12,0.35,0.86,0.6,0,0.09,0,0,0
"ADAM.HALL","F","20102011","T.B",82,953.3,0.44,0.38,0.13,0.94,9.82,12.9,14.6,0.86,4.49,3.41,6.7,2.52,9.32,6.86,0.76,0.76,0.5,1.13,0.13,0.13,263,184,79
"ADAM.MAIR","F","20102011","N.J",65,551.07,0.11,0.22,0.11,0.44,6.21,8.06,9.47,0.5,1.75,1.35,6.18,1.52,6.64,4.9,0.98,1.31,0.87,0.87,0.54,0.54,53,51,2
"ADAM.MCQUAID","D","20102011","BOS",67,891.78,0.2,0.4,0.4,1.01,3.09,4.17,8.28,0.11,6.52,4.84,2.74,7.27,6.53,6.39,0.94,0.34,0.67,0.54,0.81,0.87,0,0,0
