"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.EKBLAD","D","20162017","FLA",68,1193.72,0.25,0.15,0.2,0.6,7.84,10.45,13.57,0.35,3.21,2.4,3.32,2.92,4.17,3.82,2.56,1.16,1.06,0.65,0,0,0,0,0
"ADAM.CLENDENING","D","20162017","NYR",31,432.23,0.14,0.28,0.83,1.25,4.72,6.94,10.41,0.12,2.94,2,1.68,3.61,2.78,8.88,2.5,0.83,0.83,0.56,0.14,0.14,0,0,0
"ADAM.CRACKNELL","F","20162017","DAL",69,677.6,0.8,0.27,0.27,1.33,7,10.36,13.99,0.59,11.39,7.69,5.71,3.19,7.97,4.43,1.33,1.68,0.35,1.06,0,0,128,150,-22
"ADAM.ERNE","F","20162017","T.B",26,278.82,0.65,0,0,0.65,7.75,11.41,12.91,0.62,8.33,5.66,5.45,2.8,14.85,4.73,1.08,0.43,0.65,0.86,0.22,0.22,0,1,-1
"ADAM.HENRIQUE","F","20162017","N.J",82,1069.38,0.62,0.5,0.34,1.46,5.84,8.19,10.55,0.67,10.58,7.53,8.14,2.75,4.38,4.38,1.07,1.85,0.67,0.79,0,0,437,480,-43
"ADAM.LARSSON","D","20162017","EDM",79,1423.8,0.17,0.08,0.46,0.72,3.37,4.97,8.18,0.14,5,3.39,2.8,5.35,9.82,5.98,2.82,1.01,0.8,0.21,0,0,0,0,0
"ADAM.LOWRY","F","20162017","WPG",82,965.78,0.56,0.31,0.25,1.12,5.65,7.58,9.57,0.69,9.89,7.38,9.13,2.36,12.24,6.4,1.12,1.3,0.62,0.68,0.12,0.12,478,453,25
"ADAM.MCQUAID","D","20162017","BOS",77,1191.53,0.1,0.15,0.15,0.4,2.92,4.43,6.45,0.09,3.45,2.27,1.93,4.99,7.3,5.64,1.06,0.45,0.7,0.55,0.25,0.25,0,0,0
"ADAM.PELECH","D","20162017","NYI",44,691.02,0.26,0.09,0.52,0.87,3.39,4.86,7.64,0.11,7.69,5.36,2.27,4.69,6.16,5.38,2.26,1.48,0.26,0.43,0,0,0,0,0
"ADRIAN.KEMPE","F","20162017","L.A",25,267.8,0.45,0,0.22,0.67,6.27,8.29,11.87,0.45,7.14,5.41,5.43,1.34,4.93,2.91,2.02,0.9,0.45,1.12,0,0,58,73,-15
"A.J..GREER","F","20162017","COL",5,63.8,0,0,0.94,0.94,5.64,6.58,7.52,0.65,0,0,9.86,2.82,3.76,5.64,1.88,0.94,0.94,0.94,0,0,0,0,0
"ALAN.QUINE","F","20162017","NYI",61,670.75,0.27,0.54,0.54,1.34,6.71,8.05,10.29,0.57,4,3.33,7.12,2.42,6.8,3.85,1.61,1.34,0.27,0.27,0,0,242,256,-14
"ALEC.MARTINEZ","D","20162017","L.A",82,1387.9,0.26,0.26,0.35,0.86,4.19,6.44,9.47,0.25,6.19,4.03,3.87,5.27,5.1,5.84,1.95,0.17,0.39,0.17,0,0,0,0,0
"ALEKSANDER.BARKOV","F","20162017","FLA",61,898.77,1.2,0.93,0.27,2.4,6.88,8.95,10.95,0.65,17.48,13.43,7.31,1.74,2.14,5.21,1.4,2.74,0.13,0.93,0,0,364,436,-72
"ALES.HEMSKY","F","20162017","DAL",15,187.25,0.96,0.64,0,1.6,7.69,10.25,13.14,0.85,12.5,9.38,8.25,0.96,0.32,4.17,1.28,2.88,0,0,0,0,0,0,0
"ALEX.BIEGA","D","20162017","VAN",36,440.3,0,0.14,0.27,0.41,5.04,7.77,10.49,0.16,0,0,2.11,3.13,12.67,8.31,0.95,0.68,1.09,0.27,0,0,0,0,0
"ALEX.BURMISTROV","F","20162017","ARI",26,328.83,0.18,0.91,0.55,1.64,3.65,5.47,7.12,0.36,5,3.33,6.5,2.37,5.66,2.55,1.09,1.28,0.18,0.55,0,0,120,148,-28
"ALEX.BURMISTROV","F","20162017","WPG",23,218.27,0,0.27,0,0.27,3.3,5.22,8.52,0.19,0,0,3.63,0.55,7.42,5.77,1.92,1.1,0.55,0.55,0,0,47,77,-30
"ALEX.BURROWS","F","20162017","OTT",20,233.97,1.03,0.77,0.51,2.31,6.15,7.18,12.82,0.59,16.67,14.29,8.18,3.33,6.15,5.64,0.77,0.26,0,0.26,0.26,0.26,3,2,1
"ALEX.BURROWS","F","20162017","VAN",55,707.07,0.59,0.42,0.34,1.36,8.99,11.37,14.17,0.61,6.6,5.22,5.4,1.27,3.56,4.16,1.19,2.46,1.19,1.02,0.08,0.08,0,3,-3
"ALEX.CHIASSON","F","20162017","CGY",81,934.5,0.71,0.26,0.32,1.28,6.04,7.38,9.5,0.44,11.7,9.57,5.91,1.03,4.43,5.71,1.22,1.86,0.64,0.39,0.06,0.06,7,21,-14
"ALEX.EDLER","D","20162017","VAN",68,1294.72,0.14,0.23,0.32,0.7,5.05,6.81,10.43,0.15,2.75,2.04,2.21,4.54,4.17,6.07,1.48,0.42,0.7,0.32,0,0,2,1,1
"ALEXEI.EMELIN","D","20162017","MTL",76,1397.52,0.09,0.09,0.21,0.39,3.52,5.45,8.54,0.13,2.44,1.57,2.31,3.86,9.1,8.89,2.66,0.47,1.2,0.69,0,0,0,0,0
"ALEXEY.MARCHENKO","D","20162017","DET",30,463.5,0,0.13,0.52,0.65,3.37,5.18,7.12,0.14,0,0,2.65,4.14,0.91,3.88,1.81,0.39,0.65,0.26,0,0,0,0,0
"ALEXEY.MARCHENKO","D","20162017","TOR",11,152.28,0.39,0,0.39,0.79,3.55,7.09,9.06,0.2,11.11,5.56,2.89,5.52,5.52,4.33,1.97,0.79,0,0.39,0,0,0,0,0
"ALEX.GALCHENYUK","F","20162017","MTL",61,814.65,0.74,0.81,0.44,1.99,5.82,8.25,11.27,0.62,12.66,8.93,7.47,2.36,2.58,5.45,2.14,1.1,0.59,0.44,0,0,230,312,-82
"ALEX.GOLIGOSKI","D","20162017","ARI",82,1499.7,0.16,0.4,0.48,1.04,3.84,5.32,7.84,0.14,4.17,3.01,2.58,4.28,4.92,4,1.76,0.48,0.36,0.2,0,0,0,0,0
"ALEX.KILLORN","F","20162017","T.B",81,1115.43,0.7,0.43,0.11,1.24,7.32,10.44,12.59,0.61,9.56,6.7,5.87,1.13,5,5.49,1.88,1.13,1.08,0.97,0.11,0.11,2,8,-6
"ALEX.OVECHKIN","F","20162017","WSH",82,1172.35,0.77,0.77,0.61,2.15,10.54,14.94,20.22,0.93,7.28,5.14,6.2,1.33,10.54,3.53,1.94,1.28,1.23,1.07,0,0,0,1,-1
"ALEX.PETROVIC","D","20162017","FLA",49,810.22,0.07,0.37,0.59,1.04,3.92,5.92,7.92,0.12,1.89,1.25,2.1,3.63,7.78,5.11,1.63,1.11,1.41,0.74,0.22,0.22,0,0,0
"ALEX.PIETRANGELO","D","20162017","STL",80,1549.07,0.23,0.43,0.31,0.97,5.19,6.97,10.19,0.18,4.48,3.33,2.59,4.49,1.28,4.45,0.66,1.59,0.31,0.19,0,0,0,1,-1
"ALEX.RADULOV","F","20162017","MTL",76,1143.53,0.47,0.94,0.37,1.78,6.56,9.5,12.75,0.71,7.2,4.97,7.43,2.1,3.57,7.5,2.57,2.05,1.36,1.15,0,0,5,6,-1
"ALEX.STEEN","F","20162017","STL",76,1070.1,0.5,0.62,0.56,1.68,4.49,6.67,8.47,0.47,11.25,7.56,7.05,2.64,1.57,5.1,0.62,1.12,0.84,0.9,0.06,0.06,82,117,-35
"ALEX.TUCH","F","20162017","MIN",6,64.22,0,0,0,0,7.47,9.34,14.01,0.8,0,0,8.6,6.54,4.67,7.47,0,1.87,0,0,0,0,0,0,0
"ALEX.WENNBERG","F","20162017","CBJ",80,1173.67,0.56,0.92,0.36,1.84,4.45,5.37,7.11,0.4,12.64,10.48,7.41,2.61,2.81,3.94,1.28,2.04,0.36,0.56,0.05,0.05,539,579,-40
"ANDERS.LEE","F","20162017","NYI",81,1041.83,1.38,0.46,0.29,2.13,8.47,10.88,12.79,0.94,16.33,12.7,8.63,1.84,9.5,4.84,1.32,1.21,0.81,0.46,0.06,0.06,2,7,-5
"ANDREAS.ATHANASIOU","F","20162017","DET",64,737.2,1.38,0.41,0.24,2.03,8.71,12.78,16.68,0.9,15.89,10.83,7.07,1.71,2.28,4.56,1.22,1.06,0.49,0.81,0.16,0.16,35,44,-9
"ANDREAS.MARTINSEN","F","20162017","COL",54,450.18,0.4,0.13,0.13,0.67,7.46,10.8,13.59,0.57,5.36,3.7,5.26,2.4,17.33,5.73,1.07,2.4,1.33,0.53,0.27,0.27,3,0,3
"ANDREAS.MARTINSEN","F","20162017","MTL",9,106.83,0,0,0,0,7.86,11.23,12.36,0.64,0,0,5.7,1.68,15.16,9.55,1.12,1.12,0,0,0,0,0,1,-1
"ANDRE.BURAKOVSKY","F","20162017","WSH",64,750.13,0.72,0.72,0.8,2.24,7.76,10.16,15.84,0.63,9.28,7.09,6.2,1.92,2.48,5.92,2.24,2.56,0.56,0.24,0,0,2,5,-3
"ANDREI.MARKOV","D","20162017","MTL",62,1065.75,0.28,0.62,0.39,1.29,4.45,6.31,9.8,0.15,6.33,4.46,2.37,3.32,2.08,3.55,3.27,1.24,0.39,0.34,0,0,0,0,0
"ANDREJ.NESTRASIL","F","20162017","CAR",19,193.08,0.31,0.93,0.31,1.55,7.77,9.32,11.19,0.66,4,3.33,7.07,1.55,2.49,4.35,2.18,3.42,0.31,0,0,0,2,7,-5
"ANDREJ.SEKERA","D","20162017","EDM",80,1352.63,0.22,0.49,0.27,0.98,3.64,5.81,9.67,0.22,6.1,3.82,3.82,5.9,2.13,5.46,3.77,1.38,0.35,0.18,0,0,0,0,0
"ANDREJ.SUSTR","D","20162017","T.B",80,1228.15,0.15,0.24,0.29,0.68,4.49,5.76,7.91,0.17,3.26,2.54,2.9,3.42,2,4.74,2,0.64,0.88,0.15,0.05,0.05,0,1,-1
"ANDREW.COGLIANO","F","20162017","ANA",82,1075.57,0.61,0.5,0.5,1.62,8.76,11.27,14.45,0.69,7.01,5.45,6.14,1.23,4.13,2.9,1.34,0.78,0.56,0.67,0,0,5,7,-2
"ANDREW.COPP","F","20162017","WPG",64,670.98,0.72,0.45,0.18,1.34,5.99,7.78,9.84,0.6,11.94,9.2,7.71,1.52,7.42,5.63,1.16,1.25,0.63,0.36,0,0,70,62,8
"ANDREW.DESJARDINS","F","20162017","CHI",46,399.62,0,0,0.15,0.15,6.31,8.26,11.86,0.61,0,0,7.38,1.8,10.96,8.56,1.5,1.35,0.9,1.05,0.3,0.3,35,28,7
"ANDREW.LADD","F","20162017","NYI",78,1013.22,1.01,0.24,0.06,1.3,7.11,9.95,13.5,0.69,14.17,10.12,6.89,2.84,5.98,4.5,2.01,1.84,0.77,0.3,0.06,0.06,3,3,0
"ANDREW.MACDONALD","D","20162017","PHI",73,1235.02,0.1,0.53,0.19,0.83,3.01,4.47,7.53,0.13,3.23,2.17,2.85,5.88,1.8,5.88,1.94,0.34,0.49,0.34,0,0,0,0,0
"ANDREW.SHAW","F","20162017","MTL",68,868.47,0.69,0.28,0.48,1.45,7.74,10.16,13.33,0.8,8.93,6.8,7.86,2.28,9.53,10.29,1.8,1.87,0.76,1.31,0.35,0.35,189,146,43
"ANDY.ANDREOFF","F","20162017","L.A",36,367.2,0,0.33,0,0.33,6.21,9.15,13.07,0.63,0,0,6.93,1.14,11.27,7.68,1.63,0.82,2.45,1.14,0.16,0.33,41,25,16
"ANDY.GREENE","D","20162017","N.J",66,1134.62,0.05,0.16,0.16,0.37,3.81,6.19,8.57,0.16,1.39,0.85,2.67,4.07,2.22,3.75,1.37,1.11,0.21,0.21,0,0,0,0,0
"ANTHONY.BEAUVILLIER","F","20162017","NYI",66,819.93,0.66,0.51,0.51,1.68,6.95,9.29,11.85,0.6,9.47,7.09,6.47,1.9,5.78,5.05,2.05,1.24,0.37,0.29,0,0,115,161,-46
"ANTHONY.BITETTO","D","20162017","NSH",29,327.67,0,0.55,0.73,1.28,2.75,4.94,7.87,0.1,0,0,2.07,4.39,7.51,8.06,1.46,0.18,1.28,0.18,0.18,0.18,0,0,0
"ANTHONY.DUCLAIR","F","20162017","ARI",58,688.28,0.44,0.52,0.17,1.13,5.49,7.67,10.55,0.64,7.94,5.68,8.35,1.48,1.83,5.32,1.39,2.53,0.52,0.78,0,0,4,4,0
