"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.JOHNSON","D","20082009","CHI",38,452.92,0.26,0.13,0.53,0.93,3.18,5.3,7.15,0.15,8.33,5,2.9,3.18,4.77,5.03,1.19,0.93,1.19,0.26,0.13,0.13,0,0,0
"AARON.MACKENZIE","D","20082009","COL",5,66.07,0,0,0,0,2.72,4.54,7.27,0.12,0,0,2.6,5.45,5.45,7.27,0,0.91,0,0.91,0,0,0,0,0
"AARON.ROME","D","20082009","CBJ",8,113.35,0,0.53,0,0.53,3.18,5.29,6.88,0.07,0,0,1.4,2.65,6.35,5.82,0.53,0.53,0,0,0,0,0,0,0
"AARON.VOROS","F","20082009","NYR",54,504.55,0.59,0.71,0.24,1.55,5.95,8.44,9.87,0.62,10,7.04,7.32,0.83,12.84,8.44,1.19,0.59,2.5,1.78,0.95,0.95,4,6,-2
"AARON.WARD","D","20082009","BOS",64,1027.47,0.12,0.12,0.18,0.41,2.74,4.44,6.72,0.09,4.26,2.63,2.11,5.66,7.59,4.85,0.99,0.29,0.99,0.18,0,0,0,0,0
"ADAM.BURISH","F","20082009","CHI",66,470.15,0.77,0.26,0.13,1.15,9.57,10.98,12.12,0.86,8,6.98,7.8,1.91,5.23,8.93,0.13,0.89,2.04,1.91,0.64,0.64,34,51,-17
"ADAM.FOOTE","D","20082009","COL",42,655.47,0.09,0.09,0.46,0.64,1.56,2.38,3.66,0.07,5.88,3.85,3.08,4.49,3.84,3.66,2.11,1.19,1.19,0.18,0,0,0,0,0
"ADAM.HALL","F","20082009","T.B",74,623.92,0.38,0.29,0.1,0.77,7.69,10.1,12.5,0.57,5,3.81,5.66,1.83,7.69,6.25,0.48,1.44,0.29,1.35,0.29,0.29,115,90,25
"ADAM.MAIR","F","20082009","BUF",75,751.35,0.56,0.48,0.4,1.44,5.91,8.54,10.3,0.52,9.46,6.54,6.05,1.36,8.31,5.27,1.68,1.44,1.68,0.64,0.4,0.4,188,192,-4
"ADAM.PARDY","D","20082009","CGY",59,813.12,0.07,0.22,0.44,0.74,2.58,4.28,6.49,0.09,2.86,1.72,2.14,2.73,5.53,8.19,1.48,1.33,1.62,0.66,0.07,0.07,0,0,0
"ADRIAN.AUCOIN","D","20082009","CGY",80,1189.47,0.3,0.25,0.35,0.91,4.29,6.81,10.34,0.17,7.06,4.44,2.43,2.02,2.32,1.16,1.11,0.91,0.81,0.3,0,0,0,0,0
"ALES.HEMSKY","F","20082009","EDM",72,997.77,1.02,0.54,0.3,1.86,8.24,10.58,15.21,0.58,12.41,9.66,5.47,1.92,0.9,5.29,2.89,1.92,0.72,1.62,0,0,0,4,-4
"ALES.KOTALIK","F","20082009","BUF",56,658.38,0.46,0.46,0.27,1.18,9.57,11.66,14.95,0.53,4.76,3.91,4.56,1.09,7.66,4.65,1.28,1.37,0.64,0.55,0,0,15,25,-10
"ALES.KOTALIK","F","20082009","EDM",19,251.75,0.95,0,0.48,1.43,10.96,15.25,18.59,0.78,8.7,6.25,5.12,2.14,5.96,3.1,1.67,1.43,0.24,0.71,0,0,6,1,5
"ALEX.BURROWS","F","20082009","VAN",81,1056.93,1.19,0.62,0.57,2.38,8.34,11.41,13.96,0.79,14.29,10.45,6.95,1.25,3.63,4.71,1.25,2.72,1.99,1.99,0.17,0.23,30,33,-3
"ALEX.EDLER","D","20082009","VAN",79,1243.82,0.14,0.29,0.19,0.63,4.24,6.56,10.03,0.17,3.41,2.21,2.59,3.42,4.34,5.84,2.32,1.16,1.01,0.58,0,0,1,0,1
"ALEXEI.PONIKAROVSKY","F","20082009","TOR",81,1011.45,1.01,1.01,0.53,2.55,8.72,12.46,15.6,0.74,11.56,8.1,5.97,2.55,5.64,4.75,1.6,1.66,0.77,0.77,0,0,4,4,0
"ALEXEI.SEMENOV","D","20082009","S.J",47,564.98,0.11,0.11,0.42,0.64,2.87,4.25,6.8,0.08,3.7,2.5,1.92,2.55,5.42,4.67,2.02,1.06,2.02,1.27,0.32,0.32,0,1,-1
"ALEX.FROLOV","F","20082009","L.A",77,1060.2,0.91,0.28,0.45,1.64,6,8.77,10.81,0.73,15.09,10.32,8.3,0.62,2.38,3.79,2.32,2.32,0.62,0.62,0,0,3,2,1
"ALEX.GIROUX","F","20082009","WSH",12,114.33,0.52,0.52,0,1.05,9.45,12.6,16.27,1.03,5.56,4.17,8.17,1.05,11.02,9.45,1.57,3.15,2.62,0.52,0,0,0,1,-1
"ALEX.GOLIGOSKI","D","20082009","PIT",45,632.13,0.19,0.47,0.28,0.95,3.7,5.32,8.45,0.13,5.13,3.57,2.46,4.18,2.56,2.56,1.61,0.66,0.57,0.66,0,0,0,0,0
"ALEX.KOVALEV","F","20082009","MTL",78,1040.98,0.81,0.52,0.35,1.67,7.84,10.89,14.18,0.77,10.29,7.41,7.03,0.63,2.48,5.65,2.82,1.67,1.38,1.38,0,0,12,16,-4
