"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.DOWNEY","F","20072008","DET",56,254.82,0,0.71,0,0.71,3.53,4.47,5.18,0.32,0,0,7.21,1.41,18.37,11.3,0.94,0.71,5.18,1.88,1.88,1.88,0,0,0
"AARON.JOHNSON","D","20072008","NYI",30,341.08,0,0,0.18,0.18,2.29,3.17,5.98,0.05,0,0,1.72,4.4,6.33,6.68,2.29,2.29,2.29,0.7,0,0,0,0,0
"AARON.MILLER","D","20072008","VAN",57,809.47,0.07,0.07,0.52,0.67,1.93,3.19,4.74,0.08,3.85,2.33,2.4,4.3,2.37,5.26,2.08,0.89,0.59,0.3,0,0,0,0,0
"AARON.ROME","D","20072008","CBJ",17,259.82,0.23,0,0.23,0.46,3,4.85,6.7,0.1,7.69,4.76,2,3.69,7.39,5.08,0.92,0.46,0.92,0.46,0.69,0.69,0,0,0
"AARON.VOROS","F","20072008","MIN",55,413.02,1.02,0.73,0.15,1.89,5.81,7.7,9.73,0.52,17.5,13.21,6.7,0.58,13.07,8.86,1.16,1.16,3.05,1.74,1.89,1.74,2,9,-7
"AARON.WARD","D","20072008","BOS",65,1041.28,0.29,0.12,0.17,0.58,2.88,4.67,6.68,0.08,10,6.17,1.78,4.67,6.97,4.26,1.04,0.29,1.09,0.52,0,0,0,0,0
"ADAM.BURISH","F","20072008","CHI",80,675.98,0.27,0.27,0.09,0.62,5.5,6.3,7.1,0.48,4.84,4.23,7.62,1.78,7.46,7.01,0.53,0.62,1.86,2.31,1.33,1.07,75,90,-15
"ADAM.FOOTE","D","20072008","CBJ",62,1125.9,0,0.11,0.27,0.37,2.4,3.68,4.96,0.08,0,0,2.1,4.1,3.04,2.77,0.27,0.64,1.17,0.53,0.05,0.05,0,0,0
"ADAM.FOOTE","D","20072008","COL",12,199.3,0,0,0.3,0.3,2.71,3.01,6.32,0.14,0,0,4.7,5.12,3.91,2.11,2.11,0.9,1.81,0.6,0,0,0,0,0
"ADAM.HALL","F","20072008","PIT",46,372.92,0.32,0.16,0.32,0.8,5.63,7.88,8.69,0.41,5.71,4.08,5.14,2.74,6.27,4.34,0.16,0.8,0.8,1.29,0.32,0.32,85,87,-2
"ADAM.MAIR","F","20072008","BUF",72,599.63,0.5,0.6,0.6,1.7,5.6,7.2,9.11,0.49,8.93,6.94,6.82,1.5,10.91,5.2,1.6,1.3,2.1,1.7,0.2,0.2,158,190,-32
