"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.EKBLAD","D","20142015","FLA",81,1477.17,0.24,0.32,0.32,0.89,5.08,6.95,10.36,0.19,4.8,3.51,2.75,2.84,4.06,5.16,1.54,0.85,0.45,0.41,0,0,0,0,0
"ADAM.BURISH","F","20142015","S.J",20,188.32,0.32,0.64,0,0.96,6.37,8.28,10.51,0.3,5,3.85,3.58,3.82,3.5,7.97,0.64,1.27,1.91,1.27,0.32,0.32,44,40,4
"ADAM.CLENDENING","D","20142015","VAN",17,262.68,0,0,0.23,0.23,3.2,5.25,7.77,0.1,0,0,1.87,3.88,1.83,7.31,2.74,0.46,0.69,0,0,0,0,0,0
"ADAM.CRACKNELL","F","20142015","CBJ",17,157.73,0,0.38,0,0.38,6.09,9.13,10.27,0.37,0,0,4.08,2.28,15.98,7.99,1.14,1.52,0.38,0.38,0,0,19,36,-17
"ADAM.HENRIQUE","F","20142015","N.J",75,1026.02,0.58,0.41,0.35,1.35,6.2,7.66,10.7,0.6,9.43,7.63,7.83,2.11,3.22,4.15,0.88,1.58,0.58,0.47,0,0,190,166,24
"ADAM.LARSSON","D","20142015","N.J",64,1091.87,0.16,0.44,0.44,1.04,4.67,6.43,9.29,0.17,3.53,2.56,2.64,4.78,4.29,5.11,1.43,0.82,0.66,0.33,0,0,0,0,0
"ADAM.LOWRY","F","20142015","WPG",80,987.3,0.61,0.43,0.06,1.09,5.77,7.84,10.03,0.69,10.53,7.75,8.79,1.7,15.19,7.29,0.79,1.28,0.79,0.73,0.06,0.06,367,413,-46
"ADAM.MCQUAID","D","20142015","BOS",63,1022.48,0.06,0.12,0.18,0.35,3.34,4.69,7.57,0.08,1.75,1.25,1.79,4.34,7.69,7.69,1.17,0.29,1.23,0.7,0.29,0.29,0,1,-1
"ADAM.PARDY","D","20142015","WPG",55,672.98,0,0.36,0.36,0.71,2.5,3.48,6.78,0.11,0,0,3.03,3.3,5.88,8.56,2.32,0.62,0.89,0.98,0,0,0,0,0
"ALEC.MARTINEZ","D","20142015","L.A",56,902.48,0.27,0.33,0.4,1,5.45,7.71,11.63,0.23,4.88,3.45,3.01,6.18,5.12,6.65,2.13,0.6,0.27,0.47,0,0,0,0,0
"ALEKSANDER.BARKOV","F","20142015","FLA",71,1032.22,0.76,0.41,0.47,1.63,5.81,7.56,9.47,0.5,13,10,6.6,1.86,1.8,6.51,1.22,2.27,0.29,0.52,0,0,397,459,-62
"ALES.HEMSKY","F","20142015","DAL",76,871.3,0.69,0.28,0.69,1.65,8.75,11.02,15.36,0.65,7.87,6.25,5.89,2.27,1.38,5.92,2.13,1.65,0.28,0.83,0,0,0,0,0
"ALEX.BIEGA","D","20142015","VAN",7,106.03,0.57,0,0,0.57,3.4,7.36,10.19,0.14,16.67,7.69,1.85,4.53,17.54,3.96,1.7,0.57,0,0,0,0,0,0,0
"ALEX.BURROWS","F","20142015","VAN",70,823.35,0.8,0.36,0.36,1.53,7.87,10.86,13.19,0.7,10.19,7.38,6.46,1.75,4.96,5.17,1.46,2.11,1.24,1.17,0.07,0.07,4,3,1
"ALEX.CHIASSON","F","20142015","OTT",76,793.87,0.53,0.38,0.38,1.28,5.82,7.63,9.98,0.51,9.09,6.93,6.73,1.36,6.5,8.92,0.45,1.51,1.44,0.53,0,0,2,12,-10
"ALEX.EDLER","D","20142015","VAN",74,1316.17,0.09,0.14,0.41,0.64,5.7,7.57,11.21,0.2,1.6,1.2,2.63,4.29,3.78,6.84,2.42,0.77,0.91,0.27,0,0,0,1,-1
