"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"AARON.NESS","D","20132014","NYI",20,273.02,0.22,0,0.44,0.66,5.05,6.81,10.33,0.19,4.35,3.23,2.77,5.49,2.86,6.59,1.54,0.66,0.88,0.44,0,0,0,0,0
"AARON.ROME","D","20132014","DAL",25,300,0,0.2,0,0.2,3,4.4,7.2,0.1,0,0,2.36,6.8,3.8,8.2,2.4,0.4,0.4,0.2,0.2,0.2,0,0,0
"AARON.VOLPATTI","F","20132014","WSH",41,299.48,0.4,0,0,0.4,3.61,5.41,7.81,0.49,11.11,7.41,9.15,2,15.43,11.02,0.2,1.2,1.2,0.2,1,1,4,8,-4
"ADAM.BURISH","F","20132014","S.J",15,125.27,0,0,0,0,4.31,7.66,8.62,0.49,0,0,6.44,3.83,11.02,8.14,0.48,0.96,1.44,0,0,0,33,34,-1
"ADAM.CRACKNELL","F","20132014","STL",19,150.85,0,0.4,0.4,0.8,6.36,9.15,11.14,0.46,0,0,5.04,3.18,13.13,10.34,0,1.19,0,0.8,0,0,10,17,-7
"ADAM.HALL","F","20132014","PHI",80,539.47,0.22,0.22,0.22,0.67,5.45,7.23,9.23,0.4,4.08,3.08,5.57,2.67,8.01,6.56,0.56,1.22,0.89,0.44,0.11,0.11,201,117,84
"ADAM.HENRIQUE","F","20132014","N.J",77,1026.05,0.82,0.29,0.35,1.46,5.44,7.37,9.36,0.75,15.05,11.11,10.16,2.28,3.8,3.8,1.29,2.16,0.41,0.88,0,0,285,368,-83
"ADAM.LARSSON","D","20132014","N.J",26,424.52,0.14,0.28,0,0.42,2.69,4.24,7.21,0.07,5.26,3.33,1.77,4.52,5.51,5.09,1.41,0.57,0.71,0.42,0,0,0,0,0
"ADAM.MCQUAID","D","20132014","BOS",30,424.05,0.14,0.28,0.42,0.85,3.54,4.39,7.92,0.07,4,3.23,1.55,4.95,7.5,5.38,1.27,0.14,1.98,0.99,0.71,0.57,0,0,0
"ADAM.PARDY","D","20132014","WPG",60,799.83,0,0.15,0.3,0.45,3.45,5.03,7.43,0.17,0,0,3.46,3.45,5.63,8.78,2.1,1.05,1.2,0.45,0.08,0.15,0,0,0
"ALEC.MARTINEZ","D","20132014","L.A",61,803.57,0.52,0.15,0.3,0.97,3.73,7.17,11.42,0.28,14,7.29,3.9,5,6.2,8.21,1.79,0.22,0.45,0.37,0,0,0,0,0
"ALEKSANDER.BARKOV","F","20132014","FLA",54,747.57,0.4,0.8,0.24,1.44,5.86,6.9,8.83,0.5,6.85,5.81,7.28,2.09,1.12,4.74,1.04,2.25,0.32,0.4,0,0,314,346,-32
"ALES.HEMSKY","F","20132014","EDM",55,726.1,0.58,0.58,0.17,1.32,6.86,8.51,11.49,0.6,8.43,6.8,7.03,1.65,2.07,5.95,2.15,2.48,0.66,0.58,0,0,1,2,-1
"ALES.HEMSKY","F","20132014","OTT",20,261.43,0.92,0.69,1.15,2.75,9.64,12.62,15.61,0.91,9.52,7.27,7.18,2.3,2.3,5.74,0.69,2.52,0.46,1.15,0,0,0,0,0
"ALEX.BURROWS","F","20132014","VAN",49,650.13,0.28,0.28,0.18,0.74,7.57,11.26,14.95,0.66,3.66,2.46,5.87,1.57,6.92,6.09,1.02,1.75,1.38,1.48,0.18,0.18,18,21,-3
"ALEX.CHIASSON","F","20132014","DAL",79,865.35,0.42,0.49,0.49,1.39,5.69,9.01,12.34,0.72,7.32,4.62,8.02,1.39,4.99,6.31,1.53,1.59,0.69,0.49,0.07,0.14,31,35,-4
