"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.DOWNEY","F","20072008","DET",56,254.8,6.8,-0.316,-0.308,0.05,4.96,0.02,-1.31,0.09,-1.2
"AARON.JOHNSON","D","20072008","NYI",30,341.1,9.1,0.441,0.493,-0.1,4.96,-0.043,2.81,-0.24,2.6
"AARON.MILLER","D","20072008","VAN",57,809.5,22,0.021,0.074,-0.09,4.95,-0.033,1,-0.45,0.5
"AARON.ROME","D","20072008","CBJ",17,259.8,7.1,-0.362,-0.31,-0.13,4.95,-0.039,-1.34,-0.17,-1.5
"AARON.VOROS","F","20072008","MIN",55,413,11.1,0.116,0.124,-0.02,4.96,-0.011,0.85,-0.07,0.8
"AARON.WARD","D","20072008","BOS",65,1041.3,27.3,0.124,0.176,-0.1,4.96,-0.043,3.06,-0.75,2.3
"ADAM.BURISH","F","20072008","CHI",80,676,18.6,-0.519,-0.511,0.09,4.96,0.049,-5.75,0.55,-5.2
"ADAM.FOOTE","D","20072008","CBJ",62,1125.9,30.8,-0.159,-0.107,-0.13,4.95,-0.037,-2.01,-0.69,-2.7
"ADAM.FOOTE","D","20072008","COL",12,199.3,5.2,-0.926,-0.874,0.08,4.97,0.036,-2.9,0.12,-2.8
"ADAM.HALL","F","20072008","PIT",46,372.9,10.2,-0.685,-0.676,0.04,4.96,0.026,-4.2,0.16,-4
"ADAM.MAIR","F","20072008","BUF",72,599.6,15.9,-0.214,-0.206,0.14,4.96,0.053,-2.06,0.53,-1.5
"ADRIAN.AUCOIN","D","20072008","CGY",75,1101.5,30,0.161,0.214,0.06,4.96,0.005,3.92,0.09,4
"ALAIN.NASREDDINE","D","20072008","PIT",6,66.2,1.8,-0.155,-0.102,0.04,4.96,0.012,-0.11,0.01,-0.1
"ALES.HEMSKY","F","20072008","EDM",74,1044.6,27.5,0.028,0.037,0.04,4.96,0.012,0.64,0.21,0.8
"ALES.KOTALIK","F","20072008","BUF",79,930.3,24.7,-0.707,-0.699,0.14,4.96,0.081,-10.83,1.26,-9.6
"ALEX.BURROWS","F","20072008","VAN",82,940.4,25.5,0.072,0.08,-0.09,4.95,-0.034,1.26,-0.54,0.7
"ALEX.EDLER","D","20072008","VAN",75,1175.5,31.9,0.115,0.167,-0.09,4.95,-0.041,3.28,-0.8,2.5
"ALEXEI.PONIKAROVSKY","F","20072008","TOR",66,832.5,22.6,0.143,0.151,0.09,4.96,0.023,2.09,0.32,2.4
"ALEXEI.SEMENOV","D","20072008","S.J",22,273.3,7.3,-0.512,-0.459,-0.04,4.95,-0.005,-2.09,-0.02,-2.1
