"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.JOHNSON","D","20092010","CGY",22,253.2,6.4,0.303,0.331,-0.1,4.97,-0.036,1.4,-0.15,1.2
"AARON.JOHNSON","D","20092010","EDM",19,301.2,7.6,-0.013,0.016,-0.06,4.96,-0.019,0.08,-0.09,0
"AARON.ROME","D","20092010","VAN",49,665.2,17.4,-0.368,-0.34,0.14,4.96,0.057,-3.77,0.63,-3.1
"AARON.VOROS","F","20092010","NYR",41,247.8,6.3,-0.211,-0.226,-0.04,4.96,-0.009,-0.94,-0.04,-1
"AARON.WARD","D","20092010","ANA",17,216.2,5.5,0.061,0.089,0,4.96,-0.003,0.32,-0.01,0.3
"AARON.WARD","D","20092010","CAR",59,897.6,23.5,-0.195,-0.167,-0.03,4.96,0,-2.5,-0.01,-2.5
"ADAM.BURISH","F","20092010","CHI",13,112.1,2.8,0.424,0.409,0.21,4.96,0.067,0.76,0.12,0.9
"ADAM.FOOTE","D","20092010","COL",67,1093.4,27.7,0.012,0.041,0.02,4.96,0.005,0.74,0.1,0.8
"ADAM.MAIR","F","20092010","BUF",69,617.9,15.8,-0.17,-0.185,0.03,4.96,0.017,-1.9,0.17,-1.7
"ADAM.MCQUAID","D","20092010","BOS",19,196.7,4.8,-0.425,-0.397,-0.14,4.96,-0.042,-1.3,-0.14,-1.4
"ADAM.PARDY","D","20092010","CGY",57,818.8,20.8,-0.131,-0.102,-0.1,4.97,-0.027,-1.4,-0.37,-1.8
"ADRIAN.AUCOIN","D","20092010","ARI",82,1326.7,34.2,-0.205,-0.177,0,4.95,0.014,-3.9,0.31,-3.6
"ALES.HEMSKY","F","20092010","EDM",22,298.8,7.5,0.595,0.58,-0.06,4.96,-0.027,2.89,-0.14,2.8
"ALES.KOTALIK","F","20092010","CGY",26,315.7,8,0.152,0.137,-0.1,4.97,-0.033,0.72,-0.18,0.5
"ALES.KOTALIK","F","20092010","NYR",45,450.4,11.5,-0.396,-0.411,-0.04,4.96,-0.002,-3.09,-0.02,-3.1
"ALEX.BOLDUC","F","20092010","VAN",15,117,3.1,-1.1,-1.115,0.14,4.96,0.052,-2.17,0.1,-2.1
"ALEX.BURROWS","F","20092010","VAN",82,1102.9,28.9,0.138,0.123,0.14,4.96,0.038,2.26,0.69,3
"ALEX.EDLER","D","20092010","VAN",76,1272.6,33.3,-0.401,-0.372,0.14,4.96,0.07,-7.9,1.48,-6.4
"ALEXEI.PONIKAROVSKY","F","20092010","PIT",16,185.6,4.9,-0.679,-0.694,0.15,4.95,0.057,-2.15,0.17,-2
"ALEXEI.PONIKAROVSKY","F","20092010","TOR",61,809.3,20.6,0.536,0.521,0,4.96,-0.021,7.02,-0.28,6.7
"ALEX.FROLOV","F","20092010","L.A",81,1164.2,29.6,0.084,0.069,-0.03,4.96,-0.014,1.34,-0.27,1.1
"ALEX.GIROUX","F","20092010","WSH",9,78.5,2,1.107,1.092,0.35,4.96,0.108,1.43,0.14,1.6
"ALEX.GOLIGOSKI","D","20092010","PIT",68,1081.7,28.3,0.083,0.111,0.15,4.95,0.043,2.01,0.78,2.8
"ALEX.KOVALEV","F","20092010","OTT",77,1120.2,28.4,0.128,0.113,-0.03,4.96,-0.016,2.1,-0.29,1.8
"ALEX.OVECHKIN","F","20092010","WSH",72,1169.8,29.6,0.316,0.301,0.35,4.96,0.095,5.87,1.85,7.7
"ALEX.PICARD","D","20092010","CAR",9,116.6,3.1,0.848,0.876,-0.03,4.96,-0.014,1.7,-0.03,1.7
"ALEX.PICARD","D","20092010","CBJ",9,63.8,1.7,-1.286,-1.258,-0.1,4.96,-0.027,-1.34,-0.03,-1.4
"ALEX.PICARD","D","20092010","OTT",45,696.3,17.6,0.122,0.15,-0.03,4.96,-0.015,1.74,-0.17,1.6
"ALEX.PIETRANGELO","D","20092010","STL",9,117.2,3.1,-0.717,-0.689,0,4.95,0.005,-1.35,0.01,-1.3
"ALEX.SEMIN","F","20092010","WSH",73,1054.4,26.6,0.403,0.388,0.35,4.96,0.092,6.83,1.61,8.4
"ALEX.STEEN","F","20092010","STL",68,824.4,21.5,0.344,0.329,0,4.95,-0.014,4.52,-0.19,4.3
"ALEX.SULZER","D","20092010","NSH",20,248,6.1,-0.236,-0.208,-0.02,4.97,-0.005,-0.86,-0.02,-0.9
"ALEX.TANGUAY","F","20092010","T.B",80,1055.4,27.6,0.253,0.238,-0.08,4.96,-0.038,4.19,-0.66,3.5
"ANDERS.ERIKSSON","D","20092010","ARI",12,154.6,4,-0.032,-0.004,0,4.95,0.002,-0.01,0,0
"ANDERS.ERIKSSON","D","20092010","NYR",8,96.7,2.5,0.039,0.067,-0.04,4.96,-0.012,0.11,-0.02,0.1
"ANDREAS.LILJA","D","20092010","DET",20,243.8,6.1,-0.136,-0.108,-0.07,4.96,-0.021,-0.44,-0.09,-0.5
"ANDREAS.NODL","F","20092010","PHI",10,78.8,2.1,-0.339,-0.355,-0.02,4.95,-0.004,-0.47,-0.01,-0.5
"ANDREAS.THURESSON","F","20092010","NSH",22,207.7,5.1,-0.697,-0.712,-0.02,4.97,0,-2.46,0,-2.5
"ANDREI.KOSTITSYN","F","20092010","MTL",59,794.6,19.8,0.149,0.134,-0.11,4.96,-0.04,1.77,-0.52,1.2
"ANDREI.MARKOV","D","20092010","MTL",45,794.1,19.8,0.578,0.606,-0.11,4.96,-0.058,8.02,-0.77,7.2
"ANDREJ.MESZAROS","D","20092010","T.B",81,1281.4,33.5,-0.333,-0.305,-0.08,4.96,-0.004,-6.51,-0.08,-6.6
"ANDREJ.SEKERA","D","20092010","BUF",49,742.6,19,-0.005,0.024,0.03,4.96,0.01,0.29,0.12,0.4
"ANDREW.ALBERTS","D","20092010","CAR",61,811.3,21.3,0.22,0.248,-0.03,4.96,-0.019,3.36,-0.26,3.1
"ANDREW.ALBERTS","D","20092010","VAN",14,182.8,4.8,0.943,0.972,0.14,4.96,0.035,2.96,0.11,3.1
"ANDREW.BRUNETTE","F","20092010","MIN",82,1090.2,27.9,0.132,0.117,-0.07,4.96,-0.029,2.13,-0.52,1.6
"ANDREW.COGLIANO","F","20092010","EDM",82,1019.9,25.7,0.208,0.193,-0.06,4.96,-0.028,3.28,-0.48,2.8
"ANDREW.EBBETT","F","20092010","CHI",10,103.7,2.6,-1.061,-1.077,0.21,4.96,0.075,-1.86,0.13,-1.7
"ANDREW.EBBETT","F","20092010","MIN",49,540.4,13.8,-0.265,-0.28,-0.07,4.96,-0.014,-2.52,-0.13,-2.6
"ANDREW.FERENCE","D","20092010","BOS",51,854.9,21,-0.093,-0.065,-0.14,4.96,-0.043,-0.92,-0.61,-1.5
"ANDREW.LADD","F","20092010","CHI",82,1053.8,26,0.109,0.094,0.21,4.96,0.064,1.64,1.13,2.8
"ANDREW.MACDONALD","D","20092010","NYI",45,756,19.7,-0.1,-0.072,-0.02,4.96,-0.002,-0.91,-0.03,-0.9
"ANDREW.MURRAY","F","20092010","CBJ",45,415.3,10.7,-0.62,-0.635,-0.1,4.96,-0.017,-4.39,-0.12,-4.5
"ANDREW.PETERS","F","20092010","N.J",29,149.6,3.7,-0.846,-0.861,-0.09,4.97,-0.022,-2.15,-0.06,-2.2
"ANDY.GREENE","D","20092010","N.J",78,1460.1,35.9,-0.105,-0.077,-0.09,4.97,-0.023,-1.88,-0.56,-2.4
"ANDY.MCDONALD","F","20092010","STL",79,1064.7,27.7,0.064,0.049,0,4.95,-0.002,0.86,-0.04,0.8
"ANDY.SUTTON","D","20092010","NYI",53,933.1,24.3,-0.126,-0.098,-0.02,4.96,0,-1.52,-0.01,-1.5
"ANDY.SUTTON","D","20092010","OTT",18,292.2,7.4,-0.282,-0.254,-0.03,4.96,-0.006,-1.24,-0.03,-1.3
"ANSSI.SALMELA","D","20092010","ATL",29,373.4,9.7,0.492,0.52,0.06,4.96,0.01,3.24,0.07,3.3
"ANSSI.SALMELA","D","20092010","N.J",9,112.9,2.8,-1.036,-1.008,-0.09,4.97,-0.023,-1.9,-0.04,-1.9
"ANTOINE.VERMETTE","F","20092010","CBJ",81,1180.8,30.5,0.282,0.267,-0.1,4.96,-0.047,5.25,-0.93,4.3
"ANTON.STRALMAN","D","20092010","CBJ",73,1165.2,30.1,-0.223,-0.195,-0.1,4.96,-0.019,-3.78,-0.37,-4.1
"ANTON.VOLCHENKOV","D","20092010","OTT",64,1075.1,27.3,0.079,0.107,-0.03,4.96,-0.015,1.92,-0.27,1.6
"ANTTI.MIETTINEN","F","20092010","MIN",79,1038.7,26.6,0.229,0.214,-0.07,4.96,-0.034,3.71,-0.58,3.1
"ANZE.KOPITAR","F","20092010","L.A",82,1293.1,32.9,-0.009,-0.024,-0.03,4.96,-0.008,-0.51,-0.18,-0.7
"ARRON.ASHAM","F","20092010","PHI",72,697,18.2,0.251,0.236,-0.02,4.95,-0.014,2.74,-0.17,2.6
"ARTEM.ANISIMOV","F","20092010","NYR",82,927.6,23.7,0.051,0.036,-0.04,4.96,-0.013,0.55,-0.21,0.3
"BARRET.JACKMAN","D","20092010","STL",66,1210.6,31.5,0.016,0.044,0,4.95,-0.002,0.89,-0.05,0.8
"BEN.EAGER","F","20092010","CHI",60,494.5,12.2,0.146,0.131,0.21,4.96,0.066,1.08,0.54,1.6
"BEN.LOVEJOY","D","20092010","PIT",12,168.4,4.4,0.923,0.951,0.15,4.95,0.041,2.67,0.12,2.8
"BEN.MAXWELL","F","20092010","MTL",13,113.4,2.8,-0.659,-0.674,-0.11,4.96,-0.03,-1.27,-0.06,-1.3
"BENN.FERRIERO","F","20092010","S.J",24,250.2,6.5,-0.292,-0.307,0.12,4.95,0.042,-1.28,0.18,-1.1
"BENOIT.POULIOT","F","20092010","MIN",14,141.2,3.6,0.664,0.649,-0.07,4.96,-0.027,1.53,-0.06,1.5
"BENOIT.POULIOT","F","20092010","MTL",39,545.1,13.6,0.121,0.106,-0.11,4.96,-0.037,0.96,-0.34,0.6
"BILL.GUERIN","F","20092010","PIT",77,984.8,25.8,-0.116,-0.131,0.15,4.95,0.057,-2.15,0.93,-1.2
