"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.JOHNSON","D","20082009","CHI",38,452.9,12,0.431,0.464,0.08,4.96,0.013,3.5,0.1,3.6
"AARON.MACKENZIE","D","20082009","COL",5,66.1,1.7,-0.348,-0.315,-0.17,4.97,-0.055,-0.35,-0.06,-0.4
"AARON.ROME","D","20082009","CBJ",8,113.3,2.9,-0.101,-0.068,0.08,4.95,0.027,-0.13,0.05,-0.1
"AARON.VOROS","F","20082009","NYR",54,504.6,13.3,0.094,0.09,-0.12,4.95,-0.041,0.76,-0.34,0.4
"AARON.WARD","D","20082009","BOS",64,1027.5,26.6,-0.26,-0.227,0.15,4.97,0.061,-3.89,1.04,-2.8
"ADAM.BURISH","F","20082009","CHI",66,470.1,12.4,0,-0.004,0.08,4.96,0.025,-0.03,0.19,0.2
"ADAM.FOOTE","D","20082009","COL",42,655.5,16.9,-0.2,-0.167,-0.17,4.97,-0.05,-1.83,-0.55,-2.4
"ADAM.HALL","F","20082009","T.B",74,623.9,16.7,-0.397,-0.401,-0.11,4.96,-0.022,-4.17,-0.23,-4.4
"ADAM.MAIR","F","20082009","BUF",75,751.4,19.8,-0.208,-0.212,0.05,4.95,0.024,-2.66,0.3,-2.4
"ADAM.PARDY","D","20082009","CGY",59,813.1,22,-0.091,-0.058,0.18,4.96,0.062,-0.78,0.84,0.1
"ADRIAN.AUCOIN","D","20082009","CGY",80,1189.5,32.2,-0.277,-0.244,0.18,4.96,0.075,-4.84,1.5,-3.3
"ALES.HEMSKY","F","20082009","EDM",72,997.8,26.4,-0.009,-0.012,0.03,4.97,0.011,-0.21,0.18,0
"ALES.KOTALIK","F","20082009","BUF",56,658.4,17.4,-0.17,-0.174,0.05,4.95,0.021,-1.91,0.23,-1.7
"ALES.KOTALIK","F","20082009","EDM",19,251.8,6.7,0.027,0.023,0.03,4.97,0.01,0.1,0.04,0.1
"ALEX.BURROWS","F","20082009","VAN",81,1056.9,28.6,0.35,0.346,0.07,4.96,0.003,6.09,0.06,6.1
"ALEX.EDLER","D","20082009","VAN",79,1243.8,33.7,-0.073,-0.04,0.07,4.96,0.026,-0.82,0.54,-0.3
"ALEXEI.PONIKAROVSKY","F","20082009","TOR",81,1011.5,26.2,0.416,0.412,0.07,4.96,0.001,6.94,0.02,7
"ALEXEI.SEMENOV","D","20082009","S.J",47,565,14.5,-0.204,-0.171,-0.08,4.96,-0.021,-1.61,-0.2,-1.8
"ALEX.FROLOV","F","20082009","L.A",77,1060.2,28.2,0.139,0.135,-0.21,4.96,-0.075,2.38,-1.33,1.1
"ALEX.GIROUX","F","20082009","WSH",12,114.3,3,0.172,0.168,0.07,4.96,0.022,0.32,0.04,0.4
"ALEX.GOLIGOSKI","D","20082009","PIT",45,632.1,16.6,0.165,0.198,0.22,4.95,0.064,2.08,0.67,2.8
"ALEX.KOVALEV","F","20082009","MTL",78,1041,27.7,-0.126,-0.13,0.04,4.96,0.02,-2.25,0.34,-1.9
"ALEX.OVECHKIN","F","20082009","WSH",79,1275.9,33.5,0.364,0.36,0.07,4.96,-0.001,7.66,-0.03,7.6
"ALEX.PICARD","D","20082009","CBJ",15,100.3,2.6,-0.558,-0.525,0.08,4.95,0.029,-0.88,0.05,-0.8
"ALEX.PICARD","D","20082009","OTT",47,692.8,18.2,0.039,0.072,-0.14,4.96,-0.046,0.83,-0.53,0.3
"ALEX.PIETRANGELO","D","20082009","STL",8,110.9,2.9,0.937,0.97,-0.07,4.96,-0.028,1.79,-0.05,1.7
"ALEX.SEMIN","F","20082009","WSH",62,835.5,21.9,0.595,0.591,0.07,4.96,-0.003,8.23,-0.04,8.2
