"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.EKBLAD","D","20142015","FLA",81,1477.2,35.9,0.197,0.186,-0.1,4.96,-0.044,4.57,-1.09,3.5
"ADAM.BURISH","F","20142015","S.J",20,188.3,4.6,-0.398,-0.433,-0.12,4.97,-0.033,-1.36,-0.1,-1.5
"ADAM.CLENDENING","D","20142015","VAN",17,262.7,6.5,0.312,0.301,0.06,4.97,0.014,1.32,0.06,1.4
"ADAM.CRACKNELL","F","20142015","CBJ",17,157.7,3.9,-0.892,-0.927,0.01,4.97,0.012,-2.44,0.03,-2.4
"ADAM.HENRIQUE","F","20142015","N.J",75,1026,25.2,0.164,0.129,-0.31,4.97,-0.107,2.2,-1.82,0.4
"ADAM.LARSSON","D","20142015","N.J",64,1091.9,26.8,-0.026,-0.038,-0.31,4.97,-0.098,-0.68,-1.79,-2.5
"ADAM.LOWRY","F","20142015","WPG",80,987.3,25.1,-0.184,-0.22,0.06,4.96,0.03,-3.61,0.49,-3.1
"ADAM.MCQUAID","D","20142015","BOS",63,1022.5,24.5,-0.381,-0.392,-0.04,4.96,0.007,-6.68,0.12,-6.6
"ADAM.PARDY","D","20142015","WPG",55,673,17.1,0.159,0.148,0.06,4.96,0.014,1.66,0.15,1.8
"ALEC.MARTINEZ","D","20142015","L.A",56,902.5,22.1,0.219,0.208,0,4.97,-0.009,3.13,-0.14,3
"ALEKSANDER.BARKOV","F","20142015","FLA",71,1032.2,25.1,-0.114,-0.15,-0.1,4.96,-0.023,-2.58,-0.4,-3
"ALES.HEMSKY","F","20142015","DAL",76,871.3,21.8,0.027,-0.009,0.3,4.97,0.098,-0.13,1.42,1.3
"ALEX.BIEGA","D","20142015","VAN",7,106,2.6,0.008,-0.003,0.06,4.97,0.018,-0.01,0.03,0
"ALEX.BURROWS","F","20142015","VAN",70,823.4,20.5,-0.033,-0.068,0.06,4.97,0.021,-0.94,0.29,-0.6
"ALEX.CHIASSON","F","20142015","OTT",76,793.9,19.6,-0.369,-0.404,0.08,4.95,0.042,-5.35,0.56,-4.8
"ALEX.EDLER","D","20142015","VAN",74,1316.2,32.8,-0.089,-0.1,0.06,4.97,0.025,-2.2,0.55,-1.7
"ALEXEI.EMELIN","D","20142015","MTL",68,1171.2,28.6,-0.029,-0.04,-0.01,4.96,0,-0.79,0.01,-0.8
