"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.NESS","D","20132014","NYI",20,273,6.7,-0.802,-0.808,-0.06,4.96,-0.007,-3.68,-0.03,-3.7
"AARON.ROME","D","20132014","DAL",25,300,7.5,-0.091,-0.096,0.1,4.96,0.035,-0.48,0.18,-0.3
"AARON.VOLPATTI","F","20132014","WSH",41,299.5,7.4,-0.701,-0.726,-0.1,4.96,-0.021,-3.62,-0.1,-3.7
"ADAM.BURISH","F","20132014","S.J",15,125.3,3.1,-0.617,-0.642,0.1,4.96,0.036,-1.34,0.07,-1.3
"ADAM.CRACKNELL","F","20132014","STL",19,150.8,3.8,0.227,0.202,0.12,4.96,0.039,0.51,0.1,0.6
"ADAM.HALL","F","20132014","PHI",80,539.5,13.9,-0.322,-0.347,0.03,4.96,0.018,-3.12,0.17,-3
"ADAM.HENRIQUE","F","20132014","N.J",77,1026,25.3,0.121,0.096,-0.2,4.97,-0.069,1.63,-1.19,0.4
"ADAM.LARSSON","D","20132014","N.J",26,424.5,10.5,-0.234,-0.24,-0.2,4.97,-0.059,-1.7,-0.42,-2.1
"ADAM.MCQUAID","D","20132014","BOS",30,424.1,10.3,0.275,0.269,0.21,4.97,0.062,1.9,0.44,2.3
"ADAM.PARDY","D","20132014","WPG",60,799.8,19.7,-0.04,-0.045,0.08,4.96,0.029,-0.6,0.39,-0.2
"ALEC.MARTINEZ","D","20132014","L.A",61,803.6,20.3,0.299,0.294,-0.12,4.96,-0.049,3.93,-0.66,3.3
"ALEKSANDER.BARKOV","F","20132014","FLA",54,747.6,18.7,0.051,0.026,-0.09,4.97,-0.031,0.32,-0.39,-0.1
"ALES.HEMSKY","F","20132014","EDM",55,726.1,18.2,-0.056,-0.081,-0.08,4.96,-0.022,-0.98,-0.27,-1.3
"ALES.HEMSKY","F","20132014","OTT",20,261.4,6.6,0.886,0.86,0.07,4.95,0.012,3.75,0.05,3.8
"ALEX.BURROWS","F","20132014","VAN",49,650.1,16,-0.438,-0.463,-0.06,4.96,-0.006,-5.01,-0.06,-5.1
"ALEX.CHIASSON","F","20132014","DAL",79,865.4,21.5,-0.015,-0.04,0.1,4.96,0.036,-0.58,0.51,-0.1
"ALEX.EDLER","D","20132014","VAN",63,1125.5,27.7,-0.596,-0.602,-0.06,4.96,0.013,-11.29,0.24,-11
"ALEXEI.EMELIN","D","20132014","MTL",59,988.5,24.9,-0.065,-0.071,-0.08,4.96,-0.022,-1.17,-0.36,-1.5
"ALEX.GALCHENYUK","F","20132014","MTL",65,791.2,19.9,-0.088,-0.113,-0.08,4.96,-0.021,-1.49,-0.28,-1.8
"ALEX.GOLIGOSKI","D","20132014","DAL",81,1466.2,36.5,0.049,0.043,0.1,4.96,0.031,1.06,0.75,1.8
"ALEX.KILLORN","F","20132014","T.B",82,1183,29.3,0.181,0.156,0.05,4.96,0.008,3.07,0.16,3.2
"ALEX.OVECHKIN","F","20132014","WSH",78,1174.5,28.9,-0.102,-0.127,-0.1,4.96,-0.024,-2.49,-0.47,-3
"ALEX.PETROVIC","D","20132014","FLA",7,81.2,2,1.313,1.307,-0.09,4.97,-0.035,1.77,-0.05,1.7
"ALEX.PIETRANGELO","D","20132014","STL",81,1524.7,38,0.218,0.213,0.12,4.96,0.024,5.4,0.61,6
"ALEX.SEMIN","F","20132014","CAR",65,1008.7,24.8,0.219,0.194,-0.1,4.97,-0.043,3.26,-0.72,2.5
"ALEX.STEEN","F","20132014","STL",68,997,24.9,0.266,0.241,0.12,4.96,0.028,4,0.47,4.5
"ALEX.SULZER","D","20132014","BUF",25,386.9,9.6,-0.09,-0.096,-0.45,4.97,-0.143,-0.62,-0.92,-1.5
"ALEX.TANGUAY","F","20132014","COL",16,204.9,5,0.96,0.934,0.18,4.97,0.047,3.19,0.16,3.4
"ALEX.URBOM","D","20132014","WSH",20,252.7,6.2,-0.111,-0.117,-0.1,4.96,-0.03,-0.49,-0.13,-0.6
"ANDERS.LEE","F","20132014","NYI",22,280.1,6.9,0.435,0.41,-0.06,4.96,-0.024,1.91,-0.11,1.8
"ANDRE.BENOIT","D","20132014","COL",79,1238.1,30.5,-0.085,-0.09,0.18,4.97,0.062,-1.87,1.28,-0.6
"ANDREI.LOKTIONOV","F","20132014","CAR",20,245.4,6,0.704,0.679,-0.1,4.97,-0.041,2.78,-0.17,2.6
"ANDREI.LOKTIONOV","F","20132014","N.J",48,535.5,13.2,-0.068,-0.093,-0.2,4.97,-0.062,-0.83,-0.55,-1.4
"ANDREI.MARKOV","D","20132014","MTL",81,1450,36.5,0.111,0.106,-0.08,4.96,-0.033,2.56,-0.8,1.8
"ANDREJ.MESZAROS","D","20132014","BOS",14,233.4,5.7,0.159,0.153,0.21,4.97,0.066,0.6,0.26,0.9
"ANDREJ.MESZAROS","D","20132014","PHI",38,580,14.9,0.319,0.314,0.03,4.96,-0.001,3.03,-0.01,3
"ANDREJ.SEKERA","D","20132014","CAR",74,1336.8,32.8,0.381,0.375,-0.1,4.97,-0.058,8.37,-1.29,7.1
"ANDREJ.SUSTR","D","20132014","T.B",43,613,15.2,-0.441,-0.446,0.05,4.96,0.031,-4.56,0.32,-4.2
"ANDREW.ALBERTS","D","20132014","VAN",10,70.1,1.7,-0.167,-0.173,-0.06,4.96,-0.02,-0.2,-0.02,-0.2
"ANDREW.COGLIANO","F","20132014","ANA",82,1076.6,27.1,-0.231,-0.256,0.4,4.96,0.144,-4.59,2.59,-2
"ANDREW.DESJARDINS","F","20132014","S.J",81,789,19.2,-0.494,-0.519,0.1,4.96,0.052,-6.83,0.68,-6.1
"ANDREW.EBBETT","F","20132014","PIT",9,90.5,2.2,-0.823,-0.849,0.06,4.96,0.023,-1.28,0.04,-1.2
"ANDREW.FERENCE","D","20132014","EDM",71,1252.6,31.4,0.007,0.001,-0.08,4.96,-0.026,0.03,-0.53,-0.5
"ANDREW.LADD","F","20132014","WPG",78,1134.5,28,0.101,0.076,0.08,4.96,0.023,1.43,0.43,1.9
"ANDREW.MACDONALD","D","20132014","NYI",63,1187.1,29.3,-0.106,-0.111,-0.06,4.96,-0.012,-2.2,-0.23,-2.4
"ANDREW.MACDONALD","D","20132014","PHI",19,361.9,9.3,-0.479,-0.485,0.03,4.96,0.018,-2.92,0.11,-2.8
"ANDREW.SHAW","F","20132014","CHI",80,1003.4,24.4,0.309,0.284,0.28,4.97,0.078,4.75,1.3,6.1
"ANDY.GREENE","D","20132014","N.J",82,1492.3,36.7,0.051,0.045,-0.2,4.97,-0.068,1.11,-1.69,-0.6
"ANDY.MIELE","F","20132014","ARI",7,62.8,1.6,1.745,1.72,-0.08,4.96,-0.03,1.8,-0.03,1.8
"ANTHONY.PELUSO","F","20132014","WPG",53,301.8,7.4,-0.091,-0.116,0.08,4.96,0.029,-0.59,0.15,-0.4
"ANTOINE.ROUSSEL","F","20132014","DAL",81,918.6,22.9,-0.098,-0.123,0.1,4.96,0.04,-1.89,0.61,-1.3
"ANTOINE.VERMETTE","F","20132014","ARI",82,1146.6,28.4,0.043,0.018,-0.08,4.96,-0.025,0.34,-0.48,-0.1
"ANTON.BELOV","D","20132014","EDM",57,835.1,20.9,0.008,0.002,-0.08,4.96,-0.026,0.03,-0.36,-0.3
"ANTON.LANDER","F","20132014","EDM",27,283.9,7.1,-0.685,-0.71,-0.08,4.96,-0.015,-3.36,-0.07,-3.4
"ANTON.STRALMAN","D","20132014","NYR",81,1391.4,34.5,0.093,0.088,-0.06,4.97,-0.024,2.03,-0.55,1.5
"ANTON.VOLCHENKOV","D","20132014","N.J",56,714.3,17.6,0.044,0.038,-0.2,4.97,-0.066,0.46,-0.78,-0.3
"ANZE.KOPITAR","F","20132014","L.A",82,1229.3,31.1,0.398,0.373,-0.12,4.96,-0.06,7.64,-1.24,6.4
"ARTEM.ANISIMOV","F","20132014","CBJ",81,979.3,24.7,0.076,0.051,0.02,4.97,0.002,0.83,0.04,0.9
"BARRET.JACKMAN","D","20132014","STL",79,1221.8,30.5,0.045,0.039,0.12,4.96,0.038,0.8,0.77,1.6
"BEAU.BENNETT","F","20132014","PIT",21,261,6.4,-0.46,-0.486,0.06,4.96,0.026,-2.11,0.11,-2
"BEN.HANOWSKI","F","20132014","CGY",11,78.1,1.9,0.105,0.08,-0.08,4.97,-0.027,0.1,-0.04,0.1
"BEN.LOVEJOY","D","20132014","ANA",78,1313.2,33.1,-0.294,-0.3,0.4,4.96,0.15,-6.56,3.29,-3.3
"BENOIT.POULIOT","F","20132014","NYR",80,906.1,22.4,0.238,0.212,-0.06,4.97,-0.027,3.21,-0.41,2.8
"BEN.SMITH","F","20132014","CHI",75,817.4,19.9,0.057,0.032,0.28,4.97,0.091,0.43,1.23,1.7
"BEN.STREET","F","20132014","CGY",13,114.2,2.8,-0.253,-0.279,-0.08,4.97,-0.025,-0.53,-0.05,-0.6
"B.J..CROMBEEN","F","20132014","T.B",55,470.1,11.7,-0.407,-0.433,0.05,4.96,0.028,-3.39,0.22,-3.2
"BLAIR.JONES","F","20132014","CGY",14,137.2,3.3,-0.633,-0.659,-0.08,4.97,-0.022,-1.51,-0.05,-1.6
"BLAKE.COMEAU","F","20132014","CBJ",61,697.4,17.6,-0.018,-0.043,0.02,4.97,0.006,-0.5,0.07,-0.4
"BLAKE.WHEELER","F","20132014","WPG",82,1208.8,29.8,0.163,0.138,0.08,4.96,0.019,2.78,0.38,3.2
"BOBBY.RYAN","F","20132014","OTT",70,971.8,24.4,0.23,0.204,0.07,4.95,0.014,3.31,0.22,3.5
"BOONE.JENNER","F","20132014","CBJ",72,933.1,23.5,-0.123,-0.148,0.02,4.97,0.012,-2.3,0.18,-2.1
"BOYD.GORDON","F","20132014","EDM",74,830.1,20.8,-0.041,-0.066,-0.08,4.96,-0.023,-0.92,-0.31,-1.2
"BRACKEN.KEARNS","F","20132014","S.J",25,290,7.1,-0.428,-0.453,0.1,4.96,0.038,-2.19,0.19,-2
"BRAD.BOYES","F","20132014","FLA",78,1086.1,27.1,0.283,0.258,-0.09,4.97,-0.044,4.67,-0.8,3.9
"BRAD.MALONE","F","20132014","COL",32,214.2,5.3,-0.421,-0.446,0.18,4.97,0.061,-1.59,0.22,-1.4
"BRAD.MARCHAND","F","20132014","BOS",82,1126.6,27.4,0.14,0.114,0.21,4.97,0.062,2.15,1.16,3.3
"BRAD.RICHARDS","F","20132014","NYR",82,1191.4,29.5,0.003,-0.022,-0.06,4.97,-0.016,-0.44,-0.33,-0.8
"BRAD.RICHARDSON","F","20132014","VAN",73,915.8,22.6,0.239,0.214,-0.06,4.96,-0.03,3.26,-0.46,2.8
"BRAD.STUART","D","20132014","S.J",61,1020.2,24.9,-0.04,-0.046,0.1,4.96,0.034,-0.78,0.58,-0.2
"BRANDON.BOLLIG","F","20132014","CHI",82,808,19.6,-0.208,-0.233,0.28,4.97,0.101,-3.14,1.36,-1.8
"BRANDON.DUBINSKY","F","20132014","CBJ",76,1032.2,26,0.17,0.145,0.02,4.97,-0.003,2.49,-0.05,2.4
"BRANDON.GORMLEY","D","20132014","ARI",5,67.2,1.7,0.259,0.254,-0.08,4.96,-0.025,0.28,-0.03,0.3
"BRANDON.MCMILLAN","F","20132014","ARI",22,250.6,6.2,0.032,0.007,-0.08,4.96,-0.024,0.03,-0.1,-0.1
"BRANDON.PIRRI","F","20132014","CHI",28,314.3,7.6,0.169,0.144,0.28,4.97,0.09,0.75,0.47,1.2
"BRANDON.PIRRI","F","20132014","FLA",21,242.8,6.1,0.256,0.23,-0.09,4.97,-0.033,0.93,-0.13,0.8
"BRANDON.PRUST","F","20132014","MTL",52,559.8,14.1,-0.035,-0.06,-0.08,4.96,-0.024,-0.56,-0.22,-0.8
"BRANDON.SAAD","F","20132014","CHI",78,1049.7,25.5,0.361,0.336,0.28,4.97,0.075,5.87,1.3,7.2
"BRANDON.SUTTER","F","20132014","PIT",81,990.4,24.4,-0.47,-0.495,0.06,4.96,0.044,-8.18,0.73,-7.5
"BRAYDEN.MCNABB","D","20132014","BUF",12,169.3,4.2,0.057,0.052,-0.45,4.97,-0.145,0.15,-0.41,-0.3
"BRAYDEN.SCHENN","F","20132014","PHI",82,1080.3,27.8,0.006,-0.02,0.03,4.96,0.01,-0.35,0.18,-0.2
"BRAYDON.COBURN","D","20132014","PHI",82,1463.2,37.6,-0.12,-0.125,0.03,4.96,0.018,-3.06,0.44,-2.6
"BRENDAN.GALLAGHER","F","20132014","MTL",81,1073.8,27.1,0.239,0.214,-0.08,4.96,-0.037,3.83,-0.66,3.2
"BRENDAN.SMITH","D","20132014","DET",71,1219.8,30.4,0.06,0.054,0,4.96,-0.003,1.1,-0.07,1
"BRENDEN.DILLON","D","20132014","DAL",80,1465.3,36.5,-0.109,-0.115,0.1,4.96,0.042,-2.8,1.03,-1.8
"BRENDEN.MORROW","F","20132014","STL",71,764.1,19.1,-0.008,-0.033,0.12,4.96,0.042,-0.42,0.53,0.1
"BRENT.BURNS","D","20132014","S.J",69,977.5,23.8,0.519,0.513,0.1,4.96,0.007,8.36,0.12,8.5
"BRENT.SEABROOK","D","20132014","CHI",82,1476.2,35.9,0.181,0.175,0.28,4.97,0.079,4.3,1.95,6.2
"BRETT.BELLEMORE","D","20132014","CAR",64,976.4,24,-0.278,-0.284,-0.1,4.97,-0.02,-4.61,-0.32,-4.9
"BRETT.CONNOLLY","F","20132014","T.B",11,117.8,2.9,-0.623,-0.648,0.05,4.96,0.021,-1.27,0.04,-1.2
"BRETT.SUTTER","F","20132014","CAR",17,120.2,2.9,-0.129,-0.154,-0.1,4.97,-0.032,-0.31,-0.06,-0.4
"BRIAN.BOYLE","F","20132014","NYR",82,830.4,20.6,-0.194,-0.219,-0.06,4.97,-0.009,-3.04,-0.12,-3.2
"BRIAN.CAMPBELL","D","20132014","FLA",82,1686.5,42.1,-0.114,-0.119,-0.09,4.97,-0.02,-3.35,-0.56,-3.9
"BRIAN.DUMOULIN","D","20132014","PIT",6,92,2.3,0.638,0.633,0.06,4.96,0.017,0.97,0.03,1
"BRIAN.FLYNN","F","20132014","BUF",79,932.9,23.3,-0.15,-0.175,-0.45,4.97,-0.136,-2.72,-2.12,-4.8
"BRIAN.GIBBONS","F","20132014","PIT",41,446.7,11,0.194,0.169,0.06,4.96,0.016,1.26,0.12,1.4
"BRIAN.GIONTA","F","20132014","MTL",81,1175.1,29.6,-0.179,-0.204,-0.08,4.96,-0.013,-3.99,-0.26,-4.3
"BRIAN.LASHOFF","D","20132014","DET",75,896.7,22.4,0.037,0.032,0,4.96,-0.001,0.47,-0.02,0.5
"BRIAN.MCGRATTAN","F","20132014","CGY",76,502.1,12.2,-0.227,-0.252,-0.08,4.97,-0.021,-2.11,-0.17,-2.3
"BRIAN.STRAIT","D","20132014","NYI",47,701.3,17.3,-0.058,-0.064,-0.06,4.96,-0.016,-0.75,-0.19,-0.9
"BROCK.NELSON","F","20132014","NYI",72,813,20.1,0.045,0.02,-0.06,4.96,-0.019,0.27,-0.26,0
