"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.EKBLAD","D","20162017","FLA",68,1193.7,29.4,-0.288,-0.301,-0.22,4.94,-0.054,-5.98,-1.07,-7.1
"ADAM.CLENDENING","D","20162017","NYR",31,432.2,10.5,0.025,0.012,0.26,4.96,0.085,0.09,0.61,0.7
"ADAM.CRACKNELL","F","20162017","DAL",69,677.6,16.6,0.107,0.069,-0.04,4.97,-0.015,0.78,-0.17,0.6
"ADAM.ERNE","F","20162017","T.B",26,278.8,6.9,-0.722,-0.76,-0.1,4.95,-0.023,-3.53,-0.11,-3.6
"ADAM.HENRIQUE","F","20162017","N.J",82,1069.4,26.3,0.229,0.191,-0.49,4.95,-0.169,3.4,-3.02,0.4
"ADAM.LARSSON","D","20162017","EDM",79,1423.8,34.7,0.268,0.255,0.17,4.96,0.038,6.06,0.91,7
"ADAM.LOWRY","F","20162017","WPG",82,965.8,24.2,-0.098,-0.136,0.2,4.96,0.07,-2.19,1.12,-1.1
"ADAM.MCQUAID","D","20162017","BOS",77,1191.5,29.8,-0.181,-0.194,-0.01,4.96,0.008,-3.84,0.16,-3.7
"ADAM.PELECH","D","20162017","NYI",44,691,16.7,-0.168,-0.18,0.4,4.96,0.134,-2.08,1.54,-0.5
"ADRIAN.KEMPE","F","20162017","L.A",25,267.8,6.6,-0.616,-0.654,-0.26,4.96,-0.077,-2.92,-0.34,-3.3
"A.J..GREER","F","20162017","COL",5,63.8,1.6,-0.514,-0.552,-0.46,4.97,-0.147,-0.59,-0.16,-0.7
"ALAN.QUINE","F","20162017","NYI",61,670.8,16.2,0.193,0.155,0.4,4.96,0.123,1.73,1.37,3.1
"ALEC.MARTINEZ","D","20162017","L.A",82,1387.9,34,0.141,0.129,-0.26,4.96,-0.094,2.98,-2.18,0.8
"ALEKSANDER.BARKOV","F","20162017","FLA",61,898.8,22.1,0.488,0.45,-0.22,4.94,-0.092,6.74,-1.38,5.4
"ALES.HEMSKY","F","20162017","DAL",15,187.2,4.6,-0.248,-0.286,-0.04,4.97,-0.01,-0.89,-0.03,-0.9
"ALEX.BIEGA","D","20162017","VAN",36,440.3,10.7,-0.154,-0.167,-0.37,4.97,-0.115,-1.23,-0.84,-2.1
"ALEX.BURMISTROV","F","20162017","ARI",26,328.8,8,0.195,0.157,-0.27,4.96,-0.089,0.86,-0.49,0.4
"ALEX.BURMISTROV","F","20162017","WPG",23,218.3,5.5,-0.931,-0.969,0.2,4.96,0.074,-3.53,0.27,-3.3
"ALEX.BURROWS","F","20162017","OTT",20,234,5.7,0.458,0.42,-0.27,4.94,-0.091,1.64,-0.35,1.3
"ALEX.BURROWS","F","20162017","VAN",55,707.1,17.1,0.11,0.072,-0.37,4.97,-0.121,0.84,-1.43,-0.6
"ALEX.CHIASSON","F","20162017","CGY",81,934.5,23.6,-0.038,-0.076,-0.01,4.96,0.001,-1.18,0.02,-1.2
"ALEX.EDLER","D","20162017","VAN",68,1294.7,31.4,0.037,0.025,-0.37,4.97,-0.12,0.53,-2.59,-2.1
"ALEXEI.EMELIN","D","20162017","MTL",76,1397.5,33.7,-0.311,-0.324,0.04,4.96,0.034,-7.55,0.78,-6.8
"ALEXEY.MARCHENKO","D","20162017","DET",30,463.5,11.2,0.071,0.059,-0.14,4.94,-0.048,0.45,-0.37,0.1
"ALEXEY.MARCHENKO","D","20162017","TOR",11,152.3,3.7,-0.131,-0.144,0.26,4.95,0.087,-0.37,0.22,-0.1
"ALEX.GALCHENYUK","F","20162017","MTL",61,814.6,19.6,0.241,0.202,0.04,4.96,0.004,2.75,0.05,2.8
"ALEX.GOLIGOSKI","D","20162017","ARI",82,1499.7,36.5,0.297,0.285,-0.27,4.96,-0.107,7.11,-2.69,4.4
