"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.GAGNON","F","20112012","WPG",7,65.7,1.6,-1.398,-1.411,0.06,4.97,0.024,-1.54,0.03,-1.5
"AARON.JOHNSON","D","20112012","CBJ",56,793.1,20.1,0.11,0.122,-0.14,4.96,-0.051,1.61,-0.68,0.9
"AARON.NESS","D","20112012","NYI",9,149.2,3.6,-0.387,-0.375,-0.22,4.97,-0.07,-0.93,-0.17,-1.1
"AARON.PALUSHAJ","F","20112012","MTL",38,282.7,7.2,-0.038,-0.052,-0.06,4.96,-0.02,-0.25,-0.09,-0.3
"AARON.ROME","D","20112012","VAN",43,598.7,14.8,-0.501,-0.49,0.13,4.95,0.056,-4.89,0.56,-4.3
"AARON.VOLPATTI","F","20112012","VAN",23,202.9,5,-0.358,-0.372,0.13,4.95,0.045,-1.26,0.15,-1.1
"ADAM.BURISH","F","20112012","DAL",65,689.8,17.2,-0.059,-0.073,-0.01,4.96,-0.002,-0.84,-0.02,-0.9
"ADAM.HALL","F","20112012","T.B",57,499.6,12.4,-0.359,-0.373,0.21,4.97,0.078,-3.11,0.65,-2.5
"ADAM.HENRIQUE","F","20112012","N.J",74,1079.2,26.5,0.303,0.289,-0.1,4.97,-0.048,5.19,-0.86,4.3
"ADAM.LARSSON","D","20112012","N.J",65,1194.5,29.3,0.051,0.062,-0.1,4.97,-0.036,1.24,-0.72,0.5
"ADAM.MCQUAID","D","20112012","BOS",72,994.9,24.3,-0.088,-0.076,0.36,4.97,0.118,-1.26,1.96,0.7
"ADAM.PARDY","D","20112012","DAL",36,556.5,13.8,-0.069,-0.057,-0.01,4.96,-0.003,-0.53,-0.03,-0.6
"ADRIAN.AUCOIN","D","20112012","ARI",62,1075.5,27.1,0.003,0.015,0.06,4.96,0.018,0.26,0.32,0.6
"ALEC.MARTINEZ","D","20112012","L.A",51,650,16.3,-0.026,-0.014,-0.25,4.96,-0.08,-0.16,-0.86,-1
