"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.GAGNON","F","20102011","DAL",19,143,3.6,-0.283,-0.296,-0.02,4.96,-0.003,-0.71,-0.01,-0.7
"AARON.ROME","D","20102011","VAN",56,837.5,21.3,-0.246,-0.235,0.06,4.97,0.029,-3.28,0.41,-2.9
"AARON.VOLPATTI","F","20102011","VAN",15,97.3,2.5,-0.677,-0.69,0.06,4.97,0.023,-1.12,0.04,-1.1
"AARON.VOROS","F","20102011","ANA",12,66.3,1.7,-0.34,-0.353,-0.03,4.96,-0.009,-0.39,-0.01,-0.4
"ADAM.BURISH","F","20102011","DAL",63,750.1,19.1,-0.11,-0.123,-0.02,4.96,-0.001,-1.53,-0.01,-1.5
"ADAM.CRACKNELL","F","20102011","STL",24,206.5,5.1,0.455,0.442,0.06,4.97,0.014,1.52,0.05,1.6
"ADAM.FOOTE","D","20102011","COL",47,695.6,17.5,-0.154,-0.143,-0.01,4.97,0.001,-1.66,0.01,-1.6
"ADAM.HALL","F","20102011","T.B",82,953.3,24.3,-0.484,-0.497,0.03,4.96,0.035,-7.89,0.56,-7.3
"ADAM.MAIR","F","20102011","N.J",65,551.1,13.5,-0.55,-0.563,-0.16,4.97,-0.035,-5.17,-0.32,-5.5
"ADAM.MCQUAID","D","20102011","BOS",67,891.8,22.1,0.513,0.523,0.09,4.97,0.005,7.78,0.08,7.9
"ADAM.PARDY","D","20102011","CGY",30,413.1,10.4,0.312,0.323,0.04,4.96,0.007,2.22,0.05,2.3
"ADRIAN.AUCOIN","D","20102011","ARI",75,1316,32.9,0.132,0.143,0.02,4.97,-0.003,3.14,-0.07,3.1
"ALEC.MARTINEZ","D","20102011","L.A",60,803.5,20.1,0.186,0.197,-0.01,4.97,-0.012,2.64,-0.15,2.5
"ALES.HEMSKY","F","20102011","EDM",47,649.7,16.6,0.302,0.289,-0.1,4.96,-0.044,3.13,-0.47,2.7
"ALES.KOTALIK","F","20102011","CGY",26,281.2,7.1,-0.605,-0.618,0.04,4.96,0.023,-2.9,0.11,-2.8
"ALEX.BOLDUC","F","20102011","VAN",24,163.2,4.2,0.105,0.093,0.06,4.97,0.019,0.25,0.05,0.3
"ALEX.BURMISTROV","F","20102011","ATL",74,863.8,21.2,-0.188,-0.201,-0.04,4.96,-0.004,-2.9,-0.06,-3
"ALEX.BURROWS","F","20102011","VAN",72,966.6,24.6,0.248,0.235,0.06,4.97,0.008,3.79,0.12,3.9
"ALEX.EDLER","D","20102011","VAN",51,907.3,23.1,0.266,0.277,0.06,4.97,0.006,4.19,0.1,4.3
"ALEXEI.PONIKAROVSKY","F","20102011","L.A",61,648.2,16.2,-0.181,-0.194,-0.01,4.97,0.003,-2.09,0.03,-2.1
"ALEX.FROLOV","F","20102011","NYR",43,513.1,12.9,-0.049,-0.061,0,4.96,0.003,-0.53,0.02,-0.5
"ALEX.GIROUX","F","20102011","EDM",8,90.1,2.3,0.264,0.251,-0.1,4.96,-0.035,0.38,-0.05,0.3
"ALEX.GOLIGOSKI","D","20102011","DAL",23,438.1,11.1,-0.166,-0.155,-0.02,4.96,-0.002,-1.13,-0.01,-1.1
"ALEX.GOLIGOSKI","D","20102011","PIT",60,931.8,23.9,0.62,0.631,0,4.95,-0.03,9.8,-0.46,9.3
"ALEX.KOVALEV","F","20102011","OTT",54,731.3,18.3,-0.237,-0.25,-0.12,4.97,-0.03,-3.04,-0.37,-3.4
"ALEX.KOVALEV","F","20102011","PIT",20,267.4,6.8,0.152,0.139,0,4.95,-0.001,0.62,-0.01,0.6
"ALEX.OVECHKIN","F","20102011","WSH",78,1280.1,32.3,0.259,0.247,-0.01,4.96,-0.02,5.26,-0.42,4.8
"ALEX.PICARD","D","20102011","MTL",43,634.6,16.2,0.084,0.094,-0.04,4.96,-0.016,1,-0.17,0.8
"ALEX.PIETRANGELO","D","20102011","STL",79,1317.3,32.8,0.458,0.469,0.06,4.97,-0.013,10.3,-0.28,10
"ALEX.SEMIN","F","20102011","WSH",65,873.5,22,0.542,0.529,-0.01,4.96,-0.027,7.71,-0.39,7.3
"ALEX.STEEN","F","20102011","STL",72,1081.2,26.9,-0.119,-0.132,0.06,4.97,0.026,-2.38,0.46,-1.9
"ALEX.SULZER","D","20102011","FLA",9,140.1,3.5,-0.319,-0.309,-0.05,4.97,-0.013,-0.72,-0.03,-0.8
"ALEX.SULZER","D","20102011","NSH",31,464.9,11.5,-0.397,-0.387,0,4.97,0.009,-3,0.07,-2.9
"ALEX.TANGUAY","F","20102011","CGY",79,1141.2,28.9,0.373,0.36,0.04,4.96,-0.007,6.85,-0.13,6.7
"ALEX.URBOM","D","20102011","N.J",8,96.5,2.4,-0.828,-0.817,-0.16,4.97,-0.047,-1.31,-0.07,-1.4
"ALEX.VASYUNOV","F","20102011","N.J",18,201.3,4.9,0.04,0.027,-0.16,4.97,-0.051,0.09,-0.17,-0.1
"ANDREAS.LILJA","D","20102011","ANA",52,717.8,18,-0.464,-0.453,-0.03,4.96,0.006,-5.42,0.07,-5.4
"ANDREAS.NODL","F","20102011","PHI",67,818.7,21,-0.261,-0.274,0.14,4.97,0.055,-3.74,0.75,-3
"ANDRE.BENOIT","D","20102011","OTT",8,115.5,2.9,-0.293,-0.283,-0.12,4.97,-0.038,-0.54,-0.07,-0.6
"ANDREI.KOSTITSYN","F","20102011","MTL",81,1090.6,27.9,0.028,0.016,-0.04,4.96,-0.014,0.29,-0.26,0
"ANDREI.LOKTIONOV","F","20102011","L.A",19,230.9,5.8,-0.233,-0.245,-0.01,4.97,-0.001,-0.94,0,-0.9
"ANDREI.MARKOV","D","20102011","MTL",7,117.5,3,0.269,0.279,-0.04,4.96,-0.015,0.55,-0.03,0.5
"ANDREJ.MESZAROS","D","20102011","PHI",81,1324.5,33.9,0.308,0.319,0.14,4.97,0.022,7.04,0.48,7.5
"ANDREJ.SEKERA","D","20102011","BUF",76,1287.9,32.1,0.154,0.165,0.08,4.96,0.016,3.54,0.35,3.9
"ANDREW.ALBERTS","D","20102011","VAN",42,554.5,14.1,-0.098,-0.087,0.06,4.97,0.022,-0.81,0.2,-0.6
"ANDREW.BRUNETTE","F","20102011","MIN",82,1098.4,27.7,-0.188,-0.201,-0.1,4.96,-0.022,-3.67,-0.4,-4.1
