"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.EKBLAD","D","20152016","FLA",78,1378.3,34.4,0.037,0.03,0.24,4.95,0.075,0.69,1.73,2.4
"AARON.NESS","D","20152016","WSH",8,97.3,2.4,0.77,0.763,0.32,4.96,0.1,1.24,0.16,1.4
"ADAM.CLENDENING","D","20152016","EDM",20,281.4,7,0.478,0.471,-0.11,4.96,-0.042,2.21,-0.2,2
"ADAM.CLENDENING","D","20152016","PIT",9,112.3,2.8,0.505,0.497,0.26,4.95,0.082,0.93,0.15,1.1
"ADAM.CRACKNELL","F","20152016","EDM",8,84,2.1,-0.884,-0.916,-0.11,4.96,-0.032,-1.28,-0.04,-1.3
"ADAM.CRACKNELL","F","20152016","VAN",44,505.2,12.4,-0.198,-0.23,-0.31,4.95,-0.093,-1.94,-0.78,-2.7
"ADAM.HENRIQUE","F","20152016","N.J",80,1109.7,27.7,0.419,0.387,-0.44,4.95,-0.163,7.16,-3.02,4.1
"ADAM.LARSSON","D","20152016","N.J",82,1520,37.9,0.018,0.01,-0.44,4.95,-0.143,0.26,-3.61,-3.4
"ADAM.LOWRY","F","20152016","WPG",74,855.8,21.5,-0.162,-0.194,0.04,4.96,0.021,-2.76,0.3,-2.5
"ADAM.MCQUAID","D","20152016","BOS",64,979.6,24.1,-0.327,-0.334,0.2,4.96,0.079,-5.46,1.29,-4.2
"ADAM.PARDY","D","20152016","EDM",9,156.9,3.9,-0.022,-0.029,-0.11,4.96,-0.035,-0.08,-0.09,-0.2
"ADAM.PARDY","D","20152016","WPG",14,149.9,3.8,-0.975,-0.982,0.04,4.96,0.02,-2.45,0.05,-2.4
"ADAM.PELECH","D","20152016","NYI",9,134.1,3.2,-0.218,-0.225,0.14,4.94,0.046,-0.5,0.1,-0.4
"ALEC.MARTINEZ","D","20152016","L.A",78,1297.5,31.9,0.203,0.195,0.07,4.95,0.011,4.22,0.24,4.5
"ALEKSANDER.BARKOV","F","20152016","FLA",66,948.1,23.7,0.335,0.303,0.24,4.95,0.063,4.78,1,5.8
"ALES.HEMSKY","F","20152016","DAL",75,841.2,20.8,0.262,0.23,0.32,4.96,0.094,3.22,1.32,4.5
"ALEX.BIEGA","D","20152016","VAN",51,781.6,19.2,0.205,0.198,-0.31,4.95,-0.107,2.57,-1.39,1.2
"ALEX.BURMISTROV","F","20152016","WPG",81,1057.3,26.6,-0.396,-0.428,0.04,4.96,0.036,-7.54,0.63,-6.9
"ALEX.BURROWS","F","20152016","VAN",79,885.4,21.7,-0.367,-0.4,-0.31,4.95,-0.081,-5.9,-1.2,-7.1
"ALEX.CHIASSON","F","20152016","OTT",77,821.4,20.3,-0.232,-0.264,0.12,4.95,0.051,-3.61,0.69,-2.9
"ALEX.EDLER","D","20152016","VAN",52,941.7,23.1,0.252,0.244,-0.31,4.95,-0.11,3.84,-1.73,2.1
"ALEXEI.EMELIN","D","20152016","MTL",72,1265.1,31.6,-0.239,-0.247,0.07,4.96,0.037,-5.2,0.78,-4.4
"ALEXEY.MARCHENKO","D","20152016","DET",66,960.5,23.8,-0.032,-0.039,-0.11,4.94,-0.032,-0.62,-0.52,-1.1
"ALEX.GALCHENYUK","F","20152016","MTL",82,1072.6,26.8,0.477,0.444,0.07,4.96,-0.003,7.94,-0.05,7.9
"ALEX.GOLIGOSKI","D","20152016","DAL",82,1545.6,38.3,0.234,0.227,0.32,4.96,0.086,5.84,2.22,8.1
"ALEX.GRENIER","F","20152016","VAN",6,68.1,1.7,-0.008,-0.04,-0.31,4.95,-0.099,-0.05,-0.11,-0.2
"ALEX.KILLORN","F","20152016","T.B",81,1102,27.9,0.342,0.309,0.14,4.96,0.028,5.68,0.52,6.2
"ALEX.OVECHKIN","F","20152016","WSH",79,1227.8,30.2,0.315,0.282,0.32,4.96,0.086,5.78,1.76,7.5
"ALEX.PETROVIC","D","20152016","FLA",66,978.9,24.4,0.198,0.191,0.24,4.95,0.068,3.11,1.11,4.2
"ALEX.PIETRANGELO","D","20152016","STL",73,1477.2,36.3,0.196,0.189,-0.02,4.94,-0.019,4.65,-0.48,4.2
"ALEX.SEMIN","F","20152016","MTL",15,142.4,3.6,0.527,0.495,0.07,4.96,0.018,1.17,0.04,1.2
"ALEX.STEEN","F","20152016","STL",67,1005.7,24.7,-0.07,-0.102,-0.02,4.94,0,-1.71,-0.01,-1.7
"ALEX.TANGUAY","F","20152016","ARI",18,217.1,5.6,0.991,0.959,-0.09,4.96,-0.039,3.47,-0.14,3.3
"ALEX.TANGUAY","F","20152016","COL",52,672.5,16.9,0.109,0.077,-0.06,4.97,-0.021,0.86,-0.24,0.6
"ALEX.WENNBERG","F","20152016","CBJ",69,874,21.7,0.148,0.116,0.03,4.96,0.004,1.69,0.06,1.8
"ANDERS.LEE","F","20152016","NYI",80,935.5,22.4,-0.262,-0.295,0.14,4.94,0.058,-4.6,0.9,-3.7
"ANDREAS.ATHANASIOU","F","20152016","DET",37,311.6,7.7,0.446,0.413,-0.11,4.94,-0.041,2.15,-0.21,1.9
"ANDREAS.MARTINSEN","F","20152016","COL",55,588.9,14.8,-0.041,-0.074,-0.06,4.97,-0.016,-0.72,-0.16,-0.9
"ANDRE.BURAKOVSKY","F","20152016","WSH",79,959.4,23.6,0.132,0.1,0.32,4.96,0.099,1.6,1.58,3.2
"ANDREI.MARKOV","D","20152016","MTL",82,1420.6,35.5,0.09,0.082,0.07,4.96,0.015,1.95,0.36,2.3
"ANDREJ.NESTRASIL","F","20152016","CAR",55,707.3,16.9,0.205,0.173,-0.15,4.95,-0.055,2.03,-0.65,1.4
"ANDREJ.SEKERA","D","20152016","EDM",81,1408.7,35.1,-0.064,-0.071,-0.11,4.96,-0.03,-1.67,-0.72,-2.4
"ANDREJ.SUSTR","D","20152016","T.B",77,1138.4,28.8,0.123,0.115,0.14,4.96,0.039,2.19,0.74,2.9
"ANDREW.AGOZZINO","F","20152016","COL",9,74.5,1.9,-0.718,-0.751,-0.06,4.97,-0.016,-0.93,-0.02,-1
"ANDREW.BODNARCHUK","D","20152016","CBJ",16,220.8,5.5,-0.265,-0.273,0.03,4.96,0.012,-1,0.05,-1
"ANDREW.BODNARCHUK","D","20152016","COL",21,222.4,5.6,0.073,0.066,-0.06,4.97,-0.019,0.24,-0.07,0.2
