"player","position","season","Team","GP","TOI_EV","TOI_perc_EV","SPM_EVO_60","SPM_EVO_AA_60","team_EV_GF","team_skaters_EV","adj_EVO_60","SPM_EVO_AA","adj_EVO_total","EVO_AA"
"AARON.GAGNON","F","20122013","WPG",10,73.3,3,1.388,1.363,0.06,4.97,0.011,1.66,0.01,1.7
"AARON.JOHNSON","D","20122013","BOS",10,138.4,5.8,-0.334,-0.338,0.04,4.97,0.017,-0.78,0.04,-0.7
"AARON.PALUSHAJ","F","20122013","COL",25,263.1,11.1,0.499,0.474,-0.04,4.97,-0.025,2.08,-0.11,2
"AARON.ROME","D","20122013","DAL",27,366.1,15.9,-0.157,-0.161,0.11,4.97,0.04,-0.98,0.24,-0.7
"AARON.VOLPATTI","F","20122013","VAN",16,114.7,4.9,-0.328,-0.353,-0.02,4.96,-0.003,-0.67,-0.01,-0.7
"AARON.VOLPATTI","F","20122013","WSH",17,156.3,6.6,-0.614,-0.639,0.04,4.97,0.021,-1.66,0.06,-1.6
"ADAM.BURISH","F","20122013","S.J",46,422.6,17.5,-0.625,-0.65,-0.14,4.96,-0.021,-4.58,-0.15,-4.7
"ADAM.CRACKNELL","F","20122013","STL",20,170.9,7.2,0.165,0.14,0.01,4.96,0,0.4,0,0.4
"ADAM.HALL","F","20122013","PHI",11,92.2,4,-0.466,-0.491,0.01,4.97,0.008,-0.76,0.01,-0.7
"ADAM.HALL","F","20122013","T.B",20,160.5,6.9,-0.453,-0.478,0.19,4.97,0.068,-1.28,0.18,-1.1
"ADAM.HENRIQUE","F","20122013","N.J",42,564.5,24.1,0.025,0,-0.27,4.96,-0.087,0,-0.82,-0.8
"ADAM.LARSSON","D","20122013","N.J",37,615.3,26.3,0.166,0.162,-0.27,4.96,-0.096,1.66,-0.98,0.7
"ADAM.MCQUAID","D","20122013","BOS",32,436.8,18.2,-0.181,-0.185,0.04,4.97,0.02,-1.35,0.14,-1.2
"ADAM.PARDY","D","20122013","BUF",17,258.4,11,0.456,0.452,-0.07,4.95,-0.032,1.95,-0.14,1.8
"ADRIAN.AUCOIN","D","20122013","CBJ",36,533,22,-0.418,-0.422,-0.03,4.95,0.008,-3.75,0.07,-3.7
"ALEC.MARTINEZ","D","20122013","L.A",27,374.8,15.8,-0.743,-0.747,0,4.96,0.024,-4.66,0.15,-4.5
"ALES.HEMSKY","F","20122013","EDM",38,484.2,20.9,-0.141,-0.166,-0.08,4.97,-0.018,-1.34,-0.14,-1.5
"ALEX.BOLDUC","F","20122013","ARI",14,104.7,4.4,-0.755,-0.78,0,4.96,0.006,-1.36,0.01,-1.4
"ALEX.BURMISTROV","F","20122013","WPG",44,576.8,23.8,-0.246,-0.271,0.06,4.97,0.032,-2.61,0.31,-2.3
"ALEX.BURROWS","F","20122013","VAN",47,647.5,27.5,0.39,0.365,-0.02,4.96,-0.026,3.93,-0.28,3.7
"ALEX.CHIASSON","F","20122013","DAL",7,87,3.8,1.074,1.049,0.11,4.97,0.027,1.52,0.04,1.6
