"player","position","season","Team","GP","TOI_all","TOI_EV","TOI_PP","TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","GAR","WAR"
"AARON.EKBLAD","D","20182019","FLA",82,1938.8,1563.2,137.6,187.6,12.1,1.6,1.9,0.3,15.9,2.8
"ADAM.ERNE","F","20182019","T.B",65,685.6,631.4,32.2,18.7,3.5,0.1,-0.3,0.2,3.5,0.6
"ADAM.GAUDETTE","F","20182019","VAN",56,613.1,530.5,76.6,0.1,-5.1,0.2,0,0.7,-4.1,-0.7
"ADAM.HENRIQUE","F","20182019","ANA",82,1346.8,1031.9,184.4,88.7,5.7,1.8,0.3,0.6,8.4,1.5
"ADAM.LARSSON","D","20182019","EDM",82,1773.1,1577.6,6.5,162.2,-8.2,0.1,1.3,-0.4,-7.2,-1.3
"ADAM.LOWRY","F","20182019","WPG",78,1139.8,944.2,7.5,174.7,1.6,-0.1,-0.2,2.1,3.5,0.6
"ADAM.MCQUAID","D","20182019","CBJ",14,159.8,152.7,0,6.2,-1.4,0,-0.1,0.8,-0.7,-0.1
"ADAM.MCQUAID","D","20182019","NYR",36,628,536.6,0.6,80.3,0.3,0,-0.1,-0.7,-0.5,-0.1
"ADAM.PELECH","D","20182019","NYI",78,1453.1,1291.7,7,122,8.2,-0.1,0.3,0.1,8.4,1.5
"ADRIAN.KEMPE","F","20182019","L.A",81,1172.8,998.3,108.2,43.1,2.5,-1.1,0.2,-0.7,0.9,0.2
"A.J..GREER","F","20182019","COL",15,94,92.6,0,0,-0.9,0,0,-0.6,-1.6,-0.3
"ALAN.QUINE","F","20182019","CGY",13,123.5,119.6,3,0,-0.2,0,0,-0.5,-0.7,-0.1
"ALEC.MARTINEZ","D","20182019","L.A",60,1273.8,1065.2,72.2,111.2,2.2,-1.4,1.3,1.5,3.7,0.6
"ALEKSANDER.BARKOV","F","20182019","FLA",82,1833,1310.2,284.8,167.1,11.8,6.3,-1.4,6.1,22.8,4
"ALEX.BIEGA","D","20182019","VAN",41,724.5,687.2,3.2,28.1,3.8,0,0.3,-0.3,3.9,0.7
