"player","position","season","Team","GP","TOI_all","TOI_EV","TOI_PP","TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","GAR","WAR"
"AARON.EKBLAD","D","20162017","FLA",68,1458.8,1193.7,185.7,52.9,-4.4,0.7,0.5,0.2,-3,-0.6
"ADAM.CLENDENING","D","20162017","NYR",31,489.9,432.2,44.5,1.3,1.7,-0.6,0,0,1.1,0.2
"ADAM.CRACKNELL","F","20162017","DAL",69,720.6,677.6,6.8,35.2,3.4,-0.1,0.5,1.6,5.4,1
"ADAM.ERNE","F","20162017","T.B",26,306.9,278.8,25.3,0,-2.4,-0.5,0,0.4,-2.5,-0.5
"ADAM.HENRIQUE","F","20162017","N.J",82,1490.1,1069.4,198.9,183.9,3.5,-0.4,0.6,0.9,4.6,0.9
"ADAM.LARSSON","D","20162017","EDM",79,1590.8,1423.8,13.4,123.3,8.5,-0.2,0,-1.1,7.1,1.4
"ADAM.LOWRY","F","20162017","WPG",82,1316,965.8,139.4,177.6,4.2,0.5,-1.3,0.1,3.5,0.7
"ADAM.MCQUAID","D","20162017","BOS",77,1403.4,1191.5,2.5,180.7,-1.1,0,1.4,0.7,1,0.2
"ADAM.PELECH","D","20162017","NYI",44,739.5,691,1.6,42.3,-0.7,0,1,1.5,1.8,0.3
"ADRIAN.KEMPE","F","20162017","L.A",25,305.8,267.8,19.6,15.6,-2.2,0.9,0.2,0.4,-0.9,-0.2
"A.J..GREER","F","20162017","COL",5,68.3,63.8,2.9,1.3,0,0,0,0,0,0
"ALAN.QUINE","F","20162017","NYI",61,763.7,670.8,66.8,21.9,1.6,-0.7,-1,0.3,0.1,0
"ALEC.MARTINEZ","D","20162017","L.A",82,1768.8,1387.9,175,178.8,5.1,2.9,1,0.4,9.4,1.8
"ALEKSANDER.BARKOV","F","20162017","FLA",61,1183.1,898.8,173.6,75.9,11.2,0.1,1.1,3,15.4,3
"ALES.HEMSKY","F","20162017","DAL",15,216.3,187.2,21.9,1.4,0.3,0.2,0,0.2,0.7,0.1
"ALEX.BIEGA","D","20162017","VAN",36,474,440.3,7.8,23.1,-4,-0.1,-0.7,-0.7,-5.5,-1.1
"ALEX.BURMISTROV","F","20162017","ARI",26,400.5,328.8,53.3,11.4,-0.5,2.3,-0.1,0.5,2.2,0.4
"ALEX.BURMISTROV","F","20162017","WPG",23,253.9,218.3,2.9,31.6,-3.5,0,0.4,-0.1,-3.2,-0.6
"ALEX.BURROWS","F","20162017","OTT",20,275.3,234,33.5,3,1.3,-0.4,0,0.5,1.4,0.3
"ALEX.BURROWS","F","20162017","VAN",55,822.8,707.1,19.4,84.9,0.8,-0.3,-1.5,0.2,-0.7,-0.1
"ALEX.CHIASSON","F","20162017","CGY",81,1084.5,934.5,51.8,73.3,5.6,0.2,-0.7,-0.8,4.3,0.8
"ALEX.EDLER","D","20162017","VAN",68,1653.3,1294.7,136.5,173,-2.4,-1.8,1.7,-0.3,-2.8,-0.5
"ALEXEI.EMELIN","D","20162017","MTL",76,1620.2,1397.5,4.5,192.2,0.1,0,0.5,-0.4,0.1,0
"ALEXEY.MARCHENKO","D","20162017","DET",30,533.8,463.5,2.8,68.7,2.7,0,-0.6,0,2.1,0.4
"ALEXEY.MARCHENKO","D","20162017","TOR",11,155.6,152.3,0.2,3,-0.3,0,0,0.4,0.1,0
"ALEX.GALCHENYUK","F","20162017","MTL",61,971.7,814.6,137.8,1.7,-0.8,1.3,0,-0.7,-0.1,0
"ALEX.GOLIGOSKI","D","20162017","ARI",82,1913.1,1499.7,176.1,201.1,2.7,-1.4,-0.5,1.1,1.9,0.4
"ALEX.KILLORN","F","20162017","T.B",81,1457,1115.4,190.1,114.9,-1.1,2.9,1.4,-0.4,2.9,0.5
"ALEX.OVECHKIN","F","20162017","WSH",82,1506,1172.3,302.7,0.5,2.2,5.7,0,-0.3,7.6,1.5
"ALEX.PETROVIC","D","20162017","FLA",49,889.4,810.2,5.5,62.9,3.5,0,-0.1,-0.8,2.5,0.5
"ALEX.PIETRANGELO","D","20162017","STL",80,2022.4,1549.1,194.1,236.6,9.7,2.9,0.1,0.9,13.6,2.6
"ALEX.RADULOV","F","20162017","MTL",76,1389.7,1143.5,212.5,0.3,8.5,2.5,0,-0.5,10.5,2
"ALEX.STEEN","F","20162017","STL",76,1467.2,1070.1,219.3,139.7,5.1,1,-0.6,1.4,6.9,1.3
"ALEX.TUCH","F","20162017","MIN",6,64.2,64.2,0,0,-0.7,0,0,0,-0.7,-0.1
"ALEX.WENNBERG","F","20162017","CBJ",80,1470.3,1173.7,207.8,48.1,7.2,2.8,1.2,2.2,13.3,2.5
"ANDERS.LEE","F","20162017","NYI",81,1262.7,1041.8,193.1,0.5,9.2,2.2,0,-1.1,10.3,2
"ANDREAS.ATHANASIOU","F","20162017","DET",64,861.6,737.2,75.3,33.1,2.6,2.8,-0.5,1,5.9,1.1
"ANDREAS.MARTINSEN","F","20162017","COL",55,529.8,450.2,3,57.8,-1.3,0,1.5,-1.2,-1,-0.2
"ANDREAS.MARTINSEN","F","20162017","MTL",9,107.1,106.8,0.3,0,-1.1,0,0,0.1,-1,-0.2
