team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2012,COL,COL,Team Level,other,48,0.36,0.45,0.47,5211.0,88.97,11.19,6.36,18.27,3.26,48.06,32.87,10.62,11.19,10.62,91.0,29.0,32.0,152.0,13.0,7.0,1.0,17.0,4.0,34.0,45.0,78.0,107.0,4.0,8.0,86.0,22.0,13.0,13.0,74.0,32.0,14.0,2.5,3.79,4.9,3.0,2.0,8.0,152.0,120.0,120.0,7.0,1.81,1.77,1.77,11.23,11.23,10.87,99.87,20.09,7.35,18.65,3.27,50.47,35.18,18.97,20.09,18.97,106.0,29.0,49.0,184.0,20.0,13.0,3.0,12.0,2.0,38.0,50.0,86.0,115.0,1.0,2.0,73.0,24.0,8.0,12.0,72.0,36.0,27.0,2.16,4.71,13.22,2.0,7.0,11.0,184.0,135.0,135.0,8.0,2.17,3.96,3.96,18.31,18.31,17.82
COL,2012,COL,COL,Team Level,all,48,0.46,0.47,0.48,175828.0,1371.53,115.47,95.2,313.61,44.85,768.97,584.91,111.54,114.59,110.69,1415.0,508.0,660.0,2583.0,114.0,111.0,23.0,367.0,38.0,557.0,736.0,1301.0,1809.0,220.0,510.0,1449.0,1241.0,405.0,349.0,1484.0,327.0,112.0,40.63,38.72,36.11,37.0,33.0,44.0,2534.89,1923.0,1895.97,191.0,20.85,25.26,25.42,110.89,110.09,108.16,1505.69,137.54,109.16,341.73,49.02,842.68,619.87,132.37,139.26,134.07,1508.0,592.0,783.0,2883.0,150.0,129.0,27.0,327.0,45.0,666.0,783.0,1358.0,1950.0,178.0,426.0,1388.0,901.0,399.0,321.0,1582.0,394.0,124.0,44.92,48.37,44.25,47.0,55.0,48.0,2950.19,2100.0,2140.55,168.0,24.26,29.11,29.36,132.42,133.97,131.53
COL,2012,COL,COL,Team Level,5on5,48,0.49,0.49,0.49,140324.0,1089.05,84.2,71.92,257.11,35.21,608.65,468.92,81.54,83.32,80.68,1118.0,408.0,548.0,2074.0,79.0,86.0,18.0,298.0,28.0,436.0,599.0,1039.0,1447.0,195.0,457.0,1095.0,1144.0,336.0,265.0,1194.0,260.0,72.0,32.88,30.54,20.78,31.0,24.0,24.0,2025.89,1526.0,1498.97,160.0,14.79,18.43,18.59,80.4,79.6,78.49,1134.48,88.33,76.97,266.36,36.55,633.05,481.75,85.92,90.06,87.61,1131.0,452.0,591.0,2174.0,97.0,81.0,15.0,264.0,39.0,496.0,606.0,1034.0,1486.0,161.0,389.0,1043.0,812.0,345.0,253.0,1239.0,286.0,58.0,36.43,34.61,17.3,40.0,40.0,17.0,2241.19,1583.0,1623.56,143.0,15.83,18.35,18.54,85.63,87.17,86.02
COL,2012,COL,COL,Team Level,4on5,48,0.1,0.1,0.11,17199.0,30.52,2.93,1.56,3.62,0.86,8.64,26.4,2.89,2.93,2.89,36.0,8.0,9.0,53.0,3.0,1.0,1.0,5.0,1.0,5.0,29.0,33.0,41.0,12.0,27.0,143.0,60.0,44.0,20.0,33.0,7.0,4.0,0.77,1.03,1.13,0.0,2.0,1.0,53.0,44.0,44.0,17.0,0.36,0.29,0.29,3.0,3.0,2.99,242.43,26.35,23.43,52.57,8.4,150.7,79.56,24.74,26.35,24.74,240.0,101.0,134.0,475.0,30.0,33.0,9.0,48.0,3.0,128.0,99.0,210.0,311.0,10.0,23.0,156.0,21.0,12.0,41.0,239.0,68.0,34.0,5.39,8.55,12.4,3.0,8.0,19.0,475.0,341.0,341.0,3.0,5.93,6.39,6.46,25.82,25.82,25.03
COL,2012,COL,COL,Team Level,5on4,48,0.86,0.86,0.85,13094.0,163.0,17.14,15.37,34.61,5.53,103.63,56.72,16.5,17.14,16.5,170.0,63.0,71.0,304.0,19.0,17.0,3.0,47.0,5.0,82.0,63.0,151.0,214.0,9.0,18.0,125.0,15.0,12.0,51.0,183.0,28.0,22.0,4.47,3.36,9.3,3.0,5.0,11.0,304.0,233.0,233.0,7.0,3.89,4.77,4.77,16.27,16.27,15.81,28.92,2.76,1.42,4.15,0.81,8.47,23.38,2.74,2.76,2.74,31.0,10.0,9.0,50.0,3.0,2.0,0.0,3.0,1.0,4.0,28.0,28.0,38.0,6.0,12.0,116.0,44.0,34.0,15.0,32.0,4.0,5.0,0.94,0.49,1.33,2.0,0.0,1.0,50.0,41.0,41.0,14.0,0.32,0.41,0.41,2.67,2.67,2.67
DAL,2012,DAL,DAL,Team Level,other,48,0.44,0.47,0.45,5770.0,67.94,12.07,5.03,13.2,2.23,36.2,24.27,11.5,12.07,11.5,57.0,36.0,41.0,134.0,9.0,6.0,2.0,11.0,1.0,38.0,28.0,48.0,84.0,10.0,23.0,60.0,30.0,14.0,19.0,57.0,20.0,16.0,1.86,2.6,7.61,0.0,4.0,5.0,134.0,93.0,93.0,6.0,1.47,1.94,1.94,11.61,11.61,11.23,82.95,15.15,6.01,16.04,2.89,43.96,29.95,14.61,15.15,14.61,83.0,31.0,36.0,150.0,17.0,6.0,2.0,11.0,3.0,38.0,39.0,66.0,97.0,4.0,13.0,99.0,22.0,13.0,11.0,52.0,44.0,18.0,1.65,5.51,7.99,2.0,5.0,10.0,150.0,114.0,114.0,6.0,1.8,1.07,0.95,16.01,16.01,15.53
DAL,2012,DAL,DAL,Team Level,all,48,0.45,0.48,0.46,174366.0,1327.25,121.92,93.88,302.7,43.65,730.44,547.41,117.19,121.95,117.24,1261.0,579.0,737.0,2577.0,128.0,102.0,23.0,279.0,47.0,620.0,664.0,1133.0,1712.0,226.0,535.0,1356.0,1199.0,327.0,423.0,1359.0,367.0,114.0,37.37,46.7,37.83,41.0,46.0,41.0,2574.15,1840.0,1840.78,210.0,20.83,20.78,21.01,121.73,121.78,119.05,1532.18,149.46,108.19,342.01,48.63,852.22,618.48,142.37,150.29,143.12,1489.0,630.0,671.0,2790.0,141.0,122.0,30.0,360.0,45.0,722.0,729.0,1348.0,1978.0,226.0,536.0,1519.0,1200.0,327.0,356.0,1576.0,383.0,160.0,43.58,47.53,58.36,42.0,41.0,58.0,2798.81,2119.0,2126.13,186.0,24.18,28.22,28.75,144.89,145.66,142.07
DAL,2012,DAL,DAL,Team Level,5on5,48,0.47,0.49,0.47,136661.0,1019.83,81.78,67.57,242.13,33.54,559.36,424.64,79.09,81.81,79.14,973.0,436.0,583.0,1992.0,92.0,78.0,18.0,221.0,38.0,461.0,519.0,881.0,1317.0,191.0,453.0,1042.0,1079.0,266.0,341.0,1076.0,269.0,64.0,30.16,34.41,17.21,36.0,34.0,22.0,1989.15,1409.0,1409.78,179.0,13.95,15.63,15.68,80.05,80.1,78.99,1140.88,93.11,76.46,266.6,36.25,635.19,471.39,89.48,93.94,90.22,1114.0,465.0,505.0,2084.0,92.0,91.0,19.0,283.0,37.0,525.0,551.0,1022.0,1487.0,186.0,439.0,1068.0,1089.0,256.0,277.0,1218.0,274.0,87.0,34.72,34.11,24.29,38.0,31.0,23.0,2092.81,1579.0,1586.13,154.0,15.75,18.24,18.71,90.15,90.92,89.37
DAL,2012,DAL,DAL,Team Level,4on5,48,0.1,0.11,0.13,15998.0,36.04,4.06,1.88,4.82,1.08,9.83,32.34,3.93,4.06,3.93,36.0,18.0,7.0,61.0,2.0,3.0,0.0,6.0,2.0,6.0,35.0,34.0,52.0,13.0,35.0,118.0,61.0,33.0,21.0,37.0,11.0,6.0,0.63,1.44,1.98,1.0,0.0,1.0,61.0,54.0,54.0,20.0,0.44,0.94,0.94,3.56,3.56,3.56,264.34,37.09,23.6,53.54,8.28,160.65,84.84,34.24,37.09,34.24,254.0,114.0,117.0,485.0,29.0,23.0,8.0,61.0,3.0,148.0,104.0,225.0,339.0,22.0,56.0,198.0,26.0,9.0,47.0,265.0,53.0,50.0,5.96,6.42,24.71,2.0,4.0,23.0,485.0,368.0,368.0,9.0,6.15,8.59,8.77,34.47,34.47,32.93
DAL,2012,DAL,DAL,Team Level,5on4,48,0.85,0.85,0.83,15937.0,203.44,24.0,19.39,42.57,6.81,125.06,66.17,22.67,24.0,22.67,195.0,89.0,106.0,390.0,25.0,15.0,3.0,41.0,6.0,115.0,82.0,170.0,259.0,12.0,24.0,136.0,29.0,14.0,42.0,189.0,67.0,28.0,4.72,8.25,11.04,4.0,8.0,13.0,390.0,284.0,284.0,5.0,4.96,2.27,2.46,26.5,26.5,25.27,44.01,4.11,2.12,5.84,1.2,12.43,32.31,4.05,4.11,4.05,38.0,20.0,13.0,71.0,3.0,2.0,1.0,5.0,2.0,11.0,35.0,35.0,55.0,14.0,28.0,154.0,63.0,49.0,21.0,41.0,12.0,5.0,1.24,1.49,1.37,0.0,1.0,2.0,71.0,58.0,58.0,17.0,0.48,0.32,0.32,4.27,4.27,4.25
