team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2017,CGY,CGY,Team Level,other,82,0.46,0.51,0.5,10341.0,152.16,26.02,11.73,26.28,4.95,83.82,55.21,23.23,26.02,23.23,140.0,68.0,62.0,270.0,22.0,13.0,0.0,28.0,6.0,78.0,61.0,118.0,186.0,17.0,41.0,143.0,23.0,40.0,24.0,118.0,63.0,27.0,4.25,8.29,13.47,6.0,8.0,8.0,270.0,208.0,208.0,12.0,3.47,3.65,3.65,25.83,25.83,24.1,150.61,30.19,11.46,27.64,5.34,78.08,56.29,27.08,30.19,27.08,146.0,63.0,55.0,264.0,30.0,19.0,8.0,28.0,4.0,58.0,70.0,116.0,179.0,11.0,27.0,138.0,30.0,30.0,30.0,110.0,52.0,47.0,4.01,6.69,19.5,6.0,6.0,18.0,264.0,209.0,209.0,16.0,3.24,7.09,7.09,26.35,26.35,24.72
CGY,2017,CGY,CGY,Team Level,all,82,0.52,0.53,0.53,298780.0,2842.83,261.87,193.74,647.99,93.73,1572.19,1221.49,249.89,262.21,250.2,2759.0,1232.0,1343.0,5334.0,216.0,217.0,36.0,664.0,112.0,1315.0,1467.0,2543.0,3775.0,341.0,792.0,2496.0,1639.0,679.0,824.0,2979.0,762.0,250.0,81.61,91.33,88.92,61.0,85.0,70.0,5318.02,3991.0,3985.18,456.0,43.14,54.68,54.68,250.3,250.35,243.95,2572.57,239.84,177.01,580.41,84.81,1429.32,1094.62,229.71,241.49,231.37,2554.0,1052.0,1100.0,4706.0,243.0,205.0,50.0,544.0,104.0,1090.0,1420.0,2311.0,3363.0,341.0,780.0,2560.0,1311.0,644.0,810.0,2699.0,672.0,235.0,77.09,82.28,80.46,88.0,73.0,82.0,4737.15,3606.0,3628.3,473.0,39.16,46.68,47.13,231.88,233.16,227.75
CGY,2017,CGY,CGY,Team Level,5on5,82,0.53,0.53,0.53,238106.0,2220.85,177.14,142.06,527.95,73.1,1224.45,983.3,171.6,177.49,171.92,2147.0,981.0,1050.0,4178.0,147.0,147.0,23.0,532.0,93.0,1026.0,1183.0,2000.0,2981.0,285.0,665.0,1908.0,1554.0,547.0,675.0,2401.0,585.0,142.0,66.41,69.33,41.41,47.0,68.0,32.0,4162.03,3128.0,3122.18,386.0,29.25,33.53,33.53,172.86,172.91,170.1,1962.8,155.68,126.99,463.62,64.22,1087.46,843.03,151.46,157.33,153.1,1942.0,799.0,892.0,3633.0,159.0,142.0,29.0,440.0,78.0,805.0,1117.0,1783.0,2582.0,283.0,655.0,1924.0,1215.0,531.0,642.0,2123.0,489.0,129.0,60.14,59.99,35.55,72.0,55.0,32.0,3664.15,2741.0,2763.3,400.0,26.12,29.02,29.47,152.32,153.61,151.74
CGY,2017,CGY,CGY,Team Level,4on5,82,0.12,0.14,0.15,25354.0,65.81,6.59,3.17,8.44,1.86,18.28,55.65,6.53,6.59,6.53,79.0,15.0,16.0,110.0,7.0,3.0,0.0,10.0,4.0,15.0,55.0,72.0,87.0,15.0,36.0,208.0,37.0,64.0,49.0,67.0,17.0,10.0,1.71,2.09,2.79,3.0,2.0,2.0,110.0,94.0,94.0,45.0,0.73,0.53,0.53,6.79,6.79,6.77,393.94,48.21,35.5,81.25,13.14,246.92,128.98,45.53,48.21,45.53,387.0,167.0,141.0,695.0,47.0,42.0,13.0,72.0,19.0,210.0,164.0,340.0,507.0,32.0,68.0,277.0,17.0,26.0,83.0,387.0,115.0,52.0,11.11,13.38,23.72,9.0,8.0,30.0,695.0,554.0,554.0,8.0,9.1,10.12,10.12,47.19,47.19,45.31
CGY,2017,CGY,CGY,Team Level,5on4,82,0.9,0.87,0.85,24979.0,404.0,52.12,36.78,85.32,13.82,245.65,127.32,48.53,52.12,48.53,393.0,168.0,215.0,776.0,40.0,54.0,13.0,94.0,9.0,196.0,168.0,353.0,521.0,24.0,50.0,237.0,25.0,28.0,76.0,393.0,97.0,71.0,9.24,11.63,31.25,5.0,7.0,28.0,776.0,561.0,561.0,13.0,9.68,16.97,16.97,44.82,44.82,42.98,65.23,5.76,3.05,7.9,2.1,16.86,66.32,5.65,5.76,5.65,79.0,23.0,12.0,114.0,7.0,2.0,0.0,4.0,3.0,17.0,69.0,72.0,95.0,15.0,30.0,221.0,49.0,57.0,55.0,79.0,16.0,7.0,1.83,2.23,1.7,1.0,4.0,2.0,114.0,102.0,102.0,49.0,0.7,0.44,0.44,6.02,6.02,5.98
T.B,2017,T.B,T.B,Team Level,other,82,0.5,0.5,0.5,12711.0,157.35,27.43,11.86,28.04,5.67,91.54,56.46,26.12,27.43,26.12,145.0,76.0,74.0,295.0,24.0,10.0,1.0,20.0,8.0,83.0,76.0,121.0,197.0,8.0,16.0,133.0,35.0,29.0,30.0,130.0,60.0,31.0,4.82,7.12,15.5,4.0,7.0,13.0,295.0,221.0,221.0,12.0,3.42,3.21,3.21,27.65,27.65,27.08,154.65,27.26,11.56,26.99,5.09,93.06,55.04,26.07,27.26,26.07,159.0,60.0,73.0,292.0,30.0,3.0,1.0,20.0,11.0,87.0,68.0,129.0,189.0,7.0,17.0,151.0,43.0,34.0,22.0,128.0,55.0,36.0,4.8,6.55,15.91,4.0,13.0,13.0,292.0,219.0,219.0,11.0,3.34,1.42,1.23,29.37,29.37,28.03
T.B,2017,T.B,T.B,Team Level,all,82,0.52,0.51,0.51,298776.0,2681.14,256.92,188.81,596.84,86.9,1511.75,1123.86,246.09,258.68,247.76,2680.0,1086.0,1218.0,4984.0,290.0,169.0,40.0,516.0,167.0,1263.0,1361.0,2390.0,3476.0,327.0,709.0,2441.0,1728.0,575.0,692.0,2726.0,828.0,212.0,81.02,98.65,77.25,94.0,115.0,81.0,5050.31,3766.0,3805.68,346.0,41.82,38.44,38.69,259.98,261.49,254.78,2552.63,235.77,179.19,574.63,82.59,1451.16,1060.66,226.81,234.81,225.88,2683.0,901.0,1127.0,4711.0,234.0,152.0,40.0,496.0,178.0,1173.0,1351.0,2449.0,3350.0,333.0,727.0,2621.0,1711.0,555.0,714.0,2718.0,652.0,214.0,80.64,78.1,77.03,74.0,81.0,79.0,4664.74,3584.0,3556.16,404.0,39.84,34.65,34.65,240.96,239.82,233.1
T.B,2017,T.B,T.B,Team Level,5on5,82,0.52,0.52,0.51,237108.0,2080.3,172.01,140.11,482.03,66.91,1164.41,898.59,166.34,173.78,168.0,2097.0,828.0,954.0,3879.0,197.0,133.0,28.0,429.0,137.0,975.0,1054.0,1900.0,2728.0,289.0,630.0,1884.0,1597.0,466.0,542.0,2177.0,620.0,128.0,65.03,73.82,33.16,81.0,81.0,35.0,3945.31,2925.0,2964.68,307.0,28.92,26.68,26.91,173.95,175.46,172.35,1966.47,155.82,131.14,463.47,64.05,1103.05,840.47,151.24,154.86,150.31,2072.0,686.0,874.0,3632.0,147.0,118.0,27.0,398.0,140.0,876.0,1079.0,1925.0,2611.0,292.0,635.0,2010.0,1593.0,443.0,590.0,2153.0,493.0,112.0,65.6,58.76,31.46,62.0,56.0,29.0,3585.74,2758.0,2730.16,355.0,27.01,25.24,25.28,157.54,156.41,154.07
T.B,2017,T.B,T.B,Team Level,4on5,82,0.09,0.1,0.11,24081.0,48.58,4.9,2.47,5.59,1.34,13.46,41.24,4.89,4.9,4.89,55.0,14.0,12.0,81.0,8.0,0.0,0.0,3.0,0.0,11.0,47.0,47.0,61.0,13.0,29.0,182.0,75.0,61.0,25.0,46.0,19.0,4.0,1.15,2.6,1.15,0.0,6.0,2.0,81.0,69.0,69.0,22.0,0.58,0.0,0.0,5.47,5.47,5.46,388.52,48.41,34.56,79.18,12.32,243.86,126.68,45.22,48.41,45.22,399.0,146.0,165.0,710.0,54.0,31.0,12.0,72.0,25.0,200.0,163.0,345.0,491.0,22.0,50.0,246.0,23.0,20.0,65.0,390.0,95.0,60.0,9.21,11.36,27.84,7.0,11.0,36.0,710.0,545.0,545.0,8.0,9.04,8.0,8.13,49.31,49.31,46.27
T.B,2017,T.B,T.B,Team Level,5on4,82,0.92,0.9,0.9,24876.0,394.91,52.58,34.35,81.18,12.98,242.35,127.56,48.75,52.58,48.75,383.0,168.0,178.0,729.0,61.0,26.0,11.0,64.0,22.0,194.0,184.0,322.0,490.0,17.0,34.0,242.0,21.0,19.0,95.0,373.0,129.0,49.0,10.02,15.12,27.44,9.0,21.0,31.0,729.0,551.0,551.0,5.0,8.9,8.55,8.57,52.91,52.91,49.89,42.97,4.28,1.94,5.0,1.14,11.19,38.46,4.28,4.28,4.28,53.0,9.0,15.0,77.0,3.0,0.0,0.0,6.0,2.0,10.0,41.0,50.0,59.0,12.0,25.0,214.0,52.0,58.0,37.0,47.0,9.0,6.0,1.03,1.44,1.81,1.0,1.0,1.0,77.0,62.0,62.0,30.0,0.46,0.0,0.0,4.74,4.74,4.74
