team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2011,VAN,VAN,Team Level,other,82,0.56,0.56,0.56,10963.0,188.41,26.47,13.06,36.61,6.16,103.88,79.81,25.53,26.47,25.53,206.0,60.0,84.0,350.0,27.0,5.0,2.0,33.0,7.0,103.0,91.0,179.0,239.0,12.0,24.0,164.0,39.0,28.0,19.0,174.0,59.0,33.0,5.54,7.23,13.7,4.0,8.0,15.0,350.0,266.0,266.0,9.0,3.75,1.82,2.93,27.29,27.29,26.46,154.64,20.83,11.38,31.57,5.34,81.88,59.99,19.77,20.83,19.77,151.0,60.0,67.0,278.0,17.0,12.0,1.0,26.0,6.0,65.0,85.0,134.0,194.0,12.0,26.0,171.0,61.0,41.0,27.0,137.0,52.0,22.0,5.05,6.48,9.3,1.0,9.0,7.0,278.0,211.0,211.0,15.0,3.19,2.06,1.67,22.35,22.35,21.27
VAN,2011,VAN,VAN,Team Level,all,82,0.49,0.53,0.52,301315.0,2529.42,206.02,172.96,582.93,84.59,1445.55,1080.96,199.99,207.73,201.66,2583.0,990.0,1302.0,4875.0,241.0,135.0,36.0,611.0,85.0,1190.0,1312.0,2342.0,3332.0,370.0,887.0,2529.0,1826.0,539.0,582.0,2835.0,564.0,174.0,76.69,68.71,60.63,90.0,83.0,68.0,4928.33,3573.0,3606.81,403.0,38.31,28.93,32.43,211.91,213.44,209.12,2366.94,214.96,166.85,533.71,79.49,1317.78,986.21,206.71,213.92,205.69,2526.0,773.0,1019.0,4318.0,191.0,168.0,47.0,601.0,81.0,1005.0,1253.0,2335.0,3108.0,368.0,887.0,2320.0,1945.0,625.0,627.0,2451.0,654.0,194.0,71.9,78.88,64.18,55.0,64.0,72.0,4264.66,3299.0,3269.87,409.0,36.94,37.33,40.96,210.94,209.8,205.2
VAN,2011,VAN,VAN,Team Level,5on5,82,0.48,0.53,0.52,237778.0,1893.04,135.03,121.83,456.81,63.13,1067.76,816.43,131.66,136.75,133.32,1916.0,745.0,999.0,3660.0,157.0,99.0,23.0,475.0,64.0,864.0,1003.0,1759.0,2504.0,317.0,763.0,1867.0,1664.0,415.0,455.0,2162.0,402.0,97.0,59.78,49.07,26.21,73.0,58.0,26.0,3713.33,2661.0,2694.81,335.0,24.98,19.28,21.06,138.95,140.49,138.58,1796.01,145.41,118.38,419.82,60.09,995.42,765.89,140.89,144.36,139.88,1915.0,590.0,776.0,3281.0,132.0,119.0,36.0,475.0,60.0,756.0,963.0,1783.0,2373.0,305.0,737.0,1686.0,1750.0,483.0,490.0,1928.0,463.0,114.0,56.45,56.17,32.79,49.0,46.0,37.0,3227.66,2505.0,2475.87,352.0,24.35,26.43,28.31,141.45,140.31,138.41
VAN,2011,VAN,VAN,Team Level,4on5,82,0.11,0.14,0.14,27332.0,60.14,5.56,2.89,7.92,1.89,17.14,50.59,5.44,5.56,5.44,67.0,19.0,23.0,109.0,7.0,4.0,2.0,8.0,0.0,15.0,52.0,60.0,79.0,13.0,32.0,255.0,89.0,83.0,55.0,60.0,20.0,6.0,1.63,2.52,1.41,2.0,4.0,1.0,109.0,86.0,86.0,50.0,0.66,0.81,0.81,5.41,5.41,5.4,366.62,44.42,34.83,75.72,12.5,226.25,121.28,41.85,44.42,41.85,400.0,115.0,163.0,678.0,38.0,32.0,9.0,96.0,12.0,174.0,163.0,362.0,477.0,29.0,66.0,247.0,57.0,27.0,68.0,338.0,124.0,53.0,9.18,14.56,20.68,4.0,8.0,26.0,678.0,515.0,515.0,5.0,8.88,8.32,10.14,43.16,43.16,41.54
VAN,2011,VAN,VAN,Team Level,5on4,82,0.9,0.9,0.89,25242.0,387.82,38.95,35.17,81.58,13.41,256.76,134.12,37.36,38.95,37.36,394.0,166.0,196.0,756.0,50.0,27.0,9.0,95.0,14.0,208.0,166.0,344.0,510.0,28.0,68.0,243.0,34.0,13.0,53.0,439.0,83.0,38.0,9.74,9.89,19.32,11.0,13.0,26.0,756.0,560.0,560.0,9.0,8.92,7.01,7.63,40.25,40.25,38.67,49.69,4.3,2.25,6.6,1.56,14.24,39.05,4.2,4.3,4.2,60.0,8.0,13.0,81.0,4.0,5.0,1.0,4.0,3.0,10.0,42.0,56.0,64.0,22.0,58.0,216.0,77.0,74.0,42.0,48.0,15.0,5.0,1.22,1.67,1.41,1.0,1.0,2.0,81.0,68.0,68.0,37.0,0.53,0.52,0.84,3.99,3.99,3.98
CHI,2011,CHI,CHI,Team Level,other,82,0.64,0.53,0.53,8708.0,134.57,26.98,8.9,25.08,4.3,67.42,53.32,26.44,26.98,26.44,135.0,51.0,66.0,252.0,29.0,6.0,2.0,20.0,6.0,52.0,73.0,106.0,157.0,5.0,10.0,119.0,42.0,42.0,22.0,107.0,38.0,41.0,3.98,4.56,18.44,2.0,8.0,19.0,252.0,186.0,186.0,14.0,2.47,2.3,2.3,27.14,27.14,26.76,117.98,14.88,7.88,23.6,4.17,64.62,47.87,13.73,14.88,13.73,127.0,36.0,58.0,221.0,15.0,8.0,4.0,23.0,2.0,60.0,55.0,112.0,148.0,11.0,22.0,118.0,53.0,29.0,13.0,109.0,36.0,18.0,3.96,4.14,6.77,2.0,5.0,8.0,221.0,163.0,163.0,4.0,2.14,2.75,2.75,14.27,14.27,13.58
CHI,2011,CHI,CHI,Team Level,all,82,0.52,0.53,0.52,300972.0,2531.57,224.23,176.58,569.0,82.0,1414.03,1039.16,218.29,224.8,218.87,2583.0,922.0,1190.0,4695.0,241.0,140.0,36.0,601.0,72.0,1121.0,1330.0,2342.0,3264.0,290.0,726.0,2390.0,1500.0,775.0,588.0,2698.0,597.0,210.0,78.11,72.74,73.37,84.0,76.0,81.0,4704.31,3505.0,3515.18,388.0,38.61,32.1,32.64,230.19,230.69,226.88,2311.67,203.65,162.5,520.69,76.3,1289.6,947.25,196.1,203.92,196.35,2343.0,857.0,1029.0,4229.0,231.0,155.0,41.0,478.0,63.0,1070.0,1203.0,2112.0,2969.0,347.0,839.0,2338.0,2193.0,629.0,513.0,2407.0,617.0,176.0,68.91,74.98,59.76,73.0,86.0,72.0,4232.7,3200.0,3202.55,318.0,35.64,36.19,37.65,201.64,202.06,198.18
CHI,2011,CHI,CHI,Team Level,5on5,82,0.52,0.53,0.53,242697.0,2016.65,153.31,133.99,468.84,65.45,1126.22,844.19,149.63,153.89,150.21,2050.0,742.0,925.0,3717.0,169.0,108.0,27.0,498.0,60.0,887.0,1070.0,1881.0,2623.0,267.0,680.0,1816.0,1355.0,610.0,470.0,2205.0,470.0,117.0,64.0,56.99,32.32,77.0,59.0,33.0,3726.31,2792.0,2802.18,330.0,27.57,24.06,24.6,156.28,156.79,154.78,1797.04,143.89,120.61,415.86,58.41,995.45,754.77,140.05,144.16,140.3,1827.0,662.0,814.0,3303.0,166.0,107.0,25.0,393.0,50.0,824.0,949.0,1661.0,2323.0,309.0,763.0,1790.0,2008.0,499.0,399.0,1904.0,484.0,101.0,55.54,59.02,29.32,62.0,68.0,36.0,3306.7,2489.0,2491.55,258.0,24.86,24.0,25.11,143.64,144.05,141.84
CHI,2011,CHI,CHI,Team Level,4on5,82,0.14,0.11,0.12,22270.0,48.72,6.38,2.67,6.78,1.36,13.65,34.17,6.28,6.38,6.28,51.0,14.0,13.0,78.0,6.0,3.0,1.0,4.0,1.0,8.0,43.0,45.0,59.0,5.0,10.0,202.0,73.0,93.0,43.0,36.0,19.0,10.0,1.1,2.36,2.92,0.0,2.0,4.0,78.0,65.0,65.0,42.0,0.61,0.81,0.81,6.17,6.17,6.14,353.43,40.17,31.98,75.04,12.32,217.6,114.91,37.6,40.17,37.6,348.0,144.0,136.0,628.0,47.0,40.0,12.0,59.0,9.0,178.0,159.0,301.0,445.0,15.0,30.0,217.0,46.0,16.0,49.0,358.0,86.0,48.0,8.46,10.47,21.23,9.0,12.0,26.0,628.0,492.0,492.0,5.0,8.16,9.44,9.79,38.54,38.54,37.58
CHI,2011,CHI,CHI,Team Level,5on4,82,0.89,0.89,0.89,27297.0,331.63,37.56,31.02,68.29,10.9,206.75,107.48,35.93,37.56,35.93,347.0,115.0,186.0,648.0,37.0,23.0,6.0,79.0,5.0,174.0,144.0,310.0,425.0,13.0,26.0,253.0,30.0,30.0,53.0,350.0,70.0,42.0,9.03,8.83,19.7,5.0,7.0,25.0,648.0,462.0,462.0,2.0,7.95,4.92,4.92,40.59,40.59,39.2,43.22,4.73,2.03,6.2,1.4,11.93,29.7,4.72,4.73,4.72,41.0,15.0,21.0,77.0,3.0,0.0,0.0,3.0,2.0,8.0,40.0,38.0,53.0,12.0,24.0,213.0,86.0,85.0,52.0,36.0,11.0,9.0,0.94,1.35,2.44,0.0,1.0,2.0,77.0,56.0,56.0,51.0,0.47,0.0,0.0,5.2,5.2,5.19
