team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2016,NYR,NYR,Team Level,other,82,0.59,0.52,0.56,15270.0,149.71,30.72,10.12,26.51,5.06,76.89,56.7,27.92,30.72,27.92,144.0,62.0,56.0,262.0,32.0,14.0,3.0,22.0,8.0,57.0,73.0,112.0,174.0,7.0,14.0,117.0,25.0,24.0,25.0,121.0,41.0,44.0,4.28,5.11,21.33,7.0,6.0,19.0,262.0,206.0,206.0,14.0,3.0,4.1,4.1,29.62,29.62,27.77,117.99,21.1,8.15,21.77,4.04,64.39,43.57,20.2,21.1,20.2,109.0,54.0,75.0,238.0,15.0,10.0,2.0,17.0,4.0,60.0,57.0,94.0,148.0,9.0,18.0,125.0,31.0,28.0,34.0,98.0,36.0,29.0,3.6,4.69,12.8,4.0,1.0,10.0,238.0,163.0,163.0,10.0,2.33,2.9,2.78,20.65,20.65,20.21
NYR,2016,NYR,NYR,Team Level,all,82,0.51,0.49,0.5,298454.0,2469.58,231.68,164.92,563.51,81.5,1365.86,1030.54,222.63,232.68,223.63,2438.0,1000.0,1074.0,4512.0,253.0,168.0,43.0,556.0,86.0,1053.0,1322.0,2185.0,3185.0,262.0,579.0,2353.0,1715.0,647.0,859.0,2566.0,656.0,216.0,72.48,78.99,80.2,83.0,82.0,88.0,4518.21,3438.0,3443.69,467.0,36.43,39.92,40.69,227.42,228.53,223.11,2461.44,220.38,164.27,568.01,81.39,1379.9,1027.05,211.98,220.5,212.09,2465.0,976.0,1244.0,4685.0,216.0,170.0,39.0,573.0,81.0,1101.0,1300.0,2249.0,3225.0,275.0,614.0,2511.0,1683.0,531.0,827.0,2586.0,667.0,188.0,72.64,81.36,66.39,68.0,78.0,70.0,4675.51,3441.0,3437.37,445.0,35.83,41.08,41.95,214.27,214.31,209.92
NYR,2016,NYR,NYR,Team Level,5on5,82,0.49,0.48,0.49,240464.0,1918.59,153.46,123.59,456.0,62.44,1058.98,814.54,149.28,154.47,150.29,1895.0,774.0,855.0,3524.0,167.0,117.0,28.0,447.0,67.0,817.0,1054.0,1728.0,2502.0,232.0,518.0,1865.0,1612.0,541.0,710.0,2036.0,520.0,113.0,57.67,62.91,32.87,68.0,68.0,31.0,3530.22,2669.0,2674.7,420.0,25.48,25.58,26.67,152.27,153.38,150.96,2003.23,157.68,128.26,480.2,66.24,1117.64,851.96,153.12,157.79,153.24,2002.0,800.0,1024.0,3826.0,154.0,129.0,28.0,483.0,62.0,883.0,1091.0,1848.0,2648.0,244.0,549.0,1937.0,1568.0,443.0,659.0,2155.0,534.0,113.0,60.36,64.91,32.41,57.0,63.0,34.0,3816.51,2802.0,2798.37,382.0,26.39,28.82,29.66,154.41,154.46,152.08
NYR,2016,NYR,NYR,Team Level,4on5,82,0.16,0.17,0.18,20374.0,67.95,6.85,3.14,9.22,2.22,19.96,50.61,6.77,6.85,6.77,73.0,19.0,18.0,110.0,9.0,1.0,0.0,13.0,0.0,14.0,55.0,64.0,83.0,8.0,16.0,156.0,53.0,61.0,31.0,60.0,22.0,10.0,1.55,2.7,2.6,2.0,3.0,4.0,110.0,92.0,92.0,30.0,0.71,0.27,0.27,7.28,7.28,7.28,296.03,37.04,25.73,59.62,9.71,184.61,97.29,34.24,37.04,34.24,302.0,112.0,132.0,546.0,42.0,28.0,8.0,62.0,12.0,146.0,124.0,260.0,372.0,15.0,30.0,242.0,26.0,11.0,86.0,290.0,83.0,41.0,7.47,9.89,19.68,5.0,12.0,25.0,546.0,414.0,414.0,8.0,6.62,8.47,8.49,35.18,35.18,33.6
NYR,2016,NYR,NYR,Team Level,5on4,82,0.9,0.89,0.88,22346.0,333.33,40.65,28.07,71.78,11.78,210.03,108.69,38.65,40.65,38.65,326.0,145.0,145.0,616.0,45.0,36.0,12.0,74.0,11.0,165.0,140.0,281.0,426.0,15.0,31.0,215.0,25.0,21.0,93.0,349.0,73.0,49.0,8.98,8.27,23.39,6.0,5.0,34.0,616.0,471.0,471.0,3.0,7.23,9.96,9.64,38.24,38.24,37.1,44.2,4.56,2.13,6.42,1.4,13.25,34.23,4.42,4.56,4.42,52.0,10.0,13.0,75.0,5.0,3.0,1.0,11.0,3.0,12.0,28.0,47.0,57.0,7.0,17.0,207.0,58.0,49.0,48.0,43.0,14.0,5.0,1.19,1.86,1.5,2.0,2.0,1.0,75.0,62.0,62.0,45.0,0.48,0.91,1.02,4.03,4.03,4.02
CGY,2016,CGY,CGY,Team Level,other,82,0.46,0.45,0.45,12393.0,117.18,21.45,8.29,19.86,3.55,63.45,44.4,20.76,21.45,20.76,115.0,46.0,54.0,215.0,26.0,3.0,3.0,24.0,3.0,59.0,46.0,89.0,135.0,14.0,26.0,121.0,22.0,28.0,21.0,91.0,39.0,31.0,3.48,4.53,13.45,6.0,8.0,12.0,215.0,161.0,161.0,12.0,2.42,1.39,1.39,22.49,22.49,21.84,139.17,24.93,10.42,26.37,4.77,80.84,48.67,23.49,24.93,23.49,136.0,60.0,66.0,262.0,22.0,8.0,4.0,25.0,9.0,70.0,62.0,114.0,174.0,6.0,12.0,127.0,22.0,27.0,27.0,123.0,43.0,30.0,4.26,5.5,15.17,3.0,6.0,13.0,262.0,196.0,196.0,17.0,2.98,2.98,2.98,24.94,24.94,24.34
CGY,2016,CGY,CGY,Team Level,all,82,0.49,0.5,0.5,298436.0,2362.22,218.54,162.89,534.79,76.11,1330.11,979.56,211.84,219.14,212.47,2389.0,913.0,1195.0,4497.0,222.0,157.0,41.0,578.0,87.0,1010.0,1248.0,2167.0,3080.0,360.0,828.0,2432.0,1550.0,644.0,805.0,2442.0,642.0,218.0,68.1,76.3,74.13,71.0,77.0,74.0,4501.48,3302.0,3306.19,445.0,35.98,36.81,38.0,216.5,217.16,213.31,2382.05,231.98,164.46,539.85,77.57,1334.27,968.87,223.7,232.9,224.59,2356.0,961.0,1111.0,4428.0,219.0,177.0,36.0,654.0,99.0,931.0,1237.0,2137.0,3098.0,333.0,787.0,2538.0,1289.0,570.0,708.0,2462.0,634.0,221.0,69.89,78.78,83.31,61.0,86.0,72.0,4432.45,3317.0,3326.68,393.0,36.61,43.9,46.89,221.69,222.52,218.91
CGY,2016,CGY,CGY,Team Level,5on5,82,0.48,0.51,0.5,235352.0,1818.93,144.19,119.02,433.48,58.73,1024.39,766.19,140.22,144.8,140.85,1843.0,703.0,940.0,3486.0,140.0,111.0,25.0,460.0,69.0,785.0,981.0,1703.0,2406.0,317.0,744.0,1853.0,1453.0,515.0,657.0,1944.0,481.0,121.0,54.37,57.24,32.59,53.0,57.0,30.0,3490.48,2546.0,2550.19,387.0,24.52,23.18,24.71,144.0,144.66,142.63,1830.0,153.72,120.08,434.18,59.56,1013.18,759.26,149.14,154.64,150.03,1804.0,736.0,875.0,3415.0,145.0,136.0,18.0,537.0,72.0,678.0,972.0,1659.0,2395.0,306.0,733.0,1950.0,1198.0,469.0,565.0,1933.0,471.0,136.0,55.39,58.96,39.37,51.0,65.0,29.0,3419.45,2540.0,2549.68,333.0,24.82,29.67,31.23,147.31,148.14,146.3
CGY,2016,CGY,CGY,Team Level,4on5,82,0.12,0.14,0.15,26065.0,68.43,6.59,3.19,9.04,1.93,19.37,52.87,6.46,6.59,6.46,71.0,22.0,19.0,112.0,8.0,6.0,3.0,7.0,4.0,10.0,58.0,63.0,85.0,14.0,28.0,219.0,46.0,78.0,45.0,67.0,15.0,11.0,1.81,1.87,2.91,2.0,1.0,5.0,112.0,93.0,93.0,42.0,0.75,1.57,1.57,5.76,5.76,5.75,360.89,48.85,31.67,72.38,11.79,225.34,116.97,46.61,48.85,46.61,361.0,146.0,159.0,666.0,47.0,31.0,12.0,87.0,16.0,170.0,156.0,314.0,460.0,8.0,16.0,261.0,24.0,10.0,72.0,351.0,104.0,52.0,8.83,12.33,27.68,6.0,13.0,28.0,666.0,507.0,507.0,4.0,8.27,10.77,12.19,44.93,44.93,43.76
CGY,2016,CGY,CGY,Team Level,5on4,82,0.91,0.89,0.87,24626.0,357.69,46.3,32.39,72.41,11.9,222.88,116.1,44.41,46.3,44.41,360.0,142.0,182.0,684.0,48.0,37.0,10.0,87.0,11.0,156.0,163.0,312.0,454.0,15.0,30.0,239.0,29.0,23.0,82.0,340.0,107.0,55.0,8.45,12.67,25.19,10.0,11.0,27.0,684.0,502.0,502.0,4.0,8.29,10.68,10.33,44.26,44.26,43.08,51.99,4.48,2.27,6.93,1.45,14.91,43.97,4.46,4.48,4.46,55.0,19.0,11.0,85.0,5.0,2.0,2.0,5.0,2.0,13.0,47.0,50.0,69.0,13.0,26.0,200.0,45.0,64.0,44.0,55.0,16.0,3.0,1.41,1.99,1.08,1.0,2.0,2.0,85.0,74.0,74.0,39.0,0.53,0.49,0.49,4.51,4.51,4.51
