"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"AARON.EKBLAD","D","20162017","FLA",68,1193.72,17.55,35.46,452,352,316,40.36,31.43,28.21,58.85
"ADAM.CLENDENING","D","20162017","NYR",31,432.23,13.94,27.58,187,135,91,45.28,32.69,22.03,67.27
"ADAM.CRACKNELL","F","20162017","DAL",69,677.6,9.82,19.75,179,221,178,30.97,38.24,30.8,50.14
"ADAM.ERNE","F","20162017","T.B",26,278.82,10.72,21.3,83,115,78,30.07,41.67,28.26,51.55
"ADAM.HENRIQUE","F","20162017","N.J",82,1069.38,13.04,26.33,339,355,367,31.95,33.46,34.59,48.02
"ADAM.LARSSON","D","20162017","EDM",79,1423.8,18.02,36.15,430,504,465,30.74,36.03,33.24,48.04
"ADAM.LOWRY","F","20162017","WPG",82,965.78,11.78,24.23,236,364,359,24.61,37.96,37.43,39.66
"ADAM.MCQUAID","D","20162017","BOS",77,1191.53,15.47,31.61,456,497,403,33.63,36.65,29.72,53.08
"ADAM.PELECH","D","20162017","NYI",44,691.02,15.7,31.03,202,219,188,33.17,35.96,30.87,51.79
"ADRIAN.KEMPE","F","20162017","L.A",25,267.8,10.71,21.6,96,66,78,40,27.5,32.5,55.17
"A.J..GREER","F","20162017","COL",5,63.8,12.76,25.56,28,30,27,32.94,35.29,31.76,50.91
"ALAN.QUINE","F","20162017","NYI",61,670.75,11,21.57,178,238,197,29.04,38.83,32.14,47.47
"ALEC.MARTINEZ","D","20162017","L.A",82,1387.9,16.93,34.01,504,404,419,37.98,30.44,31.57,54.6
"ALEKSANDER.BARKOV","F","20162017","FLA",61,898.77,14.73,29.7,309,325,251,34.92,36.72,28.36,55.18
"ALES.HEMSKY","F","20162017","DAL",15,187.25,12.48,24.27,67,76,72,31.16,35.35,33.49,48.2
"ALEX.BIEGA","D","20162017","VAN",36,440.3,12.23,24.35,125,131,115,33.69,35.31,31,52.08
"ALEX.BURMISTROV","F","20162017","ARI",26,328.83,12.65,25.07,84,104,96,29.58,36.62,33.8,46.67
"ALEX.BURMISTROV","F","20162017","WPG",23,218.27,9.49,19.47,43,70,66,24.02,39.11,36.87,39.45
"ALEX.BURROWS","F","20162017","OTT",20,233.97,11.7,22.52,93,67,62,41.89,30.18,27.93,60
"ALEX.BURROWS","F","20162017","VAN",55,707.07,12.86,25.58,215,282,232,29.49,38.68,31.82,48.1
"ALEX.CHIASSON","F","20162017","CGY",81,934.5,11.54,23.83,329,304,248,37.34,34.51,28.15,57.02
"ALEX.EDLER","D","20162017","VAN",68,1294.72,19.04,37.62,422,442,439,32.39,33.92,33.69,49.01
