"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"AARON.GAGNON","F","20122013","WPG",10,73.27,7.33,14.41,16,24,29,23.19,34.78,42.03,35.56
"AARON.JOHNSON","D","20122013","BOS",10,138.4,13.84,27.26,46,40,32,38.98,33.9,27.12,58.97
"AARON.PALUSHAJ","F","20122013","COL",25,263.12,10.52,20.7,82,84,87,32.41,33.2,34.39,48.52
"AARON.ROME","D","20122013","DAL",27,366.13,13.56,28.3,100,138,133,26.95,37.2,35.85,42.92
"AARON.VOLPATTI","F","20122013","VAN",16,114.73,7.17,15.18,21,41,41,20.39,39.81,39.81,33.87
"AARON.VOLPATTI","F","20122013","WSH",17,156.35,9.2,18.31,37,58,40,27.41,42.96,29.63,48.05
"ADAM.BURISH","F","20122013","S.J",46,422.57,9.19,18.3,101,132,170,25.06,32.75,42.18,37.27
"ADAM.CRACKNELL","F","20122013","STL",20,170.95,8.55,17.07,36,46,41,29.27,37.4,33.33,46.75
"ADAM.HALL","F","20122013","CAR",6,56.57,9.43,18.07,8,12,18,21.05,31.58,47.37,30.77
"ADAM.HALL","F","20122013","PHI",11,92.22,8.38,17.31,12,38,49,12.12,38.38,49.49,19.67
"ADAM.HALL","F","20122013","T.B",20,160.53,8.03,16.56,11,70,100,6.08,38.67,55.25,9.91
"ADAM.HENRIQUE","F","20122013","N.J",42,564.55,13.44,27.48,158,219,175,28.62,39.67,31.7,47.45
"ADAM.LARSSON","D","20122013","N.J",37,615.33,16.63,34.07,153,216,156,29.14,41.14,29.71,49.51
"ADAM.MCQUAID","D","20122013","BOS",32,436.77,13.65,27.64,139,167,115,33.02,39.67,27.32,54.72
"ADAM.PARDY","D","20122013","BUF",17,258.35,15.2,30.25,59,74,70,29.06,36.45,34.48,45.74
"ADRIAN.AUCOIN","D","20122013","CBJ",36,532.97,14.8,29.13,162,157,154,34.25,33.19,32.56,51.27
"AKIM.ALIU","F","20122013","CGY",5,50.55,10.11,22.12,10,20,19,20.41,40.82,38.78,34.48
"ALEC.MARTINEZ","D","20122013","L.A",27,374.75,13.88,28.39,129,122,74,39.69,37.54,22.77,63.55
"ALES.HEMSKY","F","20122013","EDM",38,484.25,12.74,26.31,166,154,156,34.87,32.35,32.77,51.55
"ALEX.BOLDUC","F","20122013","ARI",14,104.68,7.48,15.03,36,35,17,40.91,39.77,19.32,67.92
