"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"AARON.GAGNON","F","20102011","DAL",19,143.03,7.53,15.68,37,56,40,27.82,42.11,30.08,48.05
"AARON.ROME","D","20102011","VAN",56,837.5,14.96,31.22,195,299,241,26.53,40.68,32.79,44.72
"AARON.VOLPATTI","F","20102011","VAN",15,97.28,6.49,13.66,11,31,18,18.33,51.67,30,37.93
"AARON.VOROS","F","20102011","ANA",12,66.32,5.53,11.85,26,26,15,38.81,38.81,22.39,63.41
"ADAM.BURISH","F","20102011","DAL",63,750.12,11.91,25.04,178,265,385,21.5,32,46.5,31.62
"ADAM.CRACKNELL","F","20102011","STL",24,206.52,8.61,17.14,66,67,44,37.29,37.85,24.86,60
"ADAM.FOOTE","D","20102011","COL",47,695.63,14.8,30.56,151,239,223,24.63,38.99,36.38,40.37
"ADAM.HALL","F","20102011","T.B",82,953.3,11.63,24.27,212,459,304,21.74,47.08,31.18,41.09
"ADAM.MAIR","F","20102011","N.J",65,551.07,8.48,17.23,116,176,113,28.64,43.46,27.9,50.66
"ADAM.MCQUAID","D","20102011","BOS",67,891.78,13.31,26.8,248,309,282,29.56,36.83,33.61,46.79
"ADAM.PARDY","D","20102011","CGY",30,413.08,13.77,28.06,124,135,85,36.05,39.24,24.71,59.33
"ADRIAN.AUCOIN","D","20102011","ARI",75,1316.05,17.55,36.05,339,463,401,28.18,38.49,33.33,45.81
"ALEC.MARTINEZ","D","20102011","L.A",60,803.52,13.39,27.19,228,260,204,32.95,37.57,29.48,52.78
"ALES.HEMSKY","F","20102011","EDM",47,649.68,13.82,29.14,189,284,177,29.08,43.69,27.23,51.64
"ALES.KOTALIK","F","20102011","CGY",26,281.17,10.81,21.74,89,86,75,35.6,34.4,30,54.27
"ALEX.BOLDUC","F","20102011","VAN",24,163.17,6.8,14.16,15,52,35,14.71,50.98,34.31,30
"ALEX.BURMISTROV","F","20102011","ATL",74,863.82,11.67,23.49,242,275,188,34.33,39.01,26.67,56.28
"ALEX.BURROWS","F","20102011","VAN",72,966.63,13.43,27.96,472,327,185,47.97,33.23,18.8,71.84
"ALEX.EDLER","D","20102011","VAN",51,907.27,17.79,37.23,364,295,254,39.87,32.31,27.82,58.9
"ALEXEI.PONIKAROVSKY","F","20102011","L.A",61,648.23,10.63,21.88,179,217,166,31.85,38.61,29.54,51.88
"ALEX.FROLOV","F","20102011","NYR",43,513.15,11.93,24.94,140,166,137,31.6,37.47,30.93,50.54
"ALEX.GIROUX","F","20102011","EDM",8,90.07,11.26,24.45,28,37,27,30.43,40.22,29.35,50.91
"ALEX.GOLIGOSKI","D","20102011","DAL",23,438.05,19.05,39.25,136,151,110,34.26,38.04,27.71,55.28
"ALEX.GOLIGOSKI","D","20102011","PIT",60,931.78,15.53,33.23,295,290,215,36.88,36.25,26.88,57.84
"ALEX.KOVALEV","F","20102011","OTT",54,731.32,13.54,28.11,181,234,171,30.89,39.93,29.18,51.42
"ALEX.KOVALEV","F","20102011","PIT",20,267.45,13.37,26.73,81,91,53,36,40.44,23.56,60.45
"ALEX.OVECHKIN","F","20102011","WSH",78,1280.08,16.41,33.6,317,444,297,29.96,41.97,28.07,51.63
"ALEX.PICARD","D","20102011","MTL",43,634.58,14.76,30.7,190,196,168,34.3,35.38,30.32,53.07
"ALEX.PIETRANGELO","D","20102011","STL",79,1317.28,16.67,34.05,397,445,320,34.17,38.3,27.54,55.37
"ALEX.SEMIN","F","20102011","WSH",64,873.52,13.65,28.2,262,277,218,34.61,36.59,28.8,54.58
"ALEX.STEEN","F","20102011","STL",72,1081.18,15.02,30.77,337,376,273,34.18,38.13,27.69,55.25
"ALEX.SULZER","D","20102011","FLA",9,140.05,15.56,29.75,38,45,41,30.65,36.29,33.06,48.1
"ALEX.SULZER","D","20102011","NSH",31,464.92,15,31.07,131,158,106,33.16,40,26.84,55.27
"ALEX.TANGUAY","F","20102011","CGY",79,1141.17,14.45,30.02,377,477,297,32.75,41.44,25.8,55.93
"ALEX.URBOM","D","20102011","N.J",8,96.52,12.06,25.08,21,24,17,33.87,38.71,27.42,55.26
"ALEX.VASYUNOV","F","20102011","N.J",18,201.35,11.19,22.6,55,62,47,33.54,37.8,28.66,53.92
